J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-06-03,2021-08-25,2994,حگردش,RGIP
1400-06-06,2021-08-28,3084,حگردش,RGIP
1400-06-07,2021-08-29,3176,حگردش,RGIP
1400-06-08,2021-08-30,3271,حگردش,RGIP
1400-06-09,2021-08-31,3433,حگردش,RGIP
1400-06-10,2021-09-01,3489,حگردش,RGIP
1400-06-13,2021-09-04,3593,حگردش,RGIP
1400-06-14,2021-09-05,3701,حگردش,RGIP
1400-06-15,2021-09-06,3633,حگردش,RGIP
1400-06-16,2021-09-07,3675,حگردش,RGIP
1400-06-17,2021-09-08,3592,حگردش,RGIP
1400-06-20,2021-09-11,3469,حگردش,RGIP
1400-06-21,2021-09-12,3412,حگردش,RGIP
1400-06-22,2021-09-13,3312,حگردش,RGIP
1400-06-23,2021-09-14,3155,حگردش,RGIP
1400-06-24,2021-09-15,3270,حگردش,RGIP
1400-06-27,2021-09-18,3156,حگردش,RGIP
1400-06-28,2021-09-19,3067,حگردش,RGIP
1400-06-29,2021-09-20,2977,حگردش,RGIP
1400-06-30,2021-09-21,2944,حگردش,RGIP
1400-06-31,2021-09-22,2944,حگردش,RGIP
1400-07-03,2021-09-25,2952,حگردش,RGIP
1400-07-04,2021-09-26,2844,حگردش,RGIP
1400-07-06,2021-09-28,2788,حگردش,RGIP
1400-07-07,2021-09-29,2899,حگردش,RGIP
1400-07-10,2021-10-02,2955,حگردش,RGIP
1400-07-11,2021-10-03,2854,حگردش,RGIP
1400-07-12,2021-10-04,2894,حگردش,RGIP
1400-07-14,2021-10-06,2791,حگردش,RGIP
1400-07-17,2021-10-09,2864,حگردش,RGIP
1400-07-18,2021-10-10,2865,حگردش,RGIP
1400-07-19,2021-10-11,2944,حگردش,RGIP
1400-07-20,2021-10-12,3032,حگردش,RGIP
1400-07-21,2021-10-13,2944,حگردش,RGIP
1400-07-24,2021-10-16,2993,حگردش,RGIP
1400-07-25,2021-10-17,2927,حگردش,RGIP
1400-07-26,2021-10-18,3020,حگردش,RGIP
1400-07-27,2021-10-19,3012,حگردش,RGIP
1400-07-28,2021-10-20,3084,حگردش,RGIP
1400-08-01,2021-10-23,3184,حگردش,RGIP
1400-08-03,2021-10-25,3316,حگردش,RGIP
1400-08-04,2021-10-26,3393,حگردش,RGIP
1400-08-05,2021-10-27,3487,حگردش,RGIP
1400-08-08,2021-10-30,3641,حگردش,RGIP
1400-08-09,2021-10-31,3513,حگردش,RGIP
1400-08-10,2021-11-01,3653,حگردش,RGIP
1400-08-11,2021-11-02,3708,حگردش,RGIP
