J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-26,2001-04-15,209,خریخت,RIIR
1380-02-02,2001-04-22,209,خریخت,RIIR
1380-02-03,2001-04-23,209,خریخت,RIIR
1380-02-04,2001-04-24,209,خریخت,RIIR
1380-02-05,2001-04-25,209,خریخت,RIIR
1380-02-08,2001-04-28,210,خریخت,RIIR
1380-02-09,2001-04-29,211,خریخت,RIIR
1380-02-10,2001-04-30,211,خریخت,RIIR
1380-02-11,2001-05-01,212,خریخت,RIIR
1380-02-12,2001-05-02,212,خریخت,RIIR
1380-02-15,2001-05-05,214,خریخت,RIIR
1380-02-17,2001-05-07,216,خریخت,RIIR
1380-02-18,2001-05-08,219,خریخت,RIIR
1380-03-29,2001-06-19,264,خریخت,RIIR
1380-03-30,2001-06-20,259,خریخت,RIIR
1380-04-03,2001-06-24,253,خریخت,RIIR
1380-04-04,2001-06-25,253,خریخت,RIIR
1380-04-05,2001-06-26,261,خریخت,RIIR
1380-04-06,2001-06-27,267,خریخت,RIIR
1380-04-09,2001-06-30,277,خریخت,RIIR
1380-04-10,2001-07-01,283,خریخت,RIIR
1380-04-11,2001-07-02,287,خریخت,RIIR
1380-04-12,2001-07-03,282,خریخت,RIIR
1380-04-13,2001-07-04,284,خریخت,RIIR
1380-04-16,2001-07-07,287,خریخت,RIIR
1380-04-18,2001-07-09,290,خریخت,RIIR
1380-04-19,2001-07-10,282,خریخت,RIIR
1380-04-20,2001-07-11,284,خریخت,RIIR
1380-04-23,2001-07-14,286,خریخت,RIIR
1380-04-24,2001-07-15,285,خریخت,RIIR
1380-04-25,2001-07-16,289,خریخت,RIIR
1380-05-22,2001-08-13,317,خریخت,RIIR
1380-05-24,2001-08-15,333,خریخت,RIIR
1380-05-27,2001-08-18,350,خریخت,RIIR
1380-05-28,2001-08-19,343,خریخت,RIIR
1380-05-29,2001-08-20,343,خریخت,RIIR
1380-05-30,2001-08-21,330,خریخت,RIIR
1380-05-31,2001-08-22,330,خریخت,RIIR
1380-06-03,2001-08-25,325,خریخت,RIIR
1380-06-10,2001-09-01,314,خریخت,RIIR
1380-06-11,2001-09-02,299,خریخت,RIIR
1380-06-12,2001-09-03,299,خریخت,RIIR
1380-06-13,2001-09-04,299,خریخت,RIIR
1380-06-14,2001-09-05,299,خریخت,RIIR
1380-06-20,2001-09-11,304,خریخت,RIIR
1380-06-21,2001-09-12,304,خریخت,RIIR
1380-06-25,2001-09-16,304,خریخت,RIIR
1380-06-26,2001-09-17,304,خریخت,RIIR
1380-06-28,2001-09-19,304,خریخت,RIIR
1380-06-31,2001-09-22,304,خریخت,RIIR
1380-07-01,2001-09-23,304,خریخت,RIIR
1380-07-02,2001-09-24,305,خریخت,RIIR
1380-07-03,2001-09-25,305,خریخت,RIIR
1380-07-04,2001-09-26,305,خریخت,RIIR
1380-07-07,2001-09-29,305,خریخت,RIIR
1380-07-10,2001-10-02,306,خریخت,RIIR
1380-07-15,2001-10-07,306,خریخت,RIIR
1380-07-16,2001-10-08,306,خریخت,RIIR
1380-07-17,2001-10-09,306,خریخت,RIIR
1380-07-18,2001-10-10,306,خریخت,RIIR
1380-07-25,2001-10-17,306,خریخت,RIIR
1380-07-28,2001-10-20,306,خریخت,RIIR
1380-07-30,2001-10-22,306,خریخت,RIIR
1380-08-01,2001-10-23,306,خریخت,RIIR
1380-08-02,2001-10-24,306,خریخت,RIIR
1380-08-05,2001-10-27,306,خریخت,RIIR
1380-08-06,2001-10-28,306,خریخت,RIIR
1380-08-07,2001-10-29,306,خریخت,RIIR
1380-08-08,2001-10-30,306,خریخت,RIIR
1380-08-09,2001-10-31,306,خریخت,RIIR
1380-08-13,2001-11-04,306,خریخت,RIIR
1380-08-15,2001-11-06,309,خریخت,RIIR
1380-08-19,2001-11-10,312,خریخت,RIIR
1380-08-20,2001-11-11,314,خریخت,RIIR
1380-08-21,2001-11-12,316,خریخت,RIIR
1380-08-22,2001-11-13,317,خریخت,RIIR
1380-08-23,2001-11-14,318,خریخت,RIIR
1380-08-26,2001-11-17,325,خریخت,RIIR
1380-08-28,2001-11-19,325,خریخت,RIIR
1380-09-03,2001-11-24,320,خریخت,RIIR
1380-09-04,2001-11-25,312,خریخت,RIIR
1380-09-05,2001-11-26,312,خریخت,RIIR
1380-09-06,2001-11-27,312,خریخت,RIIR
1380-09-10,2001-12-01,312,خریخت,RIIR
1380-09-20,2001-12-11,311,خریخت,RIIR
1380-09-21,2001-12-12,311,خریخت,RIIR
1380-09-24,2001-12-15,311,خریخت,RIIR
1380-09-27,2001-12-18,311,خریخت,RIIR
1380-09-28,2001-12-19,298,خریخت,RIIR
1380-10-02,2001-12-23,298,خریخت,RIIR
1380-10-03,2001-12-24,298,خریخت,RIIR
1380-10-04,2001-12-25,298,خریخت,RIIR
1380-10-08,2001-12-29,298,خریخت,RIIR
1380-10-09,2001-12-30,295,خریخت,RIIR
1380-10-10,2001-12-31,295,خریخت,RIIR
1380-10-11,2002-01-01,295,خریخت,RIIR
1380-10-12,2002-01-02,295,خریخت,RIIR
1380-12-11,2002-03-02,251,خریخت,RIIR
1380-12-13,2002-03-04,251,خریخت,RIIR
1380-12-14,2002-03-05,251,خریخت,RIIR
1380-12-15,2002-03-06,251,خریخت,RIIR
1380-12-18,2002-03-09,253,خریخت,RIIR
1380-12-20,2002-03-11,254,خریخت,RIIR
1380-12-21,2002-03-12,259,خریخت,RIIR
1380-12-22,2002-03-13,259,خریخت,RIIR
1380-12-25,2002-03-16,259,خریخت,RIIR
1380-12-27,2002-03-18,254,خریخت,RIIR
1381-01-20,2002-04-09,256,خریخت,RIIR
1381-01-27,2002-04-16,263,خریخت,RIIR
1381-01-28,2002-04-17,263,خریخت,RIIR
1381-02-02,2002-04-22,269,خریخت,RIIR
1381-02-03,2002-04-23,269,خریخت,RIIR
1381-02-07,2002-04-27,272,خریخت,RIIR
1381-02-08,2002-04-28,276,خریخت,RIIR
1381-02-09,2002-04-29,276,خریخت,RIIR
1381-02-10,2002-04-30,281,خریخت,RIIR
1381-02-22,2002-05-12,281,خریخت,RIIR
1381-02-24,2002-05-14,281,خریخت,RIIR
1381-02-25,2002-05-15,281,خریخت,RIIR
1381-02-31,2002-05-21,267,خریخت,RIIR
1381-03-05,2002-05-26,264,خریخت,RIIR
1381-03-07,2002-05-28,264,خریخت,RIIR
1381-03-08,2002-05-29,263,خریخت,RIIR
1381-03-11,2002-06-01,261,خریخت,RIIR
1381-03-12,2002-06-02,259,خریخت,RIIR
1381-03-13,2002-06-03,259,خریخت,RIIR
1381-03-18,2002-06-08,264,خریخت,RIIR
1381-03-20,2002-06-10,277,خریخت,RIIR
1381-03-21,2002-06-11,290,خریخت,RIIR
1381-03-22,2002-06-12,298,خریخت,RIIR
1381-03-26,2002-06-16,313,خریخت,RIIR
1381-03-27,2002-06-17,325,خریخت,RIIR
1381-03-29,2002-06-19,325,خریخت,RIIR
1381-04-01,2002-06-22,326,خریخت,RIIR
1381-04-02,2002-06-23,326,خریخت,RIIR
1381-04-03,2002-06-24,322,خریخت,RIIR
1381-04-17,2002-07-08,322,خریخت,RIIR
1381-05-09,2002-07-31,251,خریخت,RIIR
1381-05-13,2002-08-04,253,خریخت,RIIR
1381-05-15,2002-08-06,253,خریخت,RIIR
1381-05-19,2002-08-10,261,خریخت,RIIR
1381-05-20,2002-08-11,261,خریخت,RIIR
1381-05-22,2002-08-13,261,خریخت,RIIR
1381-05-23,2002-08-14,261,خریخت,RIIR
1381-06-26,2002-09-17,261,خریخت,RIIR
1381-06-27,2002-09-18,253,خریخت,RIIR
1381-06-31,2002-09-22,253,خریخت,RIIR
1381-07-01,2002-09-23,253,خریخت,RIIR
1381-07-03,2002-09-25,253,خریخت,RIIR
1381-07-07,2002-09-29,249,خریخت,RIIR
1381-07-09,2002-10-01,249,خریخت,RIIR
1381-07-17,2002-10-09,247,خریخت,RIIR
1381-07-20,2002-10-12,247,خریخت,RIIR
1381-07-21,2002-10-13,237,خریخت,RIIR
1381-08-05,2002-10-27,237,خریخت,RIIR
1381-09-03,2002-11-24,237,خریخت,RIIR
1381-09-04,2002-11-25,237,خریخت,RIIR
1381-10-04,2002-12-25,237,خریخت,RIIR
1381-10-07,2002-12-28,237,خریخت,RIIR
1381-10-11,2003-01-01,237,خریخت,RIIR
1381-10-14,2003-01-04,237,خریخت,RIIR
1381-10-15,2003-01-05,237,خریخت,RIIR
1381-10-17,2003-01-07,237,خریخت,RIIR
1381-10-23,2003-01-13,236,خریخت,RIIR
1381-10-25,2003-01-15,235,خریخت,RIIR
1381-10-28,2003-01-18,236,خریخت,RIIR
1381-10-29,2003-01-19,236,خریخت,RIIR
1381-11-06,2003-01-26,236,خریخت,RIIR
1381-11-07,2003-01-27,236,خریخت,RIIR
