J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-16,2004-03-06,157,خرینگ,RINM
1382-12-17,2004-03-07,158,خرینگ,RINM
1382-12-18,2004-03-08,161,خرینگ,RINM
1382-12-19,2004-03-09,164,خرینگ,RINM
1382-12-20,2004-03-10,169,خرینگ,RINM
1382-12-23,2004-03-13,165,خرینگ,RINM
1382-12-24,2004-03-14,160,خرینگ,RINM
1382-12-25,2004-03-15,160,خرینگ,RINM
1382-12-26,2004-03-16,161,خرینگ,RINM
1382-12-27,2004-03-17,166,خرینگ,RINM
1383-01-08,2004-03-27,169,خرینگ,RINM
1383-01-09,2004-03-28,177,خرینگ,RINM
1383-01-10,2004-03-29,179,خرینگ,RINM
1383-01-11,2004-03-30,183,خرینگ,RINM
1383-01-15,2004-04-03,189,خرینگ,RINM
1383-01-16,2004-04-04,193,خرینگ,RINM
1383-01-17,2004-04-05,201,خرینگ,RINM
1383-01-18,2004-04-06,211,خرینگ,RINM
1383-01-19,2004-04-07,221,خرینگ,RINM
1383-01-22,2004-04-10,227,خرینگ,RINM
1383-01-24,2004-04-12,229,خرینگ,RINM
1383-01-25,2004-04-13,241,خرینگ,RINM
1383-01-26,2004-04-14,243,خرینگ,RINM
1383-01-29,2004-04-17,242,خرینگ,RINM
1383-01-30,2004-04-18,237,خرینگ,RINM
1383-02-02,2004-04-21,233,خرینگ,RINM
1383-02-05,2004-04-24,229,خرینگ,RINM
1383-02-06,2004-04-25,223,خرینگ,RINM
1383-02-07,2004-04-26,222,خرینگ,RINM
1383-02-08,2004-04-27,221,خرینگ,RINM
1383-02-09,2004-04-28,210,خرینگ,RINM
1383-02-12,2004-05-01,209,خرینگ,RINM
1383-02-13,2004-05-02,208,خرینگ,RINM
1383-02-14,2004-05-03,206,خرینگ,RINM
1383-02-15,2004-05-04,200,خرینگ,RINM
1383-02-16,2004-05-05,197,خرینگ,RINM
1383-02-19,2004-05-08,187,خرینگ,RINM
1383-02-20,2004-05-09,184,خرینگ,RINM
1383-02-21,2004-05-10,190,خرینگ,RINM
1383-02-22,2004-05-11,193,خرینگ,RINM
1383-02-23,2004-05-12,190,خرینگ,RINM
1383-02-26,2004-05-15,188,خرینگ,RINM
1383-02-27,2004-05-16,186,خرینگ,RINM
1383-02-28,2004-05-17,185,خرینگ,RINM
1383-02-29,2004-05-18,179,خرینگ,RINM
1383-02-30,2004-05-19,176,خرینگ,RINM
1383-03-02,2004-05-22,176,خرینگ,RINM
1383-03-03,2004-05-23,173,خرینگ,RINM
1383-03-04,2004-05-24,167,خرینگ,RINM
1383-03-05,2004-05-25,164,خرینگ,RINM
1383-03-26,2004-06-15,134,خرینگ,RINM
1383-03-27,2004-06-16,133,خرینگ,RINM
1383-03-30,2004-06-19,133,خرینگ,RINM
1383-03-31,2004-06-20,133,خرینگ,RINM
1383-04-01,2004-06-21,132,خرینگ,RINM
1383-04-02,2004-06-22,134,خرینگ,RINM
1383-04-03,2004-06-23,140,خرینگ,RINM
1383-04-06,2004-06-26,143,خرینگ,RINM
1383-04-07,2004-06-27,150,خرینگ,RINM
1383-04-08,2004-06-28,157,خرینگ,RINM
1383-04-09,2004-06-29,155,خرینگ,RINM
1383-04-10,2004-06-30,161,خرینگ,RINM
1383-04-13,2004-07-03,164,خرینگ,RINM
1383-04-14,2004-07-04,170,خرینگ,RINM
1383-04-15,2004-07-05,171,خرینگ,RINM
1383-04-16,2004-07-06,167,خرینگ,RINM
1383-04-17,2004-07-07,163,خرینگ,RINM
1383-04-20,2004-07-10,163,خرینگ,RINM
1383-04-21,2004-07-11,163,خرینگ,RINM
1383-04-22,2004-07-12,162,خرینگ,RINM
1383-04-23,2004-07-13,162,خرینگ,RINM
1383-04-24,2004-07-14,161,خرینگ,RINM
1383-04-27,2004-07-17,161,خرینگ,RINM
1383-04-28,2004-07-18,161,خرینگ,RINM
1383-04-29,2004-07-19,159,خرینگ,RINM
1383-04-30,2004-07-20,157,خرینگ,RINM
1383-05-03,2004-07-24,151,خرینگ,RINM
1383-05-04,2004-07-25,151,خرینگ,RINM
1383-05-05,2004-07-26,144,خرینگ,RINM
1383-05-06,2004-07-27,148,خرینگ,RINM
1383-05-07,2004-07-28,151,خرینگ,RINM
1383-05-10,2004-07-31,149,خرینگ,RINM
1383-05-11,2004-08-01,148,خرینگ,RINM
1383-05-12,2004-08-02,147,خرینگ,RINM
1383-05-13,2004-08-03,143,خرینگ,RINM
1383-05-14,2004-08-04,142,خرینگ,RINM
1383-05-17,2004-08-07,135,خرینگ,RINM
1383-05-18,2004-08-08,134,خرینگ,RINM
1383-05-19,2004-08-09,133,خرینگ,RINM
1383-05-20,2004-08-10,134,خرینگ,RINM
1383-05-21,2004-08-11,135,خرینگ,RINM
1383-05-24,2004-08-14,132,خرینگ,RINM
1383-05-25,2004-08-15,131,خرینگ,RINM
1383-05-26,2004-08-16,127,خرینگ,RINM
1383-05-27,2004-08-17,127,خرینگ,RINM
1383-05-28,2004-08-18,127,خرینگ,RINM
1383-05-31,2004-08-21,129,خرینگ,RINM
1383-06-01,2004-08-22,129,خرینگ,RINM
1383-06-02,2004-08-23,132,خرینگ,RINM
1383-06-03,2004-08-24,133,خرینگ,RINM
1383-06-04,2004-08-25,133,خرینگ,RINM
1383-06-07,2004-08-28,131,خرینگ,RINM
1383-06-08,2004-08-29,131,خرینگ,RINM
1383-06-10,2004-08-31,131,خرینگ,RINM
1383-06-11,2004-09-01,131,خرینگ,RINM
1383-06-14,2004-09-04,131,خرینگ,RINM
1383-06-15,2004-09-05,129,خرینگ,RINM
1383-06-16,2004-09-06,128,خرینگ,RINM
1383-06-17,2004-09-07,128,خرینگ,RINM
1383-06-18,2004-09-08,128,خرینگ,RINM
1383-06-21,2004-09-11,129,خرینگ,RINM
1383-06-22,2004-09-12,134,خرینگ,RINM
1383-06-24,2004-09-14,136,خرینگ,RINM
1383-06-25,2004-09-15,141,خرینگ,RINM
1383-06-28,2004-09-18,144,خرینگ,RINM
1383-06-29,2004-09-19,151,خرینگ,RINM
1383-06-30,2004-09-20,159,خرینگ,RINM
1383-06-31,2004-09-21,161,خرینگ,RINM
1383-07-01,2004-09-22,169,خرینگ,RINM
1383-07-04,2004-09-25,178,خرینگ,RINM
1383-07-05,2004-09-26,187,خرینگ,RINM
1383-07-06,2004-09-27,179,خرینگ,RINM
1383-07-07,2004-09-28,170,خرینگ,RINM
1383-07-08,2004-09-29,166,خرینگ,RINM
1383-07-11,2004-10-02,160,خرینگ,RINM
1383-07-12,2004-10-03,160,خرینگ,RINM
1383-07-13,2004-10-04,159,خرینگ,RINM
1383-07-14,2004-10-05,156,خرینگ,RINM
1383-07-15,2004-10-06,156,خرینگ,RINM
1383-07-18,2004-10-09,163,خرینگ,RINM
1383-07-19,2004-10-10,163,خرینگ,RINM
1383-07-20,2004-10-11,161,خرینگ,RINM
1383-07-21,2004-10-12,158,خرینگ,RINM
1383-07-22,2004-10-13,161,خرینگ,RINM
1383-07-25,2004-10-16,168,خرینگ,RINM
1383-07-26,2004-10-17,168,خرینگ,RINM
1383-07-27,2004-10-18,168,خرینگ,RINM
1383-07-28,2004-10-19,166,خرینگ,RINM
1383-07-29,2004-10-20,160,خرینگ,RINM
1383-08-02,2004-10-23,168,خرینگ,RINM
1383-08-03,2004-10-24,177,خرینگ,RINM
1383-08-04,2004-10-25,185,خرینگ,RINM
1383-08-05,2004-10-26,180,خرینگ,RINM
1383-08-06,2004-10-27,186,خرینگ,RINM
1383-08-09,2004-10-30,186,خرینگ,RINM
1383-08-10,2004-10-31,185,خرینگ,RINM
1383-08-11,2004-11-01,178,خرینگ,RINM
1383-08-12,2004-11-02,178,خرینگ,RINM
1383-08-13,2004-11-03,178,خرینگ,RINM
1383-08-16,2004-11-06,179,خرینگ,RINM
1383-08-17,2004-11-07,184,خرینگ,RINM
1383-08-18,2004-11-08,193,خرینگ,RINM
1383-08-19,2004-11-09,196,خرینگ,RINM
1383-08-20,2004-11-10,194,خرینگ,RINM
1383-08-23,2004-11-13,199,خرینگ,RINM
1383-08-25,2004-11-15,194,خرینگ,RINM
1383-08-26,2004-11-16,195,خرینگ,RINM
1383-08-27,2004-11-17,192,خرینگ,RINM
1383-08-30,2004-11-20,193,خرینگ,RINM
1383-09-01,2004-11-21,202,خرینگ,RINM
1383-09-02,2004-11-22,212,خرینگ,RINM
1383-09-03,2004-11-23,222,خرینگ,RINM
1383-09-15,2004-12-05,234,خرینگ,RINM
1383-09-16,2004-12-06,245,خرینگ,RINM
1383-09-17,2004-12-07,245,خرینگ,RINM
1383-09-21,2004-12-11,248,خرینگ,RINM
1383-09-22,2004-12-12,243,خرینگ,RINM
1383-09-23,2004-12-13,244,خرینگ,RINM
1383-09-24,2004-12-14,238,خرینگ,RINM
1383-09-25,2004-12-15,240,خرینگ,RINM
1383-09-28,2004-12-18,247,خرینگ,RINM
1383-09-29,2004-12-19,257,خرینگ,RINM
1383-09-30,2004-12-20,257,خرینگ,RINM
1383-10-01,2004-12-21,266,خرینگ,RINM
1383-10-02,2004-12-22,272,خرینگ,RINM
1383-10-05,2004-12-25,275,خرینگ,RINM
1383-10-06,2004-12-26,273,خرینگ,RINM
1383-10-07,2004-12-27,269,خرینگ,RINM
1383-10-08,2004-12-28,259,خرینگ,RINM
1383-10-09,2004-12-29,250,خرینگ,RINM
1383-10-12,2005-01-01,248,خرینگ,RINM
1383-10-13,2005-01-02,251,خرینگ,RINM
1383-10-14,2005-01-03,258,خرینگ,RINM
1383-10-15,2005-01-04,260,خرینگ,RINM
1383-10-16,2005-01-05,256,خرینگ,RINM
1383-10-19,2005-01-08,255,خرینگ,RINM
1383-10-20,2005-01-09,246,خرینگ,RINM
1383-10-21,2005-01-10,235,خرینگ,RINM
1383-10-22,2005-01-11,236,خرینگ,RINM
1383-10-23,2005-01-12,234,خرینگ,RINM
1383-10-26,2005-01-15,228,خرینگ,RINM
1383-10-27,2005-01-16,217,خرینگ,RINM
1383-10-28,2005-01-17,216,خرینگ,RINM
1383-10-29,2005-01-18,217,خرینگ,RINM
1383-10-30,2005-01-19,221,خرینگ,RINM
1383-11-03,2005-01-22,224,خرینگ,RINM
1383-11-04,2005-01-23,226,خرینگ,RINM
1383-11-05,2005-01-24,237,خرینگ,RINM
1383-11-06,2005-01-25,233,خرینگ,RINM
1383-11-07,2005-01-26,223,خرینگ,RINM
1383-11-11,2005-01-30,223,خرینگ,RINM
1383-11-12,2005-01-31,224,خرینگ,RINM
1383-11-13,2005-02-01,224,خرینگ,RINM
1383-11-14,2005-02-02,229,خرینگ,RINM
1383-11-17,2005-02-05,224,خرینگ,RINM
1383-11-18,2005-02-06,219,خرینگ,RINM
1383-11-19,2005-02-07,217,خرینگ,RINM
1383-11-20,2005-02-08,218,خرینگ,RINM
1383-11-21,2005-02-09,220,خرینگ,RINM
1383-11-24,2005-02-12,221,خرینگ,RINM
1383-11-25,2005-02-13,214,خرینگ,RINM
1383-11-26,2005-02-14,214,خرینگ,RINM
1383-11-27,2005-02-15,214,خرینگ,RINM
1383-11-28,2005-02-16,214,خرینگ,RINM
1383-12-03,2005-02-21,209,خرینگ,RINM
1383-12-04,2005-02-22,210,خرینگ,RINM
1383-12-05,2005-02-23,217,خرینگ,RINM
1383-12-08,2005-02-26,220,خرینگ,RINM
1383-12-09,2005-02-27,227,خرینگ,RINM
1383-12-19,2005-03-09,227,خرینگ,RINM
1383-12-22,2005-03-12,229,خرینگ,RINM
1383-12-23,2005-03-13,228,خرینگ,RINM
1383-12-24,2005-03-14,227,خرینگ,RINM
1383-12-25,2005-03-15,229,خرینگ,RINM
1383-12-26,2005-03-16,240,خرینگ,RINM
1384-01-06,2005-03-26,240,خرینگ,RINM
1384-01-08,2005-03-28,243,خرینگ,RINM
1384-01-10,2005-03-30,245,خرینگ,RINM
1384-01-14,2005-04-03,248,خرینگ,RINM
1384-01-15,2005-04-04,247,خرینگ,RINM
1384-01-16,2005-04-05,245,خرینگ,RINM
1384-01-17,2005-04-06,243,خرینگ,RINM
1384-01-21,2005-04-10,241,خرینگ,RINM
1384-01-22,2005-04-11,237,خرینگ,RINM
1384-01-23,2005-04-12,235,خرینگ,RINM
1384-01-24,2005-04-13,241,خرینگ,RINM
1384-01-27,2005-04-16,245,خرینگ,RINM
1384-01-28,2005-04-17,243,خرینگ,RINM
1384-01-29,2005-04-18,238,خرینگ,RINM
1384-01-30,2005-04-19,236,خرینگ,RINM
1384-04-18,2005-07-09,155,خرینگ,RINM
1384-04-20,2005-07-11,147,خرینگ,RINM
1384-04-21,2005-07-12,140,خرینگ,RINM
1384-04-22,2005-07-13,138,خرینگ,RINM
1384-04-25,2005-07-16,138,خرینگ,RINM
1384-04-26,2005-07-17,134,خرینگ,RINM
1384-04-27,2005-07-18,131,خرینگ,RINM
1384-04-28,2005-07-19,127,خرینگ,RINM
1384-04-29,2005-07-20,132,خرینگ,RINM
1384-05-01,2005-07-23,136,خرینگ,RINM
1384-05-02,2005-07-24,143,خرینگ,RINM
1384-05-03,2005-07-25,150,خرینگ,RINM
1384-05-04,2005-07-26,154,خرینگ,RINM
1384-05-05,2005-07-27,152,خرینگ,RINM
1384-05-08,2005-07-30,149,خرینگ,RINM
1384-05-09,2005-07-31,149,خرینگ,RINM
1384-05-10,2005-08-01,147,خرینگ,RINM
1384-05-11,2005-08-02,144,خرینگ,RINM
1384-05-12,2005-08-03,139,خرینگ,RINM
1384-05-15,2005-08-06,139,خرینگ,RINM
1384-05-16,2005-08-07,137,خرینگ,RINM
1384-05-17,2005-08-08,137,خرینگ,RINM
1384-05-18,2005-08-09,138,خرینگ,RINM
1384-05-19,2005-08-10,138,خرینگ,RINM
1384-05-22,2005-08-13,138,خرینگ,RINM
1384-05-23,2005-08-14,138,خرینگ,RINM
1384-05-24,2005-08-15,139,خرینگ,RINM
1384-05-25,2005-08-16,138,خرینگ,RINM
1384-05-26,2005-08-17,138,خرینگ,RINM
1384-05-30,2005-08-21,139,خرینگ,RINM
1384-05-31,2005-08-22,139,خرینگ,RINM
1384-06-01,2005-08-23,136,خرینگ,RINM
1384-06-02,2005-08-24,136,خرینگ,RINM
1384-06-05,2005-08-27,136,خرینگ,RINM
1384-06-06,2005-08-28,134,خرینگ,RINM
1384-06-07,2005-08-29,130,خرینگ,RINM
1384-06-08,2005-08-30,130,خرینگ,RINM
1384-06-09,2005-08-31,130,خرینگ,RINM
1384-06-12,2005-09-03,130,خرینگ,RINM
1384-06-13,2005-09-04,126,خرینگ,RINM
1384-06-14,2005-09-05,126,خرینگ,RINM
1384-06-15,2005-09-06,127,خرینگ,RINM
1384-06-16,2005-09-07,127,خرینگ,RINM
1384-06-19,2005-09-10,127,خرینگ,RINM
1384-06-20,2005-09-11,124,خرینگ,RINM
1384-06-21,2005-09-12,124,خرینگ,RINM
1384-06-22,2005-09-13,123,خرینگ,RINM
1384-06-23,2005-09-14,124,خرینگ,RINM
1384-06-26,2005-09-17,125,خرینگ,RINM
1384-06-27,2005-09-18,124,خرینگ,RINM
1384-06-28,2005-09-19,124,خرینگ,RINM
1384-06-30,2005-09-21,124,خرینگ,RINM
1384-07-09,2005-10-01,124,خرینگ,RINM
