J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-06,2004-02-25,1512,دروز,ROZD
1382-12-09,2004-02-28,1512,دروز,ROZD
1382-12-10,2004-02-29,1512,دروز,ROZD
1382-12-16,2004-03-06,1512,دروز,ROZD
1382-12-19,2004-03-09,1512,دروز,ROZD
1382-12-23,2004-03-13,1512,دروز,ROZD
1382-12-25,2004-03-15,1497,دروز,ROZD
1383-01-22,2004-04-10,1503,دروز,ROZD
1383-01-25,2004-04-13,1503,دروز,ROZD
1383-02-07,2004-04-26,1509,دروز,ROZD
1383-02-19,2004-05-08,1505,دروز,ROZD
1383-02-20,2004-05-09,1503,دروز,ROZD
1383-02-29,2004-05-18,1504,دروز,ROZD
1383-02-30,2004-05-19,1504,دروز,ROZD
1383-03-12,2004-06-01,1510,دروز,ROZD
1383-03-16,2004-06-05,1510,دروز,ROZD
1383-03-17,2004-06-06,1512,دروز,ROZD
1383-03-18,2004-06-07,1514,دروز,ROZD
1383-03-20,2004-06-09,1514,دروز,ROZD
1383-03-23,2004-06-12,1514,دروز,ROZD
1383-03-24,2004-06-13,1514,دروز,ROZD
1383-03-25,2004-06-14,1514,دروز,ROZD
1383-03-27,2004-06-16,1515,دروز,ROZD
1383-03-30,2004-06-19,1515,دروز,ROZD
1383-04-01,2004-06-21,1518,دروز,ROZD
1383-05-11,2004-08-01,1071,دروز,ROZD
1383-05-25,2004-08-15,1071,دروز,ROZD
1383-05-31,2004-08-21,1064,دروز,ROZD
1383-06-01,2004-08-22,1064,دروز,ROZD
1383-06-15,2004-09-05,1065,دروز,ROZD
1383-07-01,2004-09-22,1011,دروز,ROZD
1383-07-04,2004-09-25,1011,دروز,ROZD
1383-07-13,2004-10-04,1011,دروز,ROZD
1383-08-02,2004-10-23,1011,دروز,ROZD
1383-08-05,2004-10-26,1011,دروز,ROZD
1383-08-12,2004-11-02,1011,دروز,ROZD
1383-09-03,2004-11-23,1011,دروز,ROZD
1383-09-11,2004-12-01,1011,دروز,ROZD
1383-09-24,2004-12-14,1011,دروز,ROZD
1383-09-25,2004-12-15,1011,دروز,ROZD
1383-09-28,2004-12-18,1011,دروز,ROZD
1383-09-29,2004-12-19,1011,دروز,ROZD
1383-10-05,2004-12-25,1011,دروز,ROZD
1383-10-06,2004-12-26,1011,دروز,ROZD
1383-10-07,2004-12-27,1011,دروز,ROZD
1383-10-08,2004-12-28,1011,دروز,ROZD
1383-10-12,2005-01-01,1011,دروز,ROZD
1383-10-13,2005-01-02,1011,دروز,ROZD
1383-10-15,2005-01-04,1011,دروز,ROZD
1383-10-16,2005-01-05,1011,دروز,ROZD
1383-10-26,2005-01-15,1001,دروز,ROZD
1383-11-19,2005-02-07,1000,دروز,ROZD
1383-12-09,2005-02-27,962,دروز,ROZD
1384-01-07,2005-03-27,914,دروز,ROZD
1384-01-15,2005-04-04,919,دروز,ROZD
1384-01-21,2005-04-10,919,دروز,ROZD
1384-01-31,2005-04-20,919,دروز,ROZD
1384-02-07,2005-04-27,926,دروز,ROZD
1384-02-11,2005-05-01,939,دروز,ROZD
1384-02-17,2005-05-07,939,دروز,ROZD
1384-02-20,2005-05-10,939,دروز,ROZD
1384-02-24,2005-05-14,939,دروز,ROZD
1384-02-31,2005-05-21,939,دروز,ROZD
1384-03-02,2005-05-23,939,دروز,ROZD
1384-03-04,2005-05-25,944,دروز,ROZD
1384-03-24,2005-06-14,944,دروز,ROZD
1384-03-25,2005-06-15,947,دروز,ROZD
1384-04-01,2005-06-22,950,دروز,ROZD
1384-04-06,2005-06-27,955,دروز,ROZD
1384-05-01,2005-07-23,932,دروز,ROZD
1384-06-07,2005-08-29,886,دروز,ROZD
1384-06-16,2005-09-07,885,دروز,ROZD
1384-06-27,2005-09-18,885,دروز,ROZD
1384-07-09,2005-10-01,882,دروز,ROZD
1384-07-24,2005-10-16,881,دروز,ROZD
1384-07-25,2005-10-17,879,دروز,ROZD
1384-07-30,2005-10-22,879,دروز,ROZD
1384-08-02,2005-10-24,879,دروز,ROZD
1384-08-04,2005-10-26,879,دروز,ROZD
1384-08-17,2005-11-08,879,دروز,ROZD
1384-10-04,2005-12-25,866,دروز,ROZD
1384-10-05,2005-12-26,857,دروز,ROZD
1384-10-06,2005-12-27,846,دروز,ROZD
1384-10-07,2005-12-28,834,دروز,ROZD
1384-10-11,2006-01-01,822,دروز,ROZD
1384-10-12,2006-01-02,817,دروز,ROZD
1384-10-13,2006-01-03,818,دروز,ROZD
1384-10-14,2006-01-04,818,دروز,ROZD
1384-10-27,2006-01-17,818,دروز,ROZD
1384-11-01,2006-01-21,818,دروز,ROZD
1384-12-21,2006-03-12,823,دروز,ROZD
1384-12-27,2006-03-18,882,دروز,ROZD
1385-01-07,2006-03-27,882,دروز,ROZD
1385-01-14,2006-04-03,882,دروز,ROZD
1385-01-15,2006-04-04,882,دروز,ROZD
1385-01-19,2006-04-08,882,دروز,ROZD
1385-01-22,2006-04-11,882,دروز,ROZD
1385-02-10,2006-04-30,881,دروز,ROZD
1385-02-11,2006-05-01,880,دروز,ROZD
1385-02-12,2006-05-02,880,دروز,ROZD
1385-02-13,2006-05-03,880,دروز,ROZD
1385-02-20,2006-05-10,879,دروز,ROZD
1385-03-10,2006-05-31,881,دروز,ROZD
1385-03-22,2006-06-12,877,دروز,ROZD
1385-04-03,2006-06-24,869,دروز,ROZD
1385-05-04,2006-07-26,870,دروز,ROZD
1385-05-16,2006-08-07,870,دروز,ROZD
1385-06-07,2006-08-29,870,دروز,ROZD
1385-06-11,2006-09-02,870,دروز,ROZD
1385-06-15,2006-09-06,870,دروز,ROZD
1385-06-19,2006-09-10,869,دروز,ROZD
1385-06-26,2006-09-17,869,دروز,ROZD
1385-07-12,2006-10-04,869,دروز,ROZD
1385-07-16,2006-10-08,871,دروز,ROZD
1385-07-24,2006-10-16,871,دروز,ROZD
1385-07-26,2006-10-18,871,دروز,ROZD
1385-07-29,2006-10-21,871,دروز,ROZD
1385-08-01,2006-10-23,880,دروز,ROZD
1385-08-10,2006-11-01,888,دروز,ROZD
1385-08-14,2006-11-05,888,دروز,ROZD
1385-08-16,2006-11-07,889,دروز,ROZD
1385-08-17,2006-11-08,889,دروز,ROZD
1385-08-20,2006-11-11,890,دروز,ROZD
1385-09-22,2006-12-13,898,دروز,ROZD
1385-09-25,2006-12-16,901,دروز,ROZD
1385-09-27,2006-12-18,901,دروز,ROZD
1385-09-28,2006-12-19,911,دروز,ROZD
1385-09-29,2006-12-20,911,دروز,ROZD
1385-10-05,2006-12-26,911,دروز,ROZD
1385-10-19,2007-01-09,912,دروز,ROZD
1385-10-20,2007-01-10,912,دروز,ROZD
1385-11-04,2007-01-24,756,دروز,ROZD
1385-11-07,2007-01-27,756,دروز,ROZD
1385-11-18,2007-02-07,756,دروز,ROZD
1385-11-23,2007-02-12,757,دروز,ROZD
1385-12-07,2007-02-26,757,دروز,ROZD
1385-12-14,2007-03-05,757,دروز,ROZD
1385-12-15,2007-03-06,757,دروز,ROZD
1385-12-16,2007-03-07,757,دروز,ROZD
1385-12-22,2007-03-13,757,دروز,ROZD
1386-01-08,2007-03-28,757,دروز,ROZD
1386-01-22,2007-04-11,757,دروز,ROZD
1386-01-28,2007-04-17,757,دروز,ROZD
1386-02-02,2007-04-22,757,دروز,ROZD
1386-02-08,2007-04-28,757,دروز,ROZD
1386-02-09,2007-04-29,757,دروز,ROZD
1386-02-11,2007-05-01,757,دروز,ROZD
1386-02-16,2007-05-06,757,دروز,ROZD
1386-02-17,2007-05-07,757,دروز,ROZD
1386-02-25,2007-05-15,756,دروز,ROZD
1386-02-29,2007-05-19,756,دروز,ROZD
1386-03-02,2007-05-23,756,دروز,ROZD
1386-03-05,2007-05-26,754,دروز,ROZD
1386-03-06,2007-05-27,750,دروز,ROZD
1386-03-07,2007-05-28,750,دروز,ROZD
1386-03-19,2007-06-09,748,دروز,ROZD
1386-03-20,2007-06-10,747,دروز,ROZD
1386-03-21,2007-06-11,746,دروز,ROZD
1386-03-26,2007-06-16,749,دروز,ROZD
1386-04-02,2007-06-23,752,دروز,ROZD
1386-04-09,2007-06-30,748,دروز,ROZD
1386-04-17,2007-07-08,749,دروز,ROZD
1386-04-18,2007-07-09,749,دروز,ROZD
1386-04-19,2007-07-10,749,دروز,ROZD
1386-04-25,2007-07-16,746,دروز,ROZD
1386-04-30,2007-07-21,746,دروز,ROZD
1386-05-03,2007-07-25,743,دروز,ROZD
1386-05-08,2007-07-30,742,دروز,ROZD
1386-05-09,2007-07-31,741,دروز,ROZD
1386-05-27,2007-08-18,741,دروز,ROZD
1386-05-28,2007-08-19,741,دروز,ROZD
1386-05-30,2007-08-21,741,دروز,ROZD
1386-06-06,2007-08-28,726,دروز,ROZD
1386-06-10,2007-09-01,714,دروز,ROZD
1386-07-02,2007-09-24,700,دروز,ROZD
1386-07-03,2007-09-25,686,دروز,ROZD
1386-07-04,2007-09-26,672,دروز,ROZD
1386-07-07,2007-09-29,659,دروز,ROZD
1386-07-08,2007-09-30,646,دروز,ROZD
1386-07-09,2007-10-01,633,دروز,ROZD
1386-07-10,2007-10-02,633,دروز,ROZD
1386-07-15,2007-10-07,620,دروز,ROZD
1386-07-17,2007-10-09,608,دروز,ROZD
1386-07-22,2007-10-14,596,دروز,ROZD
1386-08-08,2007-10-30,607,دروز,ROZD
1386-08-14,2007-11-05,606,دروز,ROZD
1386-08-21,2007-11-12,606,دروز,ROZD
1386-08-28,2007-11-19,606,دروز,ROZD
1386-08-30,2007-11-21,606,دروز,ROZD
1386-09-03,2007-11-24,606,دروز,ROZD
1386-09-06,2007-11-27,606,دروز,ROZD
1386-09-12,2007-12-03,606,دروز,ROZD
1386-09-13,2007-12-04,594,دروز,ROZD
1386-09-17,2007-12-08,602,دروز,ROZD
1386-09-18,2007-12-09,614,دروز,ROZD
1386-09-19,2007-12-10,614,دروز,ROZD
1386-09-21,2007-12-12,613,دروز,ROZD
1386-09-27,2007-12-18,613,دروز,ROZD
1386-09-28,2007-12-19,613,دروز,ROZD
1386-10-02,2007-12-23,613,دروز,ROZD
1386-10-04,2007-12-25,613,دروز,ROZD
1386-10-05,2007-12-26,613,دروز,ROZD
1386-10-11,2008-01-01,613,دروز,ROZD
1386-10-18,2008-01-08,613,دروز,ROZD
1386-10-26,2008-01-16,618,دروز,ROZD
1386-10-30,2008-01-20,618,دروز,ROZD
1386-11-02,2008-01-22,618,دروز,ROZD
1386-11-09,2008-01-29,618,دروز,ROZD
1386-11-14,2008-02-03,620,دروز,ROZD
1386-11-15,2008-02-04,619,دروز,ROZD
1386-11-17,2008-02-06,619,دروز,ROZD
1386-11-23,2008-02-12,619,دروز,ROZD
1386-11-24,2008-02-13,619,دروز,ROZD
1386-11-28,2008-02-17,619,دروز,ROZD
1386-11-29,2008-02-18,619,دروز,ROZD
1386-12-05,2008-02-24,622,دروز,ROZD
1386-12-06,2008-02-25,623,دروز,ROZD
1386-12-11,2008-03-01,623,دروز,ROZD
1386-12-12,2008-03-02,623,دروز,ROZD
1386-12-22,2008-03-12,635,دروز,ROZD
1386-12-27,2008-03-17,635,دروز,ROZD
1386-12-28,2008-03-18,636,دروز,ROZD
1387-01-18,2008-04-06,637,دروز,ROZD
1387-01-24,2008-04-12,638,دروز,ROZD
1387-01-25,2008-04-13,642,دروز,ROZD
1387-01-26,2008-04-14,644,دروز,ROZD
1387-02-03,2008-04-22,646,دروز,ROZD
1387-02-09,2008-04-28,655,دروز,ROZD
1387-02-10,2008-04-29,668,دروز,ROZD
1387-02-11,2008-04-30,664,دروز,ROZD
1387-02-15,2008-05-04,665,دروز,ROZD
1387-02-25,2008-05-14,664,دروز,ROZD
1387-02-28,2008-05-17,664,دروز,ROZD
1387-03-04,2008-05-24,664,دروز,ROZD
1387-03-05,2008-05-25,670,دروز,ROZD
1387-03-07,2008-05-27,669,دروز,ROZD
1387-03-29,2008-06-18,669,دروز,ROZD
1387-04-17,2008-07-07,669,دروز,ROZD
1387-04-18,2008-07-08,672,دروز,ROZD
1387-05-02,2008-07-23,672,دروز,ROZD
1387-05-15,2008-08-05,672,دروز,ROZD
1387-05-21,2008-08-11,672,دروز,ROZD
1387-05-29,2008-08-19,672,دروز,ROZD
1387-06-16,2008-09-06,671,دروز,ROZD
1387-06-17,2008-09-07,670,دروز,ROZD
1387-06-23,2008-09-13,670,دروز,ROZD
1387-06-26,2008-09-16,670,دروز,ROZD
1387-06-27,2008-09-17,669,دروز,ROZD
1387-06-30,2008-09-20,668,دروز,ROZD
1387-08-18,2008-11-08,668,دروز,ROZD
1387-08-19,2008-11-09,667,دروز,ROZD
1387-08-21,2008-11-11,667,دروز,ROZD
1387-08-27,2008-11-17,667,دروز,ROZD
1387-08-28,2008-11-18,666,دروز,ROZD
1387-09-16,2008-12-06,646,دروز,ROZD
1387-10-01,2008-12-21,639,دروز,ROZD
1387-10-02,2008-12-22,639,دروز,ROZD
1387-10-08,2008-12-28,626,دروز,ROZD
1387-10-14,2009-01-03,626,دروز,ROZD
1387-10-16,2009-01-05,626,دروز,ROZD
1387-11-01,2009-01-20,607,دروز,ROZD
1387-11-02,2009-01-21,607,دروز,ROZD
1387-11-07,2009-01-26,589,دروز,ROZD
1387-11-12,2009-01-31,625,دروز,ROZD
1387-11-15,2009-02-03,616,دروز,ROZD
1387-12-13,2009-03-03,616,دروز,ROZD
1388-01-16,2009-04-05,378,دروز,ROZD
1388-02-06,2009-04-26,567,دروز,ROZD
1388-02-08,2009-04-28,567,دروز,ROZD
1388-02-09,2009-04-29,550,دروز,ROZD
1388-02-15,2009-05-05,542,دروز,ROZD
1388-02-30,2009-05-20,558,دروز,ROZD
