J-Date,Date,Adj Close,Ticker,Ticker(4)
1396-07-01,2017-09-23,1729,ریشمک,RPEZ
1396-07-02,2017-09-24,1815,ریشمک,RPEZ
1396-07-03,2017-09-25,1906,ریشمک,RPEZ
1396-07-04,2017-09-26,2001,ریشمک,RPEZ
1396-07-05,2017-09-27,2101,ریشمک,RPEZ
1396-07-10,2017-10-02,2206,ریشمک,RPEZ
1396-07-11,2017-10-03,2317,ریشمک,RPEZ
1396-07-12,2017-10-04,2432,ریشمک,RPEZ
1396-07-15,2017-10-07,2676,ریشمک,RPEZ
1396-07-16,2017-10-08,2646,ریشمک,RPEZ
1396-07-17,2017-10-09,2658,ریشمک,RPEZ
1396-07-18,2017-10-10,2786,ریشمک,RPEZ
1396-07-19,2017-10-11,2894,ریشمک,RPEZ
1396-07-22,2017-10-14,2905,ریشمک,RPEZ
1396-07-23,2017-10-15,2831,ریشمک,RPEZ
1396-07-24,2017-10-16,2771,ریشمک,RPEZ
1396-07-25,2017-10-17,2796,ریشمک,RPEZ
1396-07-26,2017-10-18,2850,ریشمک,RPEZ
1396-07-29,2017-10-21,2918,ریشمک,RPEZ
1396-07-30,2017-10-22,2899,ریشمک,RPEZ
1396-08-01,2017-10-23,2836,ریشمک,RPEZ
1396-08-02,2017-10-24,2802,ریشمک,RPEZ
1396-08-03,2017-10-25,2825,ریشمک,RPEZ
1396-08-06,2017-10-28,2863,ریشمک,RPEZ
1396-08-07,2017-10-29,2910,ریشمک,RPEZ
1396-08-08,2017-10-30,2899,ریشمک,RPEZ
1396-08-09,2017-10-31,2918,ریشمک,RPEZ
1396-08-10,2017-11-01,2891,ریشمک,RPEZ
1396-08-13,2017-11-04,2868,ریشمک,RPEZ
1396-08-14,2017-11-05,2850,ریشمک,RPEZ
1396-08-15,2017-11-06,2852,ریشمک,RPEZ
1396-08-16,2017-11-07,2832,ریشمک,RPEZ
1396-08-17,2017-11-08,2840,ریشمک,RPEZ
1396-08-20,2017-11-11,2835,ریشمک,RPEZ
1396-08-21,2017-11-12,2859,ریشمک,RPEZ
1396-08-22,2017-11-13,2886,ریشمک,RPEZ
1396-08-23,2017-11-14,2866,ریشمک,RPEZ
1396-08-24,2017-11-15,2896,ریشمک,RPEZ
1396-08-27,2017-11-18,2885,ریشمک,RPEZ
1396-08-29,2017-11-20,2889,ریشمک,RPEZ
1396-08-30,2017-11-21,2879,ریشمک,RPEZ
1396-09-01,2017-11-22,2881,ریشمک,RPEZ
1396-09-04,2017-11-25,2848,ریشمک,RPEZ
1396-09-05,2017-11-26,2855,ریشمک,RPEZ
1396-09-07,2017-11-28,2784,ریشمک,RPEZ
1396-09-08,2017-11-29,2750,ریشمک,RPEZ
1396-09-11,2017-12-02,2734,ریشمک,RPEZ
1396-09-12,2017-12-03,2810,ریشمک,RPEZ
1396-09-13,2017-12-04,2784,ریشمک,RPEZ
1396-09-14,2017-12-05,2773,ریشمک,RPEZ
1396-09-18,2017-12-09,2853,ریشمک,RPEZ
1396-09-19,2017-12-10,2859,ریشمک,RPEZ
1396-09-20,2017-12-11,2796,ریشمک,RPEZ
1396-09-21,2017-12-12,2861,ریشمک,RPEZ
1396-09-22,2017-12-13,2833,ریشمک,RPEZ
1396-09-25,2017-12-16,2822,ریشمک,RPEZ
1396-09-26,2017-12-17,2860,ریشمک,RPEZ
1396-09-27,2017-12-18,3121,ریشمک,RPEZ
1396-09-28,2017-12-19,3298,ریشمک,RPEZ
1396-09-29,2017-12-20,3243,ریشمک,RPEZ
1396-10-02,2017-12-23,3233,ریشمک,RPEZ
1396-10-03,2017-12-24,3207,ریشمک,RPEZ
1396-10-04,2017-12-25,3161,ریشمک,RPEZ
1396-10-05,2017-12-26,3138,ریشمک,RPEZ
1396-10-06,2017-12-27,3136,ریشمک,RPEZ
1396-10-09,2017-12-30,3117,ریشمک,RPEZ
1396-10-10,2017-12-31,2989,ریشمک,RPEZ
1396-10-11,2018-01-01,3040,ریشمک,RPEZ
1396-10-12,2018-01-02,3022,ریشمک,RPEZ
1396-10-13,2018-01-03,2986,ریشمک,RPEZ
1396-10-16,2018-01-06,3117,ریشمک,RPEZ
1396-10-17,2018-01-07,3127,ریشمک,RPEZ
1396-10-18,2018-01-08,3140,ریشمک,RPEZ
1396-10-19,2018-01-09,3156,ریشمک,RPEZ
1396-10-20,2018-01-10,3181,ریشمک,RPEZ
1396-10-23,2018-01-13,3217,ریشمک,RPEZ
1396-10-24,2018-01-14,3237,ریشمک,RPEZ
1396-10-25,2018-01-15,3245,ریشمک,RPEZ
1396-10-26,2018-01-16,3243,ریشمک,RPEZ
1396-10-27,2018-01-17,3258,ریشمک,RPEZ
1396-10-30,2018-01-20,3296,ریشمک,RPEZ
1396-11-01,2018-01-21,3431,ریشمک,RPEZ
1396-11-02,2018-01-22,3476,ریشمک,RPEZ
1396-11-03,2018-01-23,3668,ریشمک,RPEZ
1396-11-04,2018-01-24,3635,ریشمک,RPEZ
1396-11-07,2018-01-27,3492,ریشمک,RPEZ
1396-11-08,2018-01-28,3528,ریشمک,RPEZ
1396-11-09,2018-01-29,3458,ریشمک,RPEZ
1396-11-10,2018-01-30,3389,ریشمک,RPEZ
1396-11-11,2018-01-31,3451,ریشمک,RPEZ
1396-11-14,2018-02-03,3443,ریشمک,RPEZ
1396-11-15,2018-02-04,3592,ریشمک,RPEZ
1396-11-16,2018-02-05,3603,ریشمک,RPEZ
1396-11-17,2018-02-06,3538,ریشمک,RPEZ
1396-11-18,2018-02-07,3505,ریشمک,RPEZ
1396-11-21,2018-02-10,3512,ریشمک,RPEZ
1396-11-23,2018-02-12,3481,ریشمک,RPEZ
1396-11-24,2018-02-13,3541,ریشمک,RPEZ
1396-11-25,2018-02-14,3550,ریشمک,RPEZ
1396-11-28,2018-02-17,3457,ریشمک,RPEZ
1396-11-29,2018-02-18,3438,ریشمک,RPEZ
1396-11-30,2018-02-19,3464,ریشمک,RPEZ
1396-12-02,2018-02-21,3388,ریشمک,RPEZ
1396-12-05,2018-02-24,3369,ریشمک,RPEZ
