J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-10-22,2017-01-11,799,حسیر,RSKZ
1395-10-25,2017-01-14,839,حسیر,RSKZ
1395-10-26,2017-01-15,880,حسیر,RSKZ
1395-10-27,2017-01-16,924,حسیر,RSKZ
1395-10-28,2017-01-17,970,حسیر,RSKZ
1395-10-29,2017-01-18,1018,حسیر,RSKZ
1395-11-02,2017-01-21,986,حسیر,RSKZ
1395-11-03,2017-01-22,1055,حسیر,RSKZ
1395-11-04,2017-01-23,1076,حسیر,RSKZ
1395-11-05,2017-01-24,1042,حسیر,RSKZ
1395-11-06,2017-01-25,1048,حسیر,RSKZ
1395-11-09,2017-01-28,1052,حسیر,RSKZ
1395-11-10,2017-01-29,1047,حسیر,RSKZ
1395-11-11,2017-01-30,1016,حسیر,RSKZ
1395-11-12,2017-01-31,990,حسیر,RSKZ
1395-11-13,2017-02-01,1005,حسیر,RSKZ
1395-11-16,2017-02-04,954,حسیر,RSKZ
1395-11-17,2017-02-05,944,حسیر,RSKZ
1395-11-18,2017-02-06,952,حسیر,RSKZ
1395-11-19,2017-02-07,956,حسیر,RSKZ
1395-11-20,2017-02-08,1004,حسیر,RSKZ
1395-11-23,2017-02-11,1048,حسیر,RSKZ
1395-11-24,2017-02-12,1089,حسیر,RSKZ
1395-11-25,2017-02-13,1140,حسیر,RSKZ
1395-11-26,2017-02-14,1100,حسیر,RSKZ
1395-11-27,2017-02-15,1186,حسیر,RSKZ
1395-11-30,2017-02-18,1189,حسیر,RSKZ
1395-12-01,2017-02-19,1200,حسیر,RSKZ
1395-12-02,2017-02-20,1223,حسیر,RSKZ
1395-12-03,2017-02-21,1244,حسیر,RSKZ
1395-12-04,2017-02-22,1220,حسیر,RSKZ
1395-12-07,2017-02-25,1219,حسیر,RSKZ
1395-12-08,2017-02-26,1261,حسیر,RSKZ
1395-12-09,2017-02-27,1222,حسیر,RSKZ
1395-12-10,2017-02-28,1227,حسیر,RSKZ
1395-12-11,2017-03-01,1200,حسیر,RSKZ
1395-12-14,2017-03-04,1173,حسیر,RSKZ
1395-12-15,2017-03-05,1196,حسیر,RSKZ
1395-12-16,2017-03-06,1181,حسیر,RSKZ
1395-12-17,2017-03-07,1185,حسیر,RSKZ
1395-12-18,2017-03-08,1199,حسیر,RSKZ
1395-12-21,2017-03-11,1193,حسیر,RSKZ
1395-12-22,2017-03-12,1199,حسیر,RSKZ
1395-12-23,2017-03-13,1204,حسیر,RSKZ
1395-12-24,2017-03-14,1178,حسیر,RSKZ
1395-12-25,2017-03-15,1204,حسیر,RSKZ
1395-12-28,2017-03-18,1221,حسیر,RSKZ
1396-01-05,2017-03-25,1195,حسیر,RSKZ
1396-01-06,2017-03-26,1176,حسیر,RSKZ
1396-01-07,2017-03-27,1170,حسیر,RSKZ
1396-01-08,2017-03-28,1159,حسیر,RSKZ
1396-01-09,2017-03-29,1166,حسیر,RSKZ
1396-01-14,2017-04-03,1173,حسیر,RSKZ
1396-01-15,2017-04-04,1174,حسیر,RSKZ
1396-01-16,2017-04-05,1185,حسیر,RSKZ
1396-01-19,2017-04-08,1244,حسیر,RSKZ
1396-01-20,2017-04-09,1303,حسیر,RSKZ
1396-01-21,2017-04-10,1319,حسیر,RSKZ
1396-01-23,2017-04-12,1314,حسیر,RSKZ
1396-01-26,2017-04-15,1326,حسیر,RSKZ
1396-01-27,2017-04-16,1317,حسیر,RSKZ
1396-01-28,2017-04-17,1285,حسیر,RSKZ
1396-01-29,2017-04-18,1272,حسیر,RSKZ
1396-01-30,2017-04-19,1277,حسیر,RSKZ
1396-02-02,2017-04-22,1302,حسیر,RSKZ
1396-02-03,2017-04-23,1271,حسیر,RSKZ
1396-02-04,2017-04-24,1254,حسیر,RSKZ
1396-02-06,2017-04-26,1265,حسیر,RSKZ
1396-02-09,2017-04-29,1292,حسیر,RSKZ
1396-02-10,2017-04-30,1290,حسیر,RSKZ
1396-02-11,2017-05-01,1265,حسیر,RSKZ
1396-02-12,2017-05-02,1299,حسیر,RSKZ
1396-02-13,2017-05-03,1281,حسیر,RSKZ
1396-02-16,2017-05-06,1269,حسیر,RSKZ
1396-02-17,2017-05-07,1281,حسیر,RSKZ
1396-02-18,2017-05-08,1273,حسیر,RSKZ
1396-02-19,2017-05-09,1273,حسیر,RSKZ
1396-02-20,2017-05-10,1295,حسیر,RSKZ
1396-02-23,2017-05-13,1274,حسیر,RSKZ
1396-02-24,2017-05-14,1265,حسیر,RSKZ
1396-02-25,2017-05-15,1265,حسیر,RSKZ
1396-02-26,2017-05-16,1269,حسیر,RSKZ
1396-02-27,2017-05-17,1265,حسیر,RSKZ
1396-02-30,2017-05-20,1298,حسیر,RSKZ
1396-02-31,2017-05-21,1272,حسیر,RSKZ
1396-03-01,2017-05-22,1278,حسیر,RSKZ
1396-03-02,2017-05-23,1264,حسیر,RSKZ
1396-03-03,2017-05-24,1265,حسیر,RSKZ
1396-03-06,2017-05-27,1265,حسیر,RSKZ
1396-03-07,2017-05-28,1266,حسیر,RSKZ
1396-03-08,2017-05-29,1325,حسیر,RSKZ
1396-03-09,2017-05-30,1307,حسیر,RSKZ
1396-03-10,2017-05-31,1299,حسیر,RSKZ
1396-03-13,2017-06-03,1288,حسیر,RSKZ
1396-03-16,2017-06-06,1273,حسیر,RSKZ
1396-03-17,2017-06-07,1248,حسیر,RSKZ
1396-03-20,2017-06-10,1235,حسیر,RSKZ
1396-03-21,2017-06-11,1223,حسیر,RSKZ
1396-03-22,2017-06-12,1240,حسیر,RSKZ
1396-03-23,2017-06-13,1235,حسیر,RSKZ
1396-03-24,2017-06-14,1219,حسیر,RSKZ
1396-03-27,2017-06-17,1166,حسیر,RSKZ
1396-03-28,2017-06-18,1131,حسیر,RSKZ
1396-03-29,2017-06-19,1136,حسیر,RSKZ
1396-03-30,2017-06-20,1158,حسیر,RSKZ
1396-03-31,2017-06-21,1157,حسیر,RSKZ
1396-04-03,2017-06-24,1196,حسیر,RSKZ
1396-04-04,2017-06-25,1220,حسیر,RSKZ
1396-04-07,2017-06-28,1212,حسیر,RSKZ
1396-04-10,2017-07-01,1208,حسیر,RSKZ
1396-04-11,2017-07-02,1221,حسیر,RSKZ
1396-04-12,2017-07-03,1280,حسیر,RSKZ
1396-04-13,2017-07-04,1344,حسیر,RSKZ
1396-04-14,2017-07-05,1411,حسیر,RSKZ
1396-04-17,2017-07-08,1481,حسیر,RSKZ
1396-04-18,2017-07-09,1513,حسیر,RSKZ
1396-04-19,2017-07-10,1464,حسیر,RSKZ
1396-04-20,2017-07-11,1554,حسیر,RSKZ
1396-04-21,2017-07-12,1510,حسیر,RSKZ
1396-04-24,2017-07-15,1463,حسیر,RSKZ
1396-04-25,2017-07-16,1434,حسیر,RSKZ
1396-04-26,2017-07-17,1418,حسیر,RSKZ
1396-05-21,2017-08-12,1230,حسیر,RSKZ
1396-05-22,2017-08-13,1204,حسیر,RSKZ
1396-05-23,2017-08-14,1210,حسیر,RSKZ
1396-05-24,2017-08-15,1179,حسیر,RSKZ
1396-05-25,2017-08-16,1183,حسیر,RSKZ
1396-05-28,2017-08-19,1200,حسیر,RSKZ
1396-05-29,2017-08-20,1229,حسیر,RSKZ
1396-05-30,2017-08-21,1190,حسیر,RSKZ
1396-05-31,2017-08-22,1180,حسیر,RSKZ
1396-06-01,2017-08-23,1179,حسیر,RSKZ
1396-06-04,2017-08-26,1152,حسیر,RSKZ
1396-06-05,2017-08-27,1152,حسیر,RSKZ
1396-06-06,2017-08-28,1170,حسیر,RSKZ
1396-06-07,2017-08-29,1152,حسیر,RSKZ
1396-06-08,2017-08-30,1141,حسیر,RSKZ
1396-06-11,2017-09-02,1114,حسیر,RSKZ
1396-06-12,2017-09-03,1114,حسیر,RSKZ
1396-06-13,2017-09-04,1125,حسیر,RSKZ
1396-06-14,2017-09-05,1132,حسیر,RSKZ
1396-06-15,2017-09-06,1142,حسیر,RSKZ
1396-06-19,2017-09-10,1151,حسیر,RSKZ
1396-06-20,2017-09-11,1133,حسیر,RSKZ
1396-06-21,2017-09-12,1132,حسیر,RSKZ
1396-06-22,2017-09-13,1128,حسیر,RSKZ
1396-06-25,2017-09-16,1133,حسیر,RSKZ
1396-06-26,2017-09-17,1136,حسیر,RSKZ
1396-06-27,2017-09-18,1148,حسیر,RSKZ
1396-06-28,2017-09-19,1152,حسیر,RSKZ
1396-06-29,2017-09-20,1156,حسیر,RSKZ
1396-07-01,2017-09-23,1133,حسیر,RSKZ
1396-07-02,2017-09-24,1144,حسیر,RSKZ
1396-07-03,2017-09-25,1190,حسیر,RSKZ
1396-07-04,2017-09-26,1187,حسیر,RSKZ
1396-07-05,2017-09-27,1212,حسیر,RSKZ
1396-07-10,2017-10-02,1163,حسیر,RSKZ
1396-07-11,2017-10-03,1144,حسیر,RSKZ
1396-07-12,2017-10-04,1164,حسیر,RSKZ
1396-07-15,2017-10-07,1114,حسیر,RSKZ
1396-07-16,2017-10-08,1077,حسیر,RSKZ
1396-07-17,2017-10-09,1100,حسیر,RSKZ
1396-07-18,2017-10-10,1112,حسیر,RSKZ
1396-07-19,2017-10-11,1106,حسیر,RSKZ
1396-07-22,2017-10-14,1114,حسیر,RSKZ
1396-07-23,2017-10-15,1129,حسیر,RSKZ
1396-07-24,2017-10-16,1124,حسیر,RSKZ
1396-07-25,2017-10-17,1102,حسیر,RSKZ
1396-07-26,2017-10-18,1113,حسیر,RSKZ
1396-07-29,2017-10-21,1106,حسیر,RSKZ
1396-07-30,2017-10-22,1087,حسیر,RSKZ
1396-08-01,2017-10-23,1094,حسیر,RSKZ
1396-08-02,2017-10-24,1075,حسیر,RSKZ
1396-08-03,2017-10-25,1098,حسیر,RSKZ
1396-08-06,2017-10-28,1111,حسیر,RSKZ
1396-08-07,2017-10-29,1132,حسیر,RSKZ
1396-08-08,2017-10-30,1135,حسیر,RSKZ
1396-08-09,2017-10-31,1163,حسیر,RSKZ
1396-08-10,2017-11-01,1181,حسیر,RSKZ
1396-08-13,2017-11-04,1148,حسیر,RSKZ
1396-08-14,2017-11-05,1131,حسیر,RSKZ
1396-08-15,2017-11-06,1129,حسیر,RSKZ
1396-08-16,2017-11-07,1117,حسیر,RSKZ
1396-08-17,2017-11-08,1114,حسیر,RSKZ
1396-08-20,2017-11-11,1098,حسیر,RSKZ
1396-08-21,2017-11-12,1103,حسیر,RSKZ
1396-08-22,2017-11-13,1100,حسیر,RSKZ
1396-08-23,2017-11-14,1114,حسیر,RSKZ
1396-08-24,2017-11-15,1111,حسیر,RSKZ
1396-08-27,2017-11-18,1100,حسیر,RSKZ
1396-08-29,2017-11-20,1131,حسیر,RSKZ
1396-08-30,2017-11-21,1102,حسیر,RSKZ
1396-09-01,2017-11-22,1096,حسیر,RSKZ
1396-09-04,2017-11-25,1104,حسیر,RSKZ
1396-09-05,2017-11-26,1111,حسیر,RSKZ
1396-09-07,2017-11-28,1128,حسیر,RSKZ
1396-09-08,2017-11-29,1129,حسیر,RSKZ
1396-09-11,2017-12-02,1122,حسیر,RSKZ
1396-09-12,2017-12-03,1118,حسیر,RSKZ
1396-09-13,2017-12-04,1125,حسیر,RSKZ
1396-09-14,2017-12-05,1113,حسیر,RSKZ
1396-09-18,2017-12-09,1108,حسیر,RSKZ
1396-09-19,2017-12-10,1106,حسیر,RSKZ
1396-09-20,2017-12-11,1076,حسیر,RSKZ
1396-09-21,2017-12-12,1076,حسیر,RSKZ
1396-09-22,2017-12-13,1075,حسیر,RSKZ
1396-09-25,2017-12-16,1075,حسیر,RSKZ
1396-09-26,2017-12-17,1101,حسیر,RSKZ
1396-09-27,2017-12-18,1091,حسیر,RSKZ
1396-09-28,2017-12-19,1110,حسیر,RSKZ
1396-09-29,2017-12-20,1087,حسیر,RSKZ
1396-10-02,2017-12-23,1141,حسیر,RSKZ
1396-10-03,2017-12-24,1114,حسیر,RSKZ
1396-10-04,2017-12-25,1179,حسیر,RSKZ
1396-10-05,2017-12-26,1164,حسیر,RSKZ
1396-10-06,2017-12-27,1152,حسیر,RSKZ
1396-10-09,2017-12-30,1100,حسیر,RSKZ
1396-10-10,2017-12-31,1094,حسیر,RSKZ
1396-10-11,2018-01-01,1072,حسیر,RSKZ
1396-10-12,2018-01-02,1048,حسیر,RSKZ
1396-10-13,2018-01-03,1002,حسیر,RSKZ
1396-10-16,2018-01-06,1052,حسیر,RSKZ
1396-10-17,2018-01-07,1056,حسیر,RSKZ
1396-10-18,2018-01-08,1069,حسیر,RSKZ
1396-10-19,2018-01-09,1068,حسیر,RSKZ
1396-10-20,2018-01-10,1114,حسیر,RSKZ
1396-10-23,2018-01-13,1083,حسیر,RSKZ
1396-10-24,2018-01-14,1064,حسیر,RSKZ
1396-10-25,2018-01-15,1046,حسیر,RSKZ
1396-10-26,2018-01-16,1037,حسیر,RSKZ
1396-10-27,2018-01-17,1047,حسیر,RSKZ
1396-10-30,2018-01-20,1035,حسیر,RSKZ
1396-11-01,2018-01-21,1018,حسیر,RSKZ
1396-11-02,2018-01-22,1039,حسیر,RSKZ
1396-11-03,2018-01-23,1030,حسیر,RSKZ
1396-11-04,2018-01-24,1025,حسیر,RSKZ
1396-11-07,2018-01-27,1006,حسیر,RSKZ
1396-11-08,2018-01-28,999,حسیر,RSKZ
1396-11-09,2018-01-29,991,حسیر,RSKZ
1396-11-10,2018-01-30,996,حسیر,RSKZ
1396-11-11,2018-01-31,996,حسیر,RSKZ
1396-11-14,2018-02-03,1004,حسیر,RSKZ
1396-11-15,2018-02-04,998,حسیر,RSKZ
1396-11-16,2018-02-05,1011,حسیر,RSKZ
1396-11-17,2018-02-06,1016,حسیر,RSKZ
1396-11-18,2018-02-07,1056,حسیر,RSKZ
1396-11-21,2018-02-10,1043,حسیر,RSKZ
1396-11-23,2018-02-12,1021,حسیر,RSKZ
1396-11-24,2018-02-13,1041,حسیر,RSKZ
1396-11-25,2018-02-14,1043,حسیر,RSKZ
1396-11-28,2018-02-17,1033,حسیر,RSKZ
1396-11-29,2018-02-18,1004,حسیر,RSKZ
1396-11-30,2018-02-19,1021,حسیر,RSKZ
1396-12-02,2018-02-21,991,حسیر,RSKZ
1396-12-05,2018-02-24,971,حسیر,RSKZ
1396-12-06,2018-02-25,951,حسیر,RSKZ
1396-12-07,2018-02-26,962,حسیر,RSKZ
1396-12-08,2018-02-27,971,حسیر,RSKZ
1396-12-09,2018-02-28,959,حسیر,RSKZ
1396-12-12,2018-03-03,922,حسیر,RSKZ
1396-12-13,2018-03-04,922,حسیر,RSKZ
1396-12-14,2018-03-05,923,حسیر,RSKZ
1396-12-15,2018-03-06,921,حسیر,RSKZ
1396-12-16,2018-03-07,914,حسیر,RSKZ
1396-12-19,2018-03-10,918,حسیر,RSKZ
1396-12-20,2018-03-11,875,حسیر,RSKZ
1396-12-21,2018-03-12,885,حسیر,RSKZ
1396-12-22,2018-03-13,946,حسیر,RSKZ
1396-12-23,2018-03-14,953,حسیر,RSKZ
1396-12-26,2018-03-17,918,حسیر,RSKZ
