J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-03,2001-04-23,422,ختراک,RTIR
1380-02-11,2001-05-01,422,ختراک,RTIR
1380-02-12,2001-05-02,422,ختراک,RTIR
1380-02-15,2001-05-05,436,ختراک,RTIR
1380-02-17,2001-05-07,458,ختراک,RTIR
1380-02-18,2001-05-08,481,ختراک,RTIR
1380-02-19,2001-05-09,505,ختراک,RTIR
1380-02-22,2001-05-12,505,ختراک,RTIR
1380-02-23,2001-05-13,506,ختراک,RTIR
1380-02-30,2001-05-20,532,ختراک,RTIR
1380-02-31,2001-05-21,558,ختراک,RTIR
1380-03-08,2001-05-29,586,ختراک,RTIR
1380-03-09,2001-05-30,616,ختراک,RTIR
1380-03-12,2001-06-02,616,ختراک,RTIR
1380-03-19,2001-06-09,631,ختراک,RTIR
1380-03-22,2001-06-12,631,ختراک,RTIR
1380-03-28,2001-06-18,662,ختراک,RTIR
1380-04-02,2001-06-23,662,ختراک,RTIR
1380-04-05,2001-06-26,695,ختراک,RTIR
1380-04-12,2001-07-03,697,ختراک,RTIR
1380-04-16,2001-07-07,697,ختراک,RTIR
1380-04-17,2001-07-08,698,ختراک,RTIR
1380-04-20,2001-07-11,699,ختراک,RTIR
1380-10-02,2001-12-23,841,ختراک,RTIR
1380-10-16,2002-01-06,883,ختراک,RTIR
1380-10-18,2002-01-08,928,ختراک,RTIR
1380-10-23,2002-01-13,974,ختراک,RTIR
1380-10-24,2002-01-14,1023,ختراک,RTIR
1380-11-20,2002-02-09,1391,ختراک,RTIR
1380-12-07,2002-02-26,1391,ختراک,RTIR
1380-12-08,2002-02-27,1460,ختراک,RTIR
1380-12-11,2002-03-02,1533,ختراک,RTIR
1380-12-13,2002-03-04,1572,ختراک,RTIR
1380-12-14,2002-03-05,1572,ختراک,RTIR
1380-12-15,2002-03-06,1572,ختراک,RTIR
1380-12-18,2002-03-09,1532,ختراک,RTIR
1380-12-19,2002-03-10,1495,ختراک,RTIR
1380-12-20,2002-03-11,1532,ختراک,RTIR
1380-12-21,2002-03-12,1532,ختراک,RTIR
1380-12-22,2002-03-13,1532,ختراک,RTIR
1380-12-25,2002-03-16,1539,ختراک,RTIR
1380-12-26,2002-03-17,1539,ختراک,RTIR
1380-12-27,2002-03-18,1545,ختراک,RTIR
1380-12-28,2002-03-19,1584,ختراک,RTIR
1381-01-10,2002-03-30,1623,ختراک,RTIR
1381-01-18,2002-04-07,1664,ختراک,RTIR
1381-01-19,2002-04-08,1706,ختراک,RTIR
1381-01-27,2002-04-16,1748,ختراک,RTIR
1381-06-18,2002-09-09,2352,ختراک,RTIR
1381-06-19,2002-09-10,2352,ختراک,RTIR
1381-06-20,2002-09-11,2352,ختراک,RTIR
1381-06-23,2002-09-14,2352,ختراک,RTIR
1381-08-27,2002-11-18,349,ختراک,RTIR
1381-08-28,2002-11-19,359,ختراک,RTIR
1381-09-11,2002-12-02,377,ختراک,RTIR
