J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-06,2004-02-25,656,ساربیل,SADB
1382-12-09,2004-02-28,678,ساربیل,SADB
1382-12-13,2004-03-03,678,ساربیل,SADB
1382-12-16,2004-03-06,673,ساربیل,SADB
1382-12-17,2004-03-07,674,ساربیل,SADB
1382-12-18,2004-03-08,676,ساربیل,SADB
1382-12-19,2004-03-09,677,ساربیل,SADB
1382-12-20,2004-03-10,678,ساربیل,SADB
1382-12-23,2004-03-13,689,ساربیل,SADB
1382-12-24,2004-03-14,688,ساربیل,SADB
1382-12-25,2004-03-15,687,ساربیل,SADB
1382-12-26,2004-03-16,687,ساربیل,SADB
1382-12-27,2004-03-17,686,ساربیل,SADB
1383-01-09,2004-03-28,686,ساربیل,SADB
1383-01-11,2004-03-30,686,ساربیل,SADB
1383-01-15,2004-04-03,683,ساربیل,SADB
1383-01-16,2004-04-04,683,ساربیل,SADB
1383-01-17,2004-04-05,683,ساربیل,SADB
1383-01-18,2004-04-06,683,ساربیل,SADB
1383-01-19,2004-04-07,683,ساربیل,SADB
1383-01-22,2004-04-10,683,ساربیل,SADB
1383-01-24,2004-04-12,683,ساربیل,SADB
1383-01-25,2004-04-13,683,ساربیل,SADB
1383-01-26,2004-04-14,683,ساربیل,SADB
1383-01-29,2004-04-17,683,ساربیل,SADB
1383-01-30,2004-04-18,683,ساربیل,SADB
1383-02-02,2004-04-21,683,ساربیل,SADB
1383-02-05,2004-04-24,683,ساربیل,SADB
1383-02-06,2004-04-25,689,ساربیل,SADB
1383-02-07,2004-04-26,689,ساربیل,SADB
1383-02-08,2004-04-27,689,ساربیل,SADB
1383-02-09,2004-04-28,698,ساربیل,SADB
1383-02-12,2004-05-01,698,ساربیل,SADB
1383-02-13,2004-05-02,698,ساربیل,SADB
1383-02-19,2004-05-08,698,ساربیل,SADB
1383-02-27,2004-05-16,698,ساربیل,SADB
1383-04-09,2004-06-29,414,ساربیل,SADB
1383-04-14,2004-07-04,414,ساربیل,SADB
1383-04-15,2004-07-05,415,ساربیل,SADB
1383-04-16,2004-07-06,434,ساربیل,SADB
1383-04-17,2004-07-07,434,ساربیل,SADB
1383-04-20,2004-07-10,434,ساربیل,SADB
1383-04-23,2004-07-13,434,ساربیل,SADB
1383-04-29,2004-07-19,435,ساربیل,SADB
1383-05-07,2004-07-28,437,ساربیل,SADB
1383-05-13,2004-08-03,437,ساربیل,SADB
1383-05-17,2004-08-07,437,ساربیل,SADB
1383-05-18,2004-08-08,437,ساربیل,SADB
1383-05-20,2004-08-10,448,ساربیل,SADB
1383-05-24,2004-08-14,452,ساربیل,SADB
1383-05-25,2004-08-15,452,ساربیل,SADB
1383-05-27,2004-08-17,473,ساربیل,SADB
1383-05-28,2004-08-18,474,ساربیل,SADB
1383-06-02,2004-08-23,474,ساربیل,SADB
1383-06-07,2004-08-28,495,ساربیل,SADB
1383-06-10,2004-08-31,500,ساربیل,SADB
1383-06-21,2004-09-11,500,ساربیل,SADB
1383-06-29,2004-09-19,500,ساربیل,SADB
1383-07-01,2004-09-22,500,ساربیل,SADB
1383-07-05,2004-09-26,501,ساربیل,SADB
1383-07-06,2004-09-27,501,ساربیل,SADB
1383-07-07,2004-09-28,501,ساربیل,SADB
1383-07-11,2004-10-02,501,ساربیل,SADB
1383-07-12,2004-10-03,501,ساربیل,SADB
1383-07-13,2004-10-04,501,ساربیل,SADB
1383-07-14,2004-10-05,501,ساربیل,SADB
1383-07-18,2004-10-09,501,ساربیل,SADB
1383-07-21,2004-10-12,501,ساربیل,SADB
1383-07-25,2004-10-16,501,ساربیل,SADB
1383-07-26,2004-10-17,501,ساربیل,SADB
1383-07-28,2004-10-19,502,ساربیل,SADB
1383-08-03,2004-10-24,515,ساربیل,SADB
1383-08-09,2004-10-30,515,ساربیل,SADB
1383-08-11,2004-11-01,515,ساربیل,SADB
1383-08-18,2004-11-08,515,ساربیل,SADB
1383-08-20,2004-11-10,489,ساربیل,SADB
1383-08-26,2004-11-16,489,ساربیل,SADB
1383-09-04,2004-11-24,489,ساربیل,SADB
1383-09-08,2004-11-28,489,ساربیل,SADB
1383-09-09,2004-11-29,490,ساربیل,SADB
1383-09-16,2004-12-06,490,ساربیل,SADB
1383-09-21,2004-12-11,490,ساربیل,SADB
1383-09-22,2004-12-12,490,ساربیل,SADB
1383-09-25,2004-12-15,490,ساربیل,SADB
1383-09-29,2004-12-19,490,ساربیل,SADB
1383-09-30,2004-12-20,490,ساربیل,SADB
1383-10-02,2004-12-22,490,ساربیل,SADB
1383-10-07,2004-12-27,490,ساربیل,SADB
1383-10-09,2004-12-29,490,ساربیل,SADB
1383-10-13,2005-01-02,490,ساربیل,SADB
1383-10-14,2005-01-03,490,ساربیل,SADB
1383-10-19,2005-01-08,490,ساربیل,SADB
1383-10-20,2005-01-09,491,ساربیل,SADB
1383-11-04,2005-01-23,491,ساربیل,SADB
1383-11-14,2005-02-02,491,ساربیل,SADB
1383-11-17,2005-02-05,491,ساربیل,SADB
1383-11-18,2005-02-06,491,ساربیل,SADB
1383-11-19,2005-02-07,486,ساربیل,SADB
1383-11-25,2005-02-13,487,ساربیل,SADB
1383-11-27,2005-02-15,487,ساربیل,SADB
1383-11-28,2005-02-16,487,ساربیل,SADB
1383-12-16,2005-03-06,487,ساربیل,SADB
1384-01-24,2005-04-13,487,ساربیل,SADB
1384-01-30,2005-04-19,487,ساربیل,SADB
1384-04-04,2005-06-25,583,ساربیل,SADB
1384-04-07,2005-06-28,583,ساربیل,SADB
1384-04-08,2005-06-29,583,ساربیل,SADB
1384-04-11,2005-07-02,583,ساربیل,SADB
1384-04-12,2005-07-03,583,ساربیل,SADB
1384-04-13,2005-07-04,583,ساربیل,SADB
1384-04-14,2005-07-05,583,ساربیل,SADB
1384-04-15,2005-07-06,582,ساربیل,SADB
1384-04-25,2005-07-16,582,ساربیل,SADB
1384-04-28,2005-07-19,582,ساربیل,SADB
1384-05-03,2005-07-25,582,ساربیل,SADB
1384-05-16,2005-08-07,582,ساربیل,SADB
1384-06-02,2005-08-24,582,ساربیل,SADB
1384-09-13,2005-12-04,553,ساربیل,SADB
1384-09-14,2005-12-05,548,ساربیل,SADB
1384-09-15,2005-12-06,548,ساربیل,SADB
1384-11-24,2006-02-13,548,ساربیل,SADB
1384-11-29,2006-02-18,548,ساربیل,SADB
1384-12-27,2006-03-18,548,ساربیل,SADB
1385-02-10,2006-04-30,517,ساربیل,SADB
1385-02-13,2006-05-03,517,ساربیل,SADB
1385-02-20,2006-05-10,517,ساربیل,SADB
1385-05-02,2006-07-24,507,ساربیل,SADB
1385-05-03,2006-07-25,507,ساربیل,SADB
1385-09-07,2006-11-28,482,ساربیل,SADB
1385-09-08,2006-11-29,482,ساربیل,SADB
1385-09-14,2006-12-05,482,ساربیل,SADB
1385-10-23,2007-01-13,482,ساربیل,SADB
1385-12-05,2007-02-24,482,ساربیل,SADB
1386-01-07,2007-03-27,472,ساربیل,SADB
1386-02-15,2007-05-05,472,ساربیل,SADB
1386-03-06,2007-05-27,462,ساربیل,SADB
1386-05-01,2007-07-23,457,ساربیل,SADB
1386-05-02,2007-07-24,456,ساربیل,SADB
1386-07-09,2007-10-01,446,ساربیل,SADB
1386-07-16,2007-10-08,446,ساربیل,SADB
1386-08-07,2007-10-29,437,ساربیل,SADB
1386-08-29,2007-11-20,437,ساربیل,SADB
1386-09-18,2007-12-09,436,ساربیل,SADB
1386-09-25,2007-12-16,436,ساربیل,SADB
1386-09-26,2007-12-17,436,ساربیل,SADB
1386-09-27,2007-12-18,436,ساربیل,SADB
1386-09-28,2007-12-19,436,ساربیل,SADB
1386-10-03,2007-12-24,436,ساربیل,SADB
1386-10-04,2007-12-25,435,ساربیل,SADB
1386-10-09,2007-12-30,435,ساربیل,SADB
1386-10-10,2007-12-31,435,ساربیل,SADB
1386-10-11,2008-01-01,435,ساربیل,SADB
1386-10-15,2008-01-05,435,ساربیل,SADB
1386-10-22,2008-01-12,434,ساربیل,SADB
1386-11-01,2008-01-21,434,ساربیل,SADB
1386-11-10,2008-01-30,434,ساربیل,SADB
1386-11-24,2008-02-13,434,ساربیل,SADB
1386-11-28,2008-02-17,426,ساربیل,SADB
1386-12-27,2008-03-17,426,ساربیل,SADB
1387-01-26,2008-04-14,425,ساربیل,SADB
1387-01-28,2008-04-16,425,ساربیل,SADB
1387-02-18,2008-05-07,425,ساربیل,SADB
1387-02-22,2008-05-11,426,ساربیل,SADB
1387-02-23,2008-05-12,427,ساربیل,SADB
1387-03-19,2008-06-08,414,ساربیل,SADB
1387-04-02,2008-06-22,414,ساربیل,SADB
1387-04-11,2008-07-01,413,ساربیل,SADB
1387-05-06,2008-07-27,472,ساربیل,SADB
1387-05-07,2008-07-28,472,ساربیل,SADB
1387-05-30,2008-08-20,472,ساربیل,SADB
1387-08-27,2008-11-17,471,ساربیل,SADB
1387-09-03,2008-11-23,471,ساربیل,SADB
1387-09-18,2008-12-08,457,ساربیل,SADB
1387-09-20,2008-12-10,457,ساربیل,SADB
1387-10-08,2008-12-28,457,ساربیل,SADB
1387-10-23,2009-01-12,456,ساربیل,SADB
1387-11-07,2009-01-26,456,ساربیل,SADB
1387-12-11,2009-03-01,456,ساربیل,SADB
1387-12-28,2009-03-18,456,ساربیل,SADB
1388-02-16,2009-05-06,456,ساربیل,SADB
1388-03-27,2009-06-17,466,ساربیل,SADB
1388-04-13,2009-07-04,479,ساربیل,SADB
1388-06-10,2009-09-01,467,ساربیل,SADB
1388-06-11,2009-09-02,453,ساربیل,SADB
1388-06-28,2009-09-19,452,ساربیل,SADB
1388-09-28,2009-12-19,282,ساربیل,SADB
1388-10-01,2009-12-22,292,ساربیل,SADB
1388-10-02,2009-12-23,294,ساربیل,SADB
1388-10-08,2009-12-29,294,ساربیل,SADB
1388-10-15,2010-01-05,294,ساربیل,SADB
1388-10-16,2010-01-06,294,ساربیل,SADB
1388-10-19,2010-01-09,294,ساربیل,SADB
1388-10-20,2010-01-10,304,ساربیل,SADB
1388-10-22,2010-01-12,304,ساربیل,SADB
1388-10-23,2010-01-13,305,ساربیل,SADB
1388-10-26,2010-01-16,315,ساربیل,SADB
1388-10-27,2010-01-17,326,ساربیل,SADB
1388-10-28,2010-01-18,337,ساربیل,SADB
1388-10-29,2010-01-19,337,ساربیل,SADB
1388-10-30,2010-01-20,337,ساربیل,SADB
1388-11-07,2010-01-27,466,ساربیل,SADB
1388-11-10,2010-01-30,466,ساربیل,SADB
1388-11-11,2010-01-31,466,ساربیل,SADB
1388-11-17,2010-02-06,482,ساربیل,SADB
1388-11-18,2010-02-07,482,ساربیل,SADB
1388-12-10,2010-03-01,466,ساربیل,SADB
1389-02-13,2010-05-03,466,ساربیل,SADB
1389-03-05,2010-05-26,463,ساربیل,SADB
1389-03-08,2010-05-29,482,ساربیل,SADB
1389-03-09,2010-05-30,482,ساربیل,SADB
1389-03-10,2010-05-31,482,ساربیل,SADB
1389-03-11,2010-06-01,482,ساربیل,SADB
1389-03-18,2010-06-08,485,ساربیل,SADB
1389-03-26,2010-06-16,485,ساربیل,SADB
1389-04-28,2010-07-19,490,ساربیل,SADB
1389-04-29,2010-07-20,490,ساربیل,SADB
1389-04-30,2010-07-21,490,ساربیل,SADB
1389-05-03,2010-07-25,495,ساربیل,SADB
1389-05-06,2010-07-28,495,ساربیل,SADB
1389-05-10,2010-08-01,463,ساربیل,SADB
