J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-06-07,2005-08-29,294,ثشاهد,SAHD
1384-06-12,2005-09-03,309,ثشاهد,SAHD
1384-06-13,2005-09-04,324,ثشاهد,SAHD
1384-06-14,2005-09-05,340,ثشاهد,SAHD
1384-06-15,2005-09-06,329,ثشاهد,SAHD
1384-06-16,2005-09-07,338,ثشاهد,SAHD
1384-06-19,2005-09-10,343,ثشاهد,SAHD
1384-06-20,2005-09-11,354,ثشاهد,SAHD
1384-06-21,2005-09-12,350,ثشاهد,SAHD
1384-06-22,2005-09-13,350,ثشاهد,SAHD
1384-06-23,2005-09-14,349,ثشاهد,SAHD
1384-06-26,2005-09-17,347,ثشاهد,SAHD
1384-06-27,2005-09-18,339,ثشاهد,SAHD
1384-06-28,2005-09-19,340,ثشاهد,SAHD
1384-06-30,2005-09-21,328,ثشاهد,SAHD
1384-07-02,2005-09-24,338,ثشاهد,SAHD
1384-07-03,2005-09-25,322,ثشاهد,SAHD
1384-07-04,2005-09-26,310,ثشاهد,SAHD
1384-07-05,2005-09-27,297,ثشاهد,SAHD
1384-07-06,2005-09-28,308,ثشاهد,SAHD
1384-07-09,2005-10-01,315,ثشاهد,SAHD
1384-07-10,2005-10-02,320,ثشاهد,SAHD
1384-07-11,2005-10-03,321,ثشاهد,SAHD
1384-07-12,2005-10-04,321,ثشاهد,SAHD
1384-07-13,2005-10-05,322,ثشاهد,SAHD
1384-07-16,2005-10-08,324,ثشاهد,SAHD
1384-07-17,2005-10-09,324,ثشاهد,SAHD
1384-07-18,2005-10-10,323,ثشاهد,SAHD
1384-07-19,2005-10-11,323,ثشاهد,SAHD
1384-07-20,2005-10-12,325,ثشاهد,SAHD
1384-07-23,2005-10-15,332,ثشاهد,SAHD
1384-12-27,2006-03-18,276,ثشاهد,SAHD
1384-12-28,2006-03-19,279,ثشاهد,SAHD
1385-01-05,2006-03-25,278,ثشاهد,SAHD
1385-01-06,2006-03-26,276,ثشاهد,SAHD
1385-01-07,2006-03-27,275,ثشاهد,SAHD
1385-01-08,2006-03-28,275,ثشاهد,SAHD
1385-01-16,2006-04-05,269,ثشاهد,SAHD
1385-01-19,2006-04-08,270,ثشاهد,SAHD
1385-01-20,2006-04-09,270,ثشاهد,SAHD
1385-01-21,2006-04-10,269,ثشاهد,SAHD
1385-01-22,2006-04-11,269,ثشاهد,SAHD
1385-01-23,2006-04-12,267,ثشاهد,SAHD
1385-01-26,2006-04-15,267,ثشاهد,SAHD
1385-01-28,2006-04-17,267,ثشاهد,SAHD
1385-01-29,2006-04-18,266,ثشاهد,SAHD
1385-02-02,2006-04-22,266,ثشاهد,SAHD
1385-02-04,2006-04-24,266,ثشاهد,SAHD
1385-02-10,2006-04-30,264,ثشاهد,SAHD
1385-02-13,2006-05-03,259,ثشاهد,SAHD
1385-02-16,2006-05-06,253,ثشاهد,SAHD
1385-02-17,2006-05-07,250,ثشاهد,SAHD
1385-02-18,2006-05-08,251,ثشاهد,SAHD
1385-02-19,2006-05-09,253,ثشاهد,SAHD
1385-02-20,2006-05-10,254,ثشاهد,SAHD
1385-02-23,2006-05-13,256,ثشاهد,SAHD
1385-02-24,2006-05-14,257,ثشاهد,SAHD
1385-02-25,2006-05-15,258,ثشاهد,SAHD
1385-02-26,2006-05-16,259,ثشاهد,SAHD
1385-02-27,2006-05-17,259,ثشاهد,SAHD
1385-02-30,2006-05-20,259,ثشاهد,SAHD
1385-02-31,2006-05-21,259,ثشاهد,SAHD
1385-03-01,2006-05-22,259,ثشاهد,SAHD
1385-03-02,2006-05-23,259,ثشاهد,SAHD
1385-03-03,2006-05-24,260,ثشاهد,SAHD
1385-03-06,2006-05-27,260,ثشاهد,SAHD
1385-03-07,2006-05-28,260,ثشاهد,SAHD
1385-03-08,2006-05-29,259,ثشاهد,SAHD
1385-03-09,2006-05-30,260,ثشاهد,SAHD
1385-03-10,2006-05-31,260,ثشاهد,SAHD
1385-03-13,2006-06-03,260,ثشاهد,SAHD
1385-03-16,2006-06-06,260,ثشاهد,SAHD
1385-03-17,2006-06-07,259,ثشاهد,SAHD
1385-03-20,2006-06-10,259,ثشاهد,SAHD
1385-03-21,2006-06-11,259,ثشاهد,SAHD
1385-03-22,2006-06-12,260,ثشاهد,SAHD
1385-03-23,2006-06-13,260,ثشاهد,SAHD
1385-03-24,2006-06-14,260,ثشاهد,SAHD
1385-03-27,2006-06-17,261,ثشاهد,SAHD
1385-03-28,2006-06-18,261,ثشاهد,SAHD
1385-03-29,2006-06-19,262,ثشاهد,SAHD
1385-03-30,2006-06-20,262,ثشاهد,SAHD
1385-03-31,2006-06-21,263,ثشاهد,SAHD
1385-04-03,2006-06-24,263,ثشاهد,SAHD
1385-04-04,2006-06-25,263,ثشاهد,SAHD
1385-04-05,2006-06-26,268,ثشاهد,SAHD
1385-04-06,2006-06-27,270,ثشاهد,SAHD
1385-04-07,2006-06-28,275,ثشاهد,SAHD
1385-04-10,2006-07-01,274,ثشاهد,SAHD
1385-04-11,2006-07-02,273,ثشاهد,SAHD
1385-04-12,2006-07-03,273,ثشاهد,SAHD
1385-04-13,2006-07-04,273,ثشاهد,SAHD
1385-04-14,2006-07-05,274,ثشاهد,SAHD
1385-04-17,2006-07-08,274,ثشاهد,SAHD
1385-04-18,2006-07-09,274,ثشاهد,SAHD
1385-04-19,2006-07-10,274,ثشاهد,SAHD
1385-04-20,2006-07-11,274,ثشاهد,SAHD
1385-04-21,2006-07-12,274,ثشاهد,SAHD
1385-04-24,2006-07-15,273,ثشاهد,SAHD
1385-04-25,2006-07-16,274,ثشاهد,SAHD
1385-04-26,2006-07-17,273,ثشاهد,SAHD
1385-04-27,2006-07-18,273,ثشاهد,SAHD
1385-04-28,2006-07-19,274,ثشاهد,SAHD
1385-04-31,2006-07-22,274,ثشاهد,SAHD
1385-05-01,2006-07-23,274,ثشاهد,SAHD
1385-05-02,2006-07-24,274,ثشاهد,SAHD
1385-05-03,2006-07-25,275,ثشاهد,SAHD
1385-05-04,2006-07-26,275,ثشاهد,SAHD
1385-05-07,2006-07-29,275,ثشاهد,SAHD
1385-05-08,2006-07-30,274,ثشاهد,SAHD
1385-05-09,2006-07-31,273,ثشاهد,SAHD
1385-05-10,2006-08-01,273,ثشاهد,SAHD
1385-05-11,2006-08-02,273,ثشاهد,SAHD
1385-05-14,2006-08-05,274,ثشاهد,SAHD
1385-05-15,2006-08-06,274,ثشاهد,SAHD
1385-05-16,2006-08-07,274,ثشاهد,SAHD
1385-05-18,2006-08-09,274,ثشاهد,SAHD
1385-05-21,2006-08-12,274,ثشاهد,SAHD
1385-05-22,2006-08-13,273,ثشاهد,SAHD
1385-05-23,2006-08-14,273,ثشاهد,SAHD
1385-05-24,2006-08-15,274,ثشاهد,SAHD
1385-05-25,2006-08-16,274,ثشاهد,SAHD
1385-05-28,2006-08-19,274,ثشاهد,SAHD
1385-05-29,2006-08-20,274,ثشاهد,SAHD
1385-05-30,2006-08-21,274,ثشاهد,SAHD
1385-06-01,2006-08-23,274,ثشاهد,SAHD
1385-06-04,2006-08-26,274,ثشاهد,SAHD
1385-06-05,2006-08-27,274,ثشاهد,SAHD
1385-06-06,2006-08-28,274,ثشاهد,SAHD
1385-06-07,2006-08-29,276,ثشاهد,SAHD
1385-06-08,2006-08-30,278,ثشاهد,SAHD
1385-06-11,2006-09-02,279,ثشاهد,SAHD
1385-06-12,2006-09-03,285,ثشاهد,SAHD
1385-06-13,2006-09-04,291,ثشاهد,SAHD
1385-06-14,2006-09-05,296,ثشاهد,SAHD
1385-06-15,2006-09-06,302,ثشاهد,SAHD
1385-06-19,2006-09-10,308,ثشاهد,SAHD
1385-06-20,2006-09-11,314,ثشاهد,SAHD
1385-06-21,2006-09-12,321,ثشاهد,SAHD
1385-06-22,2006-09-13,327,ثشاهد,SAHD
1385-06-25,2006-09-16,334,ثشاهد,SAHD
1385-06-26,2006-09-17,340,ثشاهد,SAHD
1385-06-27,2006-09-18,334,ثشاهد,SAHD
1385-06-28,2006-09-19,335,ثشاهد,SAHD
1385-06-29,2006-09-20,328,ثشاهد,SAHD
1385-07-01,2006-09-23,323,ثشاهد,SAHD
1385-07-02,2006-09-24,320,ثشاهد,SAHD
1385-07-03,2006-09-25,322,ثشاهد,SAHD
1385-07-04,2006-09-26,323,ثشاهد,SAHD
1385-07-05,2006-09-27,330,ثشاهد,SAHD
1385-07-08,2006-09-30,332,ثشاهد,SAHD
1385-07-09,2006-10-01,334,ثشاهد,SAHD
1385-07-10,2006-10-02,337,ثشاهد,SAHD
1385-07-11,2006-10-03,338,ثشاهد,SAHD
1385-07-12,2006-10-04,332,ثشاهد,SAHD
1385-07-15,2006-10-07,329,ثشاهد,SAHD
1385-07-16,2006-10-08,322,ثشاهد,SAHD
1385-07-17,2006-10-09,317,ثشاهد,SAHD
1385-07-18,2006-10-10,318,ثشاهد,SAHD
1385-07-19,2006-10-11,318,ثشاهد,SAHD
1385-07-22,2006-10-14,313,ثشاهد,SAHD
1385-07-24,2006-10-16,306,ثشاهد,SAHD
1385-09-07,2006-11-28,306,ثشاهد,SAHD
1385-09-08,2006-11-29,308,ثشاهد,SAHD
1385-09-11,2006-12-02,308,ثشاهد,SAHD
1385-09-12,2006-12-03,310,ثشاهد,SAHD
1385-09-13,2006-12-04,313,ثشاهد,SAHD
1385-09-14,2006-12-05,314,ثشاهد,SAHD
1385-09-15,2006-12-06,320,ثشاهد,SAHD
1385-09-18,2006-12-09,316,ثشاهد,SAHD
1385-09-19,2006-12-10,314,ثشاهد,SAHD
1385-09-20,2006-12-11,314,ثشاهد,SAHD
1385-09-21,2006-12-12,313,ثشاهد,SAHD
1385-09-22,2006-12-13,318,ثشاهد,SAHD
1385-09-25,2006-12-16,318,ثشاهد,SAHD
1385-09-26,2006-12-17,319,ثشاهد,SAHD
1385-09-27,2006-12-18,321,ثشاهد,SAHD
1385-09-28,2006-12-19,326,ثشاهد,SAHD
1385-09-29,2006-12-20,325,ثشاهد,SAHD
1385-10-02,2006-12-23,324,ثشاهد,SAHD
1385-10-03,2006-12-24,322,ثشاهد,SAHD
1385-10-04,2006-12-25,321,ثشاهد,SAHD
1385-10-05,2006-12-26,321,ثشاهد,SAHD
1385-10-06,2006-12-27,320,ثشاهد,SAHD
1385-10-09,2006-12-30,319,ثشاهد,SAHD
1385-10-11,2007-01-01,318,ثشاهد,SAHD
1385-10-12,2007-01-02,317,ثشاهد,SAHD
1385-10-13,2007-01-03,318,ثشاهد,SAHD
1385-10-16,2007-01-06,317,ثشاهد,SAHD
1385-10-17,2007-01-07,316,ثشاهد,SAHD
1385-10-19,2007-01-09,315,ثشاهد,SAHD
1385-10-20,2007-01-10,315,ثشاهد,SAHD
1385-10-23,2007-01-13,314,ثشاهد,SAHD
1385-10-24,2007-01-14,314,ثشاهد,SAHD
1385-10-25,2007-01-15,313,ثشاهد,SAHD
1385-10-26,2007-01-16,310,ثشاهد,SAHD
1385-10-27,2007-01-17,305,ثشاهد,SAHD
1385-10-30,2007-01-20,306,ثشاهد,SAHD
1385-11-01,2007-01-21,306,ثشاهد,SAHD
1385-11-02,2007-01-22,308,ثشاهد,SAHD
1385-11-03,2007-01-23,308,ثشاهد,SAHD
1385-12-06,2007-02-25,227,ثشاهد,SAHD
1385-12-07,2007-02-26,225,ثشاهد,SAHD
1385-12-08,2007-02-27,221,ثشاهد,SAHD
1385-12-09,2007-02-28,219,ثشاهد,SAHD
1385-12-12,2007-03-03,216,ثشاهد,SAHD
1385-12-13,2007-03-04,214,ثشاهد,SAHD
1385-12-14,2007-03-05,213,ثشاهد,SAHD
1385-12-15,2007-03-06,211,ثشاهد,SAHD
1385-12-16,2007-03-07,209,ثشاهد,SAHD
1385-12-20,2007-03-11,208,ثشاهد,SAHD
1385-12-21,2007-03-12,207,ثشاهد,SAHD
1385-12-22,2007-03-13,205,ثشاهد,SAHD
1385-12-26,2007-03-17,204,ثشاهد,SAHD
1385-12-28,2007-03-19,203,ثشاهد,SAHD
1386-01-05,2007-03-25,203,ثشاهد,SAHD
1386-01-06,2007-03-26,203,ثشاهد,SAHD
1386-01-07,2007-03-27,203,ثشاهد,SAHD
1386-01-11,2007-03-31,203,ثشاهد,SAHD
1386-01-14,2007-04-03,203,ثشاهد,SAHD
1386-01-15,2007-04-04,203,ثشاهد,SAHD
1386-01-18,2007-04-07,203,ثشاهد,SAHD
1386-01-19,2007-04-08,202,ثشاهد,SAHD
1386-01-20,2007-04-09,202,ثشاهد,SAHD
1386-01-21,2007-04-10,202,ثشاهد,SAHD
1386-01-22,2007-04-11,202,ثشاهد,SAHD
1386-01-28,2007-04-17,202,ثشاهد,SAHD
1386-01-29,2007-04-18,202,ثشاهد,SAHD
1386-02-01,2007-04-21,202,ثشاهد,SAHD
1386-02-02,2007-04-22,201,ثشاهد,SAHD
1386-02-03,2007-04-23,201,ثشاهد,SAHD
1386-02-04,2007-04-24,201,ثشاهد,SAHD
1386-02-05,2007-04-25,200,ثشاهد,SAHD
1386-02-08,2007-04-28,200,ثشاهد,SAHD
1386-02-09,2007-04-29,200,ثشاهد,SAHD
1386-02-10,2007-04-30,200,ثشاهد,SAHD
1386-02-11,2007-05-01,200,ثشاهد,SAHD
1386-02-12,2007-05-02,200,ثشاهد,SAHD
1386-02-15,2007-05-05,200,ثشاهد,SAHD
1386-02-16,2007-05-06,200,ثشاهد,SAHD
1386-02-19,2007-05-09,199,ثشاهد,SAHD
1386-02-22,2007-05-12,199,ثشاهد,SAHD
1386-02-25,2007-05-15,199,ثشاهد,SAHD
1386-02-26,2007-05-16,199,ثشاهد,SAHD
1386-02-29,2007-05-19,199,ثشاهد,SAHD
1386-02-30,2007-05-20,199,ثشاهد,SAHD
1386-02-31,2007-05-21,199,ثشاهد,SAHD
1386-03-01,2007-05-22,199,ثشاهد,SAHD
1386-03-02,2007-05-23,199,ثشاهد,SAHD
1386-03-05,2007-05-26,199,ثشاهد,SAHD
1386-03-06,2007-05-27,199,ثشاهد,SAHD
1386-03-07,2007-05-28,199,ثشاهد,SAHD
1386-03-08,2007-05-29,199,ثشاهد,SAHD
1386-03-09,2007-05-30,199,ثشاهد,SAHD
1386-03-12,2007-06-02,199,ثشاهد,SAHD
1386-03-13,2007-06-03,199,ثشاهد,SAHD
1386-03-19,2007-06-09,199,ثشاهد,SAHD
1386-03-20,2007-06-10,199,ثشاهد,SAHD
1386-03-22,2007-06-12,198,ثشاهد,SAHD
1386-03-23,2007-06-13,198,ثشاهد,SAHD
1386-03-26,2007-06-16,198,ثشاهد,SAHD
1386-03-27,2007-06-17,197,ثشاهد,SAHD
1386-03-29,2007-06-19,197,ثشاهد,SAHD
1386-03-30,2007-06-20,197,ثشاهد,SAHD
1386-04-02,2007-06-23,197,ثشاهد,SAHD
1386-04-03,2007-06-24,197,ثشاهد,SAHD
1386-04-04,2007-06-25,197,ثشاهد,SAHD
1386-04-05,2007-06-26,197,ثشاهد,SAHD
1386-04-06,2007-06-27,197,ثشاهد,SAHD
1386-04-09,2007-06-30,196,ثشاهد,SAHD
1386-04-10,2007-07-01,196,ثشاهد,SAHD
1386-04-11,2007-07-02,196,ثشاهد,SAHD
1386-04-12,2007-07-03,195,ثشاهد,SAHD
1386-04-16,2007-07-07,195,ثشاهد,SAHD
1386-04-17,2007-07-08,195,ثشاهد,SAHD
1386-04-19,2007-07-10,195,ثشاهد,SAHD
1386-04-20,2007-07-11,195,ثشاهد,SAHD
1386-04-23,2007-07-14,195,ثشاهد,SAHD
1386-04-24,2007-07-15,195,ثشاهد,SAHD
1386-04-25,2007-07-16,195,ثشاهد,SAHD
1386-04-26,2007-07-17,196,ثشاهد,SAHD
1386-04-27,2007-07-18,196,ثشاهد,SAHD
1386-04-30,2007-07-21,195,ثشاهد,SAHD
1386-04-31,2007-07-22,195,ثشاهد,SAHD
1386-05-01,2007-07-23,195,ثشاهد,SAHD
1386-05-02,2007-07-24,195,ثشاهد,SAHD
1386-05-03,2007-07-25,195,ثشاهد,SAHD
1386-05-07,2007-07-29,195,ثشاهد,SAHD
1386-05-08,2007-07-30,195,ثشاهد,SAHD
1386-05-10,2007-08-01,195,ثشاهد,SAHD
1386-05-13,2007-08-04,195,ثشاهد,SAHD
1386-05-14,2007-08-05,193,ثشاهد,SAHD
1386-05-15,2007-08-06,193,ثشاهد,SAHD
1386-05-16,2007-08-07,192,ثشاهد,SAHD
1386-05-17,2007-08-08,192,ثشاهد,SAHD
1386-05-21,2007-08-12,192,ثشاهد,SAHD
1386-05-22,2007-08-13,192,ثشاهد,SAHD
1386-05-23,2007-08-14,192,ثشاهد,SAHD
1386-05-24,2007-08-15,192,ثشاهد,SAHD
1386-05-27,2007-08-18,192,ثشاهد,SAHD
1386-05-28,2007-08-19,192,ثشاهد,SAHD
1386-05-29,2007-08-20,191,ثشاهد,SAHD
1386-05-30,2007-08-21,191,ثشاهد,SAHD
1386-05-31,2007-08-22,190,ثشاهد,SAHD
1386-06-03,2007-08-25,190,ثشاهد,SAHD
1386-06-04,2007-08-26,189,ثشاهد,SAHD
1386-06-06,2007-08-28,189,ثشاهد,SAHD
1386-06-10,2007-09-01,189,ثشاهد,SAHD
