J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,23,وساخت,SAKH
1380-01-06,2001-03-26,23,وساخت,SAKH
1380-01-07,2001-03-27,23,وساخت,SAKH
1380-01-08,2001-03-28,23,وساخت,SAKH
1380-01-11,2001-03-31,23,وساخت,SAKH
1380-01-14,2001-04-03,23,وساخت,SAKH
1380-01-18,2001-04-07,23,وساخت,SAKH
1380-01-19,2001-04-08,23,وساخت,SAKH
1380-01-20,2001-04-09,23,وساخت,SAKH
1380-01-21,2001-04-10,23,وساخت,SAKH
1380-01-22,2001-04-11,23,وساخت,SAKH
1380-01-25,2001-04-14,23,وساخت,SAKH
1380-01-26,2001-04-15,23,وساخت,SAKH
1380-01-27,2001-04-16,23,وساخت,SAKH
1380-01-28,2001-04-17,23,وساخت,SAKH
1380-01-29,2001-04-18,23,وساخت,SAKH
1380-02-01,2001-04-21,23,وساخت,SAKH
1380-02-02,2001-04-22,23,وساخت,SAKH
1380-02-03,2001-04-23,23,وساخت,SAKH
1380-02-04,2001-04-24,23,وساخت,SAKH
1380-02-05,2001-04-25,23,وساخت,SAKH
1380-02-08,2001-04-28,23,وساخت,SAKH
1380-02-09,2001-04-29,23,وساخت,SAKH
1380-02-10,2001-04-30,24,وساخت,SAKH
1380-02-11,2001-05-01,25,وساخت,SAKH
1380-02-12,2001-05-02,25,وساخت,SAKH
1380-02-15,2001-05-05,25,وساخت,SAKH
1380-02-16,2001-05-06,24,وساخت,SAKH
1380-02-17,2001-05-07,24,وساخت,SAKH
1380-02-18,2001-05-08,24,وساخت,SAKH
1380-02-19,2001-05-09,24,وساخت,SAKH
1380-02-22,2001-05-12,25,وساخت,SAKH
1380-02-23,2001-05-13,25,وساخت,SAKH
1380-02-25,2001-05-15,25,وساخت,SAKH
1380-02-26,2001-05-16,25,وساخت,SAKH
1380-02-29,2001-05-19,25,وساخت,SAKH
1380-02-30,2001-05-20,25,وساخت,SAKH
1380-02-31,2001-05-21,25,وساخت,SAKH
1380-03-02,2001-05-23,26,وساخت,SAKH
1380-03-05,2001-05-26,26,وساخت,SAKH
1380-03-06,2001-05-27,27,وساخت,SAKH
1380-03-07,2001-05-28,27,وساخت,SAKH
1380-03-08,2001-05-29,27,وساخت,SAKH
1380-03-09,2001-05-30,26,وساخت,SAKH
1380-03-12,2001-06-02,26,وساخت,SAKH
1380-03-13,2001-06-03,26,وساخت,SAKH
1380-03-16,2001-06-06,26,وساخت,SAKH
1380-03-19,2001-06-09,26,وساخت,SAKH
1380-03-21,2001-06-11,26,وساخت,SAKH
1380-03-22,2001-06-12,26,وساخت,SAKH
