J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-08-08,2013-10-30,227,وسالت,SALP
1392-09-10,2013-12-01,227,وسالت,SALP
1392-09-11,2013-12-02,227,وسالت,SALP
1392-09-16,2013-12-07,227,وسالت,SALP
1392-09-17,2013-12-08,227,وسالت,SALP
1392-09-18,2013-12-09,227,وسالت,SALP
1392-09-19,2013-12-10,227,وسالت,SALP
1392-09-23,2013-12-14,227,وسالت,SALP
1392-09-25,2013-12-16,227,وسالت,SALP
1392-09-27,2013-12-18,227,وسالت,SALP
1392-10-01,2013-12-22,227,وسالت,SALP
1392-10-08,2013-12-29,227,وسالت,SALP
1392-10-14,2014-01-04,227,وسالت,SALP
1392-10-15,2014-01-05,227,وسالت,SALP
1392-10-21,2014-01-11,227,وسالت,SALP
1393-01-26,2014-04-15,236,وسالت,SALP
1393-01-27,2014-04-16,227,وسالت,SALP
1393-01-30,2014-04-19,227,وسالت,SALP
1393-01-31,2014-04-20,227,وسالت,SALP
1393-02-07,2014-04-27,227,وسالت,SALP
1393-02-08,2014-04-28,227,وسالت,SALP
1393-02-10,2014-04-30,227,وسالت,SALP
1393-02-14,2014-05-04,227,وسالت,SALP
1393-02-15,2014-05-05,227,وسالت,SALP
1393-02-17,2014-05-07,227,وسالت,SALP
1393-02-20,2014-05-10,227,وسالت,SALP
1393-03-11,2014-06-01,227,وسالت,SALP
1393-03-12,2014-06-02,227,وسالت,SALP
1393-03-19,2014-06-09,227,وسالت,SALP
1393-03-26,2014-06-16,227,وسالت,SALP
1393-03-27,2014-06-17,227,وسالت,SALP
1393-03-28,2014-06-18,227,وسالت,SALP
1393-03-31,2014-06-21,227,وسالت,SALP
1393-04-03,2014-06-24,227,وسالت,SALP
1393-04-07,2014-06-28,227,وسالت,SALP
1393-04-09,2014-06-30,227,وسالت,SALP
1393-04-10,2014-07-01,227,وسالت,SALP
1393-04-11,2014-07-02,227,وسالت,SALP
1393-04-14,2014-07-05,227,وسالت,SALP
1393-04-15,2014-07-06,227,وسالت,SALP
1393-04-18,2014-07-09,227,وسالت,SALP
1393-04-23,2014-07-14,227,وسالت,SALP
1393-05-05,2014-07-27,227,وسالت,SALP
1393-05-11,2014-08-02,227,وسالت,SALP
1393-05-18,2014-08-09,227,وسالت,SALP
1393-05-19,2014-08-10,227,وسالت,SALP
1393-05-21,2014-08-12,227,وسالت,SALP
1393-05-25,2014-08-16,227,وسالت,SALP
1393-05-29,2014-08-20,227,وسالت,SALP
1393-06-02,2014-08-24,227,وسالت,SALP
1393-06-03,2014-08-25,227,وسالت,SALP
1393-06-04,2014-08-26,227,وسالت,SALP
1393-06-05,2014-08-27,227,وسالت,SALP
1393-06-08,2014-08-30,227,وسالت,SALP
1393-06-09,2014-08-31,227,وسالت,SALP
1393-06-12,2014-09-03,227,وسالت,SALP
1393-06-31,2014-09-22,227,وسالت,SALP
1393-07-01,2014-09-23,227,وسالت,SALP
1393-07-02,2014-09-24,227,وسالت,SALP
1393-07-05,2014-09-27,227,وسالت,SALP
1393-07-06,2014-09-28,227,وسالت,SALP
1393-07-07,2014-09-29,227,وسالت,SALP
1393-07-08,2014-09-30,227,وسالت,SALP
1393-07-16,2014-10-08,227,وسالت,SALP
1393-07-20,2014-10-12,227,وسالت,SALP
1393-07-22,2014-10-14,227,وسالت,SALP
1393-07-26,2014-10-18,227,وسالت,SALP
1393-07-28,2014-10-20,227,وسالت,SALP
1393-07-29,2014-10-21,227,وسالت,SALP
1393-07-30,2014-10-22,227,وسالت,SALP
1393-08-03,2014-10-25,227,وسالت,SALP
1393-08-04,2014-10-26,227,وسالت,SALP
1393-08-05,2014-10-27,227,وسالت,SALP
1393-08-06,2014-10-28,227,وسالت,SALP
1393-08-07,2014-10-29,227,وسالت,SALP
1393-08-10,2014-11-01,227,وسالت,SALP
1393-08-11,2014-11-02,227,وسالت,SALP
1393-08-18,2014-11-09,227,وسالت,SALP
1393-08-19,2014-11-10,227,وسالت,SALP
1393-08-25,2014-11-16,227,وسالت,SALP
1393-09-26,2014-12-17,227,وسالت,SALP
1393-09-29,2014-12-20,227,وسالت,SALP
1393-10-08,2014-12-29,227,وسالت,SALP
1393-10-09,2014-12-30,227,وسالت,SALP
1393-10-10,2014-12-31,227,وسالت,SALP
1393-10-13,2015-01-03,227,وسالت,SALP
1393-10-16,2015-01-06,227,وسالت,SALP
1393-11-26,2015-02-15,227,وسالت,SALP
1393-11-27,2015-02-16,227,وسالت,SALP
1393-12-03,2015-02-22,227,وسالت,SALP
1393-12-12,2015-03-03,227,وسالت,SALP
1393-12-25,2015-03-16,227,وسالت,SALP
1394-01-29,2015-04-18,227,وسالت,SALP
1394-01-30,2015-04-19,227,وسالت,SALP
1394-02-05,2015-04-25,227,وسالت,SALP
1394-02-19,2015-05-09,227,وسالت,SALP
1394-02-20,2015-05-10,227,وسالت,SALP
1394-03-09,2015-05-30,227,وسالت,SALP
1394-03-17,2015-06-07,227,وسالت,SALP
1394-03-26,2015-06-16,227,وسالت,SALP
1394-03-27,2015-06-17,227,وسالت,SALP
1394-04-01,2015-06-22,227,وسالت,SALP
1394-04-21,2015-07-12,227,وسالت,SALP
1394-04-22,2015-07-13,227,وسالت,SALP
1394-05-06,2015-07-28,227,وسالت,SALP
1394-05-12,2015-08-03,227,وسالت,SALP
1394-05-13,2015-08-04,227,وسالت,SALP
1394-05-19,2015-08-10,227,وسالت,SALP
1394-05-24,2015-08-15,227,وسالت,SALP
1394-05-25,2015-08-16,227,وسالت,SALP
1394-05-27,2015-08-18,227,وسالت,SALP
1394-05-28,2015-08-19,227,وسالت,SALP
1394-06-01,2015-08-23,227,وسالت,SALP
1394-07-01,2015-09-23,227,وسالت,SALP
1394-07-05,2015-09-27,227,وسالت,SALP
1394-07-07,2015-09-29,227,وسالت,SALP
1394-07-08,2015-09-30,227,وسالت,SALP
1394-07-26,2015-10-18,227,وسالت,SALP
1394-08-12,2015-11-03,227,وسالت,SALP
1394-08-13,2015-11-04,227,وسالت,SALP
1394-09-03,2015-11-24,249,وسالت,SALP
1394-09-18,2015-12-09,227,وسالت,SALP
1394-09-24,2015-12-15,227,وسالت,SALP
1394-09-28,2015-12-19,227,وسالت,SALP
1394-10-14,2016-01-04,227,وسالت,SALP
1394-10-19,2016-01-09,227,وسالت,SALP
1394-11-05,2016-01-25,227,وسالت,SALP
1394-11-21,2016-02-10,227,وسالت,SALP
1395-01-08,2016-03-27,227,وسالت,SALP
1395-01-29,2016-04-17,227,وسالت,SALP
1395-01-30,2016-04-18,227,وسالت,SALP
1395-01-31,2016-04-19,227,وسالت,SALP
1395-02-01,2016-04-20,227,وسالت,SALP
1395-02-15,2016-05-04,227,وسالت,SALP
1395-02-20,2016-05-09,227,وسالت,SALP
1395-02-25,2016-05-14,227,وسالت,SALP
1395-02-29,2016-05-18,227,وسالت,SALP
1395-03-11,2016-05-31,227,وسالت,SALP
1395-04-21,2016-07-11,228,وسالت,SALP
1395-04-28,2016-07-18,227,وسالت,SALP
1395-04-29,2016-07-19,227,وسالت,SALP
1395-06-06,2016-08-27,227,وسالت,SALP
1395-06-13,2016-09-03,227,وسالت,SALP
1395-09-17,2016-12-07,227,وسالت,SALP
1395-09-20,2016-12-10,227,وسالت,SALP
1395-09-21,2016-12-11,227,وسالت,SALP
1395-10-05,2016-12-25,227,وسالت,SALP
1395-10-07,2016-12-27,227,وسالت,SALP
1395-10-18,2017-01-07,227,وسالت,SALP
1395-10-19,2017-01-08,227,وسالت,SALP
1397-06-21,2018-09-12,249,وسالت,SALP
1397-07-04,2018-09-26,249,وسالت,SALP
1397-07-15,2018-10-07,250,وسالت,SALP
1397-07-25,2018-10-17,250,وسالت,SALP
1397-07-28,2018-10-20,250,وسالت,SALP
1397-07-29,2018-10-21,253,وسالت,SALP
1397-07-30,2018-10-22,253,وسالت,SALP
1397-08-01,2018-10-23,253,وسالت,SALP
1397-08-02,2018-10-24,253,وسالت,SALP
1397-08-05,2018-10-27,259,وسالت,SALP
1397-08-30,2018-11-21,259,وسالت,SALP
1397-09-03,2018-11-24,261,وسالت,SALP
1397-09-05,2018-11-26,262,وسالت,SALP
1397-09-07,2018-11-28,288,وسالت,SALP
1397-09-11,2018-12-02,317,وسالت,SALP
1398-02-22,2019-05-12,348,وسالت,SALP
1398-02-24,2019-05-14,383,وسالت,SALP
1398-02-29,2019-05-19,421,وسالت,SALP
1398-03-13,2019-06-03,463,وسالت,SALP
1398-06-27,2019-09-18,472,وسالت,SALP
1398-06-30,2019-09-21,472,وسالت,SALP
1398-07-02,2019-09-24,482,وسالت,SALP
1398-07-03,2019-09-25,491,وسالت,SALP
1398-07-06,2019-09-28,501,وسالت,SALP
1398-07-08,2019-09-30,511,وسالت,SALP
1398-07-14,2019-10-06,521,وسالت,SALP
1398-07-15,2019-10-07,531,وسالت,SALP
1398-07-17,2019-10-09,542,وسالت,SALP
1398-07-20,2019-10-12,552,وسالت,SALP
1398-07-21,2019-10-13,563,وسالت,SALP
1398-07-22,2019-10-14,575,وسالت,SALP
1398-07-24,2019-10-16,586,وسالت,SALP
1398-07-30,2019-10-22,598,وسالت,SALP
1398-08-01,2019-10-23,610,وسالت,SALP
1398-08-04,2019-10-26,634,وسالت,SALP
1398-08-12,2019-11-03,659,وسالت,SALP
1398-08-20,2019-11-11,672,وسالت,SALP
1398-08-25,2019-11-16,699,وسالت,SALP
1398-08-26,2019-11-17,713,وسالت,SALP
1398-09-23,2019-12-14,741,وسالت,SALP
1398-09-27,2019-12-18,771,وسالت,SALP
1398-10-09,2019-12-30,802,وسالت,SALP
1398-10-17,2020-01-07,818,وسالت,SALP
1398-11-08,2020-01-28,850,وسالت,SALP
1398-11-15,2020-02-04,884,وسالت,SALP
1398-11-26,2020-02-15,902,وسالت,SALP
1398-11-29,2020-02-18,920,وسالت,SALP
1398-12-03,2020-02-22,938,وسالت,SALP
1398-12-07,2020-02-26,956,وسالت,SALP
1398-12-24,2020-03-14,976,وسالت,SALP
1398-12-25,2020-03-15,977,وسالت,SALP
1398-12-26,2020-03-16,977,وسالت,SALP
1399-01-06,2020-03-25,977,وسالت,SALP
1399-01-09,2020-03-28,996,وسالت,SALP
1399-01-18,2020-04-06,996,وسالت,SALP
1399-01-20,2020-04-08,977,وسالت,SALP
1399-01-23,2020-04-11,977,وسالت,SALP
1399-01-25,2020-04-13,996,وسالت,SALP
1399-01-26,2020-04-14,977,وسالت,SALP
1399-01-27,2020-04-15,977,وسالت,SALP
1399-01-31,2020-04-19,997,وسالت,SALP
1399-02-02,2020-04-21,977,وسالت,SALP
1399-02-03,2020-04-22,977,وسالت,SALP
1399-02-06,2020-04-25,997,وسالت,SALP
1399-02-08,2020-04-27,977,وسالت,SALP
1399-02-09,2020-04-28,977,وسالت,SALP
1399-02-10,2020-04-29,997,وسالت,SALP
1399-02-14,2020-05-03,977,وسالت,SALP
1399-02-15,2020-05-04,977,وسالت,SALP
1399-02-17,2020-05-06,977,وسالت,SALP
1399-02-20,2020-05-09,977,وسالت,SALP
1399-02-24,2020-05-13,977,وسالت,SALP
1399-02-28,2020-05-17,997,وسالت,SALP
1399-02-31,2020-05-20,977,وسالت,SALP
1399-03-03,2020-05-23,998,وسالت,SALP
1399-03-06,2020-05-26,979,وسالت,SALP
1399-03-10,2020-05-30,979,وسالت,SALP
1399-03-13,2020-06-02,980,وسالت,SALP
1399-03-17,2020-06-06,980,وسالت,SALP
1399-03-18,2020-06-07,1007,وسالت,SALP
1399-03-19,2020-06-08,988,وسالت,SALP
1399-03-20,2020-06-09,988,وسالت,SALP
1399-03-21,2020-06-10,988,وسالت,SALP
1399-03-24,2020-06-13,1008,وسالت,SALP
1399-03-26,2020-06-15,989,وسالت,SALP
1399-03-27,2020-06-16,989,وسالت,SALP
1399-03-31,2020-06-20,989,وسالت,SALP
1399-04-01,2020-06-21,1008,وسالت,SALP
1399-04-02,2020-06-22,989,وسالت,SALP
1399-04-03,2020-06-23,989,وسالت,SALP
1399-04-04,2020-06-24,989,وسالت,SALP
1399-04-07,2020-06-27,1008,وسالت,SALP
1399-04-08,2020-06-28,989,وسالت,SALP
1399-04-09,2020-06-29,989,وسالت,SALP
1399-04-10,2020-06-30,992,وسالت,SALP
1399-04-11,2020-07-01,1011,وسالت,SALP
1399-04-14,2020-07-04,992,وسالت,SALP
1399-04-15,2020-07-05,992,وسالت,SALP
1399-04-16,2020-07-06,992,وسالت,SALP
1399-04-17,2020-07-07,1012,وسالت,SALP
1399-04-18,2020-07-08,992,وسالت,SALP
1399-04-21,2020-07-11,992,وسالت,SALP
1399-04-22,2020-07-12,992,وسالت,SALP
1399-04-23,2020-07-13,1012,وسالت,SALP
1399-04-24,2020-07-14,996,وسالت,SALP
1399-04-25,2020-07-15,996,وسالت,SALP
1399-04-28,2020-07-18,996,وسالت,SALP
1399-04-29,2020-07-19,1015,وسالت,SALP
1399-05-08,2020-07-29,996,وسالت,SALP
1399-05-11,2020-08-01,996,وسالت,SALP
1399-05-12,2020-08-02,996,وسالت,SALP
1399-05-14,2020-08-04,996,وسالت,SALP
1399-05-15,2020-08-05,998,وسالت,SALP
1399-05-19,2020-08-09,1001,وسالت,SALP
1399-05-20,2020-08-10,1024,وسالت,SALP
1399-05-21,2020-08-11,1005,وسالت,SALP
1399-05-22,2020-08-12,1005,وسالت,SALP
1399-05-25,2020-08-15,1005,وسالت,SALP
1399-05-27,2020-08-17,1005,وسالت,SALP
1399-05-28,2020-08-18,1005,وسالت,SALP
1399-05-29,2020-08-19,1005,وسالت,SALP
1399-06-01,2020-08-22,1025,وسالت,SALP
1399-06-02,2020-08-23,1006,وسالت,SALP
1399-06-03,2020-08-24,1006,وسالت,SALP
1399-06-04,2020-08-25,1006,وسالت,SALP
1399-06-05,2020-08-26,1025,وسالت,SALP
1399-06-10,2020-08-31,1006,وسالت,SALP
