J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,56,فاما,SAMA
1380-01-14,2001-04-03,59,فاما,SAMA
1380-01-18,2001-04-07,60,فاما,SAMA
1380-01-19,2001-04-08,60,فاما,SAMA
1380-01-20,2001-04-09,61,فاما,SAMA
1380-01-21,2001-04-10,60,فاما,SAMA
1380-01-22,2001-04-11,58,فاما,SAMA
1380-01-25,2001-04-14,58,فاما,SAMA
1380-01-26,2001-04-15,58,فاما,SAMA
1380-01-27,2001-04-16,58,فاما,SAMA
1380-01-28,2001-04-17,58,فاما,SAMA
1380-01-29,2001-04-18,58,فاما,SAMA
1380-02-01,2001-04-21,58,فاما,SAMA
1380-02-02,2001-04-22,58,فاما,SAMA
1380-02-03,2001-04-23,58,فاما,SAMA
1380-02-04,2001-04-24,58,فاما,SAMA
1380-02-05,2001-04-25,59,فاما,SAMA
1380-02-08,2001-04-28,59,فاما,SAMA
1380-02-09,2001-04-29,60,فاما,SAMA
1380-02-10,2001-04-30,60,فاما,SAMA
1380-02-11,2001-05-01,61,فاما,SAMA
1380-02-12,2001-05-02,62,فاما,SAMA
1380-02-15,2001-05-05,63,فاما,SAMA
1380-02-16,2001-05-06,63,فاما,SAMA
1380-02-17,2001-05-07,64,فاما,SAMA
1380-02-18,2001-05-08,64,فاما,SAMA
1380-02-19,2001-05-09,66,فاما,SAMA
1380-02-22,2001-05-12,66,فاما,SAMA
1380-02-23,2001-05-13,67,فاما,SAMA
1380-02-25,2001-05-15,67,فاما,SAMA
1380-02-26,2001-05-16,68,فاما,SAMA
1380-02-29,2001-05-19,68,فاما,SAMA
1380-02-30,2001-05-20,70,فاما,SAMA
1380-02-31,2001-05-21,71,فاما,SAMA
1380-03-02,2001-05-23,71,فاما,SAMA
1380-03-05,2001-05-26,71,فاما,SAMA
1380-03-06,2001-05-27,71,فاما,SAMA
1380-03-07,2001-05-28,71,فاما,SAMA
1380-03-08,2001-05-29,71,فاما,SAMA
1380-03-09,2001-05-30,70,فاما,SAMA
1380-03-12,2001-06-02,68,فاما,SAMA
1380-03-16,2001-06-06,68,فاما,SAMA
1380-03-19,2001-06-09,68,فاما,SAMA
1380-03-21,2001-06-11,68,فاما,SAMA
1380-03-22,2001-06-12,68,فاما,SAMA
1380-03-23,2001-06-13,67,فاما,SAMA
1380-03-26,2001-06-16,67,فاما,SAMA
1380-03-27,2001-06-17,67,فاما,SAMA
1380-03-28,2001-06-18,68,فاما,SAMA
1380-03-29,2001-06-19,68,فاما,SAMA
1380-03-30,2001-06-20,67,فاما,SAMA
1380-04-02,2001-06-23,67,فاما,SAMA
1380-04-03,2001-06-24,67,فاما,SAMA
1380-04-04,2001-06-25,67,فاما,SAMA
1380-04-05,2001-06-26,67,فاما,SAMA
1380-04-06,2001-06-27,67,فاما,SAMA
1380-04-09,2001-06-30,68,فاما,SAMA
1380-04-10,2001-07-01,68,فاما,SAMA
1380-04-11,2001-07-02,68,فاما,SAMA
1380-04-12,2001-07-03,68,فاما,SAMA
1380-04-13,2001-07-04,68,فاما,SAMA
1380-04-16,2001-07-07,68,فاما,SAMA
1380-04-17,2001-07-08,68,فاما,SAMA
1380-04-18,2001-07-09,68,فاما,SAMA
1380-04-19,2001-07-10,66,فاما,SAMA
1380-04-20,2001-07-11,67,فاما,SAMA
1380-04-23,2001-07-14,67,فاما,SAMA
1380-04-24,2001-07-15,67,فاما,SAMA
1380-05-21,2001-08-12,58,فاما,SAMA
1380-05-22,2001-08-13,60,فاما,SAMA
1380-05-23,2001-08-14,60,فاما,SAMA
1380-05-24,2001-08-15,60,فاما,SAMA
1380-05-27,2001-08-18,61,فاما,SAMA
1380-05-28,2001-08-19,61,فاما,SAMA
1380-05-29,2001-08-20,62,فاما,SAMA
1380-05-30,2001-08-21,64,فاما,SAMA
1380-05-31,2001-08-22,67,فاما,SAMA
1380-06-03,2001-08-25,71,فاما,SAMA
1380-06-04,2001-08-26,71,فاما,SAMA
1380-06-05,2001-08-27,71,فاما,SAMA
1380-06-06,2001-08-28,72,فاما,SAMA
1380-06-07,2001-08-29,72,فاما,SAMA
1380-06-10,2001-09-01,72,فاما,SAMA
1380-06-11,2001-09-02,72,فاما,SAMA
1380-06-12,2001-09-03,72,فاما,SAMA
1380-06-13,2001-09-04,72,فاما,SAMA
1380-06-14,2001-09-05,72,فاما,SAMA
1380-06-17,2001-09-08,72,فاما,SAMA
1380-06-18,2001-09-09,72,فاما,SAMA
1380-06-19,2001-09-10,75,فاما,SAMA
1380-06-20,2001-09-11,75,فاما,SAMA
1380-06-21,2001-09-12,74,فاما,SAMA
1380-06-24,2001-09-15,74,فاما,SAMA
1380-06-25,2001-09-16,74,فاما,SAMA
1380-06-27,2001-09-18,74,فاما,SAMA
