J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-20,2001-04-09,33,وصندوق,SAND
1380-01-22,2001-04-11,33,وصندوق,SAND
1380-01-25,2001-04-14,33,وصندوق,SAND
1380-01-26,2001-04-15,33,وصندوق,SAND
1380-01-28,2001-04-17,34,وصندوق,SAND
1380-02-11,2001-05-01,36,وصندوق,SAND
1380-03-08,2001-05-29,37,وصندوق,SAND
1380-03-12,2001-06-02,39,وصندوق,SAND
1380-03-13,2001-06-03,41,وصندوق,SAND
1380-03-19,2001-06-09,43,وصندوق,SAND
1380-03-22,2001-06-12,46,وصندوق,SAND
1380-03-23,2001-06-13,46,وصندوق,SAND
1380-03-26,2001-06-16,47,وصندوق,SAND
1380-04-05,2001-06-26,45,وصندوق,SAND
1380-04-06,2001-06-27,45,وصندوق,SAND
1380-04-09,2001-06-30,46,وصندوق,SAND
1380-04-10,2001-07-01,47,وصندوق,SAND
1380-04-11,2001-07-02,47,وصندوق,SAND
1380-04-12,2001-07-03,47,وصندوق,SAND
1380-04-13,2001-07-04,47,وصندوق,SAND
1380-04-17,2001-07-08,45,وصندوق,SAND
1380-04-18,2001-07-09,45,وصندوق,SAND
1380-04-19,2001-07-10,45,وصندوق,SAND
1380-04-20,2001-07-11,45,وصندوق,SAND
1380-04-23,2001-07-14,46,وصندوق,SAND
1380-04-24,2001-07-15,46,وصندوق,SAND
1380-04-25,2001-07-16,45,وصندوق,SAND
1380-04-26,2001-07-17,45,وصندوق,SAND
1380-04-27,2001-07-18,45,وصندوق,SAND
1380-04-30,2001-07-21,45,وصندوق,SAND
1380-05-01,2001-07-23,45,وصندوق,SAND
1380-05-02,2001-07-24,45,وصندوق,SAND
1380-05-03,2001-07-25,45,وصندوق,SAND
1380-05-07,2001-07-29,45,وصندوق,SAND
1380-05-14,2001-08-05,46,وصندوق,SAND
1380-05-15,2001-08-06,46,وصندوق,SAND
1380-05-20,2001-08-11,46,وصندوق,SAND
1380-05-21,2001-08-12,46,وصندوق,SAND
1380-05-22,2001-08-13,46,وصندوق,SAND
1380-05-23,2001-08-14,46,وصندوق,SAND
1380-05-24,2001-08-15,46,وصندوق,SAND
1380-05-27,2001-08-18,46,وصندوق,SAND
1380-05-28,2001-08-19,46,وصندوق,SAND
1380-05-29,2001-08-20,47,وصندوق,SAND
1380-05-30,2001-08-21,47,وصندوق,SAND
1380-05-31,2001-08-22,47,وصندوق,SAND
1380-06-03,2001-08-25,47,وصندوق,SAND
1380-06-04,2001-08-26,47,وصندوق,SAND
1380-06-05,2001-08-27,47,وصندوق,SAND
1380-06-06,2001-08-28,47,وصندوق,SAND
1380-06-07,2001-08-29,47,وصندوق,SAND
1380-06-10,2001-09-01,47,وصندوق,SAND
1380-06-11,2001-09-02,46,وصندوق,SAND
1380-06-13,2001-09-04,46,وصندوق,SAND
1380-06-14,2001-09-05,46,وصندوق,SAND
1380-06-19,2001-09-10,46,وصندوق,SAND
1380-06-20,2001-09-11,47,وصندوق,SAND
1380-06-21,2001-09-12,47,وصندوق,SAND
1380-06-26,2001-09-17,47,وصندوق,SAND
1380-07-08,2001-09-30,46,وصندوق,SAND
1380-07-10,2001-10-02,46,وصندوق,SAND
1380-07-18,2001-10-10,45,وصندوق,SAND
1380-07-24,2001-10-16,43,وصندوق,SAND
1380-07-28,2001-10-20,42,وصندوق,SAND
1380-07-29,2001-10-21,42,وصندوق,SAND
1380-08-05,2001-10-27,42,وصندوق,SAND
1380-08-06,2001-10-28,42,وصندوق,SAND
1380-08-07,2001-10-29,42,وصندوق,SAND
1380-08-08,2001-10-30,42,وصندوق,SAND
1380-08-14,2001-11-05,42,وصندوق,SAND
1380-08-15,2001-11-06,42,وصندوق,SAND
1380-08-16,2001-11-07,42,وصندوق,SAND
1380-08-20,2001-11-11,42,وصندوق,SAND
1380-08-22,2001-11-13,44,وصندوق,SAND
1380-08-23,2001-11-14,45,وصندوق,SAND
1380-08-27,2001-11-18,45,وصندوق,SAND
1380-08-28,2001-11-19,45,وصندوق,SAND
1380-09-03,2001-11-24,45,وصندوق,SAND
1380-09-05,2001-11-26,45,وصندوق,SAND
1380-09-10,2001-12-01,46,وصندوق,SAND
1380-10-24,2002-01-14,40,وصندوق,SAND
1380-10-25,2002-01-15,40,وصندوق,SAND
1380-10-26,2002-01-16,40,وصندوق,SAND
1380-10-29,2002-01-19,40,وصندوق,SAND
1380-10-30,2002-01-20,40,وصندوق,SAND
1380-11-01,2002-01-21,40,وصندوق,SAND
1380-11-03,2002-01-23,40,وصندوق,SAND
1380-11-07,2002-01-27,40,وصندوق,SAND
1380-11-09,2002-01-29,39,وصندوق,SAND
1380-11-10,2002-01-30,39,وصندوق,SAND
1380-11-13,2002-02-02,39,وصندوق,SAND
1380-11-16,2002-02-05,38,وصندوق,SAND
1380-11-17,2002-02-06,38,وصندوق,SAND
1380-11-20,2002-02-09,38,وصندوق,SAND
1380-11-21,2002-02-10,37,وصندوق,SAND
1380-11-23,2002-02-12,37,وصندوق,SAND
1380-11-24,2002-02-13,37,وصندوق,SAND
1380-11-27,2002-02-16,37,وصندوق,SAND
1380-11-29,2002-02-18,37,وصندوق,SAND
1380-11-30,2002-02-19,37,وصندوق,SAND
1380-12-01,2002-02-20,37,وصندوق,SAND
1380-12-05,2002-02-24,37,وصندوق,SAND
