J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-04-24,2003-07-15,786,سبهان,SBHN
1382-04-25,2003-07-16,825,سبهان,SBHN
1382-04-28,2003-07-19,866,سبهان,SBHN
1382-04-29,2003-07-20,910,سبهان,SBHN
1382-04-30,2003-07-21,955,سبهان,SBHN
1382-04-31,2003-07-22,943,سبهان,SBHN
1382-05-01,2003-07-23,947,سبهان,SBHN
1382-05-04,2003-07-26,952,سبهان,SBHN
1382-05-05,2003-07-27,964,سبهان,SBHN
1382-05-06,2003-07-28,1009,سبهان,SBHN
1382-05-07,2003-07-29,1029,سبهان,SBHN
1382-05-08,2003-07-30,1029,سبهان,SBHN
1382-05-12,2003-08-03,996,سبهان,SBHN
1382-05-13,2003-08-04,994,سبهان,SBHN
1382-05-14,2003-08-05,960,سبهان,SBHN
1382-05-15,2003-08-06,957,سبهان,SBHN
1382-05-18,2003-08-09,957,سبهان,SBHN
1382-05-19,2003-08-10,948,سبهان,SBHN
1382-05-20,2003-08-11,943,سبهان,SBHN
1382-05-21,2003-08-12,943,سبهان,SBHN
1382-05-22,2003-08-13,943,سبهان,SBHN
1382-05-25,2003-08-16,932,سبهان,SBHN
1382-05-26,2003-08-17,908,سبهان,SBHN
1382-05-27,2003-08-18,926,سبهان,SBHN
1382-05-28,2003-08-19,943,سبهان,SBHN
1382-05-29,2003-08-20,943,سبهان,SBHN
1382-06-01,2003-08-23,943,سبهان,SBHN
1382-06-03,2003-08-25,943,سبهان,SBHN
1382-06-04,2003-08-26,943,سبهان,SBHN
1382-06-05,2003-08-27,943,سبهان,SBHN
1382-06-09,2003-08-31,943,سبهان,SBHN
1382-06-10,2003-09-01,943,سبهان,SBHN
1382-06-11,2003-09-02,943,سبهان,SBHN
1382-06-15,2003-09-06,943,سبهان,SBHN
1382-06-16,2003-09-07,943,سبهان,SBHN
1382-06-17,2003-09-08,943,سبهان,SBHN
1382-06-24,2003-09-15,930,سبهان,SBHN
1382-06-25,2003-09-16,927,سبهان,SBHN
1382-06-30,2003-09-21,927,سبهان,SBHN
1382-07-01,2003-09-23,913,سبهان,SBHN
1382-07-06,2003-09-28,907,سبهان,SBHN
1382-07-08,2003-09-30,900,سبهان,SBHN
1382-07-09,2003-10-01,896,سبهان,SBHN
1382-07-13,2003-10-05,889,سبهان,SBHN
1382-07-14,2003-10-06,887,سبهان,SBHN
1382-07-22,2003-10-14,858,سبهان,SBHN
1382-07-26,2003-10-18,858,سبهان,SBHN
1382-07-27,2003-10-19,816,سبهان,SBHN
1382-09-10,2003-12-01,880,سبهان,SBHN
1382-09-11,2003-12-02,924,سبهان,SBHN
1382-09-12,2003-12-03,970,سبهان,SBHN
1382-09-15,2003-12-06,1019,سبهان,SBHN
1382-09-16,2003-12-07,1019,سبهان,SBHN
1382-09-17,2003-12-08,992,سبهان,SBHN
1382-09-18,2003-12-09,994,سبهان,SBHN
1382-09-19,2003-12-10,994,سبهان,SBHN
1382-09-22,2003-12-13,994,سبهان,SBHN
1382-09-23,2003-12-14,993,سبهان,SBHN
1382-09-24,2003-12-15,991,سبهان,SBHN
1382-10-24,2004-01-14,1004,سبهان,SBHN
1382-10-27,2004-01-17,1029,سبهان,SBHN
1382-10-28,2004-01-18,1024,سبهان,SBHN
1382-10-29,2004-01-19,1014,سبهان,SBHN
1382-10-30,2004-01-20,1015,سبهان,SBHN
1382-11-01,2004-01-21,1018,سبهان,SBHN
1382-11-04,2004-01-24,1023,سبهان,SBHN
1382-11-05,2004-01-25,1023,سبهان,SBHN
1382-11-06,2004-01-26,1021,سبهان,SBHN
1382-11-07,2004-01-27,1005,سبهان,SBHN
1382-11-08,2004-01-28,996,سبهان,SBHN
1382-11-11,2004-01-31,996,سبهان,SBHN
1382-11-12,2004-02-01,996,سبهان,SBHN
1382-11-14,2004-02-03,997,سبهان,SBHN
1382-11-15,2004-02-04,996,سبهان,SBHN
1382-11-18,2004-02-07,998,سبهان,SBHN
1382-11-19,2004-02-08,1001,سبهان,SBHN
1382-11-20,2004-02-09,1001,سبهان,SBHN
1382-11-25,2004-02-14,1000,سبهان,SBHN
1382-11-26,2004-02-15,999,سبهان,SBHN
1382-11-28,2004-02-17,999,سبهان,SBHN
1382-11-29,2004-02-18,1003,سبهان,SBHN
1382-12-02,2004-02-21,1007,سبهان,SBHN
1382-12-03,2004-02-22,1013,سبهان,SBHN
1382-12-04,2004-02-23,1013,سبهان,SBHN
1382-12-05,2004-02-24,1013,سبهان,SBHN
1382-12-06,2004-02-25,1007,سبهان,SBHN
1382-12-09,2004-02-28,1012,سبهان,SBHN
1382-12-10,2004-02-29,1012,سبهان,SBHN
1382-12-13,2004-03-03,1012,سبهان,SBHN
1382-12-16,2004-03-06,1013,سبهان,SBHN
1382-12-17,2004-03-07,979,سبهان,SBHN
1382-12-18,2004-03-08,1001,سبهان,SBHN
1382-12-19,2004-03-09,1001,سبهان,SBHN
1382-12-20,2004-03-10,1001,سبهان,SBHN
1382-12-23,2004-03-13,1001,سبهان,SBHN
1382-12-24,2004-03-14,1001,سبهان,SBHN
1382-12-25,2004-03-15,1001,سبهان,SBHN
1382-12-26,2004-03-16,1001,سبهان,SBHN
1382-12-27,2004-03-17,1018,سبهان,SBHN
1383-01-09,2004-03-28,1018,سبهان,SBHN
1383-01-10,2004-03-29,1018,سبهان,SBHN
1383-01-11,2004-03-30,1018,سبهان,SBHN
1383-01-16,2004-04-04,1018,سبهان,SBHN
1383-01-17,2004-04-05,1018,سبهان,SBHN
1383-01-18,2004-04-06,1018,سبهان,SBHN
1383-01-19,2004-04-07,1017,سبهان,SBHN
1383-01-24,2004-04-12,1017,سبهان,SBHN
1383-01-26,2004-04-14,1017,سبهان,SBHN
1383-01-30,2004-04-18,1017,سبهان,SBHN
1383-02-05,2004-04-24,1017,سبهان,SBHN
