J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-10-29,2004-01-19,4797,سبجنو,SBOJ
1382-11-01,2004-01-21,4803,سبجنو,SBOJ
1382-11-04,2004-01-24,4803,سبجنو,SBOJ
1382-11-05,2004-01-25,4811,سبجنو,SBOJ
1382-11-06,2004-01-26,4831,سبجنو,SBOJ
1382-11-07,2004-01-27,5073,سبجنو,SBOJ
1382-11-08,2004-01-28,5163,سبجنو,SBOJ
1382-11-11,2004-01-31,5421,سبجنو,SBOJ
1382-11-12,2004-02-01,5684,سبجنو,SBOJ
1382-11-14,2004-02-03,5966,سبجنو,SBOJ
1382-11-15,2004-02-04,6263,سبجنو,SBOJ
1382-11-18,2004-02-07,6552,سبجنو,SBOJ
1382-11-19,2004-02-08,6626,سبجنو,SBOJ
1382-11-20,2004-02-09,6479,سبجنو,SBOJ
1382-11-25,2004-02-14,6389,سبجنو,SBOJ
1382-11-26,2004-02-15,6235,سبجنو,SBOJ
1382-11-27,2004-02-16,6174,سبجنو,SBOJ
1382-11-28,2004-02-17,6174,سبجنو,SBOJ
1382-11-29,2004-02-18,6463,سبجنو,SBOJ
1382-12-02,2004-02-21,6543,سبجنو,SBOJ
1382-12-03,2004-02-22,6663,سبجنو,SBOJ
1382-12-04,2004-02-23,6767,سبجنو,SBOJ
1382-12-05,2004-02-24,6825,سبجنو,SBOJ
1382-12-06,2004-02-25,6839,سبجنو,SBOJ
1382-12-09,2004-02-28,7005,سبجنو,SBOJ
1382-12-10,2004-02-29,7120,سبجنو,SBOJ
1382-12-13,2004-03-03,7352,سبجنو,SBOJ
1382-12-16,2004-03-06,7269,سبجنو,SBOJ
1382-12-17,2004-03-07,7166,سبجنو,SBOJ
1382-12-18,2004-03-08,7109,سبجنو,SBOJ
1382-12-19,2004-03-09,6972,سبجنو,SBOJ
1382-12-20,2004-03-10,6891,سبجنو,SBOJ
1382-12-23,2004-03-13,6864,سبجنو,SBOJ
1382-12-24,2004-03-14,6799,سبجنو,SBOJ
1382-12-25,2004-03-15,6674,سبجنو,SBOJ
1382-12-26,2004-03-16,6620,سبجنو,SBOJ
1382-12-27,2004-03-17,6674,سبجنو,SBOJ
1383-01-08,2004-03-27,6682,سبجنو,SBOJ
1383-01-09,2004-03-28,6694,سبجنو,SBOJ
1383-01-10,2004-03-29,6725,سبجنو,SBOJ
1383-01-11,2004-03-30,6774,سبجنو,SBOJ
1383-01-15,2004-04-03,6804,سبجنو,SBOJ
1383-01-16,2004-04-04,6853,سبجنو,SBOJ
1383-01-19,2004-04-07,6850,سبجنو,SBOJ
1383-01-22,2004-04-10,6783,سبجنو,SBOJ
1383-01-24,2004-04-12,6692,سبجنو,SBOJ
1383-01-25,2004-04-13,6669,سبجنو,SBOJ
1383-01-26,2004-04-14,6678,سبجنو,SBOJ
1383-01-29,2004-04-17,6669,سبجنو,SBOJ
1383-01-30,2004-04-18,6667,سبجنو,SBOJ
1383-02-02,2004-04-21,6667,سبجنو,SBOJ
1383-02-05,2004-04-24,6662,سبجنو,SBOJ
1383-02-06,2004-04-25,6617,سبجنو,SBOJ
1383-02-07,2004-04-26,6717,سبجنو,SBOJ
1383-02-08,2004-04-27,6714,سبجنو,SBOJ
1383-02-09,2004-04-28,6683,سبجنو,SBOJ
1383-02-12,2004-05-01,6677,سبجنو,SBOJ
1383-02-15,2004-05-04,6672,سبجنو,SBOJ
1383-02-16,2004-05-05,6349,سبجنو,SBOJ
1383-02-19,2004-05-08,6393,سبجنو,SBOJ
1383-02-20,2004-05-09,6393,سبجنو,SBOJ
1383-02-21,2004-05-10,6393,سبجنو,SBOJ
