J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-12-19,2002-03-10,4832,خکاوه,SDLP
1380-12-20,2002-03-11,4926,خکاوه,SDLP
1380-12-21,2002-03-12,5171,خکاوه,SDLP
1381-03-07,2002-05-28,6903,خکاوه,SDLP
1381-03-08,2002-05-29,6903,خکاوه,SDLP
1381-03-11,2002-06-01,6906,خکاوه,SDLP
1381-03-12,2002-06-02,6966,خکاوه,SDLP
1381-03-13,2002-06-03,7180,خکاوه,SDLP
1381-04-11,2002-07-02,7217,خکاوه,SDLP
1381-04-12,2002-07-03,7280,خکاوه,SDLP
1381-04-15,2002-07-06,7318,خکاوه,SDLP
1381-04-16,2002-07-07,7531,خکاوه,SDLP
1381-04-17,2002-07-08,7719,خکاوه,SDLP
1381-04-18,2002-07-09,8033,خکاوه,SDLP
1381-04-19,2002-07-10,8008,خکاوه,SDLP
1381-04-22,2002-07-13,7970,خکاوه,SDLP
1381-04-23,2002-07-14,7845,خکاوه,SDLP
1381-04-24,2002-07-15,7846,خکاوه,SDLP
1381-04-25,2002-07-16,7845,خکاوه,SDLP
1381-04-26,2002-07-17,7841,خکاوه,SDLP
1381-04-29,2002-07-20,7778,خکاوه,SDLP
1381-04-30,2002-07-21,7512,خکاوه,SDLP
1381-04-31,2002-07-22,7406,خکاوه,SDLP
1381-05-01,2002-07-23,7421,خکاوه,SDLP
1381-05-02,2002-07-24,7531,خکاوه,SDLP
1381-05-05,2002-07-27,7406,خکاوه,SDLP
1381-05-06,2002-07-28,7270,خکاوه,SDLP
1381-05-07,2002-07-29,7217,خکاوه,SDLP
1381-05-08,2002-07-30,7126,خکاوه,SDLP
1381-05-09,2002-07-31,6903,خکاوه,SDLP
1381-05-12,2002-08-03,6903,خکاوه,SDLP
1381-05-13,2002-08-04,6878,خکاوه,SDLP
1381-05-14,2002-08-05,6841,خکاوه,SDLP
1381-05-15,2002-08-06,6836,خکاوه,SDLP
1381-05-16,2002-08-07,6718,خکاوه,SDLP
1381-05-19,2002-08-10,6689,خکاوه,SDLP
1381-05-20,2002-08-11,6674,خکاوه,SDLP
1381-05-22,2002-08-13,6841,خکاوه,SDLP
1381-05-23,2002-08-14,7029,خکاوه,SDLP
1381-05-26,2002-08-17,7153,خکاوه,SDLP
1381-05-27,2002-08-18,7155,خکاوه,SDLP
1381-05-28,2002-08-19,7141,خکاوه,SDLP
1381-05-29,2002-08-20,7139,خکاوه,SDLP
1381-05-30,2002-08-21,7117,خکاوه,SDLP
1381-06-05,2002-08-27,7117,خکاوه,SDLP
1381-06-06,2002-08-28,7004,خکاوه,SDLP
1381-06-09,2002-08-31,6991,خکاوه,SDLP
1381-06-10,2002-09-01,6979,خکاوه,SDLP
1381-06-11,2002-09-02,6989,خکاوه,SDLP
1381-06-12,2002-09-03,6979,خکاوه,SDLP
1381-06-13,2002-09-04,7029,خکاوه,SDLP
1381-06-16,2002-09-07,7029,خکاوه,SDLP
1381-06-17,2002-09-08,7038,خکاوه,SDLP
1381-06-18,2002-09-09,7096,خکاوه,SDLP
1381-06-19,2002-09-10,7096,خکاوه,SDLP
1381-06-20,2002-09-11,7161,خکاوه,SDLP
1381-06-23,2002-09-14,7270,خکاوه,SDLP
1381-07-02,2002-09-24,7895,خکاوه,SDLP
1381-07-03,2002-09-25,7659,خکاوه,SDLP
1381-07-06,2002-09-28,7782,خکاوه,SDLP
1381-07-07,2002-09-29,7768,خکاوه,SDLP
1381-07-08,2002-09-30,7762,خکاوه,SDLP
1381-07-09,2002-10-01,7780,خکاوه,SDLP
1381-07-10,2002-10-02,7757,خکاوه,SDLP
1381-07-14,2002-10-06,7748,خکاوه,SDLP
1381-07-15,2002-10-07,7657,خکاوه,SDLP
1381-07-16,2002-10-08,7619,خکاوه,SDLP
1381-07-17,2002-10-09,7650,خکاوه,SDLP
1381-07-20,2002-10-12,7589,خکاوه,SDLP
1381-07-21,2002-10-13,7468,خکاوه,SDLP
1381-07-22,2002-10-14,7571,خکاوه,SDLP
1381-07-23,2002-10-15,7527,خکاوه,SDLP
1381-07-24,2002-10-16,7529,خکاوه,SDLP
1381-07-27,2002-10-19,7600,خکاوه,SDLP
1381-07-28,2002-10-20,7719,خکاوه,SDLP
1381-07-29,2002-10-21,7782,خکاوه,SDLP
1381-08-01,2002-10-23,7814,خکاوه,SDLP
1381-08-04,2002-10-26,7845,خکاوه,SDLP
1381-08-05,2002-10-27,7845,خکاوه,SDLP
1381-08-06,2002-10-28,7845,خکاوه,SDLP
1381-08-07,2002-10-29,7807,خکاوه,SDLP
1381-08-08,2002-10-30,7782,خکاوه,SDLP
1381-08-11,2002-11-02,7791,خکاوه,SDLP
1381-08-12,2002-11-03,7845,خکاوه,SDLP
1381-08-13,2002-11-04,7859,خکاوه,SDLP
1381-08-14,2002-11-05,8033,خکاوه,SDLP
1381-08-15,2002-11-06,8198,خکاوه,SDLP
1381-08-18,2002-11-09,8607,خکاوه,SDLP
1381-08-19,2002-11-10,9035,خکاوه,SDLP
1381-08-20,2002-11-11,9024,خکاوه,SDLP
1381-08-21,2002-11-12,8786,خکاوه,SDLP
1381-08-22,2002-11-13,8786,خکاوه,SDLP
1381-08-25,2002-11-16,8975,خکاوه,SDLP
1381-08-26,2002-11-17,9351,خکاوه,SDLP
1381-08-27,2002-11-18,9351,خکاوه,SDLP
