J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-12-06,2003-02-25,1402,سدور,SDOR
1381-12-07,2003-02-26,1408,سدور,SDOR
1381-12-10,2003-03-01,1416,سدور,SDOR
1381-12-11,2003-03-02,1423,سدور,SDOR
1381-12-12,2003-03-03,1425,سدور,SDOR
1381-12-13,2003-03-04,1425,سدور,SDOR
1381-12-14,2003-03-05,1425,سدور,SDOR
1381-12-17,2003-03-08,1424,سدور,SDOR
1381-12-19,2003-03-10,1353,سدور,SDOR
1381-12-21,2003-03-12,1373,سدور,SDOR
1381-12-24,2003-03-15,1373,سدور,SDOR
1381-12-25,2003-03-16,1423,سدور,SDOR
1381-12-27,2003-03-18,1402,سدور,SDOR
1381-12-28,2003-03-19,1402,سدور,SDOR
1382-01-10,2003-03-30,1401,سدور,SDOR
1382-01-11,2003-03-31,1402,سدور,SDOR
1382-01-16,2003-04-05,1415,سدور,SDOR
1382-01-17,2003-04-06,1427,سدور,SDOR
1382-01-18,2003-04-07,1441,سدور,SDOR
1382-01-19,2003-04-08,1456,سدور,SDOR
1382-01-20,2003-04-09,1529,سدور,SDOR
1382-01-23,2003-04-12,1605,سدور,SDOR
1382-01-24,2003-04-13,1685,سدور,SDOR
1382-01-25,2003-04-14,1770,سدور,SDOR
1382-01-26,2003-04-15,1857,سدور,SDOR
1382-02-22,2003-05-12,1963,سدور,SDOR
1382-02-23,2003-05-13,2058,سدور,SDOR
1382-02-24,2003-05-14,2071,سدور,SDOR
1382-02-27,2003-05-17,2120,سدور,SDOR
1382-02-28,2003-05-18,2162,سدور,SDOR
1382-02-30,2003-05-20,2160,سدور,SDOR
1382-02-31,2003-05-21,2127,سدور,SDOR
1382-03-03,2003-05-24,2148,سدور,SDOR
1382-03-04,2003-05-25,2167,سدور,SDOR
1382-03-05,2003-05-26,2230,سدور,SDOR
1382-03-06,2003-05-27,2275,سدور,SDOR
1382-03-07,2003-05-28,2288,سدور,SDOR
1382-03-10,2003-05-31,2235,سدور,SDOR
1382-03-11,2003-06-01,2123,سدور,SDOR
1382-03-12,2003-06-02,2123,سدور,SDOR
1382-03-13,2003-06-03,2167,سدور,SDOR
1382-03-17,2003-06-07,2103,سدور,SDOR
1382-03-18,2003-06-08,2103,سدور,SDOR
