J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-09-07,2001-11-28,155,خصدرا,SDRP
1380-10-04,2001-12-25,163,خصدرا,SDRP
1381-05-07,2002-07-29,880,خصدرا,SDRP
1381-05-08,2002-07-30,858,خصدرا,SDRP
1381-05-09,2002-07-31,837,خصدرا,SDRP
1381-05-12,2002-08-03,816,خصدرا,SDRP
1381-05-13,2002-08-04,836,خصدرا,SDRP
1381-05-14,2002-08-05,846,خصدرا,SDRP
1381-05-15,2002-08-06,867,خصدرا,SDRP
1381-05-16,2002-08-07,889,خصدرا,SDRP
1381-05-19,2002-08-10,911,خصدرا,SDRP
1381-05-20,2002-08-11,911,خصدرا,SDRP
1381-05-22,2002-08-13,906,خصدرا,SDRP
1381-05-23,2002-08-14,895,خصدرا,SDRP
1381-05-26,2002-08-17,886,خصدرا,SDRP
1381-05-27,2002-08-18,886,خصدرا,SDRP
1381-05-28,2002-08-19,909,خصدرا,SDRP
1381-05-29,2002-08-20,931,خصدرا,SDRP
1381-05-30,2002-08-21,941,خصدرا,SDRP
1381-06-05,2002-08-27,988,خصدرا,SDRP
1381-06-06,2002-08-28,1037,خصدرا,SDRP
1381-06-09,2002-08-31,1089,خصدرا,SDRP
1381-06-10,2002-09-01,1143,خصدرا,SDRP
1381-06-11,2002-09-02,1200,خصدرا,SDRP
1381-06-12,2002-09-03,1260,خصدرا,SDRP
1381-06-13,2002-09-04,1310,خصدرا,SDRP
1381-06-16,2002-09-07,1244,خصدرا,SDRP
1381-06-17,2002-09-08,1182,خصدرا,SDRP
1381-06-18,2002-09-09,1201,خصدرا,SDRP
1381-06-19,2002-09-10,1210,خصدرا,SDRP
1381-06-20,2002-09-11,1211,خصدرا,SDRP
1381-06-23,2002-09-14,1150,خصدرا,SDRP
1381-06-24,2002-09-15,1149,خصدرا,SDRP
1381-06-25,2002-09-16,1166,خصدرا,SDRP
1381-06-26,2002-09-17,1225,خصدرا,SDRP
1381-06-27,2002-09-18,1258,خصدرا,SDRP
1381-06-31,2002-09-22,1268,خصدرا,SDRP
1381-07-01,2002-09-23,1272,خصدرا,SDRP
1381-07-02,2002-09-24,1209,خصدرا,SDRP
1381-07-03,2002-09-25,1178,خصدرا,SDRP
1381-07-06,2002-09-28,1207,خصدرا,SDRP
1381-07-07,2002-09-29,1252,خصدرا,SDRP
1381-07-08,2002-09-30,1281,خصدرا,SDRP
1381-07-09,2002-10-01,1243,خصدرا,SDRP
1381-07-10,2002-10-02,1264,خصدرا,SDRP
1381-07-14,2002-10-06,1269,خصدرا,SDRP
1381-07-15,2002-10-07,1218,خصدرا,SDRP
1381-07-16,2002-10-08,1157,خصدرا,SDRP
1381-07-17,2002-10-09,1099,خصدرا,SDRP
1381-07-20,2002-10-12,1097,خصدرا,SDRP
1381-07-21,2002-10-13,1081,خصدرا,SDRP
1381-07-22,2002-10-14,1027,خصدرا,SDRP
1381-07-23,2002-10-15,976,خصدرا,SDRP
1381-08-25,2002-11-16,1641,خصدرا,SDRP
1381-08-26,2002-11-17,1641,خصدرا,SDRP
1381-08-27,2002-11-18,1601,خصدرا,SDRP
1381-08-28,2002-11-19,1601,خصدرا,SDRP
1381-08-29,2002-11-20,1633,خصدرا,SDRP
1381-09-02,2002-11-23,1633,خصدرا,SDRP
1381-09-03,2002-11-24,1635,خصدرا,SDRP
1381-09-04,2002-11-25,1635,خصدرا,SDRP
1381-09-05,2002-11-26,1636,خصدرا,SDRP
1381-09-09,2002-11-30,1663,خصدرا,SDRP
1381-09-10,2002-12-01,1647,خصدرا,SDRP
1381-09-11,2002-12-02,1650,خصدرا,SDRP
1381-09-12,2002-12-03,1650,خصدرا,SDRP
1381-09-13,2002-12-04,1647,خصدرا,SDRP
1381-09-16,2002-12-07,1650,خصدرا,SDRP
1381-09-17,2002-12-08,1654,خصدرا,SDRP
1381-09-18,2002-12-09,1693,خصدرا,SDRP
1381-09-19,2002-12-10,1681,خصدرا,SDRP
1381-09-20,2002-12-11,1613,خصدرا,SDRP
1381-09-23,2002-12-14,1653,خصدرا,SDRP
1381-09-24,2002-12-15,1647,خصدرا,SDRP
1381-09-25,2002-12-16,1613,خصدرا,SDRP
1381-09-26,2002-12-17,1609,خصدرا,SDRP
1381-09-27,2002-12-18,1607,خصدرا,SDRP
1381-09-30,2002-12-21,1601,خصدرا,SDRP
1381-10-01,2002-12-22,1521,خصدرا,SDRP
1381-10-02,2002-12-23,1527,خصدرا,SDRP
1381-10-03,2002-12-24,1578,خصدرا,SDRP
1381-10-04,2002-12-25,1558,خصدرا,SDRP
1381-10-07,2002-12-28,1543,خصدرا,SDRP
1381-10-08,2002-12-29,1501,خصدرا,SDRP
1381-10-10,2002-12-31,1489,خصدرا,SDRP
1381-10-11,2003-01-01,1492,خصدرا,SDRP
1381-10-14,2003-01-04,1493,خصدرا,SDRP
1381-10-15,2003-01-05,1507,خصدرا,SDRP
1381-10-16,2003-01-06,1515,خصدرا,SDRP
1381-10-17,2003-01-07,1510,خصدرا,SDRP
1381-10-18,2003-01-08,1507,خصدرا,SDRP
