J-Date,Date,Adj Close,Ticker,Ticker(4)
1386-04-24,2007-07-15,210,سدشت,SDST
1386-04-25,2007-07-16,213,سدشت,SDST
1386-04-26,2007-07-17,213,سدشت,SDST
1386-04-30,2007-07-21,212,سدشت,SDST
1386-04-31,2007-07-22,210,سدشت,SDST
1386-05-01,2007-07-23,210,سدشت,SDST
1386-05-02,2007-07-24,208,سدشت,SDST
1386-05-03,2007-07-25,206,سدشت,SDST
1386-05-07,2007-07-29,206,سدشت,SDST
1386-05-08,2007-07-30,206,سدشت,SDST
1386-05-13,2007-08-04,206,سدشت,SDST
1386-05-15,2007-08-06,205,سدشت,SDST
1386-05-16,2007-08-07,205,سدشت,SDST
1386-05-17,2007-08-08,204,سدشت,SDST
1386-05-22,2007-08-13,204,سدشت,SDST
1386-05-23,2007-08-14,200,سدشت,SDST
1386-05-28,2007-08-19,200,سدشت,SDST
1386-05-29,2007-08-20,200,سدشت,SDST
1386-05-30,2007-08-21,197,سدشت,SDST
1386-06-04,2007-08-26,197,سدشت,SDST
1386-06-05,2007-08-27,197,سدشت,SDST
1386-06-11,2007-09-02,197,سدشت,SDST
1386-06-12,2007-09-03,197,سدشت,SDST
1386-06-14,2007-09-05,198,سدشت,SDST
1386-06-18,2007-09-09,197,سدشت,SDST
1386-06-20,2007-09-11,197,سدشت,SDST
1386-06-24,2007-09-15,197,سدشت,SDST
1386-06-27,2007-09-18,197,سدشت,SDST
1386-07-15,2007-10-07,197,سدشت,SDST
1386-08-13,2007-11-04,197,سدشت,SDST
1386-08-14,2007-11-05,197,سدشت,SDST
1386-08-20,2007-11-11,197,سدشت,SDST
1386-08-22,2007-11-13,197,سدشت,SDST
1386-08-27,2007-11-18,197,سدشت,SDST
1386-09-03,2007-11-24,197,سدشت,SDST
1386-10-01,2007-12-22,297,سدشت,SDST
1386-10-03,2007-12-24,297,سدشت,SDST
1386-10-04,2007-12-25,297,سدشت,SDST
1386-10-19,2008-01-09,303,سدشت,SDST
1386-10-22,2008-01-12,309,سدشت,SDST
1386-10-23,2008-01-13,315,سدشت,SDST
1386-10-26,2008-01-16,315,سدشت,SDST
1386-11-01,2008-01-21,316,سدشت,SDST
1386-11-24,2008-02-13,316,سدشت,SDST
1386-12-08,2008-02-27,316,سدشت,SDST
1387-03-05,2008-05-25,328,سدشت,SDST
1387-03-06,2008-05-26,328,سدشت,SDST
1387-03-19,2008-06-08,344,سدشت,SDST
1387-04-10,2008-06-30,344,سدشت,SDST
1387-04-25,2008-07-15,409,سدشت,SDST
1387-04-29,2008-07-19,410,سدشت,SDST
1387-05-08,2008-07-29,410,سدشت,SDST
1387-05-12,2008-08-02,410,سدشت,SDST
1387-05-15,2008-08-05,410,سدشت,SDST
1387-06-09,2008-08-30,410,سدشت,SDST
1387-06-24,2008-09-14,410,سدشت,SDST
1387-06-25,2008-09-15,410,سدشت,SDST
1387-07-14,2008-10-05,410,سدشت,SDST
1387-07-15,2008-10-06,410,سدشت,SDST
1387-07-16,2008-10-07,410,سدشت,SDST
1387-07-21,2008-10-12,410,سدشت,SDST
1387-07-29,2008-10-20,411,سدشت,SDST
1387-08-06,2008-10-27,411,سدشت,SDST
1387-10-14,2009-01-03,423,سدشت,SDST
1387-10-15,2009-01-04,423,سدشت,SDST
1387-10-23,2009-01-12,423,سدشت,SDST
1387-12-18,2009-03-08,377,سدشت,SDST
1387-12-19,2009-03-09,365,سدشت,SDST
1387-12-20,2009-03-10,365,سدشت,SDST
1388-03-05,2009-05-26,376,سدشت,SDST
1388-03-12,2009-06-02,245,سدشت,SDST
1388-04-01,2009-06-22,300,سدشت,SDST
1388-04-02,2009-06-23,313,سدشت,SDST
1388-04-08,2009-06-29,305,سدشت,SDST
1388-04-10,2009-07-01,314,سدشت,SDST
1388-05-28,2009-08-19,314,سدشت,SDST
1388-05-31,2009-08-22,323,سدشت,SDST
1388-06-01,2009-08-23,324,سدشت,SDST
1388-06-24,2009-09-15,324,سدشت,SDST
1388-06-31,2009-09-22,305,سدشت,SDST
1388-07-05,2009-09-27,314,سدشت,SDST
1388-07-08,2009-09-30,300,سدشت,SDST
1388-07-13,2009-10-05,297,سدشت,SDST
1388-07-21,2009-10-13,314,سدشت,SDST
