J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-09-26,2003-12-17,2288,سیلام,SEIL
1382-09-30,2003-12-21,2288,سیلام,SEIL
1382-10-01,2003-12-22,2289,سیلام,SEIL
1382-10-02,2003-12-23,2290,سیلام,SEIL
1382-10-03,2003-12-24,2267,سیلام,SEIL
1382-10-06,2003-12-27,2255,سیلام,SEIL
1382-10-07,2003-12-28,2244,سیلام,SEIL
1382-10-08,2003-12-29,2235,سیلام,SEIL
1382-10-09,2003-12-30,2233,سیلام,SEIL
1382-10-10,2003-12-31,2217,سیلام,SEIL
1382-10-13,2004-01-03,2215,سیلام,SEIL
1382-10-14,2004-01-04,2213,سیلام,SEIL
1382-10-15,2004-01-05,2210,سیلام,SEIL
1382-10-16,2004-01-06,2100,سیلام,SEIL
1382-10-17,2004-01-07,2087,سیلام,SEIL
1382-10-20,2004-01-10,2088,سیلام,SEIL
1382-10-21,2004-01-11,1986,سیلام,SEIL
1382-10-22,2004-01-12,1896,سیلام,SEIL
1382-10-23,2004-01-13,1896,سیلام,SEIL
1382-10-24,2004-01-14,1898,سیلام,SEIL
1382-10-27,2004-01-17,1899,سیلام,SEIL
1382-10-28,2004-01-18,1917,سیلام,SEIL
1382-10-29,2004-01-19,1939,سیلام,SEIL
1382-10-30,2004-01-20,1943,سیلام,SEIL
1382-11-04,2004-01-24,1965,سیلام,SEIL
1382-11-05,2004-01-25,2063,سیلام,SEIL
1382-11-06,2004-01-26,2064,سیلام,SEIL
1382-11-07,2004-01-27,2167,سیلام,SEIL
1382-11-08,2004-01-28,2173,سیلام,SEIL
1382-11-11,2004-01-31,2175,سیلام,SEIL
1382-11-12,2004-02-01,2187,سیلام,SEIL
1382-11-14,2004-02-03,2227,سیلام,SEIL
1382-11-15,2004-02-04,2202,سیلام,SEIL
1382-11-18,2004-02-07,2220,سیلام,SEIL
1382-11-19,2004-02-08,2275,سیلام,SEIL
1382-11-20,2004-02-09,2382,سیلام,SEIL
1382-11-25,2004-02-14,2382,سیلام,SEIL
1382-11-26,2004-02-15,2423,سیلام,SEIL
1382-11-27,2004-02-16,2424,سیلام,SEIL
1382-11-28,2004-02-17,2420,سیلام,SEIL
1382-11-29,2004-02-18,2420,سیلام,SEIL
1382-12-02,2004-02-21,2419,سیلام,SEIL
1382-12-03,2004-02-22,2415,سیلام,SEIL
1382-12-04,2004-02-23,2407,سیلام,SEIL
1382-12-05,2004-02-24,2399,سیلام,SEIL
1382-12-06,2004-02-25,2391,سیلام,SEIL
1382-12-09,2004-02-28,2388,سیلام,SEIL
1382-12-10,2004-02-29,2382,سیلام,SEIL
1382-12-13,2004-03-03,2375,سیلام,SEIL
1382-12-16,2004-03-06,2364,سیلام,SEIL
1382-12-17,2004-03-07,2346,سیلام,SEIL
1382-12-18,2004-03-08,2335,سیلام,SEIL
1382-12-19,2004-03-09,2324,سیلام,SEIL
1382-12-20,2004-03-10,2315,سیلام,SEIL
1382-12-23,2004-03-13,2307,سیلام,SEIL
