J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-03-13,2018-06-03,1021,سپ,SEPK
1397-03-19,2018-06-09,1072,سپ,SEPK
1397-03-20,2018-06-10,1126,سپ,SEPK
1397-03-21,2018-06-11,1175,سپ,SEPK
1397-03-22,2018-06-12,1210,سپ,SEPK
1397-03-23,2018-06-13,1323,سپ,SEPK
1397-03-27,2018-06-17,1352,سپ,SEPK
1397-03-28,2018-06-18,1417,سپ,SEPK
1397-03-29,2018-06-19,1487,سپ,SEPK
1397-03-30,2018-06-20,1560,سپ,SEPK
1397-04-02,2018-06-23,1650,سپ,SEPK
1397-04-03,2018-06-24,1547,سپ,SEPK
1397-04-04,2018-06-25,1509,سپ,SEPK
1397-04-05,2018-06-26,1486,سپ,SEPK
1397-04-06,2018-06-27,1448,سپ,SEPK
1397-04-09,2018-06-30,1469,سپ,SEPK
1397-04-10,2018-07-01,1461,سپ,SEPK
1397-04-11,2018-07-02,1469,سپ,SEPK
1397-04-12,2018-07-03,1486,سپ,SEPK
1397-04-13,2018-07-04,1475,سپ,SEPK
1397-04-16,2018-07-07,1461,سپ,SEPK
1397-04-17,2018-07-08,1453,سپ,SEPK
1397-04-19,2018-07-10,1457,سپ,SEPK
1397-04-20,2018-07-11,1419,سپ,SEPK
1397-04-23,2018-07-14,1441,سپ,SEPK
1397-04-24,2018-07-15,1466,سپ,SEPK
1397-04-25,2018-07-16,1480,سپ,SEPK
1397-04-26,2018-07-17,1471,سپ,SEPK
1397-04-27,2018-07-18,1435,سپ,SEPK
1397-04-30,2018-07-21,1446,سپ,SEPK
1397-04-31,2018-07-22,1520,سپ,SEPK
1397-05-01,2018-07-23,1493,سپ,SEPK
1397-05-02,2018-07-24,1501,سپ,SEPK
1397-05-03,2018-07-25,1482,سپ,SEPK
1397-05-06,2018-07-28,1496,سپ,SEPK
1397-05-07,2018-07-29,1477,سپ,SEPK
1397-05-08,2018-07-30,1485,سپ,SEPK
1397-05-09,2018-07-31,1504,سپ,SEPK
1397-05-10,2018-08-01,1554,سپ,SEPK
1397-05-13,2018-08-04,1535,سپ,SEPK
1397-05-14,2018-08-05,1509,سپ,SEPK
1397-05-15,2018-08-06,1608,سپ,SEPK
1397-05-16,2018-08-07,1571,سپ,SEPK
1397-05-17,2018-08-08,1593,سپ,SEPK
1397-05-20,2018-08-11,1595,سپ,SEPK
1397-05-21,2018-08-12,1588,سپ,SEPK
1397-05-22,2018-08-13,1600,سپ,SEPK
1397-05-23,2018-08-14,1573,سپ,SEPK
1397-05-24,2018-08-15,1591,سپ,SEPK
1397-05-27,2018-08-18,1601,سپ,SEPK
1397-05-28,2018-08-19,1568,سپ,SEPK
1397-05-29,2018-08-20,1596,سپ,SEPK
1397-05-30,2018-08-21,1603,سپ,SEPK
1397-06-03,2018-08-25,1691,سپ,SEPK
1397-06-04,2018-08-26,1768,سپ,SEPK
1397-06-05,2018-08-27,1762,سپ,SEPK
1397-06-06,2018-08-28,1713,سپ,SEPK
1397-06-07,2018-08-29,1728,سپ,SEPK
1397-06-10,2018-09-01,1685,سپ,SEPK
1397-06-11,2018-09-02,1681,سپ,SEPK
1397-06-12,2018-09-03,1666,سپ,SEPK
1397-06-13,2018-09-04,1749,سپ,SEPK
1397-06-14,2018-09-05,1758,سپ,SEPK
1397-06-17,2018-09-08,1774,سپ,SEPK
1397-06-18,2018-09-09,1795,سپ,SEPK
1397-06-19,2018-09-10,1799,سپ,SEPK
1397-06-20,2018-09-11,1736,سپ,SEPK
1397-06-21,2018-09-12,1839,سپ,SEPK
1397-06-24,2018-09-15,1823,سپ,SEPK
1397-06-25,2018-09-16,1755,سپ,SEPK
1397-06-26,2018-09-17,1748,سپ,SEPK
1397-07-01,2018-09-23,1769,سپ,SEPK
1397-07-02,2018-09-24,1729,سپ,SEPK
1397-07-03,2018-09-25,1788,سپ,SEPK
1397-07-04,2018-09-26,1854,سپ,SEPK
1397-07-07,2018-09-29,1915,سپ,SEPK
1397-07-08,2018-09-30,2011,سپ,SEPK
1397-07-09,2018-10-01,2070,سپ,SEPK
1397-07-10,2018-10-02,1902,سپ,SEPK
1397-07-11,2018-10-03,1871,سپ,SEPK
1397-07-14,2018-10-06,1834,سپ,SEPK
1397-07-15,2018-10-07,1906,سپ,SEPK
1397-07-16,2018-10-08,1977,سپ,SEPK
1397-07-17,2018-10-09,2076,سپ,SEPK
1397-07-18,2018-10-10,2153,سپ,SEPK
1397-07-21,2018-10-13,2260,سپ,SEPK
1397-07-23,2018-10-15,2404,سپ,SEPK
1397-07-24,2018-10-16,2389,سپ,SEPK
1397-07-25,2018-10-17,2499,سپ,SEPK
1397-07-28,2018-10-20,2579,سپ,SEPK
1397-07-29,2018-10-21,2630,سپ,SEPK
1397-07-30,2018-10-22,2747,سپ,SEPK
1397-08-01,2018-10-23,2633,سپ,SEPK
1397-08-02,2018-10-24,2695,سپ,SEPK
1397-08-05,2018-10-27,2640,سپ,SEPK
1397-08-06,2018-10-28,2672,سپ,SEPK
1397-08-07,2018-10-29,2565,سپ,SEPK
1397-08-09,2018-10-31,2562,سپ,SEPK
1397-08-12,2018-11-03,2593,سپ,SEPK
1397-08-13,2018-11-04,2606,سپ,SEPK
1397-08-14,2018-11-05,2708,سپ,SEPK
1397-08-15,2018-11-06,2692,سپ,SEPK
1397-08-19,2018-11-10,2634,سپ,SEPK
1397-08-20,2018-11-11,2562,سپ,SEPK
1397-08-21,2018-11-12,2560,سپ,SEPK
1397-08-22,2018-11-13,2637,سپ,SEPK
1397-08-23,2018-11-14,2616,سپ,SEPK
1397-08-26,2018-11-17,2568,سپ,SEPK
1397-08-27,2018-11-18,2457,سپ,SEPK
1397-08-28,2018-11-19,2515,سپ,SEPK
1397-08-29,2018-11-20,2513,سپ,SEPK
1397-08-30,2018-11-21,2514,سپ,SEPK
1397-09-03,2018-11-24,2466,سپ,SEPK
1397-09-05,2018-11-26,2381,سپ,SEPK
1397-09-06,2018-11-27,2446,سپ,SEPK
1397-09-07,2018-11-28,2452,سپ,SEPK
1397-09-10,2018-12-01,2357,سپ,SEPK
1397-09-11,2018-12-02,2428,سپ,SEPK
1397-09-12,2018-12-03,2397,سپ,SEPK
1397-09-13,2018-12-04,2400,سپ,SEPK
1397-09-14,2018-12-05,2467,سپ,SEPK
1397-09-17,2018-12-08,2551,سپ,SEPK
1397-09-18,2018-12-09,2625,سپ,SEPK
1397-09-19,2018-12-10,2694,سپ,SEPK
1397-09-20,2018-12-11,2625,سپ,SEPK
1397-09-21,2018-12-12,2624,سپ,SEPK
1397-09-24,2018-12-15,2539,سپ,SEPK
1397-09-25,2018-12-16,2475,سپ,SEPK
1397-09-26,2018-12-17,2448,سپ,SEPK
1397-09-27,2018-12-18,2420,سپ,SEPK
1397-09-28,2018-12-19,2521,سپ,SEPK
1397-10-01,2018-12-22,2447,سپ,SEPK
1397-10-02,2018-12-23,2441,سپ,SEPK
1397-10-03,2018-12-24,2411,سپ,SEPK
1397-10-04,2018-12-25,2483,سپ,SEPK
1397-10-05,2018-12-26,2420,سپ,SEPK
1397-10-08,2018-12-29,2467,سپ,SEPK
1397-10-09,2018-12-30,2430,سپ,SEPK
1397-10-10,2018-12-31,2414,سپ,SEPK
1397-10-11,2019-01-01,2436,سپ,SEPK
1397-10-12,2019-01-02,2404,سپ,SEPK
1397-10-15,2019-01-05,2358,سپ,SEPK
1397-10-16,2019-01-06,2483,سپ,SEPK
1397-10-17,2019-01-07,2534,سپ,SEPK
1397-10-18,2019-01-08,2635,سپ,SEPK
1397-10-19,2019-01-09,2619,سپ,SEPK
1397-10-22,2019-01-12,2680,سپ,SEPK
1397-10-23,2019-01-13,2732,سپ,SEPK
1397-10-24,2019-01-14,2833,سپ,SEPK
1397-10-25,2019-01-15,2834,سپ,SEPK
1397-10-26,2019-01-16,2829,سپ,SEPK
1397-10-29,2019-01-19,2797,سپ,SEPK
1397-10-30,2019-01-20,2813,سپ,SEPK
1397-11-01,2019-01-21,2793,سپ,SEPK
1397-11-02,2019-01-22,2782,سپ,SEPK
1397-11-03,2019-01-23,2735,سپ,SEPK
1397-11-06,2019-01-26,2713,سپ,SEPK
1397-11-07,2019-01-27,2746,سپ,SEPK
1397-11-08,2019-01-28,2672,سپ,SEPK
1397-11-09,2019-01-29,2670,سپ,SEPK
1397-11-10,2019-01-30,2680,سپ,SEPK
1397-11-13,2019-02-02,2673,سپ,SEPK
1397-11-14,2019-02-03,2577,سپ,SEPK
1397-11-15,2019-02-04,2672,سپ,SEPK
1397-11-16,2019-02-05,2662,سپ,SEPK
1397-11-17,2019-02-06,2647,سپ,SEPK
1397-11-21,2019-02-10,2717,سپ,SEPK
1397-11-23,2019-02-12,2678,سپ,SEPK
1397-11-24,2019-02-13,2640,سپ,SEPK
1397-11-27,2019-02-16,2666,سپ,SEPK
1397-11-28,2019-02-17,2636,سپ,SEPK
1397-11-29,2019-02-18,2603,سپ,SEPK
1397-11-30,2019-02-19,2600,سپ,SEPK
1397-12-01,2019-02-20,2672,سپ,SEPK
1397-12-04,2019-02-23,2633,سپ,SEPK
1397-12-05,2019-02-24,2672,سپ,SEPK
1397-12-06,2019-02-25,2656,سپ,SEPK
1397-12-07,2019-02-26,2672,سپ,SEPK
1397-12-19,2019-03-10,2679,سپ,SEPK
1397-12-20,2019-03-11,2671,سپ,SEPK
1397-12-21,2019-03-12,2536,سپ,SEPK
