J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-06-30,2004-09-20,1227,سفار,SFRS
1383-06-31,2004-09-21,1229,سفار,SFRS
1383-07-01,2004-09-22,1256,سفار,SFRS
1383-07-05,2004-09-26,1249,سفار,SFRS
1383-07-06,2004-09-27,1233,سفار,SFRS
1383-07-07,2004-09-28,1232,سفار,SFRS
1383-07-08,2004-09-29,1231,سفار,SFRS
1383-07-11,2004-10-02,1226,سفار,SFRS
1383-07-13,2004-10-04,1226,سفار,SFRS
1383-07-14,2004-10-05,1194,سفار,SFRS
1383-07-15,2004-10-06,1194,سفار,SFRS
1383-07-18,2004-10-09,1194,سفار,SFRS
1383-07-19,2004-10-10,1191,سفار,SFRS
1383-07-20,2004-10-11,1190,سفار,SFRS
1383-07-21,2004-10-12,1190,سفار,SFRS
1383-07-22,2004-10-13,1191,سفار,SFRS
1383-07-25,2004-10-16,1191,سفار,SFRS
1383-07-28,2004-10-19,1191,سفار,SFRS
1383-07-29,2004-10-20,1191,سفار,SFRS
1383-08-03,2004-10-24,1201,سفار,SFRS
1383-08-04,2004-10-25,1224,سفار,SFRS
1383-08-05,2004-10-26,1228,سفار,SFRS
1383-08-06,2004-10-27,1228,سفار,SFRS
1383-08-09,2004-10-30,1228,سفار,SFRS
1383-08-10,2004-10-31,1246,سفار,SFRS
1383-08-11,2004-11-01,1245,سفار,SFRS
1383-08-12,2004-11-02,1243,سفار,SFRS
1383-08-13,2004-11-03,1243,سفار,SFRS
1383-08-16,2004-11-06,1243,سفار,SFRS
1383-08-18,2004-11-08,1242,سفار,SFRS
1383-08-23,2004-11-13,1242,سفار,SFRS
1383-08-25,2004-11-15,1232,سفار,SFRS
1383-09-04,2004-11-24,1232,سفار,SFRS
1383-10-14,2005-01-03,1254,سفار,SFRS
1383-10-16,2005-01-05,1254,سفار,SFRS
1383-10-19,2005-01-08,1252,سفار,SFRS
1383-10-22,2005-01-11,1251,سفار,SFRS
1383-10-30,2005-01-19,1250,سفار,SFRS
1383-11-21,2005-02-09,1249,سفار,SFRS
1383-12-09,2005-02-27,1187,سفار,SFRS
1383-12-23,2005-03-13,1183,سفار,SFRS
1384-01-09,2005-03-29,1123,سفار,SFRS
1384-01-21,2005-04-10,1067,سفار,SFRS
1384-01-22,2005-04-11,1067,سفار,SFRS
1384-01-28,2005-04-17,1070,سفار,SFRS
