J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,582,کگاز,SGAZ
1380-01-06,2001-03-26,584,کگاز,SGAZ
1380-01-07,2001-03-27,584,کگاز,SGAZ
1380-01-08,2001-03-28,587,کگاز,SGAZ
1380-01-11,2001-03-31,587,کگاز,SGAZ
1380-01-14,2001-04-03,587,کگاز,SGAZ
1380-01-18,2001-04-07,587,کگاز,SGAZ
1380-01-19,2001-04-08,588,کگاز,SGAZ
1380-01-20,2001-04-09,613,کگاز,SGAZ
1380-01-21,2001-04-10,613,کگاز,SGAZ
1380-01-22,2001-04-11,613,کگاز,SGAZ
1380-01-25,2001-04-14,612,کگاز,SGAZ
1380-01-27,2001-04-16,606,کگاز,SGAZ
1380-01-28,2001-04-17,606,کگاز,SGAZ
1380-01-29,2001-04-18,614,کگاز,SGAZ
1380-02-01,2001-04-21,622,کگاز,SGAZ
1380-02-02,2001-04-22,632,کگاز,SGAZ
1380-02-03,2001-04-23,645,کگاز,SGAZ
1380-02-04,2001-04-24,644,کگاز,SGAZ
1380-02-05,2001-04-25,639,کگاز,SGAZ
1380-02-08,2001-04-28,632,کگاز,SGAZ
1380-02-09,2001-04-29,642,کگاز,SGAZ
1380-02-10,2001-04-30,642,کگاز,SGAZ
1380-02-11,2001-05-01,635,کگاز,SGAZ
1380-02-12,2001-05-02,635,کگاز,SGAZ
1380-02-15,2001-05-05,667,کگاز,SGAZ
1380-02-16,2001-05-06,700,کگاز,SGAZ
1380-02-17,2001-05-07,684,کگاز,SGAZ
1380-02-18,2001-05-08,679,کگاز,SGAZ
1380-02-19,2001-05-09,697,کگاز,SGAZ
1380-02-22,2001-05-12,711,کگاز,SGAZ
1380-02-23,2001-05-13,703,کگاز,SGAZ
1380-02-25,2001-05-15,697,کگاز,SGAZ
1380-02-26,2001-05-16,690,کگاز,SGAZ
1380-03-22,2001-06-12,582,کگاز,SGAZ
1380-03-23,2001-06-13,568,کگاز,SGAZ
1380-03-26,2001-06-16,567,کگاز,SGAZ
1380-03-27,2001-06-17,561,کگاز,SGAZ
1380-03-28,2001-06-18,567,کگاز,SGAZ
1380-03-29,2001-06-19,569,کگاز,SGAZ
1380-03-30,2001-06-20,584,کگاز,SGAZ
1380-04-02,2001-06-23,583,کگاز,SGAZ
1380-04-03,2001-06-24,580,کگاز,SGAZ
1380-04-04,2001-06-25,568,کگاز,SGAZ
1380-04-05,2001-06-26,568,کگاز,SGAZ
1380-04-06,2001-06-27,579,کگاز,SGAZ
1380-04-09,2001-06-30,577,کگاز,SGAZ
1380-04-10,2001-07-01,574,کگاز,SGAZ
1380-04-11,2001-07-02,572,کگاز,SGAZ
1380-04-12,2001-07-03,568,کگاز,SGAZ
1380-04-13,2001-07-04,567,کگاز,SGAZ
1380-04-16,2001-07-07,564,کگاز,SGAZ
1380-04-17,2001-07-08,561,کگاز,SGAZ
1380-04-18,2001-07-09,555,کگاز,SGAZ
1380-04-19,2001-07-10,547,کگاز,SGAZ
1380-04-20,2001-07-11,546,کگاز,SGAZ
1380-04-23,2001-07-14,546,کگاز,SGAZ
1380-04-24,2001-07-15,548,کگاز,SGAZ
1380-08-26,2001-11-17,271,کگاز,SGAZ
1380-08-27,2001-11-18,257,کگاز,SGAZ
1380-08-28,2001-11-19,244,کگاز,SGAZ
1380-08-29,2001-11-20,245,کگاز,SGAZ
