J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-21,2001-04-10,285,سغرب,SGRB
1380-01-22,2001-04-11,285,سغرب,SGRB
1380-01-26,2001-04-15,272,سغرب,SGRB
1380-02-02,2001-04-22,285,سغرب,SGRB
1380-02-03,2001-04-23,299,سغرب,SGRB
1380-02-04,2001-04-24,314,سغرب,SGRB
1380-02-05,2001-04-25,314,سغرب,SGRB
1380-02-17,2001-05-07,314,سغرب,SGRB
1380-02-18,2001-05-08,314,سغرب,SGRB
1380-02-19,2001-05-09,323,سغرب,SGRB
1380-02-29,2001-05-19,324,سغرب,SGRB
1380-03-02,2001-05-23,326,سغرب,SGRB
1380-03-05,2001-05-26,326,سغرب,SGRB
1380-03-07,2001-05-28,327,سغرب,SGRB
1380-03-08,2001-05-29,329,سغرب,SGRB
1380-03-13,2001-06-03,330,سغرب,SGRB
1380-03-16,2001-06-06,333,سغرب,SGRB
1380-03-21,2001-06-11,348,سغرب,SGRB
1380-03-22,2001-06-12,350,سغرب,SGRB
1380-03-23,2001-06-13,350,سغرب,SGRB
1380-03-26,2001-06-16,350,سغرب,SGRB
1380-03-27,2001-06-17,350,سغرب,SGRB
1380-03-28,2001-06-18,350,سغرب,SGRB
1380-04-03,2001-06-24,359,سغرب,SGRB
1380-04-04,2001-06-25,359,سغرب,SGRB
1380-04-05,2001-06-26,359,سغرب,SGRB
1380-04-06,2001-06-27,359,سغرب,SGRB
1380-04-09,2001-06-30,360,سغرب,SGRB
1380-04-19,2001-07-10,362,سغرب,SGRB
1380-04-26,2001-07-17,380,سغرب,SGRB
1380-04-27,2001-07-18,399,سغرب,SGRB
1380-04-30,2001-07-21,419,سغرب,SGRB
1380-04-31,2001-07-22,440,سغرب,SGRB
1380-05-01,2001-07-23,451,سغرب,SGRB
1380-05-03,2001-07-25,462,سغرب,SGRB
1380-05-06,2001-07-28,474,سغرب,SGRB
1380-05-07,2001-07-29,486,سغرب,SGRB
1380-05-08,2001-07-30,498,سغرب,SGRB
1380-05-09,2001-07-31,503,سغرب,SGRB
1380-05-10,2001-08-01,508,سغرب,SGRB
1380-05-13,2001-08-04,513,سغرب,SGRB
1380-05-14,2001-08-05,518,سغرب,SGRB
1380-05-15,2001-08-06,523,سغرب,SGRB
1380-05-16,2001-08-07,528,سغرب,SGRB
1380-05-17,2001-08-08,534,سغرب,SGRB
1380-05-20,2001-08-11,528,سغرب,SGRB
1380-05-21,2001-08-12,523,سغرب,SGRB
1380-05-22,2001-08-13,524,سغرب,SGRB
1380-05-23,2001-08-14,518,سغرب,SGRB
1380-05-24,2001-08-15,513,سغرب,SGRB
1380-05-27,2001-08-18,508,سغرب,SGRB
1380-05-28,2001-08-19,506,سغرب,SGRB
1380-05-29,2001-08-20,506,سغرب,SGRB
1380-05-30,2001-08-21,501,سغرب,SGRB
1380-05-31,2001-08-22,501,سغرب,SGRB
1380-06-03,2001-08-25,506,سغرب,SGRB
1380-06-05,2001-08-27,511,سغرب,SGRB
1380-06-06,2001-08-28,512,سغرب,SGRB
1380-06-07,2001-08-29,512,سغرب,SGRB
1380-06-11,2001-09-02,512,سغرب,SGRB
1380-06-13,2001-09-04,512,سغرب,SGRB
1380-06-14,2001-09-05,512,سغرب,SGRB
1380-06-19,2001-09-10,512,سغرب,SGRB
1380-06-20,2001-09-11,517,سغرب,SGRB
1380-06-21,2001-09-12,512,سغرب,SGRB
1380-06-24,2001-09-15,512,سغرب,SGRB
1380-06-28,2001-09-19,512,سغرب,SGRB
1380-07-04,2001-09-26,512,سغرب,SGRB
1380-07-07,2001-09-29,511,سغرب,SGRB
1380-07-08,2001-09-30,511,سغرب,SGRB
1380-07-10,2001-10-02,511,سغرب,SGRB
1380-07-14,2001-10-06,507,سغرب,SGRB
1380-07-15,2001-10-07,502,سغرب,SGRB
1380-07-21,2001-10-13,497,سغرب,SGRB
1380-07-22,2001-10-14,492,سغرب,SGRB
1380-07-24,2001-10-16,488,سغرب,SGRB
1380-07-25,2001-10-17,488,سغرب,SGRB
1380-07-29,2001-10-21,488,سغرب,SGRB
1380-07-30,2001-10-22,488,سغرب,SGRB
1380-08-01,2001-10-23,488,سغرب,SGRB
1380-08-14,2001-11-05,493,سغرب,SGRB
1380-08-16,2001-11-07,498,سغرب,SGRB
1380-08-19,2001-11-10,503,سغرب,SGRB
1380-08-26,2001-11-17,508,سغرب,SGRB
