J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,371,غشهد,SHAD
1380-01-06,2001-03-26,371,غشهد,SHAD
1380-01-07,2001-03-27,376,غشهد,SHAD
1380-01-08,2001-03-28,380,غشهد,SHAD
1380-01-18,2001-04-07,389,غشهد,SHAD
1380-01-19,2001-04-08,406,غشهد,SHAD
1380-01-20,2001-04-09,414,غشهد,SHAD
1380-01-21,2001-04-10,414,غشهد,SHAD
1380-01-22,2001-04-11,404,غشهد,SHAD
1380-01-25,2001-04-14,409,غشهد,SHAD
1380-01-26,2001-04-15,409,غشهد,SHAD
1380-01-27,2001-04-16,414,غشهد,SHAD
1380-01-28,2001-04-17,414,غشهد,SHAD
1380-01-29,2001-04-18,406,غشهد,SHAD
1380-02-01,2001-04-21,406,غشهد,SHAD
1380-02-02,2001-04-22,413,غشهد,SHAD
1380-02-03,2001-04-23,406,غشهد,SHAD
1380-02-04,2001-04-24,410,غشهد,SHAD
1380-02-05,2001-04-25,410,غشهد,SHAD
1380-02-08,2001-04-28,410,غشهد,SHAD
1380-02-09,2001-04-29,423,غشهد,SHAD
1380-02-10,2001-04-30,416,غشهد,SHAD
1380-02-11,2001-05-01,415,غشهد,SHAD
1380-02-12,2001-05-02,414,غشهد,SHAD
1380-02-15,2001-05-05,407,غشهد,SHAD
1380-02-16,2001-05-06,406,غشهد,SHAD
1380-02-17,2001-05-07,407,غشهد,SHAD
1380-02-18,2001-05-08,409,غشهد,SHAD
1380-02-19,2001-05-09,418,غشهد,SHAD
1380-02-22,2001-05-12,418,غشهد,SHAD
1380-02-23,2001-05-13,432,غشهد,SHAD
1380-02-25,2001-05-15,449,غشهد,SHAD
1380-02-26,2001-05-16,471,غشهد,SHAD
1380-02-29,2001-05-19,471,غشهد,SHAD
1380-02-30,2001-05-20,466,غشهد,SHAD
1380-02-31,2001-05-21,466,غشهد,SHAD
1380-03-02,2001-05-23,449,غشهد,SHAD
1380-03-05,2001-05-26,451,غشهد,SHAD
1380-03-06,2001-05-27,466,غشهد,SHAD
1380-03-07,2001-05-28,466,غشهد,SHAD
1380-03-08,2001-05-29,466,غشهد,SHAD
1380-03-09,2001-05-30,463,غشهد,SHAD
1380-03-16,2001-06-06,466,غشهد,SHAD
1380-03-19,2001-06-09,483,غشهد,SHAD
1380-03-21,2001-06-11,494,غشهد,SHAD
1380-03-22,2001-06-12,501,غشهد,SHAD
1380-03-23,2001-06-13,492,غشهد,SHAD
1380-03-26,2001-06-16,468,غشهد,SHAD
1380-03-27,2001-06-17,468,غشهد,SHAD
1380-03-28,2001-06-18,483,غشهد,SHAD
1380-03-29,2001-06-19,492,غشهد,SHAD
1380-03-30,2001-06-20,483,غشهد,SHAD
1380-04-02,2001-06-23,459,غشهد,SHAD
1380-04-03,2001-06-24,467,غشهد,SHAD
1380-04-04,2001-06-25,477,غشهد,SHAD
1380-04-05,2001-06-26,479,غشهد,SHAD
1380-04-06,2001-06-27,483,غشهد,SHAD
1380-04-09,2001-06-30,482,غشهد,SHAD
1380-04-10,2001-07-01,482,غشهد,SHAD
1380-04-11,2001-07-02,481,غشهد,SHAD
