J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-02,2001-04-22,790,پشاهن,SHIP
1380-02-10,2001-04-30,790,پشاهن,SHIP
1380-02-17,2001-05-07,790,پشاهن,SHIP
1380-04-05,2001-06-26,657,پشاهن,SHIP
1380-07-18,2001-10-10,657,پشاهن,SHIP
1380-07-22,2001-10-14,664,پشاهن,SHIP
1380-07-24,2001-10-16,671,پشاهن,SHIP
1380-07-25,2001-10-17,677,پشاهن,SHIP
1380-07-28,2001-10-20,684,پشاهن,SHIP
1380-07-30,2001-10-22,690,پشاهن,SHIP
1380-08-02,2001-10-24,684,پشاهن,SHIP
1380-08-23,2001-11-14,679,پشاهن,SHIP
1380-09-11,2001-12-02,678,پشاهن,SHIP
1380-09-14,2001-12-05,672,پشاهن,SHIP
1380-09-17,2001-12-08,665,پشاهن,SHIP
1380-09-21,2001-12-12,659,پشاهن,SHIP
1380-10-03,2001-12-24,659,پشاهن,SHIP
1380-10-05,2001-12-26,659,پشاهن,SHIP
1380-10-09,2001-12-30,659,پشاهن,SHIP
1380-10-12,2002-01-02,660,پشاهن,SHIP
1380-10-16,2002-01-06,660,پشاهن,SHIP
1380-10-18,2002-01-08,660,پشاهن,SHIP
1380-10-25,2002-01-15,660,پشاهن,SHIP
1380-10-26,2002-01-16,660,پشاهن,SHIP
1380-10-29,2002-01-19,660,پشاهن,SHIP
1380-10-30,2002-01-20,659,پشاهن,SHIP
1380-11-08,2002-01-28,865,پشاهن,SHIP
1380-11-20,2002-02-09,907,پشاهن,SHIP
1380-11-23,2002-02-12,953,پشاهن,SHIP
1380-11-24,2002-02-13,1000,پشاهن,SHIP
1380-11-27,2002-02-16,1000,پشاهن,SHIP
1380-12-05,2002-02-24,1004,پشاهن,SHIP
1380-12-07,2002-02-26,1009,پشاهن,SHIP
1380-12-11,2002-03-02,1013,پشاهن,SHIP
1380-12-15,2002-03-06,1022,پشاهن,SHIP
1380-12-22,2002-03-13,1032,پشاهن,SHIP
1380-12-28,2002-03-19,1031,پشاهن,SHIP
1381-01-07,2002-03-27,1031,پشاهن,SHIP
1381-02-07,2002-04-27,1026,پشاهن,SHIP
1381-02-11,2002-05-01,1003,پشاهن,SHIP
1381-02-15,2002-05-05,986,پشاهن,SHIP
1381-02-17,2002-05-07,986,پشاهن,SHIP
1381-02-18,2002-05-08,986,پشاهن,SHIP
1381-02-29,2002-05-19,967,پشاهن,SHIP
1381-02-31,2002-05-21,967,پشاهن,SHIP
1381-03-04,2002-05-25,967,پشاهن,SHIP
1381-03-11,2002-06-01,967,پشاهن,SHIP
1381-03-18,2002-06-08,969,پشاهن,SHIP
1381-03-28,2002-06-18,992,پشاهن,SHIP
1381-04-02,2002-06-23,992,پشاهن,SHIP
1381-04-08,2002-06-29,1017,پشاهن,SHIP
1381-04-11,2002-07-02,1067,پشاهن,SHIP
1381-05-07,2002-07-29,855,پشاهن,SHIP
1381-05-15,2002-08-06,860,پشاهن,SHIP
1381-05-26,2002-08-17,864,پشاهن,SHIP
1381-05-29,2002-08-20,865,پشاهن,SHIP
1381-06-02,2002-08-24,865,پشاهن,SHIP
1381-06-05,2002-08-27,865,پشاهن,SHIP
1381-06-09,2002-08-31,908,پشاهن,SHIP
1381-06-12,2002-09-03,909,پشاهن,SHIP
1381-06-13,2002-09-04,953,پشاهن,SHIP
1381-06-16,2002-09-07,954,پشاهن,SHIP
1381-06-31,2002-09-22,954,پشاهن,SHIP
1381-07-07,2002-09-29,954,پشاهن,SHIP
1381-07-08,2002-09-30,1001,پشاهن,SHIP
1381-07-09,2002-10-01,1001,پشاهن,SHIP
1381-07-14,2002-10-06,1001,پشاهن,SHIP
1381-07-15,2002-10-07,1001,پشاهن,SHIP
