J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-20,2001-04-09,47,قشکر,SHKR
1380-01-21,2001-04-10,47,قشکر,SHKR
1380-01-22,2001-04-11,47,قشکر,SHKR
1380-01-26,2001-04-15,48,قشکر,SHKR
1380-01-28,2001-04-17,48,قشکر,SHKR
1380-01-29,2001-04-18,49,قشکر,SHKR
1380-02-02,2001-04-22,51,قشکر,SHKR
1380-02-03,2001-04-23,51,قشکر,SHKR
1380-02-04,2001-04-24,51,قشکر,SHKR
1380-02-05,2001-04-25,54,قشکر,SHKR
1380-02-08,2001-04-28,54,قشکر,SHKR
1380-02-09,2001-04-29,55,قشکر,SHKR
1380-02-10,2001-04-30,55,قشکر,SHKR
1380-02-11,2001-05-01,56,قشکر,SHKR
1380-02-12,2001-05-02,56,قشکر,SHKR
1380-02-18,2001-05-08,56,قشکر,SHKR
1380-02-19,2001-05-09,59,قشکر,SHKR
1380-02-22,2001-05-12,59,قشکر,SHKR
1380-02-23,2001-05-13,59,قشکر,SHKR
1380-02-31,2001-05-21,57,قشکر,SHKR
1380-03-05,2001-05-26,57,قشکر,SHKR
1380-03-06,2001-05-27,57,قشکر,SHKR
1380-03-08,2001-05-29,57,قشکر,SHKR
1380-03-09,2001-05-30,59,قشکر,SHKR
1380-03-12,2001-06-02,59,قشکر,SHKR
1380-03-23,2001-06-13,59,قشکر,SHKR
1380-03-26,2001-06-16,59,قشکر,SHKR
1380-03-27,2001-06-17,59,قشکر,SHKR
1380-03-29,2001-06-19,59,قشکر,SHKR
1380-04-02,2001-06-23,59,قشکر,SHKR
1380-04-04,2001-06-25,59,قشکر,SHKR
1380-04-05,2001-06-26,59,قشکر,SHKR
1380-04-06,2001-06-27,58,قشکر,SHKR
1380-04-09,2001-06-30,58,قشکر,SHKR
1380-04-10,2001-07-01,57,قشکر,SHKR
1380-04-11,2001-07-02,57,قشکر,SHKR
1380-04-17,2001-07-08,57,قشکر,SHKR
1380-04-27,2001-07-18,56,قشکر,SHKR
1380-04-30,2001-07-21,56,قشکر,SHKR
1380-05-03,2001-07-25,55,قشکر,SHKR
1380-05-06,2001-07-28,54,قشکر,SHKR
1380-05-08,2001-07-30,54,قشکر,SHKR
1380-05-13,2001-08-04,54,قشکر,SHKR
1380-05-14,2001-08-05,54,قشکر,SHKR
1380-05-15,2001-08-06,54,قشکر,SHKR
1380-05-16,2001-08-07,54,قشکر,SHKR
1380-05-17,2001-08-08,55,قشکر,SHKR
1380-05-21,2001-08-12,55,قشکر,SHKR
1380-05-22,2001-08-13,57,قشکر,SHKR
1380-05-23,2001-08-14,57,قشکر,SHKR
1380-05-27,2001-08-18,57,قشکر,SHKR
1380-05-28,2001-08-19,57,قشکر,SHKR
1380-05-29,2001-08-20,57,قشکر,SHKR
1380-05-30,2001-08-21,57,قشکر,SHKR
1380-05-31,2001-08-22,57,قشکر,SHKR
1380-06-05,2001-08-27,58,قشکر,SHKR
1380-06-06,2001-08-28,58,قشکر,SHKR
1380-06-07,2001-08-29,58,قشکر,SHKR
1380-06-11,2001-09-02,58,قشکر,SHKR
1380-06-13,2001-09-04,58,قشکر,SHKR
1380-06-18,2001-09-09,58,قشکر,SHKR
1380-06-19,2001-09-10,58,قشکر,SHKR
1380-06-31,2001-09-22,54,قشکر,SHKR
1380-07-01,2001-09-23,54,قشکر,SHKR
1380-07-29,2001-10-21,51,قشکر,SHKR
1380-07-30,2001-10-22,51,قشکر,SHKR
1380-08-01,2001-10-23,51,قشکر,SHKR
1380-08-02,2001-10-24,51,قشکر,SHKR
1380-08-06,2001-10-28,51,قشکر,SHKR
1380-08-09,2001-10-31,53,قشکر,SHKR
1380-08-12,2001-11-03,54,قشکر,SHKR
1380-08-15,2001-11-06,54,قشکر,SHKR
1380-08-21,2001-11-12,54,قشکر,SHKR
1380-09-03,2001-11-24,54,قشکر,SHKR
1380-09-04,2001-11-25,57,قشکر,SHKR
1380-09-06,2001-11-27,57,قشکر,SHKR
1380-09-07,2001-11-28,57,قشکر,SHKR
1380-10-17,2002-01-07,54,قشکر,SHKR
1380-10-18,2002-01-08,51,قشکر,SHKR
1380-10-22,2002-01-12,48,قشکر,SHKR
1380-10-23,2002-01-13,47,قشکر,SHKR
1380-12-05,2002-02-24,33,قشکر,SHKR
1380-12-06,2002-02-25,34,قشکر,SHKR
1380-12-07,2002-02-26,34,قشکر,SHKR
1380-12-13,2002-03-04,35,قشکر,SHKR
1380-12-14,2002-03-05,36,قشکر,SHKR
1380-12-15,2002-03-06,36,قشکر,SHKR
1380-12-19,2002-03-10,38,قشکر,SHKR
1380-12-20,2002-03-11,38,قشکر,SHKR
1380-12-21,2002-03-12,40,قشکر,SHKR
1380-12-22,2002-03-13,40,قشکر,SHKR
1380-12-25,2002-03-16,40,قشکر,SHKR
1380-12-26,2002-03-17,41,قشکر,SHKR
1380-12-27,2002-03-18,41,قشکر,SHKR
1380-12-28,2002-03-19,41,قشکر,SHKR
1381-01-07,2002-03-27,42,قشکر,SHKR
1381-01-10,2002-03-30,42,قشکر,SHKR
1381-01-14,2002-04-03,42,قشکر,SHKR
1381-01-18,2002-04-07,42,قشکر,SHKR
1381-01-19,2002-04-08,43,قشکر,SHKR
1381-01-20,2002-04-09,41,قشکر,SHKR
1381-01-21,2002-04-10,40,قشکر,SHKR
1381-01-28,2002-04-17,40,قشکر,SHKR
1381-02-01,2002-04-21,40,قشکر,SHKR
1381-02-02,2002-04-22,40,قشکر,SHKR
1381-02-03,2002-04-23,40,قشکر,SHKR
1381-02-04,2002-04-24,40,قشکر,SHKR
1381-02-07,2002-04-27,40,قشکر,SHKR
1381-02-08,2002-04-28,41,قشکر,SHKR
1381-02-09,2002-04-29,41,قشکر,SHKR
1381-02-10,2002-04-30,42,قشکر,SHKR
1381-02-11,2002-05-01,42,قشکر,SHKR
1381-02-14,2002-05-04,42,قشکر,SHKR
1381-02-18,2002-05-08,44,قشکر,SHKR
1381-02-25,2002-05-15,47,قشکر,SHKR
1381-02-28,2002-05-18,47,قشکر,SHKR
1381-04-01,2002-06-22,27,قشکر,SHKR
1381-04-02,2002-06-23,27,قشکر,SHKR
1381-04-03,2002-06-24,27,قشکر,SHKR
1381-04-04,2002-06-25,27,قشکر,SHKR
1381-04-05,2002-06-26,27,قشکر,SHKR
1381-04-11,2002-07-02,27,قشکر,SHKR
1381-04-12,2002-07-03,27,قشکر,SHKR
1381-04-15,2002-07-06,28,قشکر,SHKR
1381-04-16,2002-07-07,28,قشکر,SHKR
1381-04-17,2002-07-08,28,قشکر,SHKR
1381-04-18,2002-07-09,28,قشکر,SHKR
1381-04-19,2002-07-10,27,قشکر,SHKR
1381-04-22,2002-07-13,27,قشکر,SHKR
1381-04-24,2002-07-15,27,قشکر,SHKR
