J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,771,کقزوی,SHQP
1380-01-06,2001-03-26,770,کقزوی,SHQP
1380-01-08,2001-03-28,770,کقزوی,SHQP
1380-01-19,2001-04-08,770,کقزوی,SHQP
1380-01-21,2001-04-10,771,کقزوی,SHQP
1380-01-26,2001-04-15,770,کقزوی,SHQP
1380-01-27,2001-04-16,771,کقزوی,SHQP
1380-01-29,2001-04-18,771,کقزوی,SHQP
1380-02-01,2001-04-21,771,کقزوی,SHQP
1380-02-02,2001-04-22,771,کقزوی,SHQP
1380-02-03,2001-04-23,771,کقزوی,SHQP
1380-02-04,2001-04-24,772,کقزوی,SHQP
1380-02-05,2001-04-25,772,کقزوی,SHQP
1380-02-08,2001-04-28,773,کقزوی,SHQP
1380-02-11,2001-05-01,789,کقزوی,SHQP
1380-02-12,2001-05-02,789,کقزوی,SHQP
1380-02-17,2001-05-07,791,کقزوی,SHQP
1380-02-19,2001-05-09,792,کقزوی,SHQP
1380-02-22,2001-05-12,792,کقزوی,SHQP
1380-02-26,2001-05-16,810,کقزوی,SHQP
1380-02-29,2001-05-19,810,کقزوی,SHQP
1380-03-05,2001-05-26,811,کقزوی,SHQP
1380-03-08,2001-05-29,815,کقزوی,SHQP
1380-03-13,2001-06-03,819,کقزوی,SHQP
1380-03-16,2001-06-06,821,کقزوی,SHQP
1380-03-19,2001-06-09,821,کقزوی,SHQP
1380-03-21,2001-06-11,823,کقزوی,SHQP
1380-03-23,2001-06-13,855,کقزوی,SHQP
1380-03-26,2001-06-16,860,کقزوی,SHQP
1380-03-27,2001-06-17,866,کقزوی,SHQP
1380-06-27,2001-09-18,737,کقزوی,SHQP
1380-06-28,2001-09-19,734,کقزوی,SHQP
1380-06-31,2001-09-22,734,کقزوی,SHQP
1380-07-01,2001-09-23,731,کقزوی,SHQP
1380-07-02,2001-09-24,703,کقزوی,SHQP
1380-07-03,2001-09-25,704,کقزوی,SHQP
1380-07-04,2001-09-26,705,کقزوی,SHQP
1380-07-07,2001-09-29,705,کقزوی,SHQP
1380-07-08,2001-09-30,705,کقزوی,SHQP
1380-07-10,2001-10-02,705,کقزوی,SHQP
1380-07-11,2001-10-03,705,کقزوی,SHQP
1380-07-14,2001-10-06,705,کقزوی,SHQP
1380-07-16,2001-10-08,705,کقزوی,SHQP
1380-07-17,2001-10-09,705,کقزوی,SHQP
1380-07-18,2001-10-10,705,کقزوی,SHQP
1380-07-21,2001-10-13,703,کقزوی,SHQP
1380-07-22,2001-10-14,702,کقزوی,SHQP
1380-07-25,2001-10-17,702,کقزوی,SHQP
1380-07-28,2001-10-20,701,کقزوی,SHQP
1380-07-29,2001-10-21,697,کقزوی,SHQP
1380-08-06,2001-10-28,694,کقزوی,SHQP
1380-08-08,2001-10-30,692,کقزوی,SHQP
1380-08-13,2001-11-04,675,کقزوی,SHQP
1380-08-14,2001-11-05,675,کقزوی,SHQP
1380-08-15,2001-11-06,675,کقزوی,SHQP
1380-08-16,2001-11-07,675,کقزوی,SHQP
1380-08-19,2001-11-10,675,کقزوی,SHQP
1380-08-21,2001-11-12,674,کقزوی,SHQP
