J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-16,2001-05-06,54,خساپا,SIPA
1380-02-17,2001-05-07,54,خساپا,SIPA
1380-02-18,2001-05-08,55,خساپا,SIPA
1380-02-19,2001-05-09,55,خساپا,SIPA
1380-02-22,2001-05-12,57,خساپا,SIPA
1380-02-23,2001-05-13,57,خساپا,SIPA
1380-02-25,2001-05-15,57,خساپا,SIPA
1380-02-26,2001-05-16,57,خساپا,SIPA
1380-02-29,2001-05-19,57,خساپا,SIPA
1380-02-30,2001-05-20,56,خساپا,SIPA
1380-02-31,2001-05-21,56,خساپا,SIPA
1380-03-02,2001-05-23,57,خساپا,SIPA
1380-03-05,2001-05-26,58,خساپا,SIPA
1380-03-06,2001-05-27,57,خساپا,SIPA
1380-03-07,2001-05-28,56,خساپا,SIPA
1380-03-08,2001-05-29,56,خساپا,SIPA
1380-03-09,2001-05-30,57,خساپا,SIPA
1380-03-12,2001-06-02,57,خساپا,SIPA
1380-03-13,2001-06-03,57,خساپا,SIPA
1380-03-16,2001-06-06,56,خساپا,SIPA
1380-03-19,2001-06-09,56,خساپا,SIPA
1380-03-21,2001-06-11,56,خساپا,SIPA
1380-03-22,2001-06-12,56,خساپا,SIPA
1380-03-23,2001-06-13,56,خساپا,SIPA
1380-03-26,2001-06-16,56,خساپا,SIPA
1380-03-27,2001-06-17,55,خساپا,SIPA
1380-03-28,2001-06-18,55,خساپا,SIPA
1380-03-29,2001-06-19,55,خساپا,SIPA
1380-03-30,2001-06-20,55,خساپا,SIPA
1380-04-02,2001-06-23,55,خساپا,SIPA
1380-04-03,2001-06-24,55,خساپا,SIPA
1380-04-04,2001-06-25,55,خساپا,SIPA
1380-04-05,2001-06-26,55,خساپا,SIPA
1380-04-06,2001-06-27,55,خساپا,SIPA
1380-04-09,2001-06-30,55,خساپا,SIPA
1380-04-10,2001-07-01,56,خساپا,SIPA
1380-04-11,2001-07-02,56,خساپا,SIPA
1380-04-12,2001-07-03,56,خساپا,SIPA
1380-04-13,2001-07-04,55,خساپا,SIPA
1380-04-16,2001-07-07,55,خساپا,SIPA
1380-04-17,2001-07-08,55,خساپا,SIPA
1380-04-18,2001-07-09,55,خساپا,SIPA
1380-04-19,2001-07-10,55,خساپا,SIPA
1380-04-20,2001-07-11,55,خساپا,SIPA
1380-04-23,2001-07-14,55,خساپا,SIPA
1380-04-24,2001-07-15,55,خساپا,SIPA
1380-06-12,2001-09-03,52,خساپا,SIPA
1380-06-13,2001-09-04,51,خساپا,SIPA
1380-06-14,2001-09-05,51,خساپا,SIPA
1380-06-17,2001-09-08,50,خساپا,SIPA
1380-06-18,2001-09-09,50,خساپا,SIPA
1380-06-19,2001-09-10,50,خساپا,SIPA
1380-06-20,2001-09-11,50,خساپا,SIPA
1380-06-21,2001-09-12,49,خساپا,SIPA
1380-06-24,2001-09-15,49,خساپا,SIPA
1380-06-25,2001-09-16,49,خساپا,SIPA
1380-06-26,2001-09-17,49,خساپا,SIPA
1380-06-27,2001-09-18,48,خساپا,SIPA
1380-06-28,2001-09-19,47,خساپا,SIPA
1380-06-31,2001-09-22,47,خساپا,SIPA
1380-07-01,2001-09-23,47,خساپا,SIPA
1380-07-02,2001-09-24,47,خساپا,SIPA
1380-07-03,2001-09-25,46,خساپا,SIPA
1380-07-04,2001-09-26,46,خساپا,SIPA
1380-07-07,2001-09-29,46,خساپا,SIPA
1380-07-08,2001-09-30,46,خساپا,SIPA
1380-07-10,2001-10-02,45,خساپا,SIPA
1380-07-11,2001-10-03,45,خساپا,SIPA
1380-07-14,2001-10-06,45,خساپا,SIPA
1380-07-15,2001-10-07,45,خساپا,SIPA
1380-07-16,2001-10-08,45,خساپا,SIPA
1380-07-17,2001-10-09,45,خساپا,SIPA
1380-07-18,2001-10-10,45,خساپا,SIPA
1380-07-21,2001-10-13,45,خساپا,SIPA
1380-07-22,2001-10-14,45,خساپا,SIPA
1380-07-24,2001-10-16,45,خساپا,SIPA
1380-07-25,2001-10-17,45,خساپا,SIPA
1380-07-28,2001-10-20,45,خساپا,SIPA
1380-07-29,2001-10-21,45,خساپا,SIPA
1380-07-30,2001-10-22,47,خساپا,SIPA
1380-08-01,2001-10-23,48,خساپا,SIPA
