J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-04-10,2004-06-30,341,کساپا,SISH
1383-04-13,2004-07-03,358,کساپا,SISH
1383-04-14,2004-07-04,376,کساپا,SISH
1383-04-15,2004-07-05,395,کساپا,SISH
1383-04-16,2004-07-06,387,کساپا,SISH
1383-04-23,2004-07-13,362,کساپا,SISH
1383-04-24,2004-07-14,360,کساپا,SISH
1383-04-27,2004-07-17,356,کساپا,SISH
1383-04-28,2004-07-18,354,کساپا,SISH
1383-05-03,2004-07-24,352,کساپا,SISH
1383-05-04,2004-07-25,351,کساپا,SISH
1383-05-06,2004-07-27,351,کساپا,SISH
1383-05-07,2004-07-28,346,کساپا,SISH
1383-05-10,2004-07-31,343,کساپا,SISH
1383-05-11,2004-08-01,342,کساپا,SISH
1383-05-12,2004-08-02,342,کساپا,SISH
1383-05-13,2004-08-03,340,کساپا,SISH
1383-05-14,2004-08-04,339,کساپا,SISH
1383-05-17,2004-08-07,338,کساپا,SISH
1383-05-18,2004-08-08,330,کساپا,SISH
1383-05-25,2004-08-15,330,کساپا,SISH
1383-05-28,2004-08-18,329,کساپا,SISH
1383-06-15,2004-09-05,312,کساپا,SISH
1383-06-16,2004-09-06,297,کساپا,SISH
1383-06-17,2004-09-07,282,کساپا,SISH
1383-06-18,2004-09-08,268,کساپا,SISH
1383-06-21,2004-09-11,267,کساپا,SISH
1383-06-22,2004-09-12,267,کساپا,SISH
1383-06-24,2004-09-14,270,کساپا,SISH
1383-06-25,2004-09-15,272,کساپا,SISH
1383-06-28,2004-09-18,272,کساپا,SISH
1383-06-29,2004-09-19,280,کساپا,SISH
1383-06-30,2004-09-20,284,کساپا,SISH
1383-06-31,2004-09-21,290,کساپا,SISH
1383-07-01,2004-09-22,293,کساپا,SISH
1383-07-04,2004-09-25,295,کساپا,SISH
1383-07-05,2004-09-26,296,کساپا,SISH
1383-07-06,2004-09-27,296,کساپا,SISH
1383-07-07,2004-09-28,296,کساپا,SISH
