J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-04-11,2020-07-01,12474,سیتا,SITA
1399-04-14,2020-07-04,13092,سیتا,SITA
1399-04-15,2020-07-05,13163,سیتا,SITA
1399-04-16,2020-07-06,13306,سیتا,SITA
1399-04-17,2020-07-07,13710,سیتا,SITA
1399-04-18,2020-07-08,13876,سیتا,SITA
1399-04-21,2020-07-11,14241,سیتا,SITA
1399-04-22,2020-07-12,14470,سیتا,SITA
1399-04-23,2020-07-13,14676,سیتا,SITA
1399-04-24,2020-07-14,14930,سیتا,SITA
1399-04-25,2020-07-15,15096,سیتا,SITA
1399-04-28,2020-07-18,15848,سیتا,SITA
1399-04-29,2020-07-19,16173,سیتا,SITA
1399-05-01,2020-07-22,16237,سیتا,SITA
1399-05-04,2020-07-25,16641,سیتا,SITA
1399-05-05,2020-07-26,17203,سیتا,SITA
1399-05-06,2020-07-27,17694,سیتا,SITA
1399-05-13,2020-08-03,18152,سیتا,SITA
1399-05-14,2020-08-04,18513,سیتا,SITA
1399-05-15,2020-08-05,18924,سیتا,SITA
1399-05-19,2020-08-09,19400,سیتا,SITA
1399-05-20,2020-08-10,20287,سیتا,SITA
1399-05-21,2020-08-11,21297,سیتا,SITA
1399-05-22,2020-08-12,22356,سیتا,SITA
1399-05-25,2020-08-15,23472,سیتا,SITA
1399-05-26,2020-08-16,24630,سیتا,SITA
1399-05-27,2020-08-17,25861,سیتا,SITA
1399-05-28,2020-08-18,25451,سیتا,SITA
1399-06-01,2020-08-22,25393,سیتا,SITA
1399-06-02,2020-08-23,24129,سیتا,SITA
1399-06-03,2020-08-24,22930,سیتا,SITA
1399-06-04,2020-08-25,24072,سیتا,SITA
1399-06-05,2020-08-26,23907,سیتا,SITA
1399-06-10,2020-08-31,22717,سیتا,SITA
1399-06-11,2020-09-01,22019,سیتا,SITA
1399-06-12,2020-09-02,20919,سیتا,SITA
1399-06-15,2020-09-05,19876,سیتا,SITA
1399-06-16,2020-09-06,19154,سیتا,SITA
