J-Date,Date,Adj Close,Ticker,Ticker(4)
1398-05-19,2019-08-10,3111,ثجوان,SJVP
1398-06-11,2019-09-02,1685,ثجوان,SJVP
1398-06-13,2019-09-04,1698,ثجوان,SJVP
1398-07-06,2019-09-28,2482,ثجوان,SJVP
1398-07-07,2019-09-29,2416,ثجوان,SJVP
1398-07-08,2019-09-30,2349,ثجوان,SJVP
1398-07-09,2019-10-01,2292,ثجوان,SJVP
1398-07-10,2019-10-02,2381,ثجوان,SJVP
1398-07-13,2019-10-05,2300,ثجوان,SJVP
1398-07-14,2019-10-06,2294,ثجوان,SJVP
1398-07-15,2019-10-07,2226,ثجوان,SJVP
1398-07-16,2019-10-08,2207,ثجوان,SJVP
1398-07-17,2019-10-09,2330,ثجوان,SJVP
1398-07-20,2019-10-12,2357,ثجوان,SJVP
1398-07-21,2019-10-13,2368,ثجوان,SJVP
1398-07-22,2019-10-14,2336,ثجوان,SJVP
1398-07-23,2019-10-15,2275,ثجوان,SJVP
1398-07-24,2019-10-16,2239,ثجوان,SJVP
1398-07-28,2019-10-20,2173,ثجوان,SJVP
1398-07-30,2019-10-22,2097,ثجوان,SJVP
1398-08-01,2019-10-23,1992,ثجوان,SJVP
1398-08-08,2019-10-30,2194,ثجوان,SJVP
1398-08-11,2019-11-02,2101,ثجوان,SJVP
1398-08-12,2019-11-03,2043,ثجوان,SJVP
1398-08-13,2019-11-04,1982,ثجوان,SJVP
1398-08-14,2019-11-05,2061,ثجوان,SJVP
1398-08-18,2019-11-09,1933,ثجوان,SJVP
1398-08-22,2019-11-13,1966,ثجوان,SJVP
1398-08-25,2019-11-16,1946,ثجوان,SJVP
1398-08-26,2019-11-17,1888,ثجوان,SJVP
1398-08-27,2019-11-18,1832,ثجوان,SJVP
1398-08-28,2019-11-19,1855,ثجوان,SJVP
1398-08-29,2019-11-20,1909,ثجوان,SJVP
1398-09-02,2019-11-23,1954,ثجوان,SJVP
1398-09-03,2019-11-24,1892,ثجوان,SJVP
1398-09-04,2019-11-25,1858,ثجوان,SJVP
1398-09-09,2019-11-30,1946,ثجوان,SJVP
1398-09-10,2019-12-01,1892,ثجوان,SJVP
1398-09-11,2019-12-02,1890,ثجوان,SJVP
1398-09-18,2019-12-09,1946,ثجوان,SJVP
1398-09-19,2019-12-10,1953,ثجوان,SJVP
1398-09-20,2019-12-11,1995,ثجوان,SJVP
1398-09-23,2019-12-14,2053,ثجوان,SJVP
1398-09-24,2019-12-15,2115,ثجوان,SJVP
1398-09-25,2019-12-16,2220,ثجوان,SJVP
1398-09-26,2019-12-17,2286,ثجوان,SJVP
1398-09-27,2019-12-18,2355,ثجوان,SJVP
