J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-25,2001-04-14,1376,سخزر,SKAZ
1380-02-04,2001-04-24,1376,سخزر,SKAZ
1380-02-05,2001-04-25,1377,سخزر,SKAZ
1380-02-08,2001-04-28,1377,سخزر,SKAZ
1380-03-06,2001-05-27,1446,سخزر,SKAZ
1380-03-07,2001-05-28,1518,سخزر,SKAZ
1380-03-09,2001-05-30,1594,سخزر,SKAZ
1380-04-26,2001-07-17,1673,سخزر,SKAZ
1380-05-29,2001-08-20,1759,سخزر,SKAZ
1380-06-12,2001-09-03,1847,سخزر,SKAZ
1380-12-19,2002-03-10,2063,سخزر,SKAZ
1380-12-20,2002-03-11,2084,سخزر,SKAZ
1380-12-21,2002-03-12,2104,سخزر,SKAZ
1380-12-22,2002-03-13,2125,سخزر,SKAZ
1380-12-25,2002-03-16,2146,سخزر,SKAZ
1380-12-26,2002-03-17,2168,سخزر,SKAZ
1380-12-27,2002-03-18,2190,سخزر,SKAZ
1380-12-28,2002-03-19,2211,سخزر,SKAZ
1381-01-06,2002-03-26,2233,سخزر,SKAZ
1381-01-07,2002-03-27,2256,سخزر,SKAZ
1381-01-10,2002-03-30,2278,سخزر,SKAZ
1381-01-14,2002-04-03,2301,سخزر,SKAZ
1381-01-17,2002-04-06,2324,سخزر,SKAZ
1381-01-20,2002-04-09,2347,سخزر,SKAZ
1381-01-25,2002-04-14,2370,سخزر,SKAZ
1381-01-31,2002-04-20,2394,سخزر,SKAZ
1381-02-01,2002-04-21,2394,سخزر,SKAZ
1381-02-02,2002-04-22,2394,سخزر,SKAZ
1381-02-03,2002-04-23,2394,سخزر,SKAZ
1381-02-04,2002-04-24,2395,سخزر,SKAZ
1381-02-08,2002-04-28,2395,سخزر,SKAZ
1381-02-10,2002-04-30,2419,سخزر,SKAZ
1381-02-18,2002-05-08,2443,سخزر,SKAZ
1381-02-28,2002-05-18,2467,سخزر,SKAZ
1381-02-29,2002-05-19,2492,سخزر,SKAZ
1381-02-30,2002-05-20,2517,سخزر,SKAZ
1381-03-07,2002-05-28,2542,سخزر,SKAZ
1381-03-20,2002-06-10,4354,سخزر,SKAZ
1381-03-22,2002-06-12,4398,سخزر,SKAZ
1381-03-26,2002-06-16,4442,سخزر,SKAZ
1381-03-27,2002-06-17,4460,سخزر,SKAZ
1381-03-28,2002-06-18,4463,سخزر,SKAZ
1381-03-29,2002-06-19,4508,سخزر,SKAZ
1381-04-01,2002-06-22,4508,سخزر,SKAZ
