J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-06-10,2013-09-01,106,وسکاب,SKBV
1392-06-12,2013-09-03,107,وسکاب,SKBV
1392-06-13,2013-09-04,100,وسکاب,SKBV
1392-06-16,2013-09-07,102,وسکاب,SKBV
1392-06-17,2013-09-08,101,وسکاب,SKBV
1392-06-18,2013-09-09,99,وسکاب,SKBV
1392-06-19,2013-09-10,106,وسکاب,SKBV
1392-06-20,2013-09-11,107,وسکاب,SKBV
1392-06-23,2013-09-14,108,وسکاب,SKBV
1392-06-24,2013-09-15,103,وسکاب,SKBV
1392-06-25,2013-09-16,102,وسکاب,SKBV
1392-06-26,2013-09-17,101,وسکاب,SKBV
1392-06-27,2013-09-18,105,وسکاب,SKBV
1392-06-30,2013-09-21,105,وسکاب,SKBV
1392-06-31,2013-09-22,103,وسکاب,SKBV
1392-07-01,2013-09-23,105,وسکاب,SKBV
1392-07-02,2013-09-24,105,وسکاب,SKBV
1392-07-03,2013-09-25,104,وسکاب,SKBV
1392-07-06,2013-09-28,106,وسکاب,SKBV
1392-07-07,2013-09-29,104,وسکاب,SKBV
1392-07-08,2013-09-30,109,وسکاب,SKBV
1392-07-09,2013-10-01,110,وسکاب,SKBV
1392-07-10,2013-10-02,111,وسکاب,SKBV
1392-07-13,2013-10-05,113,وسکاب,SKBV
1392-07-14,2013-10-06,114,وسکاب,SKBV
1392-07-15,2013-10-07,114,وسکاب,SKBV
1392-07-16,2013-10-08,114,وسکاب,SKBV
1392-07-17,2013-10-09,114,وسکاب,SKBV
1392-07-20,2013-10-12,114,وسکاب,SKBV
1392-07-21,2013-10-13,119,وسکاب,SKBV
1392-07-22,2013-10-14,120,وسکاب,SKBV
1392-07-23,2013-10-15,124,وسکاب,SKBV
1392-07-27,2013-10-19,129,وسکاب,SKBV
1392-07-28,2013-10-20,134,وسکاب,SKBV
1392-07-29,2013-10-21,139,وسکاب,SKBV
1392-07-30,2013-10-22,145,وسکاب,SKBV
1392-08-01,2013-10-23,145,وسکاب,SKBV
1392-08-04,2013-10-26,145,وسکاب,SKBV
1392-08-05,2013-10-27,146,وسکاب,SKBV
1392-08-06,2013-10-28,147,وسکاب,SKBV
1392-08-07,2013-10-29,148,وسکاب,SKBV
