J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-11-27,2002-02-16,11,غسالم,SLMN
1380-11-28,2002-02-17,11,غسالم,SLMN
1380-11-29,2002-02-18,12,غسالم,SLMN
1380-11-30,2002-02-19,12,غسالم,SLMN
1380-12-01,2002-02-20,12,غسالم,SLMN
1380-12-05,2002-02-24,12,غسالم,SLMN
1380-12-06,2002-02-25,12,غسالم,SLMN
1380-12-07,2002-02-26,11,غسالم,SLMN
1380-12-11,2002-03-02,11,غسالم,SLMN
1380-12-13,2002-03-04,11,غسالم,SLMN
1380-12-26,2002-03-17,11,غسالم,SLMN
1380-12-27,2002-03-18,11,غسالم,SLMN
1381-01-17,2002-04-06,11,غسالم,SLMN
1381-01-18,2002-04-07,11,غسالم,SLMN
1381-01-20,2002-04-09,11,غسالم,SLMN
1381-01-21,2002-04-10,11,غسالم,SLMN
1381-01-24,2002-04-13,11,غسالم,SLMN
1381-02-01,2002-04-21,11,غسالم,SLMN
1381-02-02,2002-04-22,11,غسالم,SLMN
1381-02-03,2002-04-23,11,غسالم,SLMN
1381-02-04,2002-04-24,11,غسالم,SLMN
1381-02-07,2002-04-27,12,غسالم,SLMN
1381-02-09,2002-04-29,12,غسالم,SLMN
1381-02-10,2002-04-30,13,غسالم,SLMN
1381-02-11,2002-05-01,13,غسالم,SLMN
1381-02-14,2002-05-04,13,غسالم,SLMN
1381-02-15,2002-05-05,13,غسالم,SLMN
1381-02-30,2002-05-20,15,غسالم,SLMN
1381-02-31,2002-05-21,15,غسالم,SLMN
1381-03-01,2002-05-22,15,غسالم,SLMN
1381-03-04,2002-05-25,15,غسالم,SLMN
1381-03-05,2002-05-26,16,غسالم,SLMN
1381-03-06,2002-05-27,16,غسالم,SLMN
1381-03-07,2002-05-28,17,غسالم,SLMN
1381-03-08,2002-05-29,17,غسالم,SLMN
1381-03-11,2002-06-01,17,غسالم,SLMN
1381-04-04,2002-06-25,15,غسالم,SLMN
1381-04-05,2002-06-26,15,غسالم,SLMN
1381-04-10,2002-07-01,16,غسالم,SLMN
1381-04-11,2002-07-02,17,غسالم,SLMN
1381-04-12,2002-07-03,18,غسالم,SLMN
1381-04-15,2002-07-06,19,غسالم,SLMN
1381-04-16,2002-07-07,19,غسالم,SLMN
1381-04-17,2002-07-08,19,غسالم,SLMN
1381-04-18,2002-07-09,19,غسالم,SLMN
1381-04-19,2002-07-10,18,غسالم,SLMN
1381-04-22,2002-07-13,18,غسالم,SLMN
1381-04-23,2002-07-14,18,غسالم,SLMN
1381-04-24,2002-07-15,18,غسالم,SLMN
1381-04-25,2002-07-16,18,غسالم,SLMN
1381-04-26,2002-07-17,18,غسالم,SLMN
1381-04-30,2002-07-21,18,غسالم,SLMN
1381-05-01,2002-07-23,19,غسالم,SLMN
1381-05-05,2002-07-27,19,غسالم,SLMN
1381-05-06,2002-07-28,19,غسالم,SLMN
1381-05-07,2002-07-29,19,غسالم,SLMN
1381-06-27,2002-09-18,18,غسالم,SLMN
1381-07-01,2002-09-23,18,غسالم,SLMN
1381-07-28,2002-10-20,17,غسالم,SLMN
1381-07-29,2002-10-21,16,غسالم,SLMN
1381-08-07,2002-10-29,16,غسالم,SLMN
1381-08-08,2002-10-30,16,غسالم,SLMN
1381-08-12,2002-11-03,15,غسالم,SLMN
1381-08-15,2002-11-06,15,غسالم,SLMN
1381-08-19,2002-11-10,14,غسالم,SLMN
1381-08-20,2002-11-11,14,غسالم,SLMN
1381-08-21,2002-11-12,14,غسالم,SLMN
1381-08-25,2002-11-16,14,غسالم,SLMN
1381-08-27,2002-11-18,14,غسالم,SLMN
1381-08-28,2002-11-19,14,غسالم,SLMN
1381-09-02,2002-11-23,14,غسالم,SLMN
1381-09-03,2002-11-24,14,غسالم,SLMN
1381-09-05,2002-11-26,14,غسالم,SLMN
1381-09-09,2002-11-30,14,غسالم,SLMN
1381-09-18,2002-12-09,14,غسالم,SLMN
1381-10-01,2002-12-22,13,غسالم,SLMN
1381-10-02,2002-12-23,13,غسالم,SLMN
1381-10-14,2003-01-04,13,غسالم,SLMN
1381-10-15,2003-01-05,12,غسالم,SLMN
1381-10-21,2003-01-11,12,غسالم,SLMN
1381-10-23,2003-01-13,12,غسالم,SLMN
1381-11-16,2003-02-05,12,غسالم,SLMN
1381-11-21,2003-02-10,12,غسالم,SLMN
1381-11-28,2003-02-17,12,غسالم,SLMN
1381-11-29,2003-02-18,12,غسالم,SLMN
1381-12-03,2003-02-22,12,غسالم,SLMN
1382-01-19,2003-04-08,18,غسالم,SLMN
1382-01-23,2003-04-12,18,غسالم,SLMN
1382-01-24,2003-04-13,18,غسالم,SLMN
1382-01-25,2003-04-14,18,غسالم,SLMN
1382-02-06,2003-04-26,18,غسالم,SLMN
1382-02-07,2003-04-27,18,غسالم,SLMN
1382-02-08,2003-04-28,18,غسالم,SLMN
1382-02-09,2003-04-29,18,غسالم,SLMN
1382-02-10,2003-04-30,18,غسالم,SLMN
1382-02-13,2003-05-03,18,غسالم,SLMN
1382-02-14,2003-05-04,18,غسالم,SLMN
1382-02-17,2003-05-07,18,غسالم,SLMN
1382-02-21,2003-05-11,19,غسالم,SLMN
1382-02-22,2003-05-12,20,غسالم,SLMN
1382-02-28,2003-05-18,20,غسالم,SLMN
1382-02-30,2003-05-20,20,غسالم,SLMN
1382-03-04,2003-05-25,20,غسالم,SLMN
1382-03-06,2003-05-27,20,غسالم,SLMN
1382-03-07,2003-05-28,20,غسالم,SLMN
1382-03-10,2003-05-31,21,غسالم,SLMN
1382-12-04,2004-02-23,2,غسالم,SLMN
1382-12-20,2004-03-10,2,غسالم,SLMN
1382-12-23,2004-03-13,2,غسالم,SLMN
1382-12-24,2004-03-14,2,غسالم,SLMN
1382-12-26,2004-03-16,2,غسالم,SLMN
1382-12-27,2004-03-17,2,غسالم,SLMN
1383-01-15,2004-04-03,2,غسالم,SLMN
1383-01-16,2004-04-04,2,غسالم,SLMN
1383-01-22,2004-04-10,2,غسالم,SLMN
1383-01-26,2004-04-14,3,غسالم,SLMN
1383-01-30,2004-04-18,3,غسالم,SLMN
1383-02-05,2004-04-24,3,غسالم,SLMN
1383-02-07,2004-04-26,3,غسالم,SLMN
1383-02-08,2004-04-27,3,غسالم,SLMN
1383-02-21,2004-05-10,3,غسالم,SLMN
1383-02-22,2004-05-11,4,غسالم,SLMN
1383-02-23,2004-05-12,4,غسالم,SLMN
1383-02-26,2004-05-15,4,غسالم,SLMN
1383-02-27,2004-05-16,4,غسالم,SLMN
1383-02-28,2004-05-17,4,غسالم,SLMN
1383-02-29,2004-05-18,4,غسالم,SLMN
1383-02-30,2004-05-19,4,غسالم,SLMN
1383-03-02,2004-05-22,4,غسالم,SLMN
1383-03-03,2004-05-23,4,غسالم,SLMN
1383-03-04,2004-05-24,4,غسالم,SLMN
1383-03-05,2004-05-25,4,غسالم,SLMN
1383-03-06,2004-05-26,4,غسالم,SLMN
1383-03-09,2004-05-29,4,غسالم,SLMN
1383-03-10,2004-05-30,4,غسالم,SLMN
1383-03-11,2004-05-31,4,غسالم,SLMN
1383-03-12,2004-06-01,4,غسالم,SLMN
1383-03-19,2004-06-08,4,غسالم,SLMN
1383-03-23,2004-06-12,4,غسالم,SLMN
1383-03-25,2004-06-14,4,غسالم,SLMN
1383-03-26,2004-06-15,4,غسالم,SLMN
1383-03-27,2004-06-16,4,غسالم,SLMN
1383-03-30,2004-06-19,4,غسالم,SLMN
1383-03-31,2004-06-20,4,غسالم,SLMN
1383-04-02,2004-06-22,4,غسالم,SLMN
1383-04-03,2004-06-23,4,غسالم,SLMN
1383-04-07,2004-06-27,4,غسالم,SLMN
1383-04-14,2004-07-04,4,غسالم,SLMN
1383-04-16,2004-07-06,4,غسالم,SLMN
1383-04-17,2004-07-07,4,غسالم,SLMN
1383-04-20,2004-07-10,4,غسالم,SLMN
1383-04-21,2004-07-11,4,غسالم,SLMN
1383-04-22,2004-07-12,4,غسالم,SLMN
1383-04-23,2004-07-13,4,غسالم,SLMN
1383-04-24,2004-07-14,4,غسالم,SLMN
1383-04-28,2004-07-18,4,غسالم,SLMN
1383-04-30,2004-07-20,4,غسالم,SLMN
1383-05-04,2004-07-25,4,غسالم,SLMN
1383-05-05,2004-07-26,4,غسالم,SLMN
1383-05-07,2004-07-28,4,غسالم,SLMN
1383-05-11,2004-08-01,4,غسالم,SLMN
1383-05-12,2004-08-02,4,غسالم,SLMN
1383-05-13,2004-08-03,4,غسالم,SLMN
1383-05-25,2004-08-15,4,غسالم,SLMN
1383-05-27,2004-08-17,4,غسالم,SLMN
1383-06-01,2004-08-22,4,غسالم,SLMN
1383-06-22,2004-09-12,4,غسالم,SLMN
1383-06-29,2004-09-19,4,غسالم,SLMN
1383-06-31,2004-09-21,4,غسالم,SLMN
1383-07-04,2004-09-25,4,غسالم,SLMN
1383-07-19,2004-10-10,4,غسالم,SLMN
1383-08-13,2004-11-03,4,غسالم,SLMN
1383-08-16,2004-11-06,4,غسالم,SLMN
1383-08-25,2004-11-15,4,غسالم,SLMN
1383-09-04,2004-11-24,4,غسالم,SLMN
1383-09-07,2004-11-27,4,غسالم,SLMN
1383-09-10,2004-11-30,4,غسالم,SLMN
1383-09-16,2004-12-06,4,غسالم,SLMN
1383-09-17,2004-12-07,4,غسالم,SLMN
1383-09-23,2004-12-13,4,غسالم,SLMN
1384-06-22,2005-09-13,4,غسالم,SLMN
1384-06-26,2005-09-17,4,غسالم,SLMN
1384-06-27,2005-09-18,4,غسالم,SLMN
1384-06-28,2005-09-19,4,غسالم,SLMN
1384-06-30,2005-09-21,4,غسالم,SLMN
1384-07-02,2005-09-24,4,غسالم,SLMN
1384-07-03,2005-09-25,4,غسالم,SLMN
1384-07-04,2005-09-26,4,غسالم,SLMN
1384-07-05,2005-09-27,4,غسالم,SLMN
1384-07-06,2005-09-28,4,غسالم,SLMN
1384-07-09,2005-10-01,4,غسالم,SLMN
1384-07-10,2005-10-02,4,غسالم,SLMN
1384-07-11,2005-10-03,4,غسالم,SLMN
1384-07-12,2005-10-04,4,غسالم,SLMN
1384-07-13,2005-10-05,4,غسالم,SLMN
1384-07-16,2005-10-08,4,غسالم,SLMN
1384-07-17,2005-10-09,4,غسالم,SLMN
1384-07-18,2005-10-10,4,غسالم,SLMN
1384-07-19,2005-10-11,4,غسالم,SLMN
1384-07-23,2005-10-15,4,غسالم,SLMN
1384-07-24,2005-10-16,4,غسالم,SLMN
1384-07-25,2005-10-17,4,غسالم,SLMN
1384-07-26,2005-10-18,4,غسالم,SLMN
1384-07-27,2005-10-19,4,غسالم,SLMN
1384-07-30,2005-10-22,4,غسالم,SLMN
1384-08-01,2005-10-23,4,غسالم,SLMN
1384-08-02,2005-10-24,4,غسالم,SLMN
1384-08-04,2005-10-26,4,غسالم,SLMN
1384-08-07,2005-10-29,4,غسالم,SLMN
1384-08-08,2005-10-30,4,غسالم,SLMN
1384-08-09,2005-10-31,4,غسالم,SLMN
1384-08-10,2005-11-01,4,غسالم,SLMN
1384-08-11,2005-11-02,4,غسالم,SLMN
1384-08-17,2005-11-08,4,غسالم,SLMN
1384-08-18,2005-11-09,4,غسالم,SLMN
1384-08-23,2005-11-14,4,غسالم,SLMN
1384-08-24,2005-11-15,4,غسالم,SLMN
1384-08-25,2005-11-16,4,غسالم,SLMN
