J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,24,وصنعت,SNMA
1380-01-06,2001-03-26,24,وصنعت,SNMA
1380-01-07,2001-03-27,24,وصنعت,SNMA
1380-01-08,2001-03-28,24,وصنعت,SNMA
1380-01-11,2001-03-31,24,وصنعت,SNMA
1380-01-14,2001-04-03,24,وصنعت,SNMA
1380-01-18,2001-04-07,25,وصنعت,SNMA
1380-01-19,2001-04-08,25,وصنعت,SNMA
1380-01-20,2001-04-09,24,وصنعت,SNMA
1380-01-21,2001-04-10,24,وصنعت,SNMA
1380-01-22,2001-04-11,24,وصنعت,SNMA
1380-01-25,2001-04-14,24,وصنعت,SNMA
1380-01-26,2001-04-15,25,وصنعت,SNMA
1380-01-27,2001-04-16,25,وصنعت,SNMA
1380-01-28,2001-04-17,25,وصنعت,SNMA
1380-01-29,2001-04-18,26,وصنعت,SNMA
1380-02-01,2001-04-21,26,وصنعت,SNMA
1380-02-02,2001-04-22,27,وصنعت,SNMA
1380-02-03,2001-04-23,27,وصنعت,SNMA
1380-02-04,2001-04-24,27,وصنعت,SNMA
1380-02-05,2001-04-25,28,وصنعت,SNMA
1380-02-08,2001-04-28,29,وصنعت,SNMA
1380-02-09,2001-04-29,30,وصنعت,SNMA
1380-02-10,2001-04-30,30,وصنعت,SNMA
1380-02-11,2001-05-01,28,وصنعت,SNMA
1380-02-12,2001-05-02,28,وصنعت,SNMA
1380-02-15,2001-05-05,28,وصنعت,SNMA
1380-02-16,2001-05-06,28,وصنعت,SNMA
1380-02-17,2001-05-07,28,وصنعت,SNMA
1380-02-18,2001-05-08,29,وصنعت,SNMA
1380-02-19,2001-05-09,29,وصنعت,SNMA
1380-02-22,2001-05-12,29,وصنعت,SNMA
1380-02-23,2001-05-13,28,وصنعت,SNMA
1380-02-25,2001-05-15,28,وصنعت,SNMA
1380-02-26,2001-05-16,28,وصنعت,SNMA
1380-02-29,2001-05-19,29,وصنعت,SNMA
1380-02-30,2001-05-20,29,وصنعت,SNMA
1380-02-31,2001-05-21,28,وصنعت,SNMA
1380-03-02,2001-05-23,29,وصنعت,SNMA
1380-03-05,2001-05-26,29,وصنعت,SNMA
1380-03-06,2001-05-27,29,وصنعت,SNMA
1380-03-07,2001-05-28,29,وصنعت,SNMA
1380-03-08,2001-05-29,29,وصنعت,SNMA
1380-03-09,2001-05-30,28,وصنعت,SNMA
1380-03-12,2001-06-02,29,وصنعت,SNMA
1380-03-13,2001-06-03,29,وصنعت,SNMA
1380-03-16,2001-06-06,29,وصنعت,SNMA
1380-03-19,2001-06-09,29,وصنعت,SNMA
1380-03-21,2001-06-11,29,وصنعت,SNMA
1380-03-22,2001-06-12,29,وصنعت,SNMA
1380-03-23,2001-06-13,29,وصنعت,SNMA
1380-03-26,2001-06-16,29,وصنعت,SNMA
1380-03-27,2001-06-17,28,وصنعت,SNMA
1380-03-28,2001-06-18,28,وصنعت,SNMA
1380-03-29,2001-06-19,29,وصنعت,SNMA
1380-03-30,2001-06-20,29,وصنعت,SNMA
1380-04-02,2001-06-23,29,وصنعت,SNMA
1380-04-03,2001-06-24,29,وصنعت,SNMA
1380-04-04,2001-06-25,29,وصنعت,SNMA
1380-04-05,2001-06-26,29,وصنعت,SNMA
1380-04-06,2001-06-27,29,وصنعت,SNMA
1380-04-09,2001-06-30,29,وصنعت,SNMA
1380-04-10,2001-07-01,29,وصنعت,SNMA
1380-04-11,2001-07-02,29,وصنعت,SNMA
1380-04-12,2001-07-03,29,وصنعت,SNMA
1380-04-13,2001-07-04,29,وصنعت,SNMA
1380-04-16,2001-07-07,29,وصنعت,SNMA
1380-04-17,2001-07-08,29,وصنعت,SNMA
1380-04-18,2001-07-09,29,وصنعت,SNMA
1380-04-19,2001-07-10,30,وصنعت,SNMA
1380-04-20,2001-07-11,29,وصنعت,SNMA
1380-04-23,2001-07-14,29,وصنعت,SNMA
1380-04-24,2001-07-15,29,وصنعت,SNMA
1380-04-25,2001-07-16,30,وصنعت,SNMA
1380-04-26,2001-07-17,30,وصنعت,SNMA
1380-04-27,2001-07-18,30,وصنعت,SNMA
1380-04-30,2001-07-21,30,وصنعت,SNMA
1380-04-31,2001-07-22,30,وصنعت,SNMA
1380-05-01,2001-07-23,30,وصنعت,SNMA
1380-05-02,2001-07-24,30,وصنعت,SNMA
1380-05-03,2001-07-25,30,وصنعت,SNMA
1380-05-06,2001-07-28,31,وصنعت,SNMA
1380-05-07,2001-07-29,32,وصنعت,SNMA
1380-05-08,2001-07-30,32,وصنعت,SNMA
1380-05-09,2001-07-31,33,وصنعت,SNMA
1380-05-10,2001-08-01,35,وصنعت,SNMA
1380-05-13,2001-08-04,36,وصنعت,SNMA
1380-05-14,2001-08-05,36,وصنعت,SNMA
1380-05-15,2001-08-06,37,وصنعت,SNMA
1380-05-16,2001-08-07,38,وصنعت,SNMA
1380-05-17,2001-08-08,38,وصنعت,SNMA
1380-05-20,2001-08-11,39,وصنعت,SNMA
1380-05-21,2001-08-12,39,وصنعت,SNMA
1380-05-22,2001-08-13,40,وصنعت,SNMA
1380-05-23,2001-08-14,40,وصنعت,SNMA
1380-05-24,2001-08-15,41,وصنعت,SNMA
1380-05-27,2001-08-18,43,وصنعت,SNMA
1380-05-28,2001-08-19,43,وصنعت,SNMA
1380-05-29,2001-08-20,43,وصنعت,SNMA
1380-05-30,2001-08-21,42,وصنعت,SNMA
1380-05-31,2001-08-22,42,وصنعت,SNMA
1380-06-03,2001-08-25,43,وصنعت,SNMA
1380-06-04,2001-08-26,42,وصنعت,SNMA
1380-06-05,2001-08-27,42,وصنعت,SNMA
1380-06-06,2001-08-28,42,وصنعت,SNMA
1380-06-07,2001-08-29,41,وصنعت,SNMA
1380-06-11,2001-09-02,41,وصنعت,SNMA
1380-06-12,2001-09-03,40,وصنعت,SNMA
1380-06-13,2001-09-04,39,وصنعت,SNMA
1380-06-14,2001-09-05,40,وصنعت,SNMA
1380-06-17,2001-09-08,41,وصنعت,SNMA
1380-06-18,2001-09-09,41,وصنعت,SNMA
1380-06-19,2001-09-10,41,وصنعت,SNMA
1380-06-20,2001-09-11,41,وصنعت,SNMA
1380-06-21,2001-09-12,41,وصنعت,SNMA
1380-06-24,2001-09-15,40,وصنعت,SNMA
1380-06-25,2001-09-16,39,وصنعت,SNMA
1380-06-26,2001-09-17,38,وصنعت,SNMA
1380-06-27,2001-09-18,36,وصنعت,SNMA
1380-06-28,2001-09-19,37,وصنعت,SNMA
1380-06-31,2001-09-22,39,وصنعت,SNMA
1380-07-01,2001-09-23,39,وصنعت,SNMA
1380-07-02,2001-09-24,39,وصنعت,SNMA
1380-07-03,2001-09-25,39,وصنعت,SNMA
1380-07-04,2001-09-26,38,وصنعت,SNMA
1380-07-07,2001-09-29,38,وصنعت,SNMA
1380-07-08,2001-09-30,39,وصنعت,SNMA
1380-07-10,2001-10-02,39,وصنعت,SNMA
1380-07-11,2001-10-03,38,وصنعت,SNMA
1380-07-14,2001-10-06,38,وصنعت,SNMA
1380-07-15,2001-10-07,37,وصنعت,SNMA
1380-07-16,2001-10-08,37,وصنعت,SNMA
1380-07-17,2001-10-09,36,وصنعت,SNMA
1380-07-18,2001-10-10,35,وصنعت,SNMA
1380-07-21,2001-10-13,37,وصنعت,SNMA
1380-07-22,2001-10-14,37,وصنعت,SNMA
1380-07-24,2001-10-16,39,وصنعت,SNMA
1380-07-25,2001-10-17,38,وصنعت,SNMA
1380-07-28,2001-10-20,39,وصنعت,SNMA
1380-07-29,2001-10-21,40,وصنعت,SNMA
1380-07-30,2001-10-22,40,وصنعت,SNMA
1380-08-01,2001-10-23,40,وصنعت,SNMA
1380-08-02,2001-10-24,40,وصنعت,SNMA
1380-08-05,2001-10-27,40,وصنعت,SNMA
1380-08-06,2001-10-28,39,وصنعت,SNMA
1380-08-07,2001-10-29,39,وصنعت,SNMA
1380-08-08,2001-10-30,40,وصنعت,SNMA
1380-08-09,2001-10-31,40,وصنعت,SNMA
1380-08-12,2001-11-03,40,وصنعت,SNMA
1380-08-13,2001-11-04,41,وصنعت,SNMA
1380-08-14,2001-11-05,41,وصنعت,SNMA
1380-08-15,2001-11-06,41,وصنعت,SNMA
1380-08-16,2001-11-07,41,وصنعت,SNMA
1380-08-19,2001-11-10,41,وصنعت,SNMA
1380-08-20,2001-11-11,41,وصنعت,SNMA
1380-08-21,2001-11-12,41,وصنعت,SNMA
1380-08-22,2001-11-13,41,وصنعت,SNMA
1380-08-23,2001-11-14,41,وصنعت,SNMA
1380-08-26,2001-11-17,41,وصنعت,SNMA
1380-08-27,2001-11-18,41,وصنعت,SNMA
1380-08-28,2001-11-19,41,وصنعت,SNMA
1380-08-29,2001-11-20,41,وصنعت,SNMA
1380-08-30,2001-11-21,41,وصنعت,SNMA
1380-09-03,2001-11-24,41,وصنعت,SNMA
1380-09-04,2001-11-25,42,وصنعت,SNMA
1380-09-05,2001-11-26,42,وصنعت,SNMA
1380-09-06,2001-11-27,43,وصنعت,SNMA
1380-09-07,2001-11-28,43,وصنعت,SNMA
1380-09-10,2001-12-01,43,وصنعت,SNMA
1380-09-11,2001-12-02,43,وصنعت,SNMA
1380-09-12,2001-12-03,43,وصنعت,SNMA
1380-09-13,2001-12-04,43,وصنعت,SNMA
1380-09-14,2001-12-05,43,وصنعت,SNMA
1380-09-17,2001-12-08,44,وصنعت,SNMA
1380-09-18,2001-12-09,45,وصنعت,SNMA
1380-09-19,2001-12-10,45,وصنعت,SNMA
1380-09-20,2001-12-11,45,وصنعت,SNMA
1380-09-21,2001-12-12,44,وصنعت,SNMA
1380-09-24,2001-12-15,44,وصنعت,SNMA
1380-09-26,2001-12-17,44,وصنعت,SNMA
1380-09-27,2001-12-18,44,وصنعت,SNMA
1380-09-28,2001-12-19,44,وصنعت,SNMA
1380-10-01,2001-12-22,44,وصنعت,SNMA
1380-10-02,2001-12-23,44,وصنعت,SNMA
1380-10-03,2001-12-24,43,وصنعت,SNMA
1380-10-04,2001-12-25,43,وصنعت,SNMA
1380-10-05,2001-12-26,43,وصنعت,SNMA
1380-10-08,2001-12-29,43,وصنعت,SNMA
1380-10-09,2001-12-30,44,وصنعت,SNMA
1380-10-10,2001-12-31,45,وصنعت,SNMA
1380-10-11,2002-01-01,44,وصنعت,SNMA
1380-10-12,2002-01-02,44,وصنعت,SNMA
1380-10-15,2002-01-05,44,وصنعت,SNMA
