J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-07-28,2013-10-20,76,وثنو,SNOP
1392-08-21,2013-11-12,76,وثنو,SNOP
1392-09-09,2013-11-30,76,وثنو,SNOP
1392-09-20,2013-12-11,114,وثنو,SNOP
1392-10-09,2013-12-30,147,وثنو,SNOP
1392-10-14,2014-01-04,147,وثنو,SNOP
1392-10-25,2014-01-15,147,وثنو,SNOP
1392-11-07,2014-01-27,131,وثنو,SNOP
1392-11-19,2014-02-08,123,وثنو,SNOP
1392-12-11,2014-03-02,123,وثنو,SNOP
1393-02-13,2014-05-03,120,وثنو,SNOP
1393-02-15,2014-05-05,106,وثنو,SNOP
1393-03-03,2014-05-24,123,وثنو,SNOP
1393-05-26,2014-08-17,106,وثنو,SNOP
1393-05-27,2014-08-18,106,وثنو,SNOP
1393-05-29,2014-08-20,106,وثنو,SNOP
1393-06-09,2014-08-31,106,وثنو,SNOP
1393-07-15,2014-10-07,105,وثنو,SNOP
1393-07-23,2014-10-15,85,وثنو,SNOP
1393-07-27,2014-10-19,85,وثنو,SNOP
1393-07-28,2014-10-20,106,وثنو,SNOP
1393-07-29,2014-10-21,107,وثنو,SNOP
1393-07-30,2014-10-22,107,وثنو,SNOP
1393-08-03,2014-10-25,112,وثنو,SNOP
1393-08-04,2014-10-26,112,وثنو,SNOP
1393-08-11,2014-11-02,112,وثنو,SNOP
1393-08-14,2014-11-05,106,وثنو,SNOP
1393-08-17,2014-11-08,114,وثنو,SNOP
1393-08-18,2014-11-09,114,وثنو,SNOP
1393-08-19,2014-11-10,119,وثنو,SNOP
1393-08-20,2014-11-11,139,وثنو,SNOP
1393-08-21,2014-11-12,142,وثنو,SNOP
1393-08-24,2014-11-15,141,وثنو,SNOP
1393-08-25,2014-11-16,139,وثنو,SNOP
1393-08-26,2014-11-17,136,وثنو,SNOP
1393-08-27,2014-11-18,132,وثنو,SNOP
1393-08-28,2014-11-19,139,وثنو,SNOP
1393-09-01,2014-11-22,139,وثنو,SNOP
1393-09-02,2014-11-23,132,وثنو,SNOP
1393-09-03,2014-11-24,142,وثنو,SNOP
1393-09-04,2014-11-25,171,وثنو,SNOP
1393-09-05,2014-11-26,142,وثنو,SNOP
1393-09-08,2014-11-29,143,وثنو,SNOP
1393-09-09,2014-11-30,131,وثنو,SNOP
1393-09-10,2014-12-01,123,وثنو,SNOP
1393-09-25,2014-12-16,109,وثنو,SNOP
1393-10-03,2014-12-24,109,وثنو,SNOP
1393-10-07,2014-12-28,109,وثنو,SNOP
1393-10-09,2014-12-30,131,وثنو,SNOP
1393-10-10,2014-12-31,107,وثنو,SNOP
1393-10-21,2015-01-11,109,وثنو,SNOP
1393-10-27,2015-01-17,109,وثنو,SNOP
1393-11-05,2015-01-25,109,وثنو,SNOP
1393-11-07,2015-01-27,109,وثنو,SNOP
1393-11-20,2015-02-09,89,وثنو,SNOP
1393-11-26,2015-02-15,96,وثنو,SNOP
1393-11-28,2015-02-17,105,وثنو,SNOP
1393-12-05,2015-02-24,92,وثنو,SNOP
1393-12-09,2015-02-28,96,وثنو,SNOP
1393-12-12,2015-03-03,88,وثنو,SNOP
1393-12-16,2015-03-07,109,وثنو,SNOP
1393-12-17,2015-03-08,109,وثنو,SNOP
1393-12-18,2015-03-09,83,وثنو,SNOP
1393-12-19,2015-03-10,79,وثنو,SNOP
1393-12-23,2015-03-14,79,وثنو,SNOP
1393-12-25,2015-03-16,109,وثنو,SNOP
1394-01-05,2015-03-25,109,وثنو,SNOP
1394-01-09,2015-03-29,96,وثنو,SNOP
1394-01-10,2015-03-30,88,وثنو,SNOP
1394-01-15,2015-04-04,102,وثنو,SNOP
1394-01-16,2015-04-05,109,وثنو,SNOP
1394-01-18,2015-04-07,114,وثنو,SNOP
1394-01-19,2015-04-08,116,وثنو,SNOP
1394-01-22,2015-04-11,105,وثنو,SNOP
1394-01-23,2015-04-12,102,وثنو,SNOP
1394-02-15,2015-05-05,80,وثنو,SNOP
1394-02-19,2015-05-09,73,وثنو,SNOP
1394-02-22,2015-05-12,87,وثنو,SNOP
1394-02-23,2015-05-13,87,وثنو,SNOP
1394-02-29,2015-05-19,86,وثنو,SNOP
1394-03-02,2015-05-23,86,وثنو,SNOP
1394-03-03,2015-05-24,109,وثنو,SNOP
1394-05-13,2015-08-04,79,وثنو,SNOP
1394-05-21,2015-08-12,75,وثنو,SNOP
1394-05-28,2015-08-19,73,وثنو,SNOP
1394-06-31,2015-09-22,87,وثنو,SNOP
1394-07-01,2015-09-23,92,وثنو,SNOP
1394-09-25,2015-12-16,82,وثنو,SNOP
1394-10-15,2016-01-05,92,وثنو,SNOP
1394-10-16,2016-01-06,87,وثنو,SNOP
1394-10-21,2016-01-11,94,وثنو,SNOP
1394-10-23,2016-01-13,101,وثنو,SNOP
1394-10-28,2016-01-18,102,وثنو,SNOP
1394-10-29,2016-01-19,102,وثنو,SNOP
1394-11-04,2016-01-24,94,وثنو,SNOP
1394-11-05,2016-01-25,87,وثنو,SNOP
1394-11-17,2016-02-06,95,وثنو,SNOP
1394-11-27,2016-02-16,106,وثنو,SNOP
1394-12-01,2016-02-20,106,وثنو,SNOP
1394-12-04,2016-02-23,90,وثنو,SNOP
1394-12-08,2016-02-27,95,وثنو,SNOP
1394-12-10,2016-02-29,92,وثنو,SNOP
1394-12-17,2016-03-07,92,وثنو,SNOP
1394-12-19,2016-03-09,92,وثنو,SNOP
1394-12-25,2016-03-15,90,وثنو,SNOP
1395-01-08,2016-03-27,92,وثنو,SNOP
1395-01-17,2016-04-05,81,وثنو,SNOP
1395-01-22,2016-04-10,91,وثنو,SNOP
1395-01-23,2016-04-11,91,وثنو,SNOP
1395-01-24,2016-04-12,91,وثنو,SNOP
1395-01-25,2016-04-13,91,وثنو,SNOP
1395-01-29,2016-04-17,90,وثنو,SNOP
1395-02-13,2016-05-02,97,وثنو,SNOP
1395-02-20,2016-05-09,90,وثنو,SNOP
1395-02-22,2016-05-11,90,وثنو,SNOP
1395-02-29,2016-05-18,90,وثنو,SNOP
1395-03-04,2016-05-24,83,وثنو,SNOP
1395-03-17,2016-06-06,83,وثنو,SNOP
1395-03-22,2016-06-11,81,وثنو,SNOP
1395-04-08,2016-06-28,83,وثنو,SNOP
1395-04-22,2016-07-12,83,وثنو,SNOP
1395-05-02,2016-07-23,80,وثنو,SNOP
1395-05-05,2016-07-26,80,وثنو,SNOP
1395-06-29,2016-09-19,82,وثنو,SNOP
1395-07-03,2016-09-24,86,وثنو,SNOP
1395-07-04,2016-09-25,91,وثنو,SNOP
1395-07-05,2016-09-26,94,وثنو,SNOP
1395-07-06,2016-09-27,97,وثنو,SNOP
1395-08-01,2016-10-22,101,وثنو,SNOP
1395-08-09,2016-10-30,90,وثنو,SNOP
1395-08-17,2016-11-07,89,وثنو,SNOP
1395-09-09,2016-11-29,89,وثنو,SNOP
1395-09-13,2016-12-03,89,وثنو,SNOP
1395-09-15,2016-12-05,95,وثنو,SNOP
1395-10-04,2016-12-24,102,وثنو,SNOP
1395-10-06,2016-12-26,102,وثنو,SNOP
1395-10-20,2017-01-09,77,وثنو,SNOP
1395-10-27,2017-01-16,73,وثنو,SNOP
1395-11-03,2017-01-22,73,وثنو,SNOP
1395-11-11,2017-01-30,73,وثنو,SNOP
1395-11-19,2017-02-07,73,وثنو,SNOP
1395-11-26,2017-02-14,77,وثنو,SNOP
1396-01-07,2017-03-27,84,وثنو,SNOP
1396-01-08,2017-03-28,91,وثنو,SNOP
1396-01-09,2017-03-29,82,وثنو,SNOP
1396-01-14,2017-04-03,74,وثنو,SNOP
1396-01-15,2017-04-04,81,وثنو,SNOP
1396-01-21,2017-04-10,85,وثنو,SNOP
1396-01-23,2017-04-12,88,وثنو,SNOP
1396-01-26,2017-04-15,97,وثنو,SNOP
1396-01-27,2017-04-16,104,وثنو,SNOP
1396-01-28,2017-04-17,109,وثنو,SNOP
1396-01-29,2017-04-18,110,وثنو,SNOP
1396-01-30,2017-04-19,114,وثنو,SNOP
1396-02-02,2017-04-22,103,وثنو,SNOP
1396-02-03,2017-04-23,93,وثنو,SNOP
1396-02-06,2017-04-26,97,وثنو,SNOP
1396-02-11,2017-05-01,97,وثنو,SNOP
1396-02-12,2017-05-02,97,وثنو,SNOP
1396-02-13,2017-05-03,109,وثنو,SNOP
1396-02-16,2017-05-06,119,وثنو,SNOP
1396-02-18,2017-05-08,105,وثنو,SNOP
1396-02-19,2017-05-09,97,وثنو,SNOP
1396-02-20,2017-05-10,107,وثنو,SNOP
1396-02-24,2017-05-14,98,وثنو,SNOP
1396-02-25,2017-05-15,109,وثنو,SNOP
1396-02-26,2017-05-16,107,وثنو,SNOP
1396-02-27,2017-05-17,106,وثنو,SNOP
1396-02-30,2017-05-20,102,وثنو,SNOP
1396-03-01,2017-05-22,97,وثنو,SNOP
1396-03-02,2017-05-23,107,وثنو,SNOP
1396-03-03,2017-05-24,118,وثنو,SNOP
1396-03-06,2017-05-27,114,وثنو,SNOP
1396-03-07,2017-05-28,108,وثنو,SNOP
1396-03-08,2017-05-29,113,وثنو,SNOP
1396-03-09,2017-05-30,104,وثنو,SNOP
1396-03-10,2017-05-31,114,وثنو,SNOP
1396-03-13,2017-06-03,126,وثنو,SNOP
1396-03-16,2017-06-06,138,وثنو,SNOP
1396-03-17,2017-06-07,124,وثنو,SNOP
1396-03-20,2017-06-10,121,وثنو,SNOP
1396-03-21,2017-06-11,116,وثنو,SNOP
1396-03-22,2017-06-12,128,وثنو,SNOP
1396-03-23,2017-06-13,132,وثنو,SNOP
1396-03-24,2017-06-14,128,وثنو,SNOP
1396-03-27,2017-06-17,127,وثنو,SNOP
