J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-07-30,2022-10-22,13550,فسوژ,SOJZ
1401-08-01,2022-10-23,16320,فسوژ,SOJZ
1401-08-02,2022-10-24,15800,فسوژ,SOJZ
1401-08-03,2022-10-25,15250,فسوژ,SOJZ
1401-08-04,2022-10-26,14550,فسوژ,SOJZ
1401-08-07,2022-10-29,14230,فسوژ,SOJZ
1401-08-08,2022-10-30,14600,فسوژ,SOJZ
1401-08-09,2022-10-31,14450,فسوژ,SOJZ
1401-08-10,2022-11-01,14150,فسوژ,SOJZ
1401-08-11,2022-11-02,14930,فسوژ,SOJZ
1401-08-14,2022-11-05,14560,فسوژ,SOJZ
1401-08-15,2022-11-06,15040,فسوژ,SOJZ
1401-08-16,2022-11-07,15030,فسوژ,SOJZ
1401-08-17,2022-11-08,14970,فسوژ,SOJZ
1401-08-18,2022-11-09,14800,فسوژ,SOJZ
1401-08-21,2022-11-12,14830,فسوژ,SOJZ
1401-08-22,2022-11-13,14990,فسوژ,SOJZ
1401-08-23,2022-11-14,14700,فسوژ,SOJZ
1401-08-24,2022-11-15,15000,فسوژ,SOJZ
1401-08-25,2022-11-16,15000,فسوژ,SOJZ
1401-08-28,2022-11-19,14650,فسوژ,SOJZ
1401-08-29,2022-11-20,14890,فسوژ,SOJZ
1401-08-30,2022-11-21,14630,فسوژ,SOJZ
1401-09-01,2022-11-22,14770,فسوژ,SOJZ
1401-09-02,2022-11-23,14450,فسوژ,SOJZ
1401-09-05,2022-11-26,14310,فسوژ,SOJZ
1401-09-06,2022-11-27,14310,فسوژ,SOJZ
1401-09-07,2022-11-28,14180,فسوژ,SOJZ
1401-09-08,2022-11-29,14360,فسوژ,SOJZ
1401-09-09,2022-11-30,14010,فسوژ,SOJZ
1401-09-12,2022-12-03,14110,فسوژ,SOJZ
1401-09-13,2022-12-04,14530,فسوژ,SOJZ
1401-09-14,2022-12-05,14510,فسوژ,SOJZ
1401-09-15,2022-12-06,14400,فسوژ,SOJZ
1401-09-16,2022-12-07,14520,فسوژ,SOJZ
1401-09-19,2022-12-10,14400,فسوژ,SOJZ
1401-09-20,2022-12-11,14000,فسوژ,SOJZ
1401-09-21,2022-12-12,14350,فسوژ,SOJZ
1401-09-22,2022-12-13,14490,فسوژ,SOJZ
1401-09-23,2022-12-14,14890,فسوژ,SOJZ
1401-09-26,2022-12-17,15860,فسوژ,SOJZ
