J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-07,2001-03-27,39,وسپه,SPAH
1380-01-08,2001-03-28,39,وسپه,SPAH
1380-01-11,2001-03-31,39,وسپه,SPAH
1380-01-18,2001-04-07,39,وسپه,SPAH
1380-01-19,2001-04-08,39,وسپه,SPAH
1380-01-20,2001-04-09,39,وسپه,SPAH
1380-01-21,2001-04-10,39,وسپه,SPAH
1380-01-22,2001-04-11,39,وسپه,SPAH
1380-01-25,2001-04-14,40,وسپه,SPAH
1380-01-26,2001-04-15,40,وسپه,SPAH
1380-01-27,2001-04-16,42,وسپه,SPAH
1380-01-28,2001-04-17,44,وسپه,SPAH
1380-01-29,2001-04-18,47,وسپه,SPAH
1380-02-01,2001-04-21,49,وسپه,SPAH
1380-02-02,2001-04-22,49,وسپه,SPAH
1380-02-03,2001-04-23,49,وسپه,SPAH
1380-02-04,2001-04-24,48,وسپه,SPAH
1380-02-05,2001-04-25,48,وسپه,SPAH
1380-02-08,2001-04-28,48,وسپه,SPAH
1380-02-09,2001-04-29,48,وسپه,SPAH
1380-02-10,2001-04-30,48,وسپه,SPAH
1380-02-11,2001-05-01,48,وسپه,SPAH
1380-02-12,2001-05-02,48,وسپه,SPAH
1380-02-15,2001-05-05,48,وسپه,SPAH
1380-02-16,2001-05-06,48,وسپه,SPAH
1380-02-17,2001-05-07,49,وسپه,SPAH
1380-02-18,2001-05-08,49,وسپه,SPAH
1380-02-19,2001-05-09,49,وسپه,SPAH
1380-02-22,2001-05-12,50,وسپه,SPAH
1380-02-23,2001-05-13,51,وسپه,SPAH
1380-02-25,2001-05-15,52,وسپه,SPAH
1380-02-26,2001-05-16,54,وسپه,SPAH
1380-02-29,2001-05-19,52,وسپه,SPAH
1380-03-02,2001-05-23,53,وسپه,SPAH
1380-03-05,2001-05-26,56,وسپه,SPAH
1380-03-06,2001-05-27,57,وسپه,SPAH
1380-03-07,2001-05-28,56,وسپه,SPAH
1380-03-08,2001-05-29,56,وسپه,SPAH
1380-03-09,2001-05-30,55,وسپه,SPAH
1380-03-12,2001-06-02,55,وسپه,SPAH
1380-03-13,2001-06-03,55,وسپه,SPAH
1380-03-16,2001-06-06,55,وسپه,SPAH
1380-03-19,2001-06-09,54,وسپه,SPAH
1380-03-21,2001-06-11,54,وسپه,SPAH
1380-03-22,2001-06-12,54,وسپه,SPAH
1380-03-29,2001-06-19,52,وسپه,SPAH
1380-03-30,2001-06-20,50,وسپه,SPAH
1380-04-02,2001-06-23,50,وسپه,SPAH
1380-04-03,2001-06-24,50,وسپه,SPAH
1380-04-04,2001-06-25,52,وسپه,SPAH
1380-04-05,2001-06-26,52,وسپه,SPAH
1380-04-06,2001-06-27,52,وسپه,SPAH
1380-04-10,2001-07-01,50,وسپه,SPAH
1380-04-11,2001-07-02,50,وسپه,SPAH
1380-04-12,2001-07-03,51,وسپه,SPAH
1380-04-13,2001-07-04,52,وسپه,SPAH
1380-04-16,2001-07-07,52,وسپه,SPAH
1380-04-17,2001-07-08,52,وسپه,SPAH
1380-04-18,2001-07-09,50,وسپه,SPAH
1380-04-19,2001-07-10,50,وسپه,SPAH
1380-04-20,2001-07-11,50,وسپه,SPAH
1380-04-23,2001-07-14,50,وسپه,SPAH
1380-04-24,2001-07-15,50,وسپه,SPAH
1380-04-25,2001-07-16,50,وسپه,SPAH
1380-04-26,2001-07-17,50,وسپه,SPAH
1380-04-27,2001-07-18,50,وسپه,SPAH
1380-04-30,2001-07-21,50,وسپه,SPAH
1380-04-31,2001-07-22,50,وسپه,SPAH
1380-05-01,2001-07-23,50,وسپه,SPAH
1380-05-02,2001-07-24,50,وسپه,SPAH
1380-05-03,2001-07-25,50,وسپه,SPAH
1380-05-06,2001-07-28,50,وسپه,SPAH
1380-05-07,2001-07-29,50,وسپه,SPAH
1380-05-08,2001-07-30,50,وسپه,SPAH
1380-05-09,2001-07-31,52,وسپه,SPAH
1380-05-10,2001-08-01,52,وسپه,SPAH
1380-05-13,2001-08-04,52,وسپه,SPAH
1380-05-14,2001-08-05,52,وسپه,SPAH
1380-05-15,2001-08-06,52,وسپه,SPAH
1380-05-16,2001-08-07,52,وسپه,SPAH
1380-05-17,2001-08-08,52,وسپه,SPAH
1380-05-20,2001-08-11,53,وسپه,SPAH
1380-05-21,2001-08-12,54,وسپه,SPAH
1380-05-22,2001-08-13,55,وسپه,SPAH
1380-05-23,2001-08-14,55,وسپه,SPAH
1380-05-24,2001-08-15,54,وسپه,SPAH
1380-05-27,2001-08-18,54,وسپه,SPAH
1380-05-28,2001-08-19,53,وسپه,SPAH
1380-05-29,2001-08-20,52,وسپه,SPAH
1380-05-31,2001-08-22,52,وسپه,SPAH
1380-06-03,2001-08-25,52,وسپه,SPAH
1380-06-04,2001-08-26,53,وسپه,SPAH
1380-06-05,2001-08-27,53,وسپه,SPAH
1380-06-06,2001-08-28,53,وسپه,SPAH
1380-06-07,2001-08-29,53,وسپه,SPAH
1380-06-10,2001-09-01,52,وسپه,SPAH
1380-06-11,2001-09-02,52,وسپه,SPAH
1380-06-13,2001-09-04,51,وسپه,SPAH
1380-06-14,2001-09-05,52,وسپه,SPAH
1380-06-17,2001-09-08,54,وسپه,SPAH
1380-06-18,2001-09-09,54,وسپه,SPAH
1380-06-19,2001-09-10,54,وسپه,SPAH
1380-06-20,2001-09-11,52,وسپه,SPAH
1380-06-21,2001-09-12,52,وسپه,SPAH
1380-06-24,2001-09-15,51,وسپه,SPAH
1380-06-25,2001-09-16,51,وسپه,SPAH
1380-06-27,2001-09-18,50,وسپه,SPAH
1380-06-28,2001-09-19,50,وسپه,SPAH
1380-06-31,2001-09-22,50,وسپه,SPAH
1380-07-01,2001-09-23,50,وسپه,SPAH
1380-07-02,2001-09-24,50,وسپه,SPAH
1380-07-03,2001-09-25,50,وسپه,SPAH
1380-07-04,2001-09-26,50,وسپه,SPAH
1380-07-07,2001-09-29,50,وسپه,SPAH
1380-07-08,2001-09-30,50,وسپه,SPAH
1380-07-10,2001-10-02,50,وسپه,SPAH
1380-07-11,2001-10-03,51,وسپه,SPAH
1380-07-14,2001-10-06,51,وسپه,SPAH
1380-07-15,2001-10-07,51,وسپه,SPAH
1380-07-16,2001-10-08,50,وسپه,SPAH
1380-07-17,2001-10-09,48,وسپه,SPAH
1380-07-18,2001-10-10,48,وسپه,SPAH
1380-07-21,2001-10-13,48,وسپه,SPAH
1380-07-22,2001-10-14,48,وسپه,SPAH
1380-07-24,2001-10-16,51,وسپه,SPAH
1380-07-25,2001-10-17,51,وسپه,SPAH
1380-07-28,2001-10-20,51,وسپه,SPAH
1380-07-29,2001-10-21,52,وسپه,SPAH
1380-07-30,2001-10-22,52,وسپه,SPAH
1380-08-01,2001-10-23,53,وسپه,SPAH
1380-08-02,2001-10-24,53,وسپه,SPAH
1380-08-05,2001-10-27,53,وسپه,SPAH
1380-08-06,2001-10-28,53,وسپه,SPAH
1380-08-07,2001-10-29,53,وسپه,SPAH
1380-08-08,2001-10-30,52,وسپه,SPAH
1380-08-09,2001-10-31,52,وسپه,SPAH
1380-08-12,2001-11-03,52,وسپه,SPAH
1380-08-13,2001-11-04,53,وسپه,SPAH
1380-08-14,2001-11-05,53,وسپه,SPAH
1380-08-15,2001-11-06,53,وسپه,SPAH
1380-08-16,2001-11-07,53,وسپه,SPAH
1380-08-19,2001-11-10,53,وسپه,SPAH
1380-08-20,2001-11-11,54,وسپه,SPAH
1380-08-21,2001-11-12,54,وسپه,SPAH
1380-08-22,2001-11-13,55,وسپه,SPAH
1380-08-23,2001-11-14,55,وسپه,SPAH
1380-08-27,2001-11-18,55,وسپه,SPAH
1380-08-28,2001-11-19,55,وسپه,SPAH
1380-08-29,2001-11-20,54,وسپه,SPAH
1380-08-30,2001-11-21,54,وسپه,SPAH
1380-09-03,2001-11-24,54,وسپه,SPAH
1380-09-04,2001-11-25,54,وسپه,SPAH
1380-09-05,2001-11-26,55,وسپه,SPAH
1380-09-06,2001-11-27,55,وسپه,SPAH
1380-09-07,2001-11-28,54,وسپه,SPAH
1380-09-10,2001-12-01,52,وسپه,SPAH
1380-09-11,2001-12-02,54,وسپه,SPAH
1380-09-12,2001-12-03,54,وسپه,SPAH
1380-09-13,2001-12-04,54,وسپه,SPAH
1380-09-14,2001-12-05,54,وسپه,SPAH
1380-09-17,2001-12-08,55,وسپه,SPAH
1380-09-18,2001-12-09,55,وسپه,SPAH
1380-09-20,2001-12-11,55,وسپه,SPAH
1380-09-21,2001-12-12,54,وسپه,SPAH
1380-09-24,2001-12-15,53,وسپه,SPAH
1380-09-26,2001-12-17,55,وسپه,SPAH
1380-09-27,2001-12-18,53,وسپه,SPAH
1380-09-28,2001-12-19,53,وسپه,SPAH
1380-10-01,2001-12-22,53,وسپه,SPAH
1380-10-02,2001-12-23,54,وسپه,SPAH
1380-10-03,2001-12-24,54,وسپه,SPAH
1380-10-04,2001-12-25,54,وسپه,SPAH
1380-10-05,2001-12-26,53,وسپه,SPAH
1380-10-08,2001-12-29,55,وسپه,SPAH
1380-10-09,2001-12-30,55,وسپه,SPAH
1380-10-10,2001-12-31,55,وسپه,SPAH
1380-10-11,2002-01-01,54,وسپه,SPAH
1380-10-12,2002-01-02,54,وسپه,SPAH
1380-10-15,2002-01-05,54,وسپه,SPAH
1380-10-16,2002-01-06,55,وسپه,SPAH
1380-10-17,2002-01-07,55,وسپه,SPAH
1380-10-18,2002-01-08,55,وسپه,SPAH
1380-10-22,2002-01-12,55,وسپه,SPAH
1380-11-23,2002-02-12,57,وسپه,SPAH
1380-11-24,2002-02-13,54,وسپه,SPAH
1380-11-27,2002-02-16,51,وسپه,SPAH
1380-11-28,2002-02-17,49,وسپه,SPAH
1380-11-29,2002-02-18,49,وسپه,SPAH
1380-11-30,2002-02-19,47,وسپه,SPAH
1380-12-01,2002-02-20,47,وسپه,SPAH
1380-12-05,2002-02-24,48,وسپه,SPAH
1380-12-06,2002-02-25,48,وسپه,SPAH
1380-12-07,2002-02-26,49,وسپه,SPAH
1380-12-08,2002-02-27,49,وسپه,SPAH
1380-12-11,2002-03-02,51,وسپه,SPAH
1380-12-13,2002-03-04,51,وسپه,SPAH
1380-12-14,2002-03-05,50,وسپه,SPAH
1380-12-15,2002-03-06,50,وسپه,SPAH
1380-12-18,2002-03-09,50,وسپه,SPAH
1380-12-19,2002-03-10,51,وسپه,SPAH
1380-12-20,2002-03-11,51,وسپه,SPAH
1380-12-21,2002-03-12,52,وسپه,SPAH
1380-12-22,2002-03-13,53,وسپه,SPAH
1380-12-25,2002-03-16,53,وسپه,SPAH
1380-12-26,2002-03-17,53,وسپه,SPAH
1380-12-27,2002-03-18,53,وسپه,SPAH
1380-12-28,2002-03-19,54,وسپه,SPAH
1381-01-06,2002-03-26,54,وسپه,SPAH
1381-01-07,2002-03-27,53,وسپه,SPAH
1381-01-10,2002-03-30,53,وسپه,SPAH
1381-01-11,2002-03-31,52,وسپه,SPAH
1381-01-14,2002-04-03,52,وسپه,SPAH
1381-01-17,2002-04-06,52,وسپه,SPAH
1381-01-18,2002-04-07,52,وسپه,SPAH
1381-01-19,2002-04-08,53,وسپه,SPAH
1381-01-20,2002-04-09,53,وسپه,SPAH
1381-01-21,2002-04-10,54,وسپه,SPAH
1381-01-24,2002-04-13,56,وسپه,SPAH
1381-01-25,2002-04-14,56,وسپه,SPAH
1381-01-26,2002-04-15,56,وسپه,SPAH
1381-01-27,2002-04-16,56,وسپه,SPAH
1381-01-28,2002-04-17,58,وسپه,SPAH
1381-01-31,2002-04-20,60,وسپه,SPAH
1381-02-01,2002-04-21,60,وسپه,SPAH
1381-02-02,2002-04-22,60,وسپه,SPAH
1381-02-03,2002-04-23,60,وسپه,SPAH
1381-02-04,2002-04-24,60,وسپه,SPAH
1381-02-07,2002-04-27,59,وسپه,SPAH
1381-02-08,2002-04-28,58,وسپه,SPAH
1381-02-09,2002-04-29,58,وسپه,SPAH
1381-02-10,2002-04-30,57,وسپه,SPAH
1381-02-11,2002-05-01,55,وسپه,SPAH
1381-02-14,2002-05-04,56,وسپه,SPAH
1381-03-01,2002-05-22,52,وسپه,SPAH
1381-03-04,2002-05-25,52,وسپه,SPAH
1381-03-05,2002-05-26,52,وسپه,SPAH
1381-03-06,2002-05-27,52,وسپه,SPAH
1381-03-07,2002-05-28,52,وسپه,SPAH
1381-03-08,2002-05-29,52,وسپه,SPAH
1381-03-11,2002-06-01,52,وسپه,SPAH
1381-03-12,2002-06-02,52,وسپه,SPAH
1381-03-13,2002-06-03,52,وسپه,SPAH
1381-03-18,2002-06-08,52,وسپه,SPAH
1381-03-19,2002-06-09,52,وسپه,SPAH
1381-03-20,2002-06-10,52,وسپه,SPAH
1381-03-21,2002-06-11,52,وسپه,SPAH
1381-03-22,2002-06-12,52,وسپه,SPAH
1381-03-25,2002-06-15,52,وسپه,SPAH
1381-03-26,2002-06-16,52,وسپه,SPAH
1381-03-27,2002-06-17,52,وسپه,SPAH
1381-03-28,2002-06-18,53,وسپه,SPAH
1381-03-29,2002-06-19,54,وسپه,SPAH
1381-04-01,2002-06-22,56,وسپه,SPAH
1381-04-02,2002-06-23,57,وسپه,SPAH
1381-04-03,2002-06-24,58,وسپه,SPAH
1381-04-04,2002-06-25,58,وسپه,SPAH
1381-04-05,2002-06-26,59,وسپه,SPAH
1381-04-08,2002-06-29,60,وسپه,SPAH
1381-04-09,2002-06-30,60,وسپه,SPAH
1381-04-10,2002-07-01,58,وسپه,SPAH
1381-04-11,2002-07-02,57,وسپه,SPAH
1381-04-12,2002-07-03,58,وسپه,SPAH
1381-04-15,2002-07-06,59,وسپه,SPAH
1381-04-16,2002-07-07,60,وسپه,SPAH
1381-04-17,2002-07-08,60,وسپه,SPAH
1381-04-18,2002-07-09,60,وسپه,SPAH
1381-04-19,2002-07-10,59,وسپه,SPAH
1381-04-22,2002-07-13,59,وسپه,SPAH
1381-04-23,2002-07-14,60,وسپه,SPAH
1381-04-24,2002-07-15,60,وسپه,SPAH
1381-04-25,2002-07-16,60,وسپه,SPAH
1381-04-26,2002-07-17,60,وسپه,SPAH
1381-04-29,2002-07-20,60,وسپه,SPAH
1381-04-30,2002-07-21,59,وسپه,SPAH
1381-04-31,2002-07-22,58,وسپه,SPAH
1381-05-01,2002-07-23,58,وسپه,SPAH
1381-05-02,2002-07-24,58,وسپه,SPAH
1381-05-05,2002-07-27,58,وسپه,SPAH
1381-05-06,2002-07-28,57,وسپه,SPAH
1381-05-07,2002-07-29,57,وسپه,SPAH
1381-05-08,2002-07-30,58,وسپه,SPAH
1381-05-09,2002-07-31,58,وسپه,SPAH
1381-05-13,2002-08-04,60,وسپه,SPAH
1381-05-14,2002-08-05,59,وسپه,SPAH
1381-05-15,2002-08-06,58,وسپه,SPAH
1381-05-16,2002-08-07,58,وسپه,SPAH
1381-05-19,2002-08-10,58,وسپه,SPAH
1381-05-20,2002-08-11,58,وسپه,SPAH
1381-05-22,2002-08-13,57,وسپه,SPAH
1381-05-23,2002-08-14,57,وسپه,SPAH
1381-05-26,2002-08-17,58,وسپه,SPAH
1381-05-27,2002-08-18,58,وسپه,SPAH
1381-05-28,2002-08-19,59,وسپه,SPAH
1381-05-29,2002-08-20,59,وسپه,SPAH
1381-05-30,2002-08-21,59,وسپه,SPAH
1381-06-02,2002-08-24,59,وسپه,SPAH
1381-06-03,2002-08-25,59,وسپه,SPAH
1381-06-04,2002-08-26,59,وسپه,SPAH
1381-06-05,2002-08-27,59,وسپه,SPAH
1381-06-06,2002-08-28,59,وسپه,SPAH
1381-06-09,2002-08-31,59,وسپه,SPAH
1381-06-10,2002-09-01,59,وسپه,SPAH
1381-06-11,2002-09-02,59,وسپه,SPAH
1381-06-12,2002-09-03,59,وسپه,SPAH
1381-06-13,2002-09-04,59,وسپه,SPAH
1381-06-16,2002-09-07,59,وسپه,SPAH
1381-06-17,2002-09-08,59,وسپه,SPAH
1381-06-18,2002-09-09,59,وسپه,SPAH
1381-06-20,2002-09-11,59,وسپه,SPAH
1381-06-23,2002-09-14,59,وسپه,SPAH
1381-06-25,2002-09-16,59,وسپه,SPAH
1381-06-26,2002-09-17,59,وسپه,SPAH
1381-06-27,2002-09-18,59,وسپه,SPAH
1381-06-31,2002-09-22,59,وسپه,SPAH
1381-07-01,2002-09-23,59,وسپه,SPAH
1381-07-02,2002-09-24,59,وسپه,SPAH
1381-07-03,2002-09-25,59,وسپه,SPAH
1381-07-06,2002-09-28,59,وسپه,SPAH
1381-07-07,2002-09-29,59,وسپه,SPAH
1381-07-08,2002-09-30,59,وسپه,SPAH
1381-07-09,2002-10-01,59,وسپه,SPAH
1381-07-10,2002-10-02,59,وسپه,SPAH
1381-07-14,2002-10-06,59,وسپه,SPAH
1381-07-15,2002-10-07,60,وسپه,SPAH
1381-07-16,2002-10-08,59,وسپه,SPAH
1381-07-17,2002-10-09,59,وسپه,SPAH
1381-07-21,2002-10-13,59,وسپه,SPAH
1381-07-22,2002-10-14,58,وسپه,SPAH
1381-07-23,2002-10-15,58,وسپه,SPAH
1381-07-24,2002-10-16,58,وسپه,SPAH
1381-07-27,2002-10-19,58,وسپه,SPAH
1381-07-28,2002-10-20,58,وسپه,SPAH
1381-07-29,2002-10-21,58,وسپه,SPAH
1381-08-01,2002-10-23,58,وسپه,SPAH
1381-08-06,2002-10-28,58,وسپه,SPAH
1381-08-07,2002-10-29,58,وسپه,SPAH
1381-08-18,2002-11-09,58,وسپه,SPAH
1381-08-19,2002-11-10,58,وسپه,SPAH
1381-08-20,2002-11-11,58,وسپه,SPAH
1381-08-21,2002-11-12,60,وسپه,SPAH
1381-08-22,2002-11-13,60,وسپه,SPAH
1381-08-25,2002-11-16,60,وسپه,SPAH
1381-08-26,2002-11-17,60,وسپه,SPAH
1381-08-28,2002-11-19,60,وسپه,SPAH
1381-08-29,2002-11-20,59,وسپه,SPAH
1381-09-02,2002-11-23,59,وسپه,SPAH
1381-09-03,2002-11-24,59,وسپه,SPAH
1381-09-04,2002-11-25,59,وسپه,SPAH
1381-09-05,2002-11-26,60,وسپه,SPAH
1381-09-09,2002-11-30,60,وسپه,SPAH
1381-09-10,2002-12-01,60,وسپه,SPAH
1381-09-11,2002-12-02,59,وسپه,SPAH
1381-09-12,2002-12-03,59,وسپه,SPAH
1381-09-13,2002-12-04,59,وسپه,SPAH
1381-09-16,2002-12-07,59,وسپه,SPAH
1381-09-17,2002-12-08,59,وسپه,SPAH
1381-09-18,2002-12-09,59,وسپه,SPAH
1381-09-19,2002-12-10,60,وسپه,SPAH
1381-09-20,2002-12-11,60,وسپه,SPAH
1381-09-23,2002-12-14,60,وسپه,SPAH
1381-09-24,2002-12-15,60,وسپه,SPAH
1381-09-25,2002-12-16,60,وسپه,SPAH
1381-09-26,2002-12-17,60,وسپه,SPAH
1381-09-27,2002-12-18,60,وسپه,SPAH
1381-09-30,2002-12-21,60,وسپه,SPAH
1381-10-01,2002-12-22,60,وسپه,SPAH
1381-10-02,2002-12-23,60,وسپه,SPAH
1381-10-03,2002-12-24,60,وسپه,SPAH
1381-10-04,2002-12-25,60,وسپه,SPAH
1381-10-07,2002-12-28,60,وسپه,SPAH
1381-10-08,2002-12-29,60,وسپه,SPAH
1381-10-10,2002-12-31,61,وسپه,SPAH
1381-10-11,2003-01-01,61,وسپه,SPAH
1381-10-14,2003-01-04,61,وسپه,SPAH
1381-10-15,2003-01-05,62,وسپه,SPAH
1381-10-16,2003-01-06,63,وسپه,SPAH
1381-10-17,2003-01-07,63,وسپه,SPAH
1381-10-18,2003-01-08,64,وسپه,SPAH
1381-10-21,2003-01-11,64,وسپه,SPAH
1381-10-22,2003-01-12,65,وسپه,SPAH
1381-10-23,2003-01-13,65,وسپه,SPAH
1381-11-13,2003-02-02,52,وسپه,SPAH
1381-11-14,2003-02-03,55,وسپه,SPAH
1381-11-15,2003-02-04,56,وسپه,SPAH
1381-11-16,2003-02-05,57,وسپه,SPAH
1381-11-19,2003-02-08,56,وسپه,SPAH
1381-11-20,2003-02-09,56,وسپه,SPAH
1381-11-21,2003-02-10,55,وسپه,SPAH
1381-11-26,2003-02-15,55,وسپه,SPAH
1381-11-27,2003-02-16,55,وسپه,SPAH
1381-11-28,2003-02-17,55,وسپه,SPAH
1381-11-29,2003-02-18,55,وسپه,SPAH
1381-11-30,2003-02-19,55,وسپه,SPAH
1381-12-03,2003-02-22,55,وسپه,SPAH
1381-12-04,2003-02-23,55,وسپه,SPAH
1381-12-05,2003-02-24,55,وسپه,SPAH
1381-12-06,2003-02-25,54,وسپه,SPAH
1381-12-07,2003-02-26,54,وسپه,SPAH
1381-12-10,2003-03-01,53,وسپه,SPAH
1381-12-11,2003-03-02,52,وسپه,SPAH
1381-12-12,2003-03-03,53,وسپه,SPAH
1381-12-13,2003-03-04,53,وسپه,SPAH
1381-12-14,2003-03-05,53,وسپه,SPAH
1381-12-17,2003-03-08,53,وسپه,SPAH
1381-12-18,2003-03-09,53,وسپه,SPAH
1381-12-19,2003-03-10,52,وسپه,SPAH
1381-12-20,2003-03-11,52,وسپه,SPAH
1381-12-21,2003-03-12,52,وسپه,SPAH
1381-12-24,2003-03-15,52,وسپه,SPAH
1381-12-25,2003-03-16,52,وسپه,SPAH
1381-12-26,2003-03-17,52,وسپه,SPAH
1381-12-27,2003-03-18,52,وسپه,SPAH
1381-12-28,2003-03-19,53,وسپه,SPAH
1382-01-06,2003-03-26,53,وسپه,SPAH
1382-01-09,2003-03-29,54,وسپه,SPAH
1382-01-10,2003-03-30,54,وسپه,SPAH
1382-01-11,2003-03-31,54,وسپه,SPAH
1382-01-16,2003-04-05,54,وسپه,SPAH
1382-01-17,2003-04-06,54,وسپه,SPAH
1382-01-18,2003-04-07,54,وسپه,SPAH
1382-01-19,2003-04-08,55,وسپه,SPAH
1382-01-20,2003-04-09,56,وسپه,SPAH
1382-01-23,2003-04-12,56,وسپه,SPAH
1382-01-24,2003-04-13,58,وسپه,SPAH
1382-01-25,2003-04-14,57,وسپه,SPAH
1382-01-26,2003-04-15,57,وسپه,SPAH
1382-01-27,2003-04-16,57,وسپه,SPAH
1382-01-30,2003-04-19,56,وسپه,SPAH
1382-01-31,2003-04-20,55,وسپه,SPAH
1382-02-01,2003-04-21,56,وسپه,SPAH
1382-02-02,2003-04-22,57,وسپه,SPAH
1382-02-06,2003-04-26,57,وسپه,SPAH
1382-02-07,2003-04-27,58,وسپه,SPAH
1382-02-08,2003-04-28,57,وسپه,SPAH
1382-02-09,2003-04-29,58,وسپه,SPAH
1382-02-10,2003-04-30,59,وسپه,SPAH
1382-02-13,2003-05-03,59,وسپه,SPAH
1382-02-14,2003-05-04,59,وسپه,SPAH
1382-02-15,2003-05-05,59,وسپه,SPAH
1382-02-16,2003-05-06,60,وسپه,SPAH
1382-02-17,2003-05-07,60,وسپه,SPAH
1382-02-20,2003-05-10,60,وسپه,SPAH
1382-02-21,2003-05-11,61,وسپه,SPAH
1382-02-22,2003-05-12,62,وسپه,SPAH
