J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-04-23,2021-07-14,5594,سپید,SPID
1400-05-04,2021-07-26,8224,سپید,SPID
1400-05-05,2021-07-27,8264,سپید,SPID
1400-05-06,2021-07-28,8674,سپید,SPID
1400-05-09,2021-07-31,9106,سپید,SPID
1400-05-10,2021-08-01,9560,سپید,SPID
1400-05-11,2021-08-02,10036,سپید,SPID
1400-05-12,2021-08-03,10536,سپید,SPID
1400-05-13,2021-08-04,11061,سپید,SPID
1400-05-16,2021-08-07,11611,سپید,SPID
1400-05-17,2021-08-08,12189,سپید,SPID
1400-05-19,2021-08-10,12799,سپید,SPID
1400-05-20,2021-08-11,13436,سپید,SPID
1400-05-23,2021-08-14,14107,سپید,SPID
1400-05-24,2021-08-15,14810,سپید,SPID
1400-05-31,2021-08-22,15549,سپید,SPID
1400-06-01,2021-08-23,16326,سپید,SPID
1400-06-02,2021-08-24,16967,سپید,SPID
1400-06-03,2021-08-25,17019,سپید,SPID
1400-06-06,2021-08-28,17930,سپید,SPID
1400-06-07,2021-08-29,17405,سپید,SPID
1400-06-08,2021-08-30,16923,سپید,SPID
1400-06-09,2021-08-31,17063,سپید,SPID
1400-06-10,2021-09-01,17762,سپید,SPID
1400-06-13,2021-09-04,18477,سپید,SPID
1400-06-16,2021-09-07,19400,سپید,SPID
1400-06-17,2021-09-08,19497,سپید,SPID
1400-06-20,2021-09-11,19425,سپید,SPID
1400-06-21,2021-09-12,19052,سپید,SPID
1400-06-22,2021-09-13,19922,سپید,SPID
1400-06-23,2021-09-14,19720,سپید,SPID
1400-06-24,2021-09-15,19024,سپید,SPID
1400-06-27,2021-09-18,18275,سپید,SPID
1400-06-28,2021-09-19,17933,سپید,SPID
1400-06-29,2021-09-20,18642,سپید,SPID
1400-06-30,2021-09-21,18064,سپید,SPID
1400-06-31,2021-09-22,18204,سپید,SPID
1400-07-03,2021-09-25,18200,سپید,SPID
1400-07-04,2021-09-26,18213,سپید,SPID
1400-07-06,2021-09-28,18322,سپید,SPID
1400-07-07,2021-09-29,18353,سپید,SPID
1400-07-10,2021-10-02,17871,سپید,SPID
1400-07-11,2021-10-03,17632,سپید,SPID
1400-07-12,2021-10-04,18617,سپید,SPID
1400-07-14,2021-10-06,18897,سپید,SPID
1400-07-17,2021-10-09,18048,سپید,SPID
1400-07-18,2021-10-10,17868,سپید,SPID
1400-07-19,2021-10-11,17753,سپید,SPID
1400-07-20,2021-10-12,17032,سپید,SPID
1400-07-21,2021-10-13,16814,سپید,SPID
1400-07-24,2021-10-16,17389,سپید,SPID
1400-07-25,2021-10-17,16538,سپید,SPID
1400-07-26,2021-10-18,16469,سپید,SPID
1400-07-27,2021-10-19,17237,سپید,SPID
1400-07-28,2021-10-20,17697,سپید,SPID
1400-08-01,2021-10-23,16814,سپید,SPID
1400-08-03,2021-10-25,16475,سپید,SPID
1400-08-04,2021-10-26,16908,سپید,SPID
1400-08-05,2021-10-27,17029,سپید,SPID
1400-08-10,2021-11-01,16451,سپید,SPID
1400-08-11,2021-11-02,17312,سپید,SPID
1400-08-12,2021-11-03,17787,سپید,SPID
1400-08-15,2021-11-06,17821,سپید,SPID
1400-08-16,2021-11-07,17302,سپید,SPID
1400-08-17,2021-11-08,17001,سپید,SPID
1400-08-18,2021-11-09,17405,سپید,SPID
1400-08-19,2021-11-10,18169,سپید,SPID
1400-08-22,2021-11-13,18586,سپید,SPID
1400-08-23,2021-11-14,17859,سپید,SPID
1400-08-24,2021-11-15,17768,سپید,SPID
1400-08-25,2021-11-16,18160,سپید,SPID
1400-08-26,2021-11-17,19046,سپید,SPID
1400-08-29,2021-11-20,18720,سپید,SPID
1400-08-30,2021-11-21,19518,سپید,SPID
1400-09-01,2021-11-22,19562,سپید,SPID
1400-09-02,2021-11-23,19702,سپید,SPID
1400-09-03,2021-11-24,19472,سپید,SPID
1400-09-06,2021-11-27,18950,سپید,SPID
1400-09-07,2021-11-28,18959,سپید,SPID
1400-09-08,2021-11-29,18688,سپید,SPID
1400-09-09,2021-11-30,17964,سپید,SPID
1400-09-10,2021-12-01,18061,سپید,SPID
1400-09-13,2021-12-04,17141,سپید,SPID
1400-09-14,2021-12-05,17622,سپید,SPID
1400-09-15,2021-12-06,17809,سپید,SPID
1400-09-16,2021-12-07,18244,سپید,SPID
1400-09-17,2021-12-08,18648,سپید,SPID
1400-09-20,2021-12-11,18953,سپید,SPID
1400-09-21,2021-12-12,18760,سپید,SPID
1400-09-22,2021-12-13,17927,سپید,SPID
1400-09-23,2021-12-14,17905,سپید,SPID
1400-09-24,2021-12-15,18337,سپید,SPID
1400-09-27,2021-12-18,17716,سپید,SPID
1400-09-28,2021-12-19,17458,سپید,SPID
1400-09-29,2021-12-20,17762,سپید,SPID
1400-09-30,2021-12-21,18393,سپید,SPID
1400-10-01,2021-12-22,19214,سپید,SPID
1400-10-04,2021-12-25,18707,سپید,SPID
1400-10-05,2021-12-26,19058,سپید,SPID
1400-10-06,2021-12-27,18959,سپید,SPID
1400-10-07,2021-12-28,18648,سپید,SPID
1400-10-08,2021-12-29,18648,سپید,SPID
1400-10-11,2022-01-01,18648,سپید,SPID
1400-10-12,2022-01-02,18835,سپید,SPID
1400-10-13,2022-01-03,18555,سپید,SPID
1400-10-14,2022-01-04,18555,سپید,SPID
1400-10-15,2022-01-05,18331,سپید,SPID
1400-10-18,2022-01-08,18154,سپید,SPID
1400-10-19,2022-01-09,18026,سپید,SPID
1400-10-20,2022-01-10,17995,سپید,SPID
1400-10-21,2022-01-11,17930,سپید,SPID
1400-10-22,2022-01-12,18633,سپید,SPID
1400-10-25,2022-01-15,18263,سپید,SPID
1400-10-26,2022-01-16,18051,سپید,SPID
1400-10-27,2022-01-17,17573,سپید,SPID
1400-10-28,2022-01-18,17243,سپید,SPID
1400-10-29,2022-01-19,18048,سپید,SPID
1400-11-02,2022-01-22,17716,سپید,SPID
1400-11-03,2022-01-23,17001,سپید,SPID
1400-11-04,2022-01-24,17709,سپید,SPID
