J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-03-23,2005-06-13,66,غشان,SPKH
1384-04-07,2005-06-28,60,غشان,SPKH
1384-04-08,2005-06-29,60,غشان,SPKH
1384-04-11,2005-07-02,57,غشان,SPKH
1384-04-12,2005-07-03,54,غشان,SPKH
1384-04-13,2005-07-04,54,غشان,SPKH
1384-04-14,2005-07-05,54,غشان,SPKH
1384-04-15,2005-07-06,54,غشان,SPKH
1384-04-18,2005-07-09,53,غشان,SPKH
1384-04-20,2005-07-11,53,غشان,SPKH
1384-04-21,2005-07-12,53,غشان,SPKH
1384-04-22,2005-07-13,52,غشان,SPKH
1384-04-25,2005-07-16,52,غشان,SPKH
1384-04-26,2005-07-17,50,غشان,SPKH
1384-04-27,2005-07-18,48,غشان,SPKH
1384-04-28,2005-07-19,48,غشان,SPKH
1384-04-29,2005-07-20,48,غشان,SPKH
1384-05-01,2005-07-23,48,غشان,SPKH
1384-05-02,2005-07-24,48,غشان,SPKH
1384-05-03,2005-07-25,48,غشان,SPKH
1384-05-04,2005-07-26,48,غشان,SPKH
1384-05-05,2005-07-27,47,غشان,SPKH
1384-05-08,2005-07-30,47,غشان,SPKH
1384-05-09,2005-07-31,47,غشان,SPKH
1384-05-10,2005-08-01,47,غشان,SPKH
1384-05-11,2005-08-02,47,غشان,SPKH
1384-05-12,2005-08-03,49,غشان,SPKH
1384-05-15,2005-08-06,50,غشان,SPKH
1384-05-16,2005-08-07,52,غشان,SPKH
1384-05-17,2005-08-08,53,غشان,SPKH
1384-05-18,2005-08-09,56,غشان,SPKH
1384-05-19,2005-08-10,57,غشان,SPKH
1384-05-22,2005-08-13,58,غشان,SPKH
1384-05-23,2005-08-14,55,غشان,SPKH
1384-05-24,2005-08-15,55,غشان,SPKH
1384-05-25,2005-08-16,55,غشان,SPKH
1384-05-26,2005-08-17,55,غشان,SPKH
1384-05-29,2005-08-20,56,غشان,SPKH
1384-05-30,2005-08-21,56,غشان,SPKH
1384-05-31,2005-08-22,56,غشان,SPKH
1384-06-01,2005-08-23,55,غشان,SPKH
1384-06-02,2005-08-24,55,غشان,SPKH
1384-06-05,2005-08-27,55,غشان,SPKH
1384-06-06,2005-08-28,54,غشان,SPKH
1384-06-07,2005-08-29,54,غشان,SPKH
1384-06-08,2005-08-30,55,غشان,SPKH
1384-06-09,2005-08-31,55,غشان,SPKH
1384-06-12,2005-09-03,55,غشان,SPKH
1384-06-13,2005-09-04,55,غشان,SPKH
1384-06-14,2005-09-05,55,غشان,SPKH
1384-06-15,2005-09-06,55,غشان,SPKH
1384-06-16,2005-09-07,55,غشان,SPKH
1384-06-21,2005-09-12,55,غشان,SPKH
1384-06-22,2005-09-13,55,غشان,SPKH
1384-06-23,2005-09-14,55,غشان,SPKH
1384-06-26,2005-09-17,55,غشان,SPKH
1384-06-27,2005-09-18,55,غشان,SPKH
1384-06-28,2005-09-19,55,غشان,SPKH
1384-06-30,2005-09-21,55,غشان,SPKH
1384-07-03,2005-09-25,55,غشان,SPKH
1384-07-12,2005-10-04,55,غشان,SPKH
1384-07-13,2005-10-05,55,غشان,SPKH
1384-07-17,2005-10-09,54,غشان,SPKH
1384-07-18,2005-10-10,54,غشان,SPKH
1384-07-19,2005-10-11,54,غشان,SPKH
1384-07-23,2005-10-15,54,غشان,SPKH
1384-07-24,2005-10-16,53,غشان,SPKH
1384-07-25,2005-10-17,53,غشان,SPKH
1384-07-26,2005-10-18,53,غشان,SPKH
1384-07-30,2005-10-22,50,غشان,SPKH
1384-08-01,2005-10-23,49,غشان,SPKH
1384-08-02,2005-10-24,50,غشان,SPKH
1384-08-08,2005-10-30,50,غشان,SPKH
1384-08-09,2005-10-31,49,غشان,SPKH
1384-08-10,2005-11-01,49,غشان,SPKH
1384-08-14,2005-11-05,48,غشان,SPKH
1384-08-15,2005-11-06,46,غشان,SPKH
1384-08-16,2005-11-07,46,غشان,SPKH
1384-08-17,2005-11-08,46,غشان,SPKH
1384-08-18,2005-11-09,46,غشان,SPKH
1384-08-21,2005-11-12,46,غشان,SPKH
1384-08-23,2005-11-14,46,غشان,SPKH
1384-08-24,2005-11-15,46,غشان,SPKH
1384-08-25,2005-11-16,46,غشان,SPKH
1384-08-29,2005-11-20,46,غشان,SPKH
1384-08-30,2005-11-21,46,غشان,SPKH
1384-09-01,2005-11-22,45,غشان,SPKH
1384-09-02,2005-11-23,45,غشان,SPKH
1384-09-05,2005-11-26,45,غشان,SPKH
1384-09-06,2005-11-27,45,غشان,SPKH
1384-09-08,2005-11-29,45,غشان,SPKH
1384-09-09,2005-11-30,45,غشان,SPKH
1384-09-12,2005-12-03,45,غشان,SPKH
1384-09-13,2005-12-04,47,غشان,SPKH
1384-09-14,2005-12-05,48,غشان,SPKH
1384-09-15,2005-12-06,48,غشان,SPKH
1384-09-19,2005-12-10,48,غشان,SPKH
1384-09-21,2005-12-12,48,غشان,SPKH
1384-09-22,2005-12-13,47,غشان,SPKH
1384-09-26,2005-12-17,47,غشان,SPKH
1384-09-27,2005-12-18,47,غشان,SPKH
1384-09-28,2005-12-19,47,غشان,SPKH
1384-09-29,2005-12-20,48,غشان,SPKH
1384-09-30,2005-12-21,51,غشان,SPKH
1384-10-03,2005-12-24,51,غشان,SPKH
1384-10-04,2005-12-25,51,غشان,SPKH
1384-10-06,2005-12-27,50,غشان,SPKH
1384-10-10,2005-12-31,50,غشان,SPKH
1384-10-13,2006-01-03,48,غشان,SPKH
1384-10-14,2006-01-04,47,غشان,SPKH
1384-10-17,2006-01-07,47,غشان,SPKH
1384-10-20,2006-01-10,47,غشان,SPKH
1384-10-24,2006-01-14,47,غشان,SPKH
1384-10-25,2006-01-15,47,غشان,SPKH
1384-10-26,2006-01-16,47,غشان,SPKH
1384-10-27,2006-01-17,47,غشان,SPKH
1384-10-28,2006-01-18,47,غشان,SPKH
1384-11-02,2006-01-22,47,غشان,SPKH
1384-11-03,2006-01-23,47,غشان,SPKH
1384-11-08,2006-01-28,46,غشان,SPKH
1384-11-11,2006-01-31,46,غشان,SPKH
1384-11-12,2006-02-01,46,غشان,SPKH
1384-11-15,2006-02-04,46,غشان,SPKH
1384-11-16,2006-02-05,46,غشان,SPKH
1384-11-17,2006-02-06,46,غشان,SPKH
1384-11-24,2006-02-13,46,غشان,SPKH
1384-11-25,2006-02-14,46,غشان,SPKH
1384-12-02,2006-02-21,44,غشان,SPKH
1384-12-03,2006-02-22,44,غشان,SPKH
1384-12-06,2006-02-25,44,غشان,SPKH
1384-12-07,2006-02-26,44,غشان,SPKH
1384-12-08,2006-02-27,44,غشان,SPKH
1384-12-09,2006-02-28,45,غشان,SPKH
1384-12-10,2006-03-01,45,غشان,SPKH
1384-12-13,2006-03-04,45,غشان,SPKH
1384-12-14,2006-03-05,46,غشان,SPKH
1384-12-16,2006-03-07,46,غشان,SPKH
1384-12-17,2006-03-08,46,غشان,SPKH
1384-12-22,2006-03-13,46,غشان,SPKH
1384-12-23,2006-03-14,46,غشان,SPKH
1384-12-24,2006-03-15,46,غشان,SPKH
1384-12-27,2006-03-18,46,غشان,SPKH
1384-12-28,2006-03-19,46,غشان,SPKH
1385-01-06,2006-03-26,46,غشان,SPKH
1385-01-15,2006-04-04,46,غشان,SPKH
1385-01-16,2006-04-05,46,غشان,SPKH
1385-01-19,2006-04-08,47,غشان,SPKH
1385-01-20,2006-04-09,47,غشان,SPKH
1385-01-21,2006-04-10,48,غشان,SPKH
1385-01-22,2006-04-11,48,غشان,SPKH
1385-01-26,2006-04-15,48,غشان,SPKH
1385-01-28,2006-04-17,48,غشان,SPKH
1385-01-29,2006-04-18,48,غشان,SPKH
1385-01-30,2006-04-19,48,غشان,SPKH
1385-02-02,2006-04-22,48,غشان,SPKH
1385-02-03,2006-04-23,49,غشان,SPKH
1385-02-05,2006-04-25,50,غشان,SPKH
1385-02-06,2006-04-26,51,غشان,SPKH
1385-02-09,2006-04-29,52,غشان,SPKH
1385-02-10,2006-04-30,53,غشان,SPKH
1385-02-11,2006-05-01,54,غشان,SPKH
1385-02-12,2006-05-02,55,غشان,SPKH
1385-02-13,2006-05-03,56,غشان,SPKH
1385-02-16,2006-05-06,57,غشان,SPKH
1385-02-17,2006-05-07,56,غشان,SPKH
1385-02-18,2006-05-08,56,غشان,SPKH
1385-02-19,2006-05-09,55,غشان,SPKH
1385-02-20,2006-05-10,55,غشان,SPKH
1385-02-23,2006-05-13,55,غشان,SPKH
1385-02-24,2006-05-14,56,غشان,SPKH
1385-02-25,2006-05-15,56,غشان,SPKH
1385-02-26,2006-05-16,57,غشان,SPKH
1385-02-27,2006-05-17,57,غشان,SPKH
1385-02-30,2006-05-20,58,غشان,SPKH
1385-02-31,2006-05-21,57,غشان,SPKH
1385-03-01,2006-05-22,57,غشان,SPKH
1385-03-02,2006-05-23,56,غشان,SPKH
1385-03-03,2006-05-24,57,غشان,SPKH
1385-03-06,2006-05-27,56,غشان,SPKH
1385-03-07,2006-05-28,56,غشان,SPKH
1385-03-08,2006-05-29,57,غشان,SPKH
1385-03-09,2006-05-30,58,غشان,SPKH
1385-03-10,2006-05-31,58,غشان,SPKH
1385-10-20,2007-01-10,54,غشان,SPKH
1385-10-23,2007-01-13,54,غشان,SPKH
1385-10-26,2007-01-16,54,غشان,SPKH
1385-10-27,2007-01-17,54,غشان,SPKH
1385-11-02,2007-01-22,54,غشان,SPKH
1385-11-03,2007-01-23,53,غشان,SPKH
1385-11-04,2007-01-24,53,غشان,SPKH
1385-11-08,2007-01-28,53,غشان,SPKH
1385-11-11,2007-01-31,52,غشان,SPKH
1385-11-14,2007-02-03,52,غشان,SPKH
1385-12-09,2007-02-28,52,غشان,SPKH
1385-12-12,2007-03-03,52,غشان,SPKH
1385-12-13,2007-03-04,52,غشان,SPKH
1385-12-22,2007-03-13,52,غشان,SPKH
1385-12-23,2007-03-14,51,غشان,SPKH
1386-03-23,2007-06-13,41,غشان,SPKH
1386-03-30,2007-06-20,41,غشان,SPKH
1386-04-02,2007-06-23,41,غشان,SPKH
1386-04-03,2007-06-24,41,غشان,SPKH
1386-04-04,2007-06-25,41,غشان,SPKH
1386-04-05,2007-06-26,41,غشان,SPKH
1386-04-09,2007-06-30,41,غشان,SPKH
1386-04-10,2007-07-01,40,غشان,SPKH
1386-04-11,2007-07-02,40,غشان,SPKH
1386-04-12,2007-07-03,40,غشان,SPKH
1386-04-13,2007-07-04,39,غشان,SPKH
1386-04-16,2007-07-07,39,غشان,SPKH
1386-04-30,2007-07-21,39,غشان,SPKH
1386-04-31,2007-07-22,39,غشان,SPKH
1386-05-01,2007-07-23,39,غشان,SPKH
1386-05-07,2007-07-29,39,غشان,SPKH
1386-07-15,2007-10-07,39,غشان,SPKH
1386-07-22,2007-10-14,38,غشان,SPKH
1386-07-28,2007-10-20,38,غشان,SPKH
1386-08-23,2007-11-14,37,غشان,SPKH
1386-09-04,2007-11-25,37,غشان,SPKH
1386-09-05,2007-11-26,36,غشان,SPKH
1386-12-04,2008-02-23,21,غشان,SPKH
1386-12-05,2008-02-24,21,غشان,SPKH
1386-12-06,2008-02-25,21,غشان,SPKH
1386-12-07,2008-02-26,21,غشان,SPKH
1386-12-11,2008-03-01,21,غشان,SPKH
1387-02-21,2008-05-10,20,غشان,SPKH
1387-02-22,2008-05-11,19,غشان,SPKH
1387-02-23,2008-05-12,19,غشان,SPKH
1387-02-30,2008-05-19,19,غشان,SPKH
1387-02-31,2008-05-20,19,غشان,SPKH
1387-03-01,2008-05-21,19,غشان,SPKH
1387-03-04,2008-05-24,19,غشان,SPKH
1387-04-12,2008-07-02,18,غشان,SPKH
1387-04-17,2008-07-07,18,غشان,SPKH
1387-04-18,2008-07-08,18,غشان,SPKH
1387-04-23,2008-07-13,18,غشان,SPKH
1387-04-25,2008-07-15,18,غشان,SPKH
1387-05-05,2008-07-26,18,غشان,SPKH
1387-05-06,2008-07-27,18,غشان,SPKH
1387-05-07,2008-07-28,18,غشان,SPKH
1387-05-14,2008-08-04,18,غشان,SPKH
1387-05-23,2008-08-13,18,غشان,SPKH
1387-05-30,2008-08-20,18,غشان,SPKH
1387-06-02,2008-08-23,18,غشان,SPKH
1387-06-03,2008-08-24,18,غشان,SPKH
1387-06-06,2008-08-27,18,غشان,SPKH
1387-06-12,2008-09-02,18,غشان,SPKH
1387-06-13,2008-09-03,18,غشان,SPKH
1387-06-16,2008-09-06,18,غشان,SPKH
1387-06-18,2008-09-08,18,غشان,SPKH
1387-06-20,2008-09-10,18,غشان,SPKH
1387-07-02,2008-09-23,18,غشان,SPKH
1387-07-20,2008-10-11,18,غشان,SPKH
1387-08-05,2008-10-26,18,غشان,SPKH
1387-08-06,2008-10-27,18,غشان,SPKH
1387-08-14,2008-11-04,18,غشان,SPKH
1387-08-15,2008-11-05,18,غشان,SPKH
1387-08-20,2008-11-10,18,غشان,SPKH
1387-08-22,2008-11-12,18,غشان,SPKH
1387-08-26,2008-11-16,18,غشان,SPKH
1387-09-02,2008-11-22,18,غشان,SPKH
1387-09-03,2008-11-23,18,غشان,SPKH
1387-09-04,2008-11-24,18,غشان,SPKH
1387-09-13,2008-12-03,18,غشان,SPKH
1387-09-25,2008-12-15,18,غشان,SPKH
1387-11-19,2009-02-07,17,غشان,SPKH
1387-12-03,2009-02-21,17,غشان,SPKH
1388-03-25,2009-06-15,18,غشان,SPKH
1388-04-07,2009-06-28,18,غشان,SPKH
1388-04-22,2009-07-13,19,غشان,SPKH
1388-05-12,2009-08-03,18,غشان,SPKH
1388-05-13,2009-08-04,19,غشان,SPKH
1388-05-14,2009-08-05,18,غشان,SPKH
1388-05-20,2009-08-11,19,غشان,SPKH
1388-05-21,2009-08-12,19,غشان,SPKH
1388-05-24,2009-08-15,19,غشان,SPKH
