J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,43,غشوکو,SPRP
1380-01-07,2001-03-27,43,غشوکو,SPRP
1380-01-11,2001-03-31,43,غشوکو,SPRP
1380-01-18,2001-04-07,43,غشوکو,SPRP
1380-01-19,2001-04-08,43,غشوکو,SPRP
1380-01-20,2001-04-09,43,غشوکو,SPRP
1380-01-21,2001-04-10,46,غشوکو,SPRP
1380-01-22,2001-04-11,48,غشوکو,SPRP
1380-01-25,2001-04-14,48,غشوکو,SPRP
1380-01-26,2001-04-15,49,غشوکو,SPRP
1380-01-27,2001-04-16,51,غشوکو,SPRP
1380-01-28,2001-04-17,52,غشوکو,SPRP
1380-01-29,2001-04-18,52,غشوکو,SPRP
1380-02-01,2001-04-21,55,غشوکو,SPRP
1380-02-02,2001-04-22,53,غشوکو,SPRP
1380-02-03,2001-04-23,53,غشوکو,SPRP
1380-02-04,2001-04-24,53,غشوکو,SPRP
1380-02-05,2001-04-25,53,غشوکو,SPRP
1380-02-08,2001-04-28,54,غشوکو,SPRP
1380-02-09,2001-04-29,55,غشوکو,SPRP
1380-02-10,2001-04-30,56,غشوکو,SPRP
1380-02-11,2001-05-01,57,غشوکو,SPRP
1380-02-12,2001-05-02,58,غشوکو,SPRP
1380-02-15,2001-05-05,60,غشوکو,SPRP
1380-02-16,2001-05-06,61,غشوکو,SPRP
1380-02-17,2001-05-07,63,غشوکو,SPRP
1380-02-18,2001-05-08,64,غشوکو,SPRP
1380-02-23,2001-05-13,64,غشوکو,SPRP
1380-02-25,2001-05-15,63,غشوکو,SPRP
1380-02-26,2001-05-16,60,غشوکو,SPRP
1380-02-29,2001-05-19,58,غشوکو,SPRP
1380-02-30,2001-05-20,59,غشوکو,SPRP
1380-02-31,2001-05-21,61,غشوکو,SPRP
1380-03-02,2001-05-23,61,غشوکو,SPRP
1380-03-05,2001-05-26,64,غشوکو,SPRP
1380-03-06,2001-05-27,65,غشوکو,SPRP
1380-03-07,2001-05-28,66,غشوکو,SPRP
1380-03-08,2001-05-29,69,غشوکو,SPRP
1380-03-09,2001-05-30,69,غشوکو,SPRP
1380-03-13,2001-06-03,69,غشوکو,SPRP
1380-03-16,2001-06-06,69,غشوکو,SPRP
1380-03-19,2001-06-09,67,غشوکو,SPRP
1380-03-21,2001-06-11,67,غشوکو,SPRP
1380-03-22,2001-06-12,66,غشوکو,SPRP
1380-03-23,2001-06-13,63,غشوکو,SPRP
1380-03-26,2001-06-16,64,غشوکو,SPRP
1380-03-27,2001-06-17,67,غشوکو,SPRP
1380-03-28,2001-06-18,67,غشوکو,SPRP
1380-03-29,2001-06-19,69,غشوکو,SPRP
1380-03-30,2001-06-20,70,غشوکو,SPRP
1380-04-02,2001-06-23,70,غشوکو,SPRP
1380-04-03,2001-06-24,71,غشوکو,SPRP
1380-04-04,2001-06-25,71,غشوکو,SPRP
1380-04-05,2001-06-26,70,غشوکو,SPRP
1380-04-06,2001-06-27,70,غشوکو,SPRP
1380-04-09,2001-06-30,69,غشوکو,SPRP
1380-04-10,2001-07-01,69,غشوکو,SPRP
1380-04-11,2001-07-02,67,غشوکو,SPRP
1380-04-12,2001-07-03,67,غشوکو,SPRP
1380-04-16,2001-07-07,69,غشوکو,SPRP
1380-04-17,2001-07-08,70,غشوکو,SPRP
1380-04-18,2001-07-09,70,غشوکو,SPRP
1380-04-20,2001-07-11,70,غشوکو,SPRP
1380-04-23,2001-07-14,70,غشوکو,SPRP
1380-04-24,2001-07-15,70,غشوکو,SPRP
1380-04-25,2001-07-16,70,غشوکو,SPRP
1380-04-26,2001-07-17,70,غشوکو,SPRP
1380-04-27,2001-07-18,70,غشوکو,SPRP
1380-04-30,2001-07-21,70,غشوکو,SPRP
1380-04-31,2001-07-22,69,غشوکو,SPRP
1380-05-01,2001-07-23,69,غشوکو,SPRP
1380-05-02,2001-07-24,69,غشوکو,SPRP
1380-05-03,2001-07-25,69,غشوکو,SPRP
1380-05-06,2001-07-28,70,غشوکو,SPRP
1380-05-07,2001-07-29,70,غشوکو,SPRP
1380-05-08,2001-07-30,70,غشوکو,SPRP
1380-05-09,2001-07-31,70,غشوکو,SPRP
1380-05-10,2001-08-01,70,غشوکو,SPRP
1380-05-13,2001-08-04,71,غشوکو,SPRP
1380-05-14,2001-08-05,70,غشوکو,SPRP
1380-05-15,2001-08-06,70,غشوکو,SPRP
1380-05-16,2001-08-07,70,غشوکو,SPRP
1380-05-17,2001-08-08,70,غشوکو,SPRP
1380-05-20,2001-08-11,72,غشوکو,SPRP
1380-05-21,2001-08-12,72,غشوکو,SPRP
1380-05-22,2001-08-13,73,غشوکو,SPRP
1380-05-24,2001-08-15,73,غشوکو,SPRP
1380-05-28,2001-08-19,74,غشوکو,SPRP
1380-05-29,2001-08-20,75,غشوکو,SPRP
1380-05-30,2001-08-21,75,غشوکو,SPRP
1380-05-31,2001-08-22,75,غشوکو,SPRP
1380-06-03,2001-08-25,75,غشوکو,SPRP
1380-06-04,2001-08-26,77,غشوکو,SPRP
1380-06-05,2001-08-27,77,غشوکو,SPRP
1380-06-06,2001-08-28,77,غشوکو,SPRP
1380-06-07,2001-08-29,77,غشوکو,SPRP
1380-06-10,2001-09-01,78,غشوکو,SPRP
1380-06-11,2001-09-02,78,غشوکو,SPRP
1380-06-17,2001-09-08,77,غشوکو,SPRP
1380-06-18,2001-09-09,77,غشوکو,SPRP
1380-06-19,2001-09-10,76,غشوکو,SPRP
1380-06-20,2001-09-11,75,غشوکو,SPRP
1380-06-24,2001-09-15,75,غشوکو,SPRP
1380-06-25,2001-09-16,72,غشوکو,SPRP
1380-06-28,2001-09-19,72,غشوکو,SPRP
1380-06-31,2001-09-22,72,غشوکو,SPRP
