J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,89,فپنتا,SPTA
1380-01-07,2001-03-27,89,فپنتا,SPTA
1380-01-18,2001-04-07,93,فپنتا,SPTA
1380-01-19,2001-04-08,93,فپنتا,SPTA
1380-01-21,2001-04-10,93,فپنتا,SPTA
1380-01-22,2001-04-11,93,فپنتا,SPTA
1380-01-25,2001-04-14,89,فپنتا,SPTA
1380-01-26,2001-04-15,89,فپنتا,SPTA
1380-01-27,2001-04-16,89,فپنتا,SPTA
1380-01-28,2001-04-17,90,فپنتا,SPTA
1380-01-29,2001-04-18,90,فپنتا,SPTA
1380-02-01,2001-04-21,91,فپنتا,SPTA
1380-02-02,2001-04-22,91,فپنتا,SPTA
1380-02-03,2001-04-23,90,فپنتا,SPTA
1380-02-04,2001-04-24,90,فپنتا,SPTA
1380-02-05,2001-04-25,90,فپنتا,SPTA
1380-02-08,2001-04-28,90,فپنتا,SPTA
1380-02-09,2001-04-29,90,فپنتا,SPTA
1380-02-10,2001-04-30,90,فپنتا,SPTA
1380-02-11,2001-05-01,90,فپنتا,SPTA
1380-02-12,2001-05-02,90,فپنتا,SPTA
1380-02-15,2001-05-05,91,فپنتا,SPTA
1380-02-16,2001-05-06,92,فپنتا,SPTA
1380-02-17,2001-05-07,94,فپنتا,SPTA
1380-02-18,2001-05-08,95,فپنتا,SPTA
1380-02-19,2001-05-09,96,فپنتا,SPTA
1380-02-23,2001-05-13,99,فپنتا,SPTA
1380-02-25,2001-05-15,100,فپنتا,SPTA
1380-03-05,2001-05-26,109,فپنتا,SPTA
1380-03-06,2001-05-27,115,فپنتا,SPTA
1380-03-07,2001-05-28,121,فپنتا,SPTA
1380-03-08,2001-05-29,121,فپنتا,SPTA
1380-03-09,2001-05-30,123,فپنتا,SPTA
1380-03-12,2001-06-02,120,فپنتا,SPTA
1380-03-13,2001-06-03,120,فپنتا,SPTA
1380-03-16,2001-06-06,115,فپنتا,SPTA
1380-03-19,2001-06-09,114,فپنتا,SPTA
1380-03-21,2001-06-11,114,فپنتا,SPTA
1380-03-22,2001-06-12,114,فپنتا,SPTA
1380-03-23,2001-06-13,111,فپنتا,SPTA
1380-03-26,2001-06-16,109,فپنتا,SPTA
1380-03-27,2001-06-17,109,فپنتا,SPTA
1380-03-28,2001-06-18,111,فپنتا,SPTA
1380-03-29,2001-06-19,114,فپنتا,SPTA
1380-03-30,2001-06-20,114,فپنتا,SPTA
1380-04-02,2001-06-23,114,فپنتا,SPTA
1380-04-03,2001-06-24,114,فپنتا,SPTA
1380-04-04,2001-06-25,114,فپنتا,SPTA
1380-04-05,2001-06-26,114,فپنتا,SPTA
1380-04-06,2001-06-27,114,فپنتا,SPTA
1380-04-09,2001-06-30,115,فپنتا,SPTA
1380-04-10,2001-07-01,115,فپنتا,SPTA
1380-04-11,2001-07-02,115,فپنتا,SPTA
1380-04-12,2001-07-03,115,فپنتا,SPTA
1380-04-13,2001-07-04,114,فپنتا,SPTA
1380-04-16,2001-07-07,114,فپنتا,SPTA
