J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-05,2001-04-25,97,وساپا,SSAP
1380-03-08,2001-05-29,97,وساپا,SSAP
1380-03-22,2001-06-12,98,وساپا,SSAP
1380-03-29,2001-06-19,98,وساپا,SSAP
1380-04-16,2001-07-07,101,وساپا,SSAP
1380-05-24,2001-08-15,90,وساپا,SSAP
1380-06-05,2001-08-27,94,وساپا,SSAP
1380-06-07,2001-08-29,96,وساپا,SSAP
1380-06-10,2001-09-01,96,وساپا,SSAP
1380-06-13,2001-09-04,96,وساپا,SSAP
1380-06-17,2001-09-08,96,وساپا,SSAP
1380-06-19,2001-09-10,96,وساپا,SSAP
1380-06-27,2001-09-18,96,وساپا,SSAP
1380-07-01,2001-09-23,96,وساپا,SSAP
1380-07-14,2001-10-06,96,وساپا,SSAP
1380-07-22,2001-10-14,96,وساپا,SSAP
1380-07-24,2001-10-16,96,وساپا,SSAP
1380-08-20,2001-11-11,96,وساپا,SSAP
1380-08-22,2001-11-13,96,وساپا,SSAP
1380-08-29,2001-11-20,96,وساپا,SSAP
1380-09-04,2001-11-25,96,وساپا,SSAP
1380-09-19,2001-12-10,96,وساپا,SSAP
1380-10-03,2001-12-24,96,وساپا,SSAP
1380-10-04,2001-12-25,96,وساپا,SSAP
1380-10-09,2001-12-30,96,وساپا,SSAP
1380-10-16,2002-01-06,96,وساپا,SSAP
1380-10-18,2002-01-08,96,وساپا,SSAP
1380-10-24,2002-01-14,96,وساپا,SSAP
1380-10-25,2002-01-15,96,وساپا,SSAP
1380-10-29,2002-01-19,96,وساپا,SSAP
1380-11-01,2002-01-21,96,وساپا,SSAP
1380-11-15,2002-02-04,96,وساپا,SSAP
1380-11-30,2002-02-19,96,وساپا,SSAP
1380-12-05,2002-02-24,96,وساپا,SSAP
1380-12-19,2002-03-10,96,وساپا,SSAP
1381-01-26,2002-04-15,96,وساپا,SSAP
1381-01-31,2002-04-20,96,وساپا,SSAP
1381-02-07,2002-04-27,96,وساپا,SSAP
1381-07-17,2002-10-09,94,وساپا,SSAP
1381-10-03,2002-12-24,90,وساپا,SSAP
1381-11-29,2003-02-18,90,وساپا,SSAP
1382-02-22,2003-05-12,270,وساپا,SSAP
1382-02-28,2003-05-18,283,وساپا,SSAP
1382-02-31,2003-05-21,283,وساپا,SSAP
1382-03-03,2003-05-24,297,وساپا,SSAP
1382-03-06,2003-05-27,297,وساپا,SSAP
1382-03-07,2003-05-28,297,وساپا,SSAP
1382-03-11,2003-06-01,310,وساپا,SSAP
1382-03-12,2003-06-02,310,وساپا,SSAP
1382-03-17,2003-06-07,326,وساپا,SSAP
1382-03-18,2003-06-08,342,وساپا,SSAP
1382-03-19,2003-06-09,342,وساپا,SSAP
1382-03-20,2003-06-10,359,وساپا,SSAP
1382-03-27,2003-06-17,377,وساپا,SSAP
1382-03-28,2003-06-18,396,وساپا,SSAP
1382-04-02,2003-06-23,396,وساپا,SSAP
1382-04-03,2003-06-24,396,وساپا,SSAP
1382-04-04,2003-06-25,396,وساپا,SSAP
1382-04-08,2003-06-29,396,وساپا,SSAP
1382-04-09,2003-06-30,405,وساپا,SSAP
1382-04-10,2003-07-01,405,وساپا,SSAP
1382-04-11,2003-07-02,405,وساپا,SSAP
1382-04-17,2003-07-08,405,وساپا,SSAP
1382-04-18,2003-07-09,405,وساپا,SSAP
1382-04-21,2003-07-12,405,وساپا,SSAP
1382-08-17,2003-11-08,662,وساپا,SSAP
1382-08-18,2003-11-09,677,وساپا,SSAP
1382-08-19,2003-11-10,699,وساپا,SSAP
1382-08-20,2003-11-11,705,وساپا,SSAP
1382-08-24,2003-11-15,690,وساپا,SSAP
1382-08-27,2003-11-18,697,وساپا,SSAP
1382-08-28,2003-11-19,697,وساپا,SSAP
1382-09-01,2003-11-22,697,وساپا,SSAP
1382-09-02,2003-11-23,669,وساپا,SSAP
1382-09-03,2003-11-24,667,وساپا,SSAP
1382-09-04,2003-11-25,663,وساپا,SSAP
1382-09-08,2003-11-29,663,وساپا,SSAP
1382-09-11,2003-12-02,663,وساپا,SSAP
1382-09-12,2003-12-03,663,وساپا,SSAP
1382-09-15,2003-12-06,663,وساپا,SSAP
1382-09-16,2003-12-07,663,وساپا,SSAP
1382-09-23,2003-12-14,630,وساپا,SSAP
1382-09-24,2003-12-15,598,وساپا,SSAP
1382-11-04,2004-01-24,598,وساپا,SSAP
1382-11-05,2004-01-25,598,وساپا,SSAP
1382-11-12,2004-02-01,598,وساپا,SSAP
1382-11-18,2004-02-07,598,وساپا,SSAP
1383-01-30,2004-04-18,270,وساپا,SSAP
1383-02-02,2004-04-21,283,وساپا,SSAP
1383-02-05,2004-04-24,295,وساپا,SSAP
1383-02-06,2004-04-25,306,وساپا,SSAP
1383-02-07,2004-04-26,322,وساپا,SSAP
1383-02-08,2004-04-27,333,وساپا,SSAP
1383-02-09,2004-04-28,333,وساپا,SSAP
1383-02-12,2004-05-01,334,وساپا,SSAP
1383-02-13,2004-05-02,335,وساپا,SSAP
1383-02-14,2004-05-03,334,وساپا,SSAP
1383-02-15,2004-05-04,336,وساپا,SSAP
1383-02-16,2004-05-05,335,وساپا,SSAP
1383-02-19,2004-05-08,335,وساپا,SSAP
1383-02-22,2004-05-11,334,وساپا,SSAP
1383-02-28,2004-05-17,333,وساپا,SSAP
1383-02-30,2004-05-19,333,وساپا,SSAP
1383-03-16,2004-06-05,316,وساپا,SSAP
