J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-06,2001-03-26,325,سشرق,SSHR
1380-01-08,2001-03-28,333,سشرق,SSHR
1380-01-18,2001-04-07,341,سشرق,SSHR
1380-01-20,2001-04-09,349,سشرق,SSHR
1380-01-21,2001-04-10,358,سشرق,SSHR
1380-01-22,2001-04-11,367,سشرق,SSHR
1380-01-25,2001-04-14,376,سشرق,SSHR
1380-01-26,2001-04-15,385,سشرق,SSHR
1380-01-27,2001-04-16,394,سشرق,SSHR
1380-01-29,2001-04-18,404,سشرق,SSHR
1380-02-01,2001-04-21,408,سشرق,SSHR
1380-02-05,2001-04-25,412,سشرق,SSHR
1380-02-08,2001-04-28,416,سشرق,SSHR
1380-02-09,2001-04-29,420,سشرق,SSHR
1380-02-10,2001-04-30,424,سشرق,SSHR
1380-02-11,2001-05-01,428,سشرق,SSHR
1380-02-12,2001-05-02,432,سشرق,SSHR
1380-02-15,2001-05-05,437,سشرق,SSHR
1380-02-16,2001-05-06,437,سشرق,SSHR
1380-02-17,2001-05-07,437,سشرق,SSHR
1380-02-18,2001-05-08,442,سشرق,SSHR
1380-02-23,2001-05-13,446,سشرق,SSHR
1380-02-25,2001-05-15,450,سشرق,SSHR
1380-02-26,2001-05-16,455,سشرق,SSHR
1380-02-30,2001-05-20,459,سشرق,SSHR
1380-02-31,2001-05-21,464,سشرق,SSHR
1380-03-02,2001-05-23,468,سشرق,SSHR
1380-03-05,2001-05-26,472,سشرق,SSHR
1380-03-07,2001-05-28,477,سشرق,SSHR
1380-03-09,2001-05-30,482,سشرق,SSHR
1380-03-12,2001-06-02,487,سشرق,SSHR
1380-03-16,2001-06-06,491,سشرق,SSHR
1380-03-21,2001-06-11,496,سشرق,SSHR
1380-03-22,2001-06-12,501,سشرق,SSHR
1380-03-23,2001-06-13,506,سشرق,SSHR
1380-03-26,2001-06-16,511,سشرق,SSHR
1380-03-27,2001-06-17,516,سشرق,SSHR
1380-03-28,2001-06-18,521,سشرق,SSHR
1380-04-02,2001-06-23,526,سشرق,SSHR
1380-04-03,2001-06-24,531,سشرق,SSHR
1380-04-04,2001-06-25,536,سشرق,SSHR
1380-04-06,2001-06-27,541,سشرق,SSHR
1380-04-09,2001-06-30,547,سشرق,SSHR
1380-06-27,2001-09-18,600,سشرق,SSHR
1380-06-28,2001-09-19,605,سشرق,SSHR
1380-06-31,2001-09-22,611,سشرق,SSHR
1380-07-01,2001-09-23,617,سشرق,SSHR
1380-07-02,2001-09-24,624,سشرق,SSHR
1380-07-03,2001-09-25,630,سشرق,SSHR
1380-07-04,2001-09-26,636,سشرق,SSHR
1380-07-07,2001-09-29,642,سشرق,SSHR
1380-07-08,2001-09-30,648,سشرق,SSHR
1380-07-10,2001-10-02,664,سشرق,SSHR
1380-07-11,2001-10-03,681,سشرق,SSHR
1380-07-14,2001-10-06,698,سشرق,SSHR
1380-07-15,2001-10-07,715,سشرق,SSHR
1380-07-16,2001-10-08,733,سشرق,SSHR
1380-07-17,2001-10-09,740,سشرق,SSHR
1380-07-18,2001-10-10,748,سشرق,SSHR
1380-07-21,2001-10-13,755,سشرق,SSHR
1380-07-22,2001-10-14,762,سشرق,SSHR
1380-07-24,2001-10-16,770,سشرق,SSHR
1380-07-25,2001-10-17,777,سشرق,SSHR
1380-07-28,2001-10-20,785,سشرق,SSHR
1380-07-29,2001-10-21,793,سشرق,SSHR
1380-07-30,2001-10-22,801,سشرق,SSHR
1380-08-01,2001-10-23,809,سشرق,SSHR
1380-08-02,2001-10-24,816,سشرق,SSHR
1380-08-28,2001-11-19,825,سشرق,SSHR
1380-08-29,2001-11-20,833,سشرق,SSHR
1380-08-30,2001-11-21,841,سشرق,SSHR
1380-09-03,2001-11-24,849,سشرق,SSHR
1380-09-04,2001-11-25,858,سشرق,SSHR
1380-09-05,2001-11-26,866,سشرق,SSHR
1380-09-06,2001-11-27,875,سشرق,SSHR
