J-Date,Date,Adj Close,Ticker,Ticker(4)
1386-09-06,2007-11-27,296,سنیر,SSNR
1386-09-07,2007-11-28,290,سنیر,SSNR
1386-09-10,2007-12-01,294,سنیر,SSNR
1386-09-11,2007-12-02,294,سنیر,SSNR
1386-09-17,2007-12-08,296,سنیر,SSNR
1386-09-18,2007-12-09,300,سنیر,SSNR
1386-09-21,2007-12-12,300,سنیر,SSNR
1386-10-01,2007-12-22,300,سنیر,SSNR
1386-10-02,2007-12-23,300,سنیر,SSNR
1386-10-04,2007-12-25,301,سنیر,SSNR
1386-10-05,2007-12-26,303,سنیر,SSNR
1386-10-09,2007-12-30,309,سنیر,SSNR
1386-10-10,2007-12-31,315,سنیر,SSNR
1386-10-11,2008-01-01,321,سنیر,SSNR
1386-10-12,2008-01-02,327,سنیر,SSNR
1386-10-15,2008-01-05,334,سنیر,SSNR
1386-10-16,2008-01-06,334,سنیر,SSNR
1386-10-18,2008-01-08,334,سنیر,SSNR
1386-10-19,2008-01-09,330,سنیر,SSNR
1386-10-22,2008-01-12,330,سنیر,SSNR
1386-10-23,2008-01-13,328,سنیر,SSNR
1386-10-26,2008-01-16,322,سنیر,SSNR
1386-10-30,2008-01-20,315,سنیر,SSNR
1386-11-06,2008-01-26,315,سنیر,SSNR
1386-11-07,2008-01-27,314,سنیر,SSNR
1386-11-08,2008-01-28,314,سنیر,SSNR
1386-11-13,2008-02-02,313,سنیر,SSNR
1386-11-15,2008-02-04,311,سنیر,SSNR
1386-11-20,2008-02-09,310,سنیر,SSNR
1386-11-27,2008-02-16,310,سنیر,SSNR
1386-12-01,2008-02-20,310,سنیر,SSNR
1386-12-07,2008-02-26,310,سنیر,SSNR
1386-12-11,2008-03-01,310,سنیر,SSNR
1386-12-12,2008-03-02,310,سنیر,SSNR
1386-12-20,2008-03-10,310,سنیر,SSNR
1386-12-22,2008-03-12,307,سنیر,SSNR
1387-01-10,2008-03-29,307,سنیر,SSNR
1387-01-21,2008-04-09,300,سنیر,SSNR
1387-01-25,2008-04-13,295,سنیر,SSNR
1387-01-31,2008-04-19,289,سنیر,SSNR
1387-02-02,2008-04-21,283,سنیر,SSNR
1387-02-07,2008-04-26,283,سنیر,SSNR
1387-02-09,2008-04-28,282,سنیر,SSNR
1387-02-10,2008-04-29,281,سنیر,SSNR
1387-02-11,2008-04-30,276,سنیر,SSNR
1387-02-15,2008-05-04,277,سنیر,SSNR
1387-02-16,2008-05-05,282,سنیر,SSNR
1387-02-17,2008-05-06,282,سنیر,SSNR
1387-02-23,2008-05-12,286,سنیر,SSNR
1387-02-29,2008-05-18,275,سنیر,SSNR
1387-02-30,2008-05-19,275,سنیر,SSNR
1387-02-31,2008-05-20,282,سنیر,SSNR
1387-03-01,2008-05-21,282,سنیر,SSNR
1387-03-04,2008-05-24,282,سنیر,SSNR
1387-03-05,2008-05-25,281,سنیر,SSNR
1387-03-06,2008-05-26,280,سنیر,SSNR
1387-03-07,2008-05-27,282,سنیر,SSNR
1387-03-08,2008-05-28,287,سنیر,SSNR
1387-03-11,2008-05-31,288,سنیر,SSNR
1387-03-12,2008-06-01,288,سنیر,SSNR
1387-03-13,2008-06-02,291,سنیر,SSNR
1387-03-20,2008-06-09,291,سنیر,SSNR
1387-04-01,2008-06-21,291,سنیر,SSNR
1387-04-09,2008-06-29,290,سنیر,SSNR
1387-04-10,2008-06-30,282,سنیر,SSNR
1387-04-11,2008-07-01,282,سنیر,SSNR
1387-04-17,2008-07-07,282,سنیر,SSNR
1387-04-25,2008-07-15,282,سنیر,SSNR
1387-05-01,2008-07-22,291,سنیر,SSNR
1387-05-02,2008-07-23,291,سنیر,SSNR
1387-05-05,2008-07-26,299,سنیر,SSNR
1387-05-06,2008-07-27,308,سنیر,SSNR
