J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-18,2001-05-08,1313,سصوفی,SSOF
1380-03-12,2001-06-02,1379,سصوفی,SSOF
1380-03-13,2001-06-03,1448,سصوفی,SSOF
1380-03-22,2001-06-12,1520,سصوفی,SSOF
1380-03-26,2001-06-16,1558,سصوفی,SSOF
1380-03-27,2001-06-17,1597,سصوفی,SSOF
1380-03-28,2001-06-18,1637,سصوفی,SSOF
1380-04-12,2001-07-03,1469,سصوفی,SSOF
1380-04-23,2001-07-14,1542,سصوفی,SSOF
1380-06-05,2001-08-27,1619,سصوفی,SSOF
1380-06-06,2001-08-28,1700,سصوفی,SSOF
1380-06-07,2001-08-29,1785,سصوفی,SSOF
1380-06-10,2001-09-01,1829,سصوفی,SSOF
1380-06-11,2001-09-02,1830,سصوفی,SSOF
1380-06-12,2001-09-03,1831,سصوفی,SSOF
1380-06-13,2001-09-04,1815,سصوفی,SSOF
1380-06-14,2001-09-05,1821,سصوفی,SSOF
1380-06-17,2001-09-08,1827,سصوفی,SSOF
1380-06-18,2001-09-09,1828,سصوفی,SSOF
1380-06-19,2001-09-10,1846,سصوفی,SSOF
1380-06-20,2001-09-11,1846,سصوفی,SSOF
1380-06-21,2001-09-12,1839,سصوفی,SSOF
1380-06-24,2001-09-15,1839,سصوفی,SSOF
1380-06-26,2001-09-17,1839,سصوفی,SSOF
1380-06-27,2001-09-18,1839,سصوفی,SSOF
1380-06-28,2001-09-19,1840,سصوفی,SSOF
1380-06-31,2001-09-22,1857,سصوفی,SSOF
1380-07-02,2001-09-24,1875,سصوفی,SSOF
1380-07-04,2001-09-26,1894,سصوفی,SSOF
1380-07-07,2001-09-29,1913,سصوفی,SSOF
1380-07-08,2001-09-30,1932,سصوفی,SSOF
1380-07-10,2001-10-02,1951,سصوفی,SSOF
1380-07-11,2001-10-03,1971,سصوفی,SSOF
1380-07-16,2001-10-08,1990,سصوفی,SSOF
1380-07-17,2001-10-09,1990,سصوفی,SSOF
1380-07-18,2001-10-10,1991,سصوفی,SSOF
1380-07-21,2001-10-13,1991,سصوفی,SSOF
1380-07-22,2001-10-14,1993,سصوفی,SSOF
1380-07-24,2001-10-16,1993,سصوفی,SSOF
1380-07-28,2001-10-20,2003,سصوفی,SSOF
1380-07-30,2001-10-22,2023,سصوفی,SSOF
1380-08-01,2001-10-23,2043,سصوفی,SSOF
1380-08-05,2001-10-27,2064,سصوفی,SSOF
1380-08-12,2001-11-03,2084,سصوفی,SSOF
1380-08-26,2001-11-17,2121,سصوفی,SSOF
1380-09-06,2001-11-27,2142,سصوفی,SSOF
1380-09-07,2001-11-28,2164,سصوفی,SSOF
1380-09-12,2001-12-03,2185,سصوفی,SSOF
1380-09-20,2001-12-11,2207,سصوفی,SSOF
1380-10-04,2001-12-25,2229,سصوفی,SSOF
1380-10-15,2002-01-05,2252,سصوفی,SSOF
1380-10-23,2002-01-13,2274,سصوفی,SSOF
1380-10-30,2002-01-20,2297,سصوفی,SSOF
1380-11-03,2002-01-23,2320,سصوفی,SSOF
1380-11-15,2002-02-04,2343,سصوفی,SSOF
1380-11-16,2002-02-05,2366,سصوفی,SSOF
1380-12-27,2002-03-18,3941,سصوفی,SSOF
1380-12-28,2002-03-19,3980,سصوفی,SSOF
1381-01-07,2002-03-27,4020,سصوفی,SSOF
1381-01-19,2002-04-08,4060,سصوفی,SSOF
1381-01-21,2002-04-10,4101,سصوفی,SSOF
1381-01-24,2002-04-13,4142,سصوفی,SSOF
1381-01-26,2002-04-15,4183,سصوفی,SSOF
1381-01-27,2002-04-16,4183,سصوفی,SSOF
1381-01-28,2002-04-17,4184,سصوفی,SSOF
1381-01-31,2002-04-20,4184,سصوفی,SSOF
