J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,1660,ستران,STEH
1380-01-06,2001-03-26,1659,ستران,STEH
1380-01-07,2001-03-27,1658,ستران,STEH
1380-01-08,2001-03-28,1633,ستران,STEH
1380-01-11,2001-03-31,1642,ستران,STEH
1380-01-14,2001-04-03,1633,ستران,STEH
1380-01-18,2001-04-07,1660,ستران,STEH
1380-01-19,2001-04-08,1662,ستران,STEH
1380-01-20,2001-04-09,1663,ستران,STEH
1380-01-21,2001-04-10,1662,ستران,STEH
1380-01-22,2001-04-11,1670,ستران,STEH
1380-01-25,2001-04-14,1679,ستران,STEH
1380-01-27,2001-04-16,1765,ستران,STEH
1380-01-28,2001-04-17,1780,ستران,STEH
1380-01-29,2001-04-18,1798,ستران,STEH
1380-02-01,2001-04-21,1799,ستران,STEH
1380-02-02,2001-04-22,1807,ستران,STEH
1380-02-03,2001-04-23,1809,ستران,STEH
1380-02-04,2001-04-24,1814,ستران,STEH
1380-02-05,2001-04-25,1833,ستران,STEH
1380-02-08,2001-04-28,1851,ستران,STEH
1380-02-09,2001-04-29,1869,ستران,STEH
1380-02-10,2001-04-30,1888,ستران,STEH
1380-02-11,2001-05-01,1907,ستران,STEH
1380-02-12,2001-05-02,1926,ستران,STEH
1380-02-15,2001-05-05,1924,ستران,STEH
1380-02-16,2001-05-06,1924,ستران,STEH
1380-02-17,2001-05-07,1926,ستران,STEH
1380-02-18,2001-05-08,1928,ستران,STEH
1380-02-19,2001-05-09,1947,ستران,STEH
1380-02-22,2001-05-12,1947,ستران,STEH
1380-02-23,2001-05-13,1960,ستران,STEH
1380-02-25,2001-05-15,1969,ستران,STEH
1380-02-26,2001-05-16,1976,ستران,STEH
1380-02-29,2001-05-19,1977,ستران,STEH
1380-02-30,2001-05-20,1978,ستران,STEH
1380-02-31,2001-05-21,1998,ستران,STEH
1380-03-02,2001-05-23,2002,ستران,STEH
1380-03-05,2001-05-26,2014,ستران,STEH
1380-03-06,2001-05-27,2026,ستران,STEH
1380-03-07,2001-05-28,2034,ستران,STEH
1380-03-08,2001-05-29,2037,ستران,STEH
1380-03-09,2001-05-30,2032,ستران,STEH
1380-03-12,2001-06-02,2013,ستران,STEH
1380-03-13,2001-06-03,1993,ستران,STEH
