J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-01-20,2020-04-08,1104,صبا,STIZ
1399-01-23,2020-04-11,1159,صبا,STIZ
1399-01-24,2020-04-12,1175,صبا,STIZ
1399-01-25,2020-04-13,1233,صبا,STIZ
1399-01-26,2020-04-14,1295,صبا,STIZ
1399-01-27,2020-04-15,1360,صبا,STIZ
1399-01-30,2020-04-18,1428,صبا,STIZ
1399-01-31,2020-04-19,1474,صبا,STIZ
1399-02-01,2020-04-20,1548,صبا,STIZ
1399-02-02,2020-04-21,1598,صبا,STIZ
1399-02-03,2020-04-22,1667,صبا,STIZ
1399-02-07,2020-04-26,1838,صبا,STIZ
1399-02-08,2020-04-27,1924,صبا,STIZ
1399-02-09,2020-04-28,2021,صبا,STIZ
1399-02-10,2020-04-29,2121,صبا,STIZ
1399-02-13,2020-05-02,2227,صبا,STIZ
1399-02-14,2020-05-03,2338,صبا,STIZ
1399-02-15,2020-05-04,2455,صبا,STIZ
1399-02-16,2020-05-05,2332,صبا,STIZ
1399-02-17,2020-05-06,2411,صبا,STIZ
1399-02-20,2020-05-09,2597,صبا,STIZ
1399-02-21,2020-05-10,2481,صبا,STIZ
1399-02-22,2020-05-11,2446,صبا,STIZ
1399-02-23,2020-05-12,2324,صبا,STIZ
1399-02-24,2020-05-13,2208,صبا,STIZ
1399-02-27,2020-05-16,2097,صبا,STIZ
1399-02-28,2020-05-17,2047,صبا,STIZ
1399-02-29,2020-05-18,2149,صبا,STIZ
1399-02-30,2020-05-19,2016,صبا,STIZ
1399-02-31,2020-05-20,1936,صبا,STIZ
1399-03-03,2020-05-23,2043,صبا,STIZ
1399-03-06,2020-05-26,1891,صبا,STIZ
1399-03-07,2020-05-27,1990,صبا,STIZ
1399-03-10,2020-05-30,2043,صبا,STIZ
1399-03-11,2020-05-31,1992,صبا,STIZ
1399-03-12,2020-06-01,1991,صبا,STIZ
1399-03-13,2020-06-02,2100,صبا,STIZ
1399-03-17,2020-06-06,2183,صبا,STIZ
1399-03-18,2020-06-07,2231,صبا,STIZ
1399-03-19,2020-06-08,2159,صبا,STIZ
1399-03-20,2020-06-09,2084,صبا,STIZ
1399-03-21,2020-06-10,2146,صبا,STIZ
1399-03-24,2020-06-13,2229,صبا,STIZ
1399-03-25,2020-06-14,2182,صبا,STIZ
1399-03-26,2020-06-15,2153,صبا,STIZ
1399-03-27,2020-06-16,2208,صبا,STIZ
1399-03-31,2020-06-20,2311,صبا,STIZ
1399-04-01,2020-06-21,2406,صبا,STIZ
1399-04-02,2020-06-22,2504,صبا,STIZ
1399-04-03,2020-06-23,2447,صبا,STIZ
1399-04-04,2020-06-24,2565,صبا,STIZ
1399-04-07,2020-06-27,2674,صبا,STIZ
1399-04-08,2020-06-28,2579,صبا,STIZ
1399-04-09,2020-06-29,2546,صبا,STIZ
1399-04-10,2020-06-30,2665,صبا,STIZ
1399-04-11,2020-07-01,2793,صبا,STIZ
1399-04-14,2020-07-04,2689,صبا,STIZ
1399-04-15,2020-07-05,2895,صبا,STIZ
1399-04-16,2020-07-06,2971,صبا,STIZ
1399-04-17,2020-07-07,3120,صبا,STIZ
1399-04-18,2020-07-08,3276,صبا,STIZ
1399-04-21,2020-07-11,3413,صبا,STIZ
1399-04-22,2020-07-12,3521,صبا,STIZ
1399-04-23,2020-07-13,3403,صبا,STIZ
1399-04-24,2020-07-14,3322,صبا,STIZ
1399-04-25,2020-07-15,3238,صبا,STIZ
1399-04-28,2020-07-18,3076,صبا,STIZ
1399-04-29,2020-07-19,3230,صبا,STIZ
1399-04-30,2020-07-20,3213,صبا,STIZ
1399-04-31,2020-07-21,3258,صبا,STIZ
1399-05-01,2020-07-22,3369,صبا,STIZ
1399-05-04,2020-07-25,3385,صبا,STIZ
1399-05-05,2020-07-26,3287,صبا,STIZ
1399-05-06,2020-07-27,3149,صبا,STIZ
1399-05-07,2020-07-28,3002,صبا,STIZ
1399-05-08,2020-07-29,2987,صبا,STIZ
1399-05-11,2020-08-01,3112,صبا,STIZ
1399-05-12,2020-08-02,3267,صبا,STIZ
1399-05-13,2020-08-03,3431,صبا,STIZ
1399-05-14,2020-08-04,3584,صبا,STIZ
1399-05-15,2020-08-05,3748,صبا,STIZ
1399-05-19,2020-08-09,3784,صبا,STIZ
1399-05-20,2020-08-10,3703,صبا,STIZ
1399-05-21,2020-08-11,3518,صبا,STIZ
1399-05-22,2020-08-12,3342,صبا,STIZ
1399-05-25,2020-08-15,3245,صبا,STIZ
1399-05-26,2020-08-16,3083,صبا,STIZ
1399-05-27,2020-08-17,3200,صبا,STIZ
1399-05-28,2020-08-18,3132,صبا,STIZ
1399-05-29,2020-08-19,3065,صبا,STIZ
1399-06-01,2020-08-22,2922,صبا,STIZ
1399-06-02,2020-08-23,2805,صبا,STIZ
1399-06-03,2020-08-24,2706,صبا,STIZ
1399-06-04,2020-08-25,2816,صبا,STIZ
1399-06-05,2020-08-26,2945,صبا,STIZ
1399-06-29,2020-09-19,3167,صبا,STIZ
1399-06-30,2020-09-20,3292,صبا,STIZ
1399-06-31,2020-09-21,3418,صبا,STIZ
1399-07-01,2020-09-22,3489,صبا,STIZ
1399-07-02,2020-09-23,3652,صبا,STIZ
1399-07-05,2020-09-26,3834,صبا,STIZ
1399-07-06,2020-09-27,3696,صبا,STIZ
1399-07-07,2020-09-28,3629,صبا,STIZ
1399-07-08,2020-09-29,3575,صبا,STIZ
1399-07-09,2020-09-30,3428,صبا,STIZ
1399-07-12,2020-10-03,3350,صبا,STIZ
1399-07-13,2020-10-04,3218,صبا,STIZ
1399-07-14,2020-10-05,3072,صبا,STIZ
1399-07-16,2020-10-07,3282,صبا,STIZ
1399-07-19,2020-10-10,3294,صبا,STIZ
1399-07-20,2020-10-11,3224,صبا,STIZ
1399-07-21,2020-10-12,3185,صبا,STIZ
1399-07-22,2020-10-13,3163,صبا,STIZ
1399-07-23,2020-10-14,3062,صبا,STIZ
1399-07-27,2020-10-18,2944,صبا,STIZ
1399-07-28,2020-10-19,2829,صبا,STIZ
1399-07-29,2020-10-20,2810,صبا,STIZ
