J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-03-10,2003-05-31,19,بسویچ,SWIC
1382-03-17,2003-06-07,20,بسویچ,SWIC
1382-03-18,2003-06-08,20,بسویچ,SWIC
1382-03-19,2003-06-09,20,بسویچ,SWIC
1382-03-20,2003-06-10,20,بسویچ,SWIC
1382-03-21,2003-06-11,20,بسویچ,SWIC
1382-03-24,2003-06-14,19,بسویچ,SWIC
1382-03-25,2003-06-15,20,بسویچ,SWIC
1382-03-26,2003-06-16,19,بسویچ,SWIC
1382-03-27,2003-06-17,19,بسویچ,SWIC
1382-03-28,2003-06-18,19,بسویچ,SWIC
1382-03-31,2003-06-21,19,بسویچ,SWIC
1382-04-01,2003-06-22,19,بسویچ,SWIC
1382-04-02,2003-06-23,19,بسویچ,SWIC
1382-04-03,2003-06-24,19,بسویچ,SWIC
1382-04-04,2003-06-25,18,بسویچ,SWIC
1382-04-07,2003-06-28,19,بسویچ,SWIC
1382-04-08,2003-06-29,19,بسویچ,SWIC
1382-04-11,2003-07-02,19,بسویچ,SWIC
1382-04-14,2003-07-05,19,بسویچ,SWIC
1382-04-15,2003-07-06,20,بسویچ,SWIC
1382-04-16,2003-07-07,20,بسویچ,SWIC
1382-04-17,2003-07-08,20,بسویچ,SWIC
1382-05-18,2003-08-09,19,بسویچ,SWIC
1382-05-19,2003-08-10,19,بسویچ,SWIC
1382-05-20,2003-08-11,19,بسویچ,SWIC
1382-05-21,2003-08-12,19,بسویچ,SWIC
1382-05-22,2003-08-13,19,بسویچ,SWIC
1382-05-26,2003-08-17,19,بسویچ,SWIC
1382-05-27,2003-08-18,19,بسویچ,SWIC
1382-06-02,2003-08-24,19,بسویچ,SWIC
1382-06-04,2003-08-26,19,بسویچ,SWIC
1382-06-08,2003-08-30,19,بسویچ,SWIC
1382-06-09,2003-08-31,19,بسویچ,SWIC
1382-06-10,2003-09-01,19,بسویچ,SWIC
1382-06-11,2003-09-02,19,بسویچ,SWIC
1382-06-12,2003-09-03,19,بسویچ,SWIC
1382-06-15,2003-09-06,19,بسویچ,SWIC
1382-06-16,2003-09-07,19,بسویچ,SWIC
1382-06-17,2003-09-08,19,بسویچ,SWIC
1382-06-18,2003-09-09,19,بسویچ,SWIC
1382-06-22,2003-09-13,20,بسویچ,SWIC
1382-06-23,2003-09-14,20,بسویچ,SWIC
1382-06-31,2003-09-22,20,بسویچ,SWIC
1382-07-01,2003-09-23,20,بسویچ,SWIC
1382-07-09,2003-10-01,20,بسویچ,SWIC
1382-07-12,2003-10-04,19,بسویچ,SWIC
1382-07-13,2003-10-05,19,بسویچ,SWIC
1382-07-14,2003-10-06,19,بسویچ,SWIC
1382-07-15,2003-10-07,19,بسویچ,SWIC
1382-07-19,2003-10-11,19,بسویچ,SWIC
1382-07-28,2003-10-20,19,بسویچ,SWIC
1382-07-29,2003-10-21,19,بسویچ,SWIC
1382-07-30,2003-10-22,19,بسویچ,SWIC
1382-08-06,2003-10-28,19,بسویچ,SWIC
1382-08-13,2003-11-04,19,بسویچ,SWIC
1382-08-14,2003-11-05,19,بسویچ,SWIC
1382-08-18,2003-11-09,19,بسویچ,SWIC
1382-08-24,2003-11-15,19,بسویچ,SWIC
1382-08-26,2003-11-17,19,بسویچ,SWIC
1382-09-23,2003-12-14,13,بسویچ,SWIC
1382-09-26,2003-12-17,13,بسویچ,SWIC
1382-10-02,2003-12-23,13,بسویچ,SWIC
1382-10-03,2003-12-24,13,بسویچ,SWIC
1382-10-20,2004-01-10,13,بسویچ,SWIC
1382-10-21,2004-01-11,13,بسویچ,SWIC
1382-10-22,2004-01-12,13,بسویچ,SWIC
1382-11-01,2004-01-21,13,بسویچ,SWIC
1382-11-19,2004-02-08,13,بسویچ,SWIC
1382-12-04,2004-02-23,13,بسویچ,SWIC
1382-12-16,2004-03-06,13,بسویچ,SWIC
1382-12-17,2004-03-07,13,بسویچ,SWIC
1382-12-20,2004-03-10,13,بسویچ,SWIC
1383-01-18,2004-04-06,13,بسویچ,SWIC
1383-01-19,2004-04-07,13,بسویچ,SWIC
1383-02-12,2004-05-01,12,بسویچ,SWIC
1383-02-13,2004-05-02,12,بسویچ,SWIC
1383-02-15,2004-05-04,12,بسویچ,SWIC
1383-02-16,2004-05-05,12,بسویچ,SWIC
