J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-12-27,2015-03-18,1381,تابا,TABP
1394-01-05,2015-03-25,1174,تابا,TABP
1394-01-16,2015-04-05,1305,تابا,TABP
1394-01-29,2015-04-18,1243,تابا,TABP
1394-02-02,2015-04-22,1305,تابا,TABP
1394-02-07,2015-04-27,1036,تابا,TABP
1394-02-08,2015-04-28,1312,تابا,TABP
1394-02-09,2015-04-29,1277,تابا,TABP
1394-02-13,2015-05-03,1311,تابا,TABP
1394-02-14,2015-05-04,1208,تابا,TABP
1394-02-15,2015-05-05,1208,تابا,TABP
1394-02-16,2015-05-06,1312,تابا,TABP
1394-02-20,2015-05-10,1208,تابا,TABP
1394-02-21,2015-05-11,1243,تابا,TABP
1394-02-22,2015-05-12,1208,تابا,TABP
1394-02-23,2015-05-13,1277,تابا,TABP
1394-02-28,2015-05-18,1208,تابا,TABP
1394-02-29,2015-05-19,1277,تابا,TABP
1394-02-30,2015-05-20,1277,تابا,TABP
1394-03-02,2015-05-23,1277,تابا,TABP
1394-03-03,2015-05-24,1277,تابا,TABP
1394-03-05,2015-05-26,1485,تابا,TABP
1394-03-09,2015-05-30,1762,تابا,TABP
1394-03-10,2015-05-31,1830,تابا,TABP
1394-03-17,2015-06-07,2072,تابا,TABP
1394-03-18,2015-06-08,1934,تابا,TABP
1394-03-19,2015-06-09,1968,تابا,TABP
1394-03-20,2015-06-10,1968,تابا,TABP
1394-03-23,2015-06-13,1975,تابا,TABP
1394-03-24,2015-06-14,1968,تابا,TABP
1394-03-25,2015-06-15,1968,تابا,TABP
1394-04-06,2015-06-27,1588,تابا,TABP
1394-04-07,2015-06-28,1519,تابا,TABP
1394-04-09,2015-06-30,1554,تابا,TABP
1394-04-14,2015-07-05,1588,تابا,TABP
1394-06-02,2015-08-24,1513,تابا,TABP
1394-06-17,2015-09-08,1488,تابا,TABP
1394-09-17,2015-12-08,1488,تابا,TABP
1394-09-22,2015-12-13,1513,تابا,TABP
1394-10-13,2016-01-03,1361,تابا,TABP
1394-10-28,2016-01-18,1358,تابا,TABP
1394-11-05,2016-01-25,1361,تابا,TABP
1394-11-24,2016-02-13,1286,تابا,TABP
1394-11-25,2016-02-14,1286,تابا,TABP
1394-11-28,2016-02-17,1286,تابا,TABP
1394-12-04,2016-02-23,1286,تابا,TABP
1394-12-12,2016-03-02,1221,تابا,TABP
1394-12-24,2016-03-14,1286,تابا,TABP
1395-01-25,2016-04-13,1286,تابا,TABP
1395-01-28,2016-04-16,1285,تابا,TABP
1395-01-31,2016-04-19,1248,تابا,TABP
1395-02-01,2016-04-20,1286,تابا,TABP
1395-02-05,2016-04-24,1248,تابا,TABP
1395-02-28,2016-05-17,1210,تابا,TABP
1395-03-10,2016-05-30,1062,تابا,TABP
1395-03-11,2016-05-31,1062,تابا,TABP
1395-03-12,2016-06-01,1021,تابا,TABP
1395-03-16,2016-06-05,1021,تابا,TABP
1395-03-17,2016-06-06,983,تابا,TABP
1395-03-18,2016-06-07,984,تابا,TABP
1395-03-22,2016-06-11,991,تابا,TABP
1395-03-23,2016-06-12,998,تابا,TABP
1395-03-31,2016-06-20,1021,تابا,TABP
1395-04-06,2016-06-26,960,تابا,TABP
1395-05-20,2016-08-10,962,تابا,TABP
1395-06-01,2016-08-22,951,تابا,TABP
1395-06-10,2016-08-31,951,تابا,TABP
1395-06-21,2016-09-11,951,تابا,TABP
1395-06-29,2016-09-19,952,تابا,TABP
1395-07-03,2016-09-24,961,تابا,TABP
1395-07-04,2016-09-25,961,تابا,TABP
1395-07-05,2016-09-26,960,تابا,TABP
1395-07-06,2016-09-27,964,تابا,TABP
1395-07-17,2016-10-08,978,تابا,TABP
1395-07-26,2016-10-17,1202,تابا,TABP
1395-07-27,2016-10-18,1202,تابا,TABP
1395-08-24,2016-11-14,977,تابا,TABP
1395-08-29,2016-11-19,995,تابا,TABP
1395-09-09,2016-11-29,1003,تابا,TABP
1395-09-15,2016-12-05,1004,تابا,TABP
1395-09-16,2016-12-06,1003,تابا,TABP
1395-09-22,2016-12-12,1004,تابا,TABP
1395-09-28,2016-12-18,996,تابا,TABP
1395-09-30,2016-12-20,1004,تابا,TABP
1395-10-04,2016-12-24,1004,تابا,TABP
1395-10-05,2016-12-25,1004,تابا,TABP
1395-10-07,2016-12-27,1003,تابا,TABP
1395-10-08,2016-12-28,996,تابا,TABP
1395-10-11,2016-12-31,996,تابا,TABP
1395-10-13,2017-01-02,996,تابا,TABP
1395-10-15,2017-01-04,996,تابا,TABP
1395-10-20,2017-01-09,960,تابا,TABP
1395-10-26,2017-01-15,975,تابا,TABP
1395-11-02,2017-01-21,975,تابا,TABP
1395-11-03,2017-01-22,960,تابا,TABP
1395-11-06,2017-01-25,961,تابا,TABP
1395-11-12,2017-01-31,951,تابا,TABP
1395-11-17,2017-02-05,960,تابا,TABP
1395-11-24,2017-02-12,805,تابا,TABP
1395-12-03,2017-02-21,809,تابا,TABP
