J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-27,2001-04-16,31,پتایر,TAIR
1380-01-28,2001-04-17,32,پتایر,TAIR
1380-01-29,2001-04-18,33,پتایر,TAIR
1380-02-01,2001-04-21,32,پتایر,TAIR
1380-02-02,2001-04-22,32,پتایر,TAIR
1380-02-03,2001-04-23,31,پتایر,TAIR
1380-02-04,2001-04-24,32,پتایر,TAIR
1380-02-05,2001-04-25,32,پتایر,TAIR
1380-02-08,2001-04-28,32,پتایر,TAIR
1380-02-09,2001-04-29,31,پتایر,TAIR
1380-02-10,2001-04-30,31,پتایر,TAIR
1380-02-11,2001-05-01,31,پتایر,TAIR
1380-02-12,2001-05-02,31,پتایر,TAIR
1380-02-15,2001-05-05,31,پتایر,TAIR
1380-02-16,2001-05-06,31,پتایر,TAIR
1380-02-17,2001-05-07,31,پتایر,TAIR
1380-02-18,2001-05-08,31,پتایر,TAIR
1380-02-19,2001-05-09,32,پتایر,TAIR
1380-02-22,2001-05-12,32,پتایر,TAIR
1380-02-23,2001-05-13,34,پتایر,TAIR
1380-02-25,2001-05-15,35,پتایر,TAIR
1380-02-26,2001-05-16,37,پتایر,TAIR
1380-02-29,2001-05-19,37,پتایر,TAIR
1380-02-30,2001-05-20,35,پتایر,TAIR
1380-02-31,2001-05-21,35,پتایر,TAIR
1380-03-02,2001-05-23,37,پتایر,TAIR
1380-03-05,2001-05-26,37,پتایر,TAIR
1380-03-06,2001-05-27,37,پتایر,TAIR
1380-03-07,2001-05-28,35,پتایر,TAIR
1380-03-08,2001-05-29,35,پتایر,TAIR
1380-03-09,2001-05-30,35,پتایر,TAIR
1380-03-13,2001-06-03,34,پتایر,TAIR
1380-03-16,2001-06-06,34,پتایر,TAIR
1380-03-19,2001-06-09,34,پتایر,TAIR
1380-03-21,2001-06-11,35,پتایر,TAIR
1380-03-22,2001-06-12,35,پتایر,TAIR
1380-03-23,2001-06-13,35,پتایر,TAIR
1380-03-26,2001-06-16,35,پتایر,TAIR
1380-03-27,2001-06-17,35,پتایر,TAIR
1380-03-28,2001-06-18,34,پتایر,TAIR
1380-03-29,2001-06-19,34,پتایر,TAIR
1380-03-30,2001-06-20,34,پتایر,TAIR
1380-04-02,2001-06-23,34,پتایر,TAIR
1380-04-17,2001-07-08,30,پتایر,TAIR
1380-04-18,2001-07-09,30,پتایر,TAIR
1380-04-19,2001-07-10,30,پتایر,TAIR
1380-04-20,2001-07-11,30,پتایر,TAIR
1380-04-23,2001-07-14,30,پتایر,TAIR
1380-04-24,2001-07-15,29,پتایر,TAIR
1380-04-25,2001-07-16,28,پتایر,TAIR
1380-04-26,2001-07-17,28,پتایر,TAIR
1380-04-27,2001-07-18,29,پتایر,TAIR
1380-04-30,2001-07-21,29,پتایر,TAIR
1380-04-31,2001-07-22,29,پتایر,TAIR
1380-05-01,2001-07-23,29,پتایر,TAIR
1380-05-02,2001-07-24,29,پتایر,TAIR
1380-05-03,2001-07-25,29,پتایر,TAIR
1380-05-06,2001-07-28,28,پتایر,TAIR
1380-05-07,2001-07-29,28,پتایر,TAIR
1380-05-08,2001-07-30,28,پتایر,TAIR
1380-05-09,2001-07-31,27,پتایر,TAIR
1380-05-10,2001-08-01,28,پتایر,TAIR
