J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-01-27,2020-04-15,307,شستا,TAMN
1399-01-30,2020-04-18,322,شستا,TAMN
1399-01-31,2020-04-19,333,شستا,TAMN
1399-02-01,2020-04-20,338,شستا,TAMN
1399-02-02,2020-04-21,347,شستا,TAMN
1399-02-03,2020-04-22,355,شستا,TAMN
1399-02-06,2020-04-25,364,شستا,TAMN
1399-02-07,2020-04-26,375,شستا,TAMN
1399-02-08,2020-04-27,392,شستا,TAMN
1399-02-09,2020-04-28,409,شستا,TAMN
1399-02-10,2020-04-29,429,شستا,TAMN
1399-02-13,2020-05-02,450,شستا,TAMN
1399-02-14,2020-05-03,473,شستا,TAMN
1399-02-16,2020-05-05,521,شستا,TAMN
1399-02-21,2020-05-10,541,شستا,TAMN
1399-02-22,2020-05-11,569,شستا,TAMN
1399-02-23,2020-05-12,556,شستا,TAMN
1399-02-24,2020-05-13,556,شستا,TAMN
1399-02-27,2020-05-16,527,شستا,TAMN
1399-02-28,2020-05-17,527,شستا,TAMN
1399-02-29,2020-05-18,539,شستا,TAMN
1399-02-30,2020-05-19,540,شستا,TAMN
1399-02-31,2020-05-20,535,شستا,TAMN
1399-03-03,2020-05-23,511,شستا,TAMN
1399-03-06,2020-05-26,489,شستا,TAMN
1399-03-07,2020-05-27,513,شستا,TAMN
1399-03-10,2020-05-30,539,شستا,TAMN
1399-03-11,2020-05-31,537,شستا,TAMN
1399-03-12,2020-06-01,559,شستا,TAMN
1399-03-13,2020-06-02,581,شستا,TAMN
1399-03-17,2020-06-06,607,شستا,TAMN
1399-03-18,2020-06-07,637,شستا,TAMN
1399-03-19,2020-06-08,639,شستا,TAMN
1399-03-20,2020-06-09,640,شستا,TAMN
1399-03-21,2020-06-10,646,شستا,TAMN
1399-03-24,2020-06-13,654,شستا,TAMN
1399-03-25,2020-06-14,640,شستا,TAMN
1399-03-26,2020-06-15,635,شستا,TAMN
1399-03-27,2020-06-16,659,شستا,TAMN
1399-03-31,2020-06-20,685,شستا,TAMN
1399-04-01,2020-06-21,714,شستا,TAMN
1399-04-02,2020-06-22,748,شستا,TAMN
1399-04-03,2020-06-23,757,شستا,TAMN
1399-04-04,2020-06-24,818,شستا,TAMN
1399-04-07,2020-06-27,844,شستا,TAMN
1399-04-08,2020-06-28,886,شستا,TAMN
1399-04-09,2020-06-29,923,شستا,TAMN
1399-04-10,2020-06-30,954,شستا,TAMN
1399-04-11,2020-07-01,1001,شستا,TAMN
1399-04-18,2020-07-08,1044,شستا,TAMN
1399-04-21,2020-07-11,1096,شستا,TAMN
1399-04-22,2020-07-12,1151,شستا,TAMN
1399-04-23,2020-07-13,1208,شستا,TAMN
1399-04-24,2020-07-14,1269,شستا,TAMN
1399-04-25,2020-07-15,1280,شستا,TAMN
1399-04-28,2020-07-18,1330,شستا,TAMN
1399-04-29,2020-07-19,1377,شستا,TAMN
1399-04-31,2020-07-21,1445,شستا,TAMN
1399-05-01,2020-07-22,1514,شستا,TAMN
1399-05-04,2020-07-25,1590,شستا,TAMN
1399-05-05,2020-07-26,1669,شستا,TAMN
1399-05-06,2020-07-27,1752,شستا,TAMN
1399-05-07,2020-07-28,1691,شستا,TAMN
1399-05-08,2020-07-29,1816,شستا,TAMN
1399-05-11,2020-08-01,1864,شستا,TAMN
1399-05-12,2020-08-02,1957,شستا,TAMN
1399-05-13,2020-08-03,2055,شستا,TAMN
1399-05-14,2020-08-04,2151,شستا,TAMN
1399-05-15,2020-08-05,2236,شستا,TAMN
1399-05-21,2020-08-11,2212,شستا,TAMN
1399-05-22,2020-08-12,2097,شستا,TAMN
1399-05-26,2020-08-16,1693,شستا,TAMN
1399-05-27,2020-08-17,1816,شستا,TAMN
1399-05-28,2020-08-18,1725,شستا,TAMN
1399-05-29,2020-08-19,1693,شستا,TAMN
1399-06-01,2020-08-22,1608,شستا,TAMN
1399-06-02,2020-08-23,1556,شستا,TAMN
1399-06-03,2020-08-24,1479,شستا,TAMN
1399-06-04,2020-08-25,1552,شستا,TAMN
1399-06-05,2020-08-26,1605,شستا,TAMN
1399-06-10,2020-08-31,1556,شستا,TAMN
1399-06-11,2020-09-01,1486,شستا,TAMN
1399-06-12,2020-09-02,1417,شستا,TAMN
1399-06-15,2020-09-05,1398,شستا,TAMN
1399-06-16,2020-09-06,1293,شستا,TAMN
1399-08-27,2020-11-17,1122,شستا,TAMN
1399-08-28,2020-11-18,1142,شستا,TAMN
