J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-03-24,2022-06-14,4989,تپسی,TASZ
1401-07-16,2022-10-08,5239,تپسی,TASZ
1401-07-17,2022-10-09,5456,تپسی,TASZ
1401-07-18,2022-10-10,5656,تپسی,TASZ
1401-07-19,2022-10-11,5844,تپسی,TASZ
1401-07-20,2022-10-12,6136,تپسی,TASZ
1401-07-23,2022-10-15,6440,تپسی,TASZ
1401-07-24,2022-10-16,6120,تپسی,TASZ
1401-07-25,2022-10-17,6200,تپسی,TASZ
1401-07-26,2022-10-18,6100,تپسی,TASZ
1401-07-27,2022-10-19,6010,تپسی,TASZ
1401-07-30,2022-10-22,5810,تپسی,TASZ
1401-08-01,2022-10-23,5980,تپسی,TASZ
1401-08-02,2022-10-24,5670,تپسی,TASZ
1401-08-03,2022-10-25,5600,تپسی,TASZ
1401-08-04,2022-10-26,5380,تپسی,TASZ
1401-08-07,2022-10-29,5640,تپسی,TASZ
1401-08-08,2022-10-30,5710,تپسی,TASZ
1401-08-09,2022-10-31,5610,تپسی,TASZ
1401-08-10,2022-11-01,5770,تپسی,TASZ
1401-08-11,2022-11-02,5700,تپسی,TASZ
1401-08-14,2022-11-05,5700,تپسی,TASZ
1401-08-15,2022-11-06,5920,تپسی,TASZ
1401-08-16,2022-11-07,5840,تپسی,TASZ
1401-08-17,2022-11-08,5790,تپسی,TASZ
1401-08-18,2022-11-09,5770,تپسی,TASZ
1401-08-21,2022-11-12,5700,تپسی,TASZ
1401-08-22,2022-11-13,5700,تپسی,TASZ
1401-08-23,2022-11-14,5800,تپسی,TASZ
1401-08-24,2022-11-15,5730,تپسی,TASZ
1401-08-25,2022-11-16,5740,تپسی,TASZ
1401-08-28,2022-11-19,5460,تپسی,TASZ
1401-08-29,2022-11-20,5190,تپسی,TASZ
1401-08-30,2022-11-21,4940,تپسی,TASZ
1401-09-01,2022-11-22,4700,تپسی,TASZ
1401-09-02,2022-11-23,4510,تپسی,TASZ
1401-09-05,2022-11-26,4494,تپسی,TASZ
1401-09-08,2022-11-29,4480,تپسی,TASZ
1401-09-09,2022-11-30,4350,تپسی,TASZ
1401-09-12,2022-12-03,4296,تپسی,TASZ
1401-09-13,2022-12-04,4297,تپسی,TASZ
1401-09-14,2022-12-05,4033,تپسی,TASZ
1401-09-15,2022-12-06,4070,تپسی,TASZ
1401-09-16,2022-12-07,4014,تپسی,TASZ
1401-09-20,2022-12-11,4252,تپسی,TASZ
1401-09-21,2022-12-12,4260,تپسی,TASZ
1401-09-22,2022-12-13,4297,تپسی,TASZ
1401-09-23,2022-12-14,4283,تپسی,TASZ
1401-09-26,2022-12-17,4183,تپسی,TASZ
1401-09-27,2022-12-18,4071,تپسی,TASZ
1401-09-28,2022-12-19,3940,تپسی,TASZ
1401-09-29,2022-12-20,3998,تپسی,TASZ
1401-09-30,2022-12-21,3921,تپسی,TASZ
1401-10-03,2022-12-24,3959,تپسی,TASZ
1401-10-04,2022-12-25,3882,تپسی,TASZ
1401-10-05,2022-12-26,3930,تپسی,TASZ
1401-10-07,2022-12-28,3929,تپسی,TASZ
1401-10-10,2022-12-31,3790,تپسی,TASZ
1401-10-11,2023-01-01,3805,تپسی,TASZ
1401-10-12,2023-01-02,3770,تپسی,TASZ
1401-10-13,2023-01-03,3687,تپسی,TASZ
1401-10-14,2023-01-04,3700,تپسی,TASZ
1401-10-17,2023-01-07,3650,تپسی,TASZ
1401-10-18,2023-01-08,3846,تپسی,TASZ
1401-10-19,2023-01-09,3991,تپسی,TASZ
1401-10-20,2023-01-10,4188,تپسی,TASZ
1401-10-24,2023-01-14,4397,تپسی,TASZ
1401-10-26,2023-01-16,4616,تپسی,TASZ
1401-10-27,2023-01-17,4846,تپسی,TASZ
1401-10-28,2023-01-18,5088,تپسی,TASZ
1401-11-01,2023-01-21,5080,تپسی,TASZ
1401-11-02,2023-01-22,4920,تپسی,TASZ
1401-11-03,2023-01-23,4970,تپسی,TASZ
1401-11-04,2023-01-24,5150,تپسی,TASZ
1401-11-05,2023-01-25,5370,تپسی,TASZ
1401-11-09,2023-01-29,5100,تپسی,TASZ
1401-11-10,2023-01-30,4850,تپسی,TASZ
1401-11-11,2023-01-31,4780,تپسی,TASZ
1401-11-12,2023-02-01,4860,تپسی,TASZ
1401-11-16,2023-02-05,4626,تپسی,TASZ
1401-11-17,2023-02-06,4600,تپسی,TASZ
1401-11-18,2023-02-07,4751,تپسی,TASZ
1401-11-19,2023-02-08,5022,تپسی,TASZ
1401-11-23,2023-02-12,5235,تپسی,TASZ
1401-11-24,2023-02-13,5190,تپسی,TASZ
1401-11-25,2023-02-14,5126,تپسی,TASZ
1401-11-26,2023-02-15,5100,تپسی,TASZ
1401-11-30,2023-02-19,5220,تپسی,TASZ
1401-12-01,2023-02-20,5190,تپسی,TASZ
1401-12-02,2023-02-21,5000,تپسی,TASZ
1401-12-07,2023-02-26,5250,تپسی,TASZ
1401-12-08,2023-02-27,4980,تپسی,TASZ
1401-12-09,2023-02-28,5070,تپسی,TASZ
1401-12-10,2023-03-01,5210,تپسی,TASZ
1401-12-13,2023-03-04,5180,تپسی,TASZ
1401-12-14,2023-03-05,5240,تپسی,TASZ
1401-12-15,2023-03-06,5320,تپسی,TASZ
1401-12-16,2023-03-07,5540,تپسی,TASZ
1401-12-20,2023-03-11,5730,تپسی,TASZ
1401-12-21,2023-03-12,6010,تپسی,TASZ
1401-12-22,2023-03-13,6270,تپسی,TASZ
1401-12-23,2023-03-14,6370,تپسی,TASZ
1401-12-24,2023-03-15,6730,تپسی,TASZ
1401-12-27,2023-03-18,7030,تپسی,TASZ
1401-12-28,2023-03-19,6900,تپسی,TASZ
1402-01-05,2023-03-25,7210,تپسی,TASZ
1402-01-06,2023-03-26,6950,تپسی,TASZ
1402-01-07,2023-03-27,7420,تپسی,TASZ
1402-01-08,2023-03-28,7420,تپسی,TASZ
1402-01-09,2023-03-29,7120,تپسی,TASZ
1402-01-14,2023-04-03,6900,تپسی,TASZ
1402-01-15,2023-04-04,6690,تپسی,TASZ
1402-01-16,2023-04-05,7000,تپسی,TASZ
1402-01-19,2023-04-08,7240,تپسی,TASZ
1402-01-20,2023-04-09,7590,تپسی,TASZ
1402-01-21,2023-04-10,7290,تپسی,TASZ
1402-01-22,2023-04-11,7150,تپسی,TASZ
1402-01-26,2023-04-15,7420,تپسی,TASZ
1402-01-27,2023-04-16,7360,تپسی,TASZ
1402-01-28,2023-04-17,7390,تپسی,TASZ
1402-01-29,2023-04-18,7430,تپسی,TASZ
1402-01-30,2023-04-19,7360,تپسی,TASZ
1402-02-04,2023-04-24,7300,تپسی,TASZ
1402-02-05,2023-04-25,7690,تپسی,TASZ
1402-02-06,2023-04-26,7940,تپسی,TASZ
1402-02-09,2023-04-29,8230,تپسی,TASZ
1402-02-10,2023-04-30,8070,تپسی,TASZ
1402-02-11,2023-05-01,7940,تپسی,TASZ
1402-02-12,2023-05-02,7780,تپسی,TASZ
1402-02-13,2023-05-03,8200,تپسی,TASZ
1402-02-16,2023-05-06,7750,تپسی,TASZ
1402-02-23,2023-05-13,7470,تپسی,TASZ
1402-02-24,2023-05-14,7120,تپسی,TASZ
1402-02-25,2023-05-15,6850,تپسی,TASZ
1402-02-27,2023-05-17,7060,تپسی,TASZ
1402-02-30,2023-05-20,6910,تپسی,TASZ
1402-02-31,2023-05-21,6930,تپسی,TASZ
1402-03-01,2023-05-22,7100,تپسی,TASZ
1402-03-02,2023-05-23,6950,تپسی,TASZ
1402-03-03,2023-05-24,6930,تپسی,TASZ
1402-03-06,2023-05-27,6790,تپسی,TASZ
1402-03-07,2023-05-28,6620,تپسی,TASZ
1402-03-08,2023-05-29,6700,تپسی,TASZ
1402-03-09,2023-05-30,7010,تپسی,TASZ
1402-03-10,2023-05-31,7100,تپسی,TASZ
1402-03-13,2023-06-03,7000,تپسی,TASZ
1402-03-16,2023-06-06,6810,تپسی,TASZ
1402-03-17,2023-06-07,6880,تپسی,TASZ
1402-03-20,2023-06-10,6590,تپسی,TASZ
1402-03-21,2023-06-11,6730,تپسی,TASZ
1402-03-22,2023-06-12,6340,تپسی,TASZ
1402-03-23,2023-06-13,6480,تپسی,TASZ
1402-03-24,2023-06-14,6430,تپسی,TASZ
