J-Date,Date,Adj Close,Ticker,Ticker(4)
1383-10-22,2005-01-11,403,حتاید,TAYD
1383-10-26,2005-01-15,423,حتاید,TAYD
1383-10-29,2005-01-18,445,حتاید,TAYD
1383-11-05,2005-01-24,467,حتاید,TAYD
1383-11-06,2005-01-25,490,حتاید,TAYD
1383-11-07,2005-01-26,478,حتاید,TAYD
1383-11-11,2005-01-30,471,حتاید,TAYD
1383-11-12,2005-01-31,468,حتاید,TAYD
1383-11-13,2005-02-01,467,حتاید,TAYD
1383-11-14,2005-02-02,464,حتاید,TAYD
1383-11-17,2005-02-05,462,حتاید,TAYD
1383-11-18,2005-02-06,455,حتاید,TAYD
1383-11-19,2005-02-07,449,حتاید,TAYD
1383-11-20,2005-02-08,447,حتاید,TAYD
1383-11-21,2005-02-09,447,حتاید,TAYD
1383-11-24,2005-02-12,446,حتاید,TAYD
1383-11-25,2005-02-13,445,حتاید,TAYD
1383-11-26,2005-02-14,443,حتاید,TAYD
1383-11-27,2005-02-15,443,حتاید,TAYD
1383-11-28,2005-02-16,437,حتاید,TAYD
1383-12-03,2005-02-21,436,حتاید,TAYD
1383-12-04,2005-02-22,433,حتاید,TAYD
1383-12-05,2005-02-23,433,حتاید,TAYD
1383-12-08,2005-02-26,433,حتاید,TAYD
1383-12-09,2005-02-27,411,حتاید,TAYD
1383-12-10,2005-02-28,391,حتاید,TAYD
1383-12-11,2005-03-01,374,حتاید,TAYD
1383-12-12,2005-03-02,355,حتاید,TAYD
1383-12-15,2005-03-05,342,حتاید,TAYD
1383-12-16,2005-03-06,339,حتاید,TAYD
1383-12-17,2005-03-07,338,حتاید,TAYD
1383-12-18,2005-03-08,332,حتاید,TAYD
1383-12-19,2005-03-09,326,حتاید,TAYD
1383-12-22,2005-03-12,323,حتاید,TAYD
1383-12-23,2005-03-13,311,حتاید,TAYD
1383-12-24,2005-03-14,319,حتاید,TAYD
1383-12-25,2005-03-15,327,حتاید,TAYD
1383-12-26,2005-03-16,343,حتاید,TAYD
1384-01-06,2005-03-26,360,حتاید,TAYD
1384-01-07,2005-03-27,378,حتاید,TAYD
1384-01-08,2005-03-28,381,حتاید,TAYD
1384-01-09,2005-03-29,386,حتاید,TAYD
1384-01-10,2005-03-30,390,حتاید,TAYD
1384-01-14,2005-04-03,373,حتاید,TAYD
1384-01-15,2005-04-04,361,حتاید,TAYD
1384-01-23,2005-04-12,362,حتاید,TAYD
1384-01-24,2005-04-13,380,حتاید,TAYD
1384-01-27,2005-04-16,399,حتاید,TAYD
1384-01-28,2005-04-17,412,حتاید,TAYD
1384-01-29,2005-04-18,404,حتاید,TAYD
1384-01-30,2005-04-19,384,حتاید,TAYD
1384-03-11,2005-06-01,398,حتاید,TAYD
1384-03-16,2005-06-06,414,حتاید,TAYD
1384-03-17,2005-06-07,397,حتاید,TAYD
1384-03-18,2005-06-08,383,حتاید,TAYD
1384-03-21,2005-06-11,374,حتاید,TAYD
1384-03-22,2005-06-12,369,حتاید,TAYD
1384-03-23,2005-06-13,372,حتاید,TAYD
1384-03-24,2005-06-14,378,حتاید,TAYD
1384-03-25,2005-06-15,381,حتاید,TAYD
1384-03-28,2005-06-18,375,حتاید,TAYD
1384-04-21,2005-07-12,306,حتاید,TAYD
1384-04-22,2005-07-13,293,حتاید,TAYD
1384-04-25,2005-07-16,294,حتاید,TAYD
1384-04-26,2005-07-17,297,حتاید,TAYD
1384-04-27,2005-07-18,297,حتاید,TAYD
1384-04-28,2005-07-19,297,حتاید,TAYD
1384-04-29,2005-07-20,297,حتاید,TAYD
1384-05-01,2005-07-23,297,حتاید,TAYD
1384-05-02,2005-07-24,297,حتاید,TAYD
1384-05-03,2005-07-25,297,حتاید,TAYD
1384-05-04,2005-07-26,297,حتاید,TAYD
1384-05-05,2005-07-27,297,حتاید,TAYD
1384-05-08,2005-07-30,297,حتاید,TAYD
1384-05-09,2005-07-31,297,حتاید,TAYD
1384-05-10,2005-08-01,294,حتاید,TAYD
1384-05-11,2005-08-02,292,حتاید,TAYD
1384-05-12,2005-08-03,293,حتاید,TAYD
1384-05-15,2005-08-06,293,حتاید,TAYD
1384-05-16,2005-08-07,290,حتاید,TAYD
1384-05-17,2005-08-08,289,حتاید,TAYD
1384-05-18,2005-08-09,288,حتاید,TAYD
1384-05-19,2005-08-10,289,حتاید,TAYD
1384-05-22,2005-08-13,285,حتاید,TAYD
1384-05-23,2005-08-14,283,حتاید,TAYD
1384-05-24,2005-08-15,277,حتاید,TAYD
1384-05-25,2005-08-16,280,حتاید,TAYD
1384-05-26,2005-08-17,282,حتاید,TAYD
1384-05-29,2005-08-20,287,حتاید,TAYD
1384-05-30,2005-08-21,295,حتاید,TAYD
1384-05-31,2005-08-22,301,حتاید,TAYD
1384-06-01,2005-08-23,304,حتاید,TAYD
1384-06-02,2005-08-24,307,حتاید,TAYD
1384-06-05,2005-08-27,317,حتاید,TAYD
1384-06-06,2005-08-28,327,حتاید,TAYD
1384-06-07,2005-08-29,325,حتاید,TAYD
1384-06-08,2005-08-30,318,حتاید,TAYD
1384-06-27,2005-09-18,197,حتاید,TAYD
1384-06-28,2005-09-19,196,حتاید,TAYD
1384-06-30,2005-09-21,188,حتاید,TAYD
1384-07-02,2005-09-24,188,حتاید,TAYD
1384-07-03,2005-09-25,186,حتاید,TAYD
1384-07-04,2005-09-26,184,حتاید,TAYD
1384-07-05,2005-09-27,183,حتاید,TAYD
1384-07-06,2005-09-28,181,حتاید,TAYD
1384-07-09,2005-10-01,179,حتاید,TAYD
1384-07-10,2005-10-02,174,حتاید,TAYD
1384-07-11,2005-10-03,168,حتاید,TAYD
1384-07-12,2005-10-04,167,حتاید,TAYD
1384-07-13,2005-10-05,166,حتاید,TAYD
1384-07-16,2005-10-08,167,حتاید,TAYD
1384-07-17,2005-10-09,169,حتاید,TAYD
1384-07-18,2005-10-10,172,حتاید,TAYD
1384-07-19,2005-10-11,172,حتاید,TAYD
1384-07-20,2005-10-12,172,حتاید,TAYD
1384-07-23,2005-10-15,171,حتاید,TAYD
1384-07-24,2005-10-16,171,حتاید,TAYD
1384-07-25,2005-10-17,169,حتاید,TAYD
1384-07-26,2005-10-18,167,حتاید,TAYD
1384-07-27,2005-10-19,167,حتاید,TAYD
1384-07-30,2005-10-22,166,حتاید,TAYD
1384-08-01,2005-10-23,166,حتاید,TAYD
1384-08-02,2005-10-24,166,حتاید,TAYD
1384-08-04,2005-10-26,166,حتاید,TAYD
1384-08-07,2005-10-29,164,حتاید,TAYD
1384-08-08,2005-10-30,163,حتاید,TAYD
1384-08-09,2005-10-31,160,حتاید,TAYD
1384-08-10,2005-11-01,159,حتاید,TAYD
1384-08-11,2005-11-02,152,حتاید,TAYD
1384-08-14,2005-11-05,152,حتاید,TAYD
1384-08-15,2005-11-06,151,حتاید,TAYD
1384-08-16,2005-11-07,150,حتاید,TAYD
1384-08-17,2005-11-08,148,حتاید,TAYD
1384-08-18,2005-11-09,145,حتاید,TAYD
1384-08-21,2005-11-12,146,حتاید,TAYD
1384-08-22,2005-11-13,146,حتاید,TAYD
1384-08-23,2005-11-14,146,حتاید,TAYD
1384-08-24,2005-11-15,146,حتاید,TAYD
1384-08-25,2005-11-16,146,حتاید,TAYD
1384-08-28,2005-11-19,147,حتاید,TAYD
1384-08-29,2005-11-20,147,حتاید,TAYD
1384-08-30,2005-11-21,148,حتاید,TAYD
1384-09-01,2005-11-22,148,حتاید,TAYD
1384-09-02,2005-11-23,149,حتاید,TAYD
1384-09-05,2005-11-26,151,حتاید,TAYD
1384-09-06,2005-11-27,158,حتاید,TAYD
1384-09-08,2005-11-29,165,حتاید,TAYD
1384-09-09,2005-11-30,172,حتاید,TAYD
1384-09-12,2005-12-03,181,حتاید,TAYD
1384-09-13,2005-12-04,190,حتاید,TAYD
1384-09-14,2005-12-05,199,حتاید,TAYD
1384-09-15,2005-12-06,199,حتاید,TAYD
1384-09-19,2005-12-10,193,حتاید,TAYD
1384-09-20,2005-12-11,189,حتاید,TAYD
1384-09-21,2005-12-12,190,حتاید,TAYD
1384-09-22,2005-12-13,190,حتاید,TAYD
1384-09-23,2005-12-14,189,حتاید,TAYD
1384-09-26,2005-12-17,184,حتاید,TAYD
1384-09-27,2005-12-18,177,حتاید,TAYD
1384-09-28,2005-12-19,182,حتاید,TAYD
1384-09-29,2005-12-20,183,حتاید,TAYD
1384-09-30,2005-12-21,183,حتاید,TAYD
1384-10-03,2005-12-24,188,حتاید,TAYD
1384-10-04,2005-12-25,190,حتاید,TAYD
1384-10-05,2005-12-26,189,حتاید,TAYD
1384-10-06,2005-12-27,188,حتاید,TAYD
1384-10-07,2005-12-28,188,حتاید,TAYD
1384-10-10,2005-12-31,194,حتاید,TAYD
1384-10-11,2006-01-01,197,حتاید,TAYD
1384-10-12,2006-01-02,196,حتاید,TAYD
1384-10-13,2006-01-03,197,حتاید,TAYD
1384-10-14,2006-01-04,193,حتاید,TAYD
1384-10-17,2006-01-07,188,حتاید,TAYD
1384-10-18,2006-01-08,188,حتاید,TAYD
1384-10-19,2006-01-09,188,حتاید,TAYD
1384-10-20,2006-01-10,187,حتاید,TAYD
1384-10-24,2006-01-14,177,حتاید,TAYD
1384-10-25,2006-01-15,177,حتاید,TAYD
1384-10-26,2006-01-16,176,حتاید,TAYD
1384-10-27,2006-01-17,183,حتاید,TAYD
1384-10-28,2006-01-18,184,حتاید,TAYD
1384-11-01,2006-01-21,182,حتاید,TAYD
1384-11-02,2006-01-22,181,حتاید,TAYD
1384-11-03,2006-01-23,179,حتاید,TAYD
1384-11-04,2006-01-24,177,حتاید,TAYD
1384-11-05,2006-01-25,171,حتاید,TAYD
1384-11-08,2006-01-28,170,حتاید,TAYD
1384-11-09,2006-01-29,176,حتاید,TAYD
1384-11-10,2006-01-30,177,حتاید,TAYD
1384-11-11,2006-01-31,169,حتاید,TAYD
1384-11-12,2006-02-01,169,حتاید,TAYD
1384-11-15,2006-02-04,168,حتاید,TAYD
1384-11-16,2006-02-05,167,حتاید,TAYD
1384-11-17,2006-02-06,159,حتاید,TAYD
1384-11-18,2006-02-07,158,حتاید,TAYD
1384-11-23,2006-02-12,156,حتاید,TAYD
1384-11-24,2006-02-13,151,حتاید,TAYD
1384-11-25,2006-02-14,149,حتاید,TAYD
1384-11-26,2006-02-15,150,حتاید,TAYD
1384-11-29,2006-02-18,151,حتاید,TAYD
1384-11-30,2006-02-19,152,حتاید,TAYD
1384-12-01,2006-02-20,154,حتاید,TAYD
1384-12-02,2006-02-21,155,حتاید,TAYD
1384-12-03,2006-02-22,157,حتاید,TAYD
1384-12-06,2006-02-25,157,حتاید,TAYD
1384-12-07,2006-02-26,156,حتاید,TAYD
1384-12-08,2006-02-27,159,حتاید,TAYD
1384-12-09,2006-02-28,162,حتاید,TAYD
1384-12-10,2006-03-01,160,حتاید,TAYD
1384-12-13,2006-03-04,157,حتاید,TAYD
1384-12-14,2006-03-05,156,حتاید,TAYD
1384-12-15,2006-03-06,156,حتاید,TAYD
1384-12-16,2006-03-07,158,حتاید,TAYD
1384-12-17,2006-03-08,159,حتاید,TAYD
1384-12-20,2006-03-11,156,حتاید,TAYD
1384-12-21,2006-03-12,154,حتاید,TAYD
1384-12-22,2006-03-13,157,حتاید,TAYD
1384-12-23,2006-03-14,160,حتاید,TAYD
1384-12-24,2006-03-15,163,حتاید,TAYD
1384-12-27,2006-03-18,166,حتاید,TAYD
1384-12-28,2006-03-19,169,حتاید,TAYD
1385-01-05,2006-03-25,169,حتاید,TAYD
1385-01-06,2006-03-26,168,حتاید,TAYD
1385-01-07,2006-03-27,168,حتاید,TAYD
1385-01-08,2006-03-28,168,حتاید,TAYD
1385-01-14,2006-04-03,168,حتاید,TAYD
1385-01-15,2006-04-04,167,حتاید,TAYD
1385-01-16,2006-04-05,167,حتاید,TAYD
1385-01-19,2006-04-08,167,حتاید,TAYD
1385-01-20,2006-04-09,165,حتاید,TAYD
1385-01-21,2006-04-10,164,حتاید,TAYD
1385-01-22,2006-04-11,163,حتاید,TAYD
1385-01-23,2006-04-12,162,حتاید,TAYD
1385-01-26,2006-04-15,162,حتاید,TAYD
1385-01-28,2006-04-17,161,حتاید,TAYD
1385-01-29,2006-04-18,161,حتاید,TAYD
1385-01-30,2006-04-19,159,حتاید,TAYD
1385-02-02,2006-04-22,158,حتاید,TAYD
1385-02-03,2006-04-23,159,حتاید,TAYD
1385-02-04,2006-04-24,160,حتاید,TAYD
1385-02-05,2006-04-25,159,حتاید,TAYD
1385-02-06,2006-04-26,158,حتاید,TAYD
1385-02-09,2006-04-29,158,حتاید,TAYD
1385-02-10,2006-04-30,160,حتاید,TAYD
1385-02-11,2006-05-01,162,حتاید,TAYD
1385-02-12,2006-05-02,164,حتاید,TAYD
1385-02-13,2006-05-03,164,حتاید,TAYD
1385-02-16,2006-05-06,165,حتاید,TAYD
1385-02-17,2006-05-07,165,حتاید,TAYD
1385-02-18,2006-05-08,164,حتاید,TAYD
1385-02-19,2006-05-09,164,حتاید,TAYD
1385-02-20,2006-05-10,164,حتاید,TAYD
1385-02-23,2006-05-13,167,حتاید,TAYD
1385-02-24,2006-05-14,166,حتاید,TAYD
1385-02-25,2006-05-15,165,حتاید,TAYD
1385-02-26,2006-05-16,165,حتاید,TAYD
1385-02-27,2006-05-17,165,حتاید,TAYD
1385-02-30,2006-05-20,164,حتاید,TAYD
1385-02-31,2006-05-21,162,حتاید,TAYD
1385-03-01,2006-05-22,162,حتاید,TAYD
1385-03-02,2006-05-23,161,حتاید,TAYD
1385-03-03,2006-05-24,162,حتاید,TAYD
1385-03-06,2006-05-27,162,حتاید,TAYD
1385-03-07,2006-05-28,161,حتاید,TAYD
1385-03-08,2006-05-29,160,حتاید,TAYD
1385-03-09,2006-05-30,160,حتاید,TAYD
1385-03-10,2006-05-31,157,حتاید,TAYD
1385-03-13,2006-06-03,156,حتاید,TAYD
1385-03-16,2006-06-06,156,حتاید,TAYD
1385-03-17,2006-06-07,159,حتاید,TAYD
1385-03-20,2006-06-10,157,حتاید,TAYD
1385-04-20,2006-07-11,133,حتاید,TAYD
1385-04-21,2006-07-12,132,حتاید,TAYD
1385-04-24,2006-07-15,130,حتاید,TAYD
1385-04-25,2006-07-16,130,حتاید,TAYD
1385-04-26,2006-07-17,130,حتاید,TAYD
1385-04-27,2006-07-18,129,حتاید,TAYD
1385-04-28,2006-07-19,129,حتاید,TAYD
1385-04-31,2006-07-22,127,حتاید,TAYD
1385-05-01,2006-07-23,129,حتاید,TAYD
1385-05-02,2006-07-24,130,حتاید,TAYD
1385-05-03,2006-07-25,130,حتاید,TAYD
1385-05-04,2006-07-26,131,حتاید,TAYD
1385-05-07,2006-07-29,131,حتاید,TAYD
1385-05-08,2006-07-30,134,حتاید,TAYD
1385-05-09,2006-07-31,134,حتاید,TAYD
1385-05-10,2006-08-01,132,حتاید,TAYD
1385-05-11,2006-08-02,129,حتاید,TAYD
1385-05-14,2006-08-05,128,حتاید,TAYD
1385-05-15,2006-08-06,130,حتاید,TAYD
1385-05-16,2006-08-07,130,حتاید,TAYD
1385-05-18,2006-08-09,129,حتاید,TAYD
1385-05-21,2006-08-12,128,حتاید,TAYD
1385-05-22,2006-08-13,127,حتاید,TAYD
1385-05-23,2006-08-14,126,حتاید,TAYD
1385-05-24,2006-08-15,127,حتاید,TAYD
1385-05-25,2006-08-16,129,حتاید,TAYD
1385-05-28,2006-08-19,129,حتاید,TAYD
1385-05-29,2006-08-20,128,حتاید,TAYD
1385-05-30,2006-08-21,129,حتاید,TAYD
1385-06-01,2006-08-23,131,حتاید,TAYD
1385-06-04,2006-08-26,133,حتاید,TAYD
1385-06-05,2006-08-27,135,حتاید,TAYD
1385-06-06,2006-08-28,135,حتاید,TAYD
1385-06-07,2006-08-29,133,حتاید,TAYD
1385-06-08,2006-08-30,136,حتاید,TAYD
1385-06-11,2006-09-02,138,حتاید,TAYD
1385-06-12,2006-09-03,140,حتاید,TAYD
1385-06-13,2006-09-04,140,حتاید,TAYD
1385-06-14,2006-09-05,141,حتاید,TAYD
1385-06-15,2006-09-06,143,حتاید,TAYD
1385-06-19,2006-09-10,142,حتاید,TAYD
1385-06-20,2006-09-11,145,حتاید,TAYD
1385-06-21,2006-09-12,145,حتاید,TAYD
1385-06-22,2006-09-13,148,حتاید,TAYD
1385-06-25,2006-09-16,151,حتاید,TAYD
1385-06-26,2006-09-17,153,حتاید,TAYD
1385-06-27,2006-09-18,153,حتاید,TAYD
1385-06-28,2006-09-19,155,حتاید,TAYD
1385-06-29,2006-09-20,156,حتاید,TAYD
1385-07-01,2006-09-23,158,حتاید,TAYD
1385-07-02,2006-09-24,160,حتاید,TAYD
1385-07-03,2006-09-25,160,حتاید,TAYD
1385-07-04,2006-09-26,160,حتاید,TAYD
1385-07-05,2006-09-27,161,حتاید,TAYD
1385-07-08,2006-09-30,162,حتاید,TAYD
1385-07-09,2006-10-01,163,حتاید,TAYD
1385-07-10,2006-10-02,165,حتاید,TAYD
1385-07-11,2006-10-03,164,حتاید,TAYD
1385-07-12,2006-10-04,165,حتاید,TAYD
1385-07-15,2006-10-07,164,حتاید,TAYD
1385-07-16,2006-10-08,163,حتاید,TAYD
1385-07-17,2006-10-09,163,حتاید,TAYD
1385-07-18,2006-10-10,163,حتاید,TAYD
1385-07-19,2006-10-11,163,حتاید,TAYD
1385-07-22,2006-10-14,163,حتاید,TAYD
1385-07-24,2006-10-16,162,حتاید,TAYD
1385-07-25,2006-10-17,162,حتاید,TAYD
1385-07-26,2006-10-18,162,حتاید,TAYD
1385-07-29,2006-10-21,162,حتاید,TAYD
1385-07-30,2006-10-22,162,حتاید,TAYD
1385-08-01,2006-10-23,159,حتاید,TAYD
1385-08-06,2006-10-28,156,حتاید,TAYD
1385-08-07,2006-10-29,156,حتاید,TAYD
1385-08-08,2006-10-30,156,حتاید,TAYD
1385-08-09,2006-10-31,155,حتاید,TAYD
1385-08-10,2006-11-01,155,حتاید,TAYD
1385-08-14,2006-11-05,155,حتاید,TAYD
1385-08-16,2006-11-07,155,حتاید,TAYD
1385-08-17,2006-11-08,152,حتاید,TAYD
1385-08-20,2006-11-11,149,حتاید,TAYD
1385-08-21,2006-11-12,146,حتاید,TAYD
1385-08-22,2006-11-13,145,حتاید,TAYD
1385-08-23,2006-11-14,143,حتاید,TAYD
1385-08-24,2006-11-15,144,حتاید,TAYD
1385-08-27,2006-11-18,144,حتاید,TAYD
1385-08-28,2006-11-19,144,حتاید,TAYD
1385-08-29,2006-11-20,144,حتاید,TAYD
1385-08-30,2006-11-21,141,حتاید,TAYD
1385-09-01,2006-11-22,140,حتاید,TAYD
1385-09-14,2006-12-05,126,حتاید,TAYD
1385-09-15,2006-12-06,123,حتاید,TAYD
1385-09-18,2006-12-09,121,حتاید,TAYD
1385-09-19,2006-12-10,120,حتاید,TAYD
1385-09-20,2006-12-11,120,حتاید,TAYD
1385-09-21,2006-12-12,120,حتاید,TAYD
1385-09-25,2006-12-16,120,حتاید,TAYD
1385-09-26,2006-12-17,119,حتاید,TAYD
1385-09-28,2006-12-19,119,حتاید,TAYD
1385-09-29,2006-12-20,119,حتاید,TAYD
1385-10-02,2006-12-23,119,حتاید,TAYD
1385-10-04,2006-12-25,119,حتاید,TAYD
1385-10-05,2006-12-26,119,حتاید,TAYD
1385-10-06,2006-12-27,119,حتاید,TAYD
1385-10-09,2006-12-30,117,حتاید,TAYD
1385-10-11,2007-01-01,117,حتاید,TAYD
1385-10-12,2007-01-02,117,حتاید,TAYD
1385-10-13,2007-01-03,116,حتاید,TAYD
1385-10-16,2007-01-06,114,حتاید,TAYD
1385-10-17,2007-01-07,113,حتاید,TAYD
1385-10-19,2007-01-09,112,حتاید,TAYD
1385-10-20,2007-01-10,112,حتاید,TAYD
1385-10-23,2007-01-13,111,حتاید,TAYD
1385-10-24,2007-01-14,111,حتاید,TAYD
1385-10-25,2007-01-15,111,حتاید,TAYD
1385-10-26,2007-01-16,110,حتاید,TAYD
1385-10-27,2007-01-17,109,حتاید,TAYD
1385-10-30,2007-01-20,109,حتاید,TAYD
1385-11-04,2007-01-24,109,حتاید,TAYD
1385-11-07,2007-01-27,109,حتاید,TAYD
1385-11-08,2007-01-28,109,حتاید,TAYD
1385-11-11,2007-01-31,109,حتاید,TAYD
1385-11-15,2007-02-04,109,حتاید,TAYD
1385-11-16,2007-02-05,109,حتاید,TAYD
1385-11-17,2007-02-06,109,حتاید,TAYD
1385-11-18,2007-02-07,109,حتاید,TAYD
1385-11-23,2007-02-12,109,حتاید,TAYD
1385-11-24,2007-02-13,108,حتاید,TAYD
1385-11-25,2007-02-14,107,حتاید,TAYD
1385-11-28,2007-02-17,105,حتاید,TAYD
1385-11-29,2007-02-18,103,حتاید,TAYD
1385-11-30,2007-02-19,103,حتاید,TAYD
1385-12-01,2007-02-20,104,حتاید,TAYD
1385-12-02,2007-02-21,105,حتاید,TAYD
1385-12-05,2007-02-24,105,حتاید,TAYD
1385-12-06,2007-02-25,104,حتاید,TAYD
1385-12-07,2007-02-26,104,حتاید,TAYD
1385-12-08,2007-02-27,103,حتاید,TAYD
1385-12-09,2007-02-28,103,حتاید,TAYD
1385-12-12,2007-03-03,101,حتاید,TAYD
1385-12-13,2007-03-04,100,حتاید,TAYD
1385-12-14,2007-03-05,100,حتاید,TAYD
1385-12-15,2007-03-06,99,حتاید,TAYD
1385-12-16,2007-03-07,99,حتاید,TAYD
1385-12-20,2007-03-11,98,حتاید,TAYD
1385-12-21,2007-03-12,98,حتاید,TAYD
1385-12-22,2007-03-13,98,حتاید,TAYD
1385-12-23,2007-03-14,98,حتاید,TAYD
1385-12-26,2007-03-17,98,حتاید,TAYD
1385-12-28,2007-03-19,98,حتاید,TAYD
1386-01-05,2007-03-25,98,حتاید,TAYD
1386-01-06,2007-03-26,98,حتاید,TAYD
1386-01-07,2007-03-27,98,حتاید,TAYD
1386-01-08,2007-03-28,98,حتاید,TAYD
1386-01-11,2007-03-31,99,حتاید,TAYD
1386-01-14,2007-04-03,99,حتاید,TAYD
1386-01-15,2007-04-04,100,حتاید,TAYD
1386-01-18,2007-04-07,101,حتاید,TAYD
1386-01-19,2007-04-08,101,حتاید,TAYD
1386-01-20,2007-04-09,101,حتاید,TAYD
1386-01-21,2007-04-10,101,حتاید,TAYD
1386-01-22,2007-04-11,101,حتاید,TAYD
1386-01-25,2007-04-14,103,حتاید,TAYD
1386-01-26,2007-04-15,103,حتاید,TAYD
1386-01-27,2007-04-16,103,حتاید,TAYD
1386-01-28,2007-04-17,102,حتاید,TAYD
1386-01-29,2007-04-18,102,حتاید,TAYD
1386-02-01,2007-04-21,102,حتاید,TAYD
1386-02-02,2007-04-22,101,حتاید,TAYD
1386-02-03,2007-04-23,101,حتاید,TAYD
1386-02-04,2007-04-24,101,حتاید,TAYD
1386-02-05,2007-04-25,100,حتاید,TAYD
1386-02-08,2007-04-28,99,حتاید,TAYD
1386-02-09,2007-04-29,98,حتاید,TAYD
1386-02-10,2007-04-30,97,حتاید,TAYD
1386-02-11,2007-05-01,97,حتاید,TAYD
1386-02-12,2007-05-02,99,حتاید,TAYD
1386-02-15,2007-05-05,99,حتاید,TAYD
1386-02-16,2007-05-06,99,حتاید,TAYD
1386-02-17,2007-05-07,98,حتاید,TAYD
1386-02-18,2007-05-08,98,حتاید,TAYD
1386-02-19,2007-05-09,97,حتاید,TAYD
1386-02-22,2007-05-12,97,حتاید,TAYD
1386-02-23,2007-05-13,97,حتاید,TAYD
1386-02-24,2007-05-14,97,حتاید,TAYD
1386-02-25,2007-05-15,98,حتاید,TAYD
1386-02-26,2007-05-16,98,حتاید,TAYD
1386-03-13,2007-06-03,105,حتاید,TAYD
1386-03-16,2007-06-06,106,حتاید,TAYD
1386-03-19,2007-06-09,108,حتاید,TAYD
1386-03-20,2007-06-10,109,حتاید,TAYD
1386-03-21,2007-06-11,109,حتاید,TAYD
1386-03-22,2007-06-12,110,حتاید,TAYD
1386-03-23,2007-06-13,110,حتاید,TAYD
