J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-12-24,2023-03-15,7531,وتوسکا,TDIP
1401-12-27,2023-03-18,7305,وتوسکا,TDIP
1401-12-28,2023-03-19,7276,وتوسکا,TDIP
1402-01-05,2023-03-25,7135,وتوسکا,TDIP
1402-01-06,2023-03-26,7107,وتوسکا,TDIP
1402-01-07,2023-03-27,7107,وتوسکا,TDIP
1402-01-08,2023-03-28,7098,وتوسکا,TDIP
1402-01-09,2023-03-29,7069,وتوسکا,TDIP
1402-01-14,2023-04-03,7041,وتوسکا,TDIP
1402-01-15,2023-04-04,7418,وتوسکا,TDIP
1402-01-16,2023-04-05,7446,وتوسکا,TDIP
1402-01-19,2023-04-08,7465,وتوسکا,TDIP
1402-01-20,2023-04-09,7474,وتوسکا,TDIP
1402-01-21,2023-04-10,7512,وتوسکا,TDIP
1402-01-22,2023-04-11,7549,وتوسکا,TDIP
1402-01-26,2023-04-15,7559,وتوسکا,TDIP
1402-01-27,2023-04-16,7596,وتوسکا,TDIP
1402-01-28,2023-04-17,7606,وتوسکا,TDIP
1402-01-29,2023-04-18,7615,وتوسکا,TDIP
1402-01-30,2023-04-19,7653,وتوسکا,TDIP
1402-02-04,2023-04-24,7662,وتوسکا,TDIP
1402-02-05,2023-04-25,7672,وتوسکا,TDIP
1402-02-06,2023-04-26,7672,وتوسکا,TDIP
1402-02-09,2023-04-29,7681,وتوسکا,TDIP
1402-02-10,2023-04-30,7691,وتوسکا,TDIP
1402-02-11,2023-05-01,7851,وتوسکا,TDIP
1402-02-12,2023-05-02,7709,وتوسکا,TDIP
1402-02-13,2023-05-03,7719,وتوسکا,TDIP
1402-02-16,2023-05-06,7888,وتوسکا,TDIP
1402-02-17,2023-05-07,7945,وتوسکا,TDIP
1402-02-23,2023-05-13,7954,وتوسکا,TDIP
1402-02-27,2023-05-17,8190,وتوسکا,TDIP
1402-03-10,2023-05-31,11330,وتوسکا,TDIP
1402-03-13,2023-06-03,11380,وتوسکا,TDIP
1402-03-16,2023-06-06,11710,وتوسکا,TDIP
1402-03-17,2023-06-07,11940,وتوسکا,TDIP
1402-03-20,2023-06-10,11590,وتوسکا,TDIP
1402-03-21,2023-06-11,11670,وتوسکا,TDIP
1402-03-22,2023-06-12,11640,وتوسکا,TDIP
1402-03-23,2023-06-13,11610,وتوسکا,TDIP
1402-03-24,2023-06-14,11750,وتوسکا,TDIP
1402-03-27,2023-06-17,11940,وتوسکا,TDIP
