J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-09-10,2003-12-01,262,وتوس,TGOS
1382-09-11,2003-12-02,275,وتوس,TGOS
1382-09-12,2003-12-03,289,وتوس,TGOS
1382-09-16,2003-12-07,304,وتوس,TGOS
1382-09-17,2003-12-08,319,وتوس,TGOS
1382-09-18,2003-12-09,335,وتوس,TGOS
1382-09-19,2003-12-10,351,وتوس,TGOS
1382-09-22,2003-12-13,368,وتوس,TGOS
1382-09-23,2003-12-14,377,وتوس,TGOS
1382-09-24,2003-12-15,364,وتوس,TGOS
1382-09-25,2003-12-16,353,وتوس,TGOS
1382-09-26,2003-12-17,348,وتوس,TGOS
1382-09-30,2003-12-21,331,وتوس,TGOS
1382-10-01,2003-12-22,330,وتوس,TGOS
1382-10-02,2003-12-23,347,وتوس,TGOS
1382-10-03,2003-12-24,364,وتوس,TGOS
1382-10-06,2003-12-27,364,وتوس,TGOS
1382-10-07,2003-12-28,371,وتوس,TGOS
1382-10-08,2003-12-29,372,وتوس,TGOS
1382-10-09,2003-12-30,369,وتوس,TGOS
1382-10-10,2003-12-31,359,وتوس,TGOS
1382-10-13,2004-01-03,356,وتوس,TGOS
1382-10-14,2004-01-04,356,وتوس,TGOS
1382-10-15,2004-01-05,354,وتوس,TGOS
1382-10-22,2004-01-12,392,وتوس,TGOS
1382-11-08,2004-01-28,392,وتوس,TGOS
1382-11-11,2004-01-31,396,وتوس,TGOS
1382-11-12,2004-02-01,397,وتوس,TGOS
1382-11-14,2004-02-03,395,وتوس,TGOS
1382-11-15,2004-02-04,394,وتوس,TGOS
1382-11-18,2004-02-07,393,وتوس,TGOS
1382-11-19,2004-02-08,392,وتوس,TGOS
1382-11-20,2004-02-09,375,وتوس,TGOS
1382-11-25,2004-02-14,374,وتوس,TGOS
1382-11-26,2004-02-15,355,وتوس,TGOS
1382-11-27,2004-02-16,353,وتوس,TGOS
1382-11-28,2004-02-17,337,وتوس,TGOS
1382-11-29,2004-02-18,321,وتوس,TGOS
1382-12-02,2004-02-21,332,وتوس,TGOS
1382-12-03,2004-02-22,347,وتوس,TGOS
1382-12-04,2004-02-23,363,وتوس,TGOS
1382-12-05,2004-02-24,356,وتوس,TGOS
1382-12-06,2004-02-25,371,وتوس,TGOS
1382-12-09,2004-02-28,389,وتوس,TGOS
1382-12-10,2004-02-29,409,وتوس,TGOS
1382-12-13,2004-03-03,429,وتوس,TGOS
1382-12-16,2004-03-06,427,وتوس,TGOS
1382-12-17,2004-03-07,432,وتوس,TGOS
1382-12-18,2004-03-08,449,وتوس,TGOS
1382-12-19,2004-03-09,444,وتوس,TGOS
1382-12-20,2004-03-10,452,وتوس,TGOS
1382-12-23,2004-03-13,471,وتوس,TGOS
1382-12-24,2004-03-14,492,وتوس,TGOS
1382-12-25,2004-03-15,516,وتوس,TGOS
1382-12-26,2004-03-16,523,وتوس,TGOS
1382-12-27,2004-03-17,523,وتوس,TGOS
1383-01-08,2004-03-27,517,وتوس,TGOS
1383-01-09,2004-03-28,495,وتوس,TGOS
1383-01-10,2004-03-29,471,وتوس,TGOS
1383-01-11,2004-03-30,454,وتوس,TGOS
1383-01-15,2004-04-03,474,وتوس,TGOS
1383-01-16,2004-04-04,497,وتوس,TGOS
1383-01-17,2004-04-05,497,وتوس,TGOS
1383-01-18,2004-04-06,497,وتوس,TGOS
1383-01-19,2004-04-07,521,وتوس,TGOS
1383-01-22,2004-04-10,554,وتوس,TGOS
1383-01-24,2004-04-12,562,وتوس,TGOS
1383-01-25,2004-04-13,542,وتوس,TGOS
1383-01-26,2004-04-14,549,وتوس,TGOS
1383-01-29,2004-04-17,571,وتوس,TGOS
1383-01-30,2004-04-18,599,وتوس,TGOS
1383-02-02,2004-04-21,629,وتوس,TGOS
1383-02-05,2004-04-24,660,وتوس,TGOS
1383-02-06,2004-04-25,682,وتوس,TGOS
1383-02-07,2004-04-26,716,وتوس,TGOS
1383-02-08,2004-04-27,702,وتوس,TGOS
1383-02-09,2004-04-28,702,وتوس,TGOS
1383-02-12,2004-05-01,710,وتوس,TGOS
1383-02-13,2004-05-02,704,وتوس,TGOS
1383-02-14,2004-05-03,694,وتوس,TGOS
1383-02-15,2004-05-04,726,وتوس,TGOS
1383-02-16,2004-05-05,763,وتوس,TGOS
1383-02-19,2004-05-08,780,وتوس,TGOS
1383-03-18,2004-06-07,827,وتوس,TGOS
1383-03-19,2004-06-08,835,وتوس,TGOS
1383-03-20,2004-06-09,843,وتوس,TGOS
1383-03-23,2004-06-12,877,وتوس,TGOS
1383-03-24,2004-06-13,836,وتوس,TGOS
1383-03-25,2004-06-14,828,وتوس,TGOS
1383-03-26,2004-06-15,838,وتوس,TGOS
1383-03-27,2004-06-16,817,وتوس,TGOS
1383-03-30,2004-06-19,781,وتوس,TGOS
1383-03-31,2004-06-20,747,وتوس,TGOS
1383-04-01,2004-06-21,742,وتوس,TGOS
1383-04-02,2004-06-22,762,وتوس,TGOS
1383-04-03,2004-06-23,780,وتوس,TGOS
1383-04-06,2004-06-26,815,وتوس,TGOS
1383-04-07,2004-06-27,793,وتوس,TGOS
1383-04-08,2004-06-28,755,وتوس,TGOS
1383-04-09,2004-06-29,718,وتوس,TGOS
1383-04-10,2004-06-30,719,وتوس,TGOS
1383-04-13,2004-07-03,725,وتوس,TGOS
1383-04-14,2004-07-04,695,وتوس,TGOS
1383-04-15,2004-07-05,714,وتوس,TGOS
1383-04-16,2004-07-06,749,وتوس,TGOS
1383-04-17,2004-07-07,747,وتوس,TGOS
1383-04-20,2004-07-10,751,وتوس,TGOS
1383-04-21,2004-07-11,784,وتوس,TGOS
1383-04-22,2004-07-12,823,وتوس,TGOS
1383-04-23,2004-07-13,864,وتوس,TGOS
1383-04-24,2004-07-14,907,وتوس,TGOS
1383-04-27,2004-07-17,953,وتوس,TGOS
1383-04-28,2004-07-18,971,وتوس,TGOS
1383-04-29,2004-07-19,932,وتوس,TGOS
1383-04-30,2004-07-20,969,وتوس,TGOS
1383-05-03,2004-07-24,1018,وتوس,TGOS
1383-05-04,2004-07-25,1068,وتوس,TGOS
1383-05-07,2004-07-28,1273,وتوس,TGOS
1383-05-10,2004-07-31,1321,وتوس,TGOS
1383-05-11,2004-08-01,1322,وتوس,TGOS
1383-05-12,2004-08-02,1386,وتوس,TGOS
1383-05-13,2004-08-03,1438,وتوس,TGOS
1383-05-14,2004-08-04,1510,وتوس,TGOS
1383-05-17,2004-08-07,1451,وتوس,TGOS
1383-05-18,2004-08-08,1383,وتوس,TGOS
1383-05-19,2004-08-09,1389,وتوس,TGOS
