J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-12-21,2023-03-12,1495,بتهران,THRP
1401-12-22,2023-03-13,1451,بتهران,THRP
1401-12-23,2023-03-14,1408,بتهران,THRP
1401-12-24,2023-03-15,1379,بتهران,THRP
1401-12-27,2023-03-18,1341,بتهران,THRP
1401-12-28,2023-03-19,1314,بتهران,THRP
1402-01-05,2023-03-25,1308,بتهران,THRP
1402-01-06,2023-03-26,1362,بتهران,THRP
1402-01-07,2023-03-27,1384,بتهران,THRP
1402-01-08,2023-03-28,1403,بتهران,THRP
1402-01-09,2023-03-29,1445,بتهران,THRP
1402-01-14,2023-04-03,1487,بتهران,THRP
1402-01-15,2023-04-04,1531,بتهران,THRP
1402-01-16,2023-04-05,1576,بتهران,THRP
1402-01-19,2023-04-08,1581,بتهران,THRP
1402-01-20,2023-04-09,1661,بتهران,THRP
1402-01-21,2023-04-10,1680,بتهران,THRP
1402-01-22,2023-04-11,1746,بتهران,THRP
1402-01-26,2023-04-15,1718,بتهران,THRP
1402-01-27,2023-04-16,1801,بتهران,THRP
1402-01-28,2023-04-17,1782,بتهران,THRP
1402-01-29,2023-04-18,1833,بتهران,THRP
1402-01-30,2023-04-19,1859,بتهران,THRP
1402-02-04,2023-04-24,1820,بتهران,THRP
1402-02-05,2023-04-25,1789,بتهران,THRP
1402-02-06,2023-04-26,1878,بتهران,THRP
1402-02-09,2023-04-29,1874,بتهران,THRP
1402-02-10,2023-04-30,1865,بتهران,THRP
1402-02-11,2023-05-01,1828,بتهران,THRP
1402-02-12,2023-05-02,1881,بتهران,THRP
1402-02-13,2023-05-03,1824,بتهران,THRP
1402-02-16,2023-05-06,1809,بتهران,THRP
1402-02-17,2023-05-07,1748,بتهران,THRP
1402-02-18,2023-05-08,1700,بتهران,THRP
1402-02-19,2023-05-09,1659,بتهران,THRP
1402-02-20,2023-05-10,1613,بتهران,THRP
1402-02-23,2023-05-13,1562,بتهران,THRP
1402-02-24,2023-05-14,1545,بتهران,THRP
1402-02-25,2023-05-15,1595,بتهران,THRP
1402-02-27,2023-05-17,1615,بتهران,THRP
1402-02-30,2023-05-20,1616,بتهران,THRP
1402-02-31,2023-05-21,1610,بتهران,THRP
1402-03-01,2023-05-22,1603,بتهران,THRP
1402-03-02,2023-05-23,1635,بتهران,THRP
1402-03-03,2023-05-24,1650,بتهران,THRP
1402-03-06,2023-05-27,1630,بتهران,THRP
1402-03-07,2023-05-28,1594,بتهران,THRP
1402-03-08,2023-05-29,1645,بتهران,THRP
1402-03-09,2023-05-30,1684,بتهران,THRP
1402-03-10,2023-05-31,1734,بتهران,THRP
1402-03-13,2023-06-03,1786,بتهران,THRP
1402-03-16,2023-06-06,1839,بتهران,THRP
1402-03-17,2023-06-07,1894,بتهران,THRP
1402-03-20,2023-06-10,1898,بتهران,THRP
1402-03-21,2023-06-11,1917,بتهران,THRP
1402-03-22,2023-06-12,1973,بتهران,THRP
1402-03-23,2023-06-13,2026,بتهران,THRP
1402-03-24,2023-06-14,2071,بتهران,THRP
1402-03-27,2023-06-17,2132,بتهران,THRP
