J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-21,2001-04-10,8,شتهران,THSP
1380-01-22,2001-04-11,8,شتهران,THSP
1380-02-05,2001-04-25,7,شتهران,THSP
1380-02-12,2001-05-02,7,شتهران,THSP
1380-02-15,2001-05-05,7,شتهران,THSP
1380-03-05,2001-05-26,8,شتهران,THSP
1380-04-02,2001-06-23,8,شتهران,THSP
1380-04-17,2001-07-08,8,شتهران,THSP
1380-06-21,2001-09-12,8,شتهران,THSP
1380-07-21,2001-10-13,8,شتهران,THSP
1380-09-12,2001-12-03,8,شتهران,THSP
1380-11-29,2002-02-18,8,شتهران,THSP
1381-02-31,2002-05-21,11,شتهران,THSP
1381-03-07,2002-05-28,12,شتهران,THSP
1381-04-17,2002-07-08,12,شتهران,THSP
1381-05-19,2002-08-10,12,شتهران,THSP
1381-06-06,2002-08-28,12,شتهران,THSP
1381-06-27,2002-09-18,13,شتهران,THSP
1381-06-31,2002-09-22,13,شتهران,THSP
1381-08-12,2002-11-03,14,شتهران,THSP
1381-11-05,2003-01-25,18,شتهران,THSP
1382-04-02,2003-06-23,17,شتهران,THSP
1382-04-08,2003-06-29,17,شتهران,THSP
1382-04-09,2003-06-30,18,شتهران,THSP
1382-04-11,2003-07-02,19,شتهران,THSP
1382-05-20,2003-08-11,23,شتهران,THSP
1382-05-29,2003-08-20,20,شتهران,THSP
1382-06-17,2003-09-08,20,شتهران,THSP
1382-06-23,2003-09-14,20,شتهران,THSP
1382-06-26,2003-09-17,20,شتهران,THSP
1382-07-09,2003-10-01,20,شتهران,THSP
1382-08-18,2003-11-09,21,شتهران,THSP
1382-08-26,2003-11-17,22,شتهران,THSP
1382-08-28,2003-11-19,22,شتهران,THSP
1382-09-19,2003-12-10,22,شتهران,THSP
1382-09-25,2003-12-16,23,شتهران,THSP
1382-11-08,2004-01-28,23,شتهران,THSP
1382-11-11,2004-01-31,24,شتهران,THSP
1382-11-12,2004-02-01,25,شتهران,THSP
1382-11-14,2004-02-03,27,شتهران,THSP
1383-04-17,2004-07-07,27,شتهران,THSP
1383-05-11,2004-08-01,27,شتهران,THSP
1383-05-13,2004-08-03,27,شتهران,THSP
1383-08-26,2004-11-16,27,شتهران,THSP
1383-09-10,2004-11-30,28,شتهران,THSP
1383-09-11,2004-12-01,30,شتهران,THSP
1383-09-16,2004-12-06,30,شتهران,THSP
1383-09-21,2004-12-11,31,شتهران,THSP
1383-09-22,2004-12-12,31,شتهران,THSP
1383-09-30,2004-12-20,31,شتهران,THSP
1383-10-16,2005-01-05,31,شتهران,THSP
1383-10-21,2005-01-10,33,شتهران,THSP
1383-10-23,2005-01-12,33,شتهران,THSP
1383-10-26,2005-01-15,33,شتهران,THSP
1383-10-27,2005-01-16,34,شتهران,THSP
1383-10-28,2005-01-17,34,شتهران,THSP
1383-10-30,2005-01-19,35,شتهران,THSP
1383-11-06,2005-01-25,35,شتهران,THSP
1383-11-14,2005-02-02,35,شتهران,THSP
1383-11-27,2005-02-15,35,شتهران,THSP
1383-12-09,2005-02-27,35,شتهران,THSP
1383-12-22,2005-03-12,35,شتهران,THSP
1383-12-24,2005-03-14,35,شتهران,THSP
1384-01-16,2005-04-05,36,شتهران,THSP
1384-01-30,2005-04-19,36,شتهران,THSP
1384-01-31,2005-04-20,37,شتهران,THSP
1384-02-11,2005-05-01,37,شتهران,THSP
1384-02-21,2005-05-11,37,شتهران,THSP
1384-02-27,2005-05-17,38,شتهران,THSP
1384-02-28,2005-05-18,38,شتهران,THSP
1384-03-11,2005-06-01,38,شتهران,THSP
1384-04-27,2005-07-18,38,شتهران,THSP
1384-04-29,2005-07-20,38,شتهران,THSP
1384-05-02,2005-07-24,40,شتهران,THSP
1384-05-09,2005-07-31,41,شتهران,THSP
1384-05-11,2005-08-02,41,شتهران,THSP
1384-06-06,2005-08-28,41,شتهران,THSP
1384-06-19,2005-09-10,41,شتهران,THSP
1384-06-28,2005-09-19,41,شتهران,THSP
1384-06-30,2005-09-21,41,شتهران,THSP
1384-08-08,2005-10-30,41,شتهران,THSP
1384-08-16,2005-11-07,41,شتهران,THSP
1384-08-17,2005-11-08,42,شتهران,THSP
1384-08-23,2005-11-14,44,شتهران,THSP
1384-08-28,2005-11-19,46,شتهران,THSP
1384-09-26,2005-12-17,46,شتهران,THSP
1384-09-28,2005-12-19,46,شتهران,THSP
1384-10-04,2005-12-25,47,شتهران,THSP
1384-10-05,2005-12-26,47,شتهران,THSP
1384-12-06,2006-02-25,47,شتهران,THSP
1384-12-07,2006-02-26,47,شتهران,THSP
1384-12-08,2006-02-27,47,شتهران,THSP
1384-12-28,2006-03-19,48,شتهران,THSP
1385-01-07,2006-03-27,48,شتهران,THSP
1385-01-21,2006-04-10,49,شتهران,THSP
1385-02-05,2006-04-25,45,شتهران,THSP
1385-02-16,2006-05-06,45,شتهران,THSP
1385-02-17,2006-05-07,45,شتهران,THSP
1385-05-01,2006-07-23,45,شتهران,THSP
1385-05-09,2006-07-31,46,شتهران,THSP
1385-05-11,2006-08-02,46,شتهران,THSP
1385-05-14,2006-08-05,46,شتهران,THSP
1385-11-28,2007-02-17,46,شتهران,THSP
1385-12-12,2007-03-03,46,شتهران,THSP
1386-01-11,2007-03-31,46,شتهران,THSP
1386-02-15,2007-05-05,46,شتهران,THSP
1386-02-29,2007-05-19,46,شتهران,THSP
1386-04-16,2007-07-07,46,شتهران,THSP
1386-04-23,2007-07-14,46,شتهران,THSP
1386-05-13,2007-08-04,46,شتهران,THSP
1386-06-03,2007-08-25,46,شتهران,THSP
1386-06-17,2007-09-08,46,شتهران,THSP
1386-06-24,2007-09-15,46,شتهران,THSP
1386-08-12,2007-11-03,46,شتهران,THSP
1386-08-26,2007-11-17,46,شتهران,THSP
1386-09-03,2007-11-24,46,شتهران,THSP
1386-10-15,2008-01-05,46,شتهران,THSP
1386-12-11,2008-03-01,46,شتهران,THSP
1386-12-25,2008-03-15,46,شتهران,THSP
1387-01-24,2008-04-12,46,شتهران,THSP
1387-02-07,2008-04-26,46,شتهران,THSP
1387-02-28,2008-05-17,46,شتهران,THSP
1387-03-04,2008-05-24,46,شتهران,THSP
1387-03-25,2008-06-14,46,شتهران,THSP
1387-04-15,2008-07-05,46,شتهران,THSP
1387-05-26,2008-08-16,46,شتهران,THSP
1387-06-02,2008-08-23,46,شتهران,THSP
1387-06-09,2008-08-30,46,شتهران,THSP
1387-06-23,2008-09-13,46,شتهران,THSP
1388-04-09,2009-06-30,51,شتهران,THSP
1388-04-13,2009-07-04,52,شتهران,THSP
1388-04-16,2009-07-07,52,شتهران,THSP
1388-05-12,2009-08-03,53,شتهران,THSP
1388-05-17,2009-08-08,54,شتهران,THSP
1388-05-18,2009-08-09,56,شتهران,THSP
1388-05-19,2009-08-10,58,شتهران,THSP
1388-05-21,2009-08-12,59,شتهران,THSP
1388-05-25,2009-08-16,59,شتهران,THSP
1388-05-26,2009-08-17,61,شتهران,THSP
1388-05-28,2009-08-19,63,شتهران,THSP
1388-05-31,2009-08-22,65,شتهران,THSP
1388-06-02,2009-08-24,65,شتهران,THSP
1388-06-03,2009-08-25,67,شتهران,THSP
1388-06-04,2009-08-26,69,شتهران,THSP
1388-06-07,2009-08-29,71,شتهران,THSP
1388-06-08,2009-08-30,73,شتهران,THSP
1388-06-16,2009-09-07,73,شتهران,THSP
1388-06-17,2009-09-08,76,شتهران,THSP
1388-06-18,2009-09-09,78,شتهران,THSP
1388-06-22,2009-09-13,80,شتهران,THSP
1388-06-23,2009-09-14,80,شتهران,THSP
1388-06-24,2009-09-15,80,شتهران,THSP
1388-06-30,2009-09-21,83,شتهران,THSP
1388-07-05,2009-09-27,85,شتهران,THSP
1388-07-06,2009-09-28,88,شتهران,THSP
1388-07-07,2009-09-29,90,شتهران,THSP
1388-07-08,2009-09-30,91,شتهران,THSP
1388-07-11,2009-10-03,91,شتهران,THSP
1388-07-12,2009-10-04,91,شتهران,THSP
1388-07-13,2009-10-05,91,شتهران,THSP
1388-07-15,2009-10-07,91,شتهران,THSP
1388-07-18,2009-10-10,91,شتهران,THSP
1388-07-20,2009-10-12,91,شتهران,THSP
1388-07-21,2009-10-13,92,شتهران,THSP
1388-07-25,2009-10-17,92,شتهران,THSP
1388-08-02,2009-10-24,92,شتهران,THSP
1388-08-03,2009-10-25,95,شتهران,THSP
1388-08-04,2009-10-26,97,شتهران,THSP
1388-08-06,2009-10-28,98,شتهران,THSP
1388-08-10,2009-11-01,101,شتهران,THSP
1388-08-11,2009-11-02,104,شتهران,THSP
1388-08-18,2009-11-09,105,شتهران,THSP
1388-08-30,2009-11-21,105,شتهران,THSP
1388-09-01,2009-11-22,122,شتهران,THSP
1388-09-02,2009-11-23,119,شتهران,THSP
1388-09-03,2009-11-24,120,شتهران,THSP
1388-09-08,2009-11-29,120,شتهران,THSP
1388-09-09,2009-11-30,120,شتهران,THSP
1388-09-10,2009-12-01,120,شتهران,THSP
1388-09-11,2009-12-02,120,شتهران,THSP
1388-09-14,2009-12-05,121,شتهران,THSP
1388-09-22,2009-12-13,121,شتهران,THSP
1388-09-23,2009-12-14,122,شتهران,THSP
1388-09-24,2009-12-15,122,شتهران,THSP
1388-09-29,2009-12-20,122,شتهران,THSP
1388-10-12,2010-01-02,122,شتهران,THSP
1388-10-13,2010-01-03,123,شتهران,THSP
1388-10-14,2010-01-04,124,شتهران,THSP
1388-10-16,2010-01-06,124,شتهران,THSP
1388-10-19,2010-01-09,124,شتهران,THSP
1388-10-20,2010-01-10,124,شتهران,THSP
1388-10-21,2010-01-11,124,شتهران,THSP
1388-10-22,2010-01-12,124,شتهران,THSP
