J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-09-02,2013-11-23,386,شجم,TJPZ
1392-09-18,2013-12-09,309,شجم,TJPZ
1392-09-20,2013-12-11,541,شجم,TJPZ
1392-11-01,2014-01-21,559,شجم,TJPZ
1392-11-02,2014-01-22,620,شجم,TJPZ
1392-11-07,2014-01-27,559,شجم,TJPZ
1392-11-14,2014-02-03,618,شجم,TJPZ
1392-12-06,2014-02-25,572,شجم,TJPZ
1392-12-12,2014-03-03,572,شجم,TJPZ
1393-01-06,2014-03-26,572,شجم,TJPZ
1393-01-20,2014-04-09,572,شجم,TJPZ
1393-01-23,2014-04-12,572,شجم,TJPZ
1393-01-24,2014-04-13,572,شجم,TJPZ
1393-02-06,2014-04-26,572,شجم,TJPZ
1394-08-27,2015-11-18,539,شجم,TJPZ
1394-09-01,2015-11-22,560,شجم,TJPZ
1394-09-07,2015-11-28,566,شجم,TJPZ
1394-09-09,2015-11-30,571,شجم,TJPZ
1394-09-10,2015-12-01,560,شجم,TJPZ
1394-09-24,2015-12-15,576,شجم,TJPZ
1394-09-30,2015-12-21,578,شجم,TJPZ
1394-12-19,2016-03-09,566,شجم,TJPZ
1395-03-30,2016-06-19,566,شجم,TJPZ
1395-04-14,2016-07-04,566,شجم,TJPZ
1395-08-15,2016-11-05,567,شجم,TJPZ
1396-03-03,2017-05-24,623,شجم,TJPZ
1396-03-06,2017-05-27,685,شجم,TJPZ
1396-03-07,2017-05-28,754,شجم,TJPZ
1396-03-08,2017-05-29,828,شجم,TJPZ
1396-03-09,2017-05-30,911,شجم,TJPZ
1396-03-10,2017-05-31,1002,شجم,TJPZ
1396-03-16,2017-06-06,1102,شجم,TJPZ
1396-03-17,2017-06-07,1212,شجم,TJPZ
1396-03-20,2017-06-10,1332,شجم,TJPZ
1396-03-21,2017-06-11,1465,شجم,TJPZ
1396-03-22,2017-06-12,1314,شجم,TJPZ
1396-03-23,2017-06-13,1198,شجم,TJPZ
1396-03-24,2017-06-14,1317,شجم,TJPZ
1396-03-27,2017-06-17,1408,شجم,TJPZ
1396-03-28,2017-06-18,1548,شجم,TJPZ
