J-Date,Date,Adj Close,Ticker,Ticker(4)
1382-12-27,2004-03-17,126,تکنو,TKNO
1383-01-09,2004-03-28,127,تکنو,TKNO
1383-01-17,2004-04-05,133,تکنو,TKNO
1383-01-18,2004-04-06,140,تکنو,TKNO
1383-01-19,2004-04-07,147,تکنو,TKNO
1383-01-22,2004-04-10,154,تکنو,TKNO
1383-01-24,2004-04-12,162,تکنو,TKNO
1383-01-25,2004-04-13,170,تکنو,TKNO
1383-01-29,2004-04-17,179,تکنو,TKNO
1383-01-30,2004-04-18,188,تکنو,TKNO
1383-02-02,2004-04-21,197,تکنو,TKNO
1383-02-05,2004-04-24,207,تکنو,TKNO
1383-02-06,2004-04-25,217,تکنو,TKNO
1383-02-07,2004-04-26,228,تکنو,TKNO
1383-02-08,2004-04-27,239,تکنو,TKNO
1383-02-09,2004-04-28,251,تکنو,TKNO
1383-02-12,2004-05-01,257,تکنو,TKNO
1383-02-13,2004-05-02,245,تکنو,TKNO
1383-02-14,2004-05-03,257,تکنو,TKNO
1383-02-15,2004-05-04,270,تکنو,TKNO
1383-02-16,2004-05-05,276,تکنو,TKNO
1383-02-19,2004-05-08,290,تکنو,TKNO
1383-02-20,2004-05-09,304,تکنو,TKNO
1383-02-21,2004-05-10,309,تکنو,TKNO
1383-02-22,2004-05-11,324,تکنو,TKNO
1383-02-23,2004-05-12,340,تکنو,TKNO
1383-02-26,2004-05-15,357,تکنو,TKNO
1383-02-27,2004-05-16,375,تکنو,TKNO
1383-02-28,2004-05-17,394,تکنو,TKNO
1383-02-29,2004-05-18,411,تکنو,TKNO
1383-02-30,2004-05-19,428,تکنو,TKNO
1383-03-02,2004-05-22,450,تکنو,TKNO
1383-03-03,2004-05-23,458,تکنو,TKNO
1383-03-04,2004-05-24,443,تکنو,TKNO
1383-03-05,2004-05-25,422,تکنو,TKNO
1383-03-06,2004-05-26,425,تکنو,TKNO
1383-03-09,2004-05-29,444,تکنو,TKNO
1383-03-10,2004-05-30,442,تکنو,TKNO
1383-03-11,2004-05-31,428,تکنو,TKNO
1383-03-12,2004-06-01,448,تکنو,TKNO
1383-03-13,2004-06-02,471,تکنو,TKNO
1383-03-16,2004-06-05,494,تکنو,TKNO
1383-03-17,2004-06-06,517,تکنو,TKNO
1383-03-18,2004-06-07,538,تکنو,TKNO
1383-03-19,2004-06-08,551,تکنو,TKNO
1383-03-20,2004-06-09,540,تکنو,TKNO
1383-03-23,2004-06-12,514,تکنو,TKNO
1383-03-24,2004-06-13,503,تکنو,TKNO
1383-03-25,2004-06-14,525,تکنو,TKNO
1383-04-29,2004-07-19,903,تکنو,TKNO
1383-04-30,2004-07-20,906,تکنو,TKNO
1383-05-03,2004-07-24,951,تکنو,TKNO
1383-05-04,2004-07-25,992,تکنو,TKNO
1383-05-05,2004-07-26,1042,تکنو,TKNO
1383-05-06,2004-07-27,1094,تکنو,TKNO
1383-05-07,2004-07-28,1149,تکنو,TKNO
1383-05-10,2004-07-31,1206,تکنو,TKNO
1383-05-11,2004-08-01,1266,تکنو,TKNO
1383-05-12,2004-08-02,1330,تکنو,TKNO
1383-05-13,2004-08-03,1396,تکنو,TKNO
1383-05-14,2004-08-04,1466,تکنو,TKNO
1383-05-17,2004-08-07,1539,تکنو,TKNO
1383-05-18,2004-08-08,1469,تکنو,TKNO
1383-05-19,2004-08-09,1395,تکنو,TKNO
1383-05-20,2004-08-10,1370,تکنو,TKNO
1383-05-21,2004-08-11,1434,تکنو,TKNO
1383-05-24,2004-08-14,1395,تکنو,TKNO
1383-06-28,2004-09-18,419,تکنو,TKNO
1383-06-29,2004-09-19,403,تکنو,TKNO
1383-06-30,2004-09-20,383,تکنو,TKNO
1383-06-31,2004-09-21,391,تکنو,TKNO
1383-07-01,2004-09-22,410,تکنو,TKNO
1383-07-04,2004-09-25,431,تکنو,TKNO
1383-07-05,2004-09-26,453,تکنو,TKNO
1383-07-06,2004-09-27,475,تکنو,TKNO
1383-07-07,2004-09-28,490,تکنو,TKNO
1383-07-08,2004-09-29,466,تکنو,TKNO
1383-07-11,2004-10-02,446,تکنو,TKNO
1383-07-12,2004-10-03,442,تکنو,TKNO
1383-07-13,2004-10-04,430,تکنو,TKNO
1383-07-14,2004-10-05,424,تکنو,TKNO
1383-07-15,2004-10-06,403,تکنو,TKNO
1383-07-18,2004-10-09,418,تکنو,TKNO
1383-07-19,2004-10-10,417,تکنو,TKNO
1383-07-20,2004-10-11,410,تکنو,TKNO
1383-07-21,2004-10-12,400,تکنو,TKNO
1383-07-22,2004-10-13,397,تکنو,TKNO
1383-07-25,2004-10-16,392,تکنو,TKNO
1383-07-26,2004-10-17,382,تکنو,TKNO
1383-07-27,2004-10-18,363,تکنو,TKNO
1383-07-28,2004-10-19,355,تکنو,TKNO
1383-07-29,2004-10-20,339,تکنو,TKNO
1383-08-02,2004-10-23,341,تکنو,TKNO
1383-08-03,2004-10-24,356,تکنو,TKNO
1383-08-04,2004-10-25,372,تکنو,TKNO
1383-08-05,2004-10-26,391,تکنو,TKNO
1383-08-06,2004-10-27,404,تکنو,TKNO
1383-08-09,2004-10-30,384,تکنو,TKNO
1383-08-10,2004-10-31,364,تکنو,TKNO
1383-08-11,2004-11-01,348,تکنو,TKNO
1383-08-12,2004-11-02,359,تکنو,TKNO
1383-08-13,2004-11-03,363,تکنو,TKNO
1383-08-16,2004-11-06,381,تکنو,TKNO
1383-08-17,2004-11-07,396,تکنو,TKNO
1383-08-18,2004-11-08,396,تکنو,TKNO
1383-08-19,2004-11-09,393,تکنو,TKNO
1383-08-20,2004-11-10,380,تکنو,TKNO
1383-08-23,2004-11-13,366,تکنو,TKNO
1383-08-25,2004-11-15,381,تکنو,TKNO
1383-08-26,2004-11-16,397,تکنو,TKNO
1383-08-27,2004-11-17,415,تکنو,TKNO
1383-08-30,2004-11-20,432,تکنو,TKNO
1383-09-01,2004-11-21,424,تکنو,TKNO
1383-09-02,2004-11-22,410,تکنو,TKNO
1383-09-03,2004-11-23,406,تکنو,TKNO
1383-09-04,2004-11-24,405,تکنو,TKNO
1383-09-07,2004-11-27,419,تکنو,TKNO
1383-09-08,2004-11-28,412,تکنو,TKNO
1383-09-09,2004-11-29,405,تکنو,TKNO
1383-09-10,2004-11-30,404,تکنو,TKNO
1383-09-11,2004-12-01,394,تکنو,TKNO
1383-09-14,2004-12-04,381,تکنو,TKNO
1383-09-15,2004-12-05,385,تکنو,TKNO
1383-09-16,2004-12-06,402,تکنو,TKNO
1383-09-17,2004-12-07,404,تکنو,TKNO
1383-09-21,2004-12-11,402,تکنو,TKNO
1383-09-22,2004-12-12,396,تکنو,TKNO
1383-09-23,2004-12-13,376,تکنو,TKNO
1383-09-24,2004-12-14,383,تکنو,TKNO
1383-09-25,2004-12-15,396,تکنو,TKNO
1383-09-28,2004-12-18,411,تکنو,TKNO
1383-09-29,2004-12-19,413,تکنو,TKNO
1383-09-30,2004-12-20,405,تکنو,TKNO
1383-10-01,2004-12-21,385,تکنو,TKNO
1383-10-02,2004-12-22,395,تکنو,TKNO
1383-10-05,2004-12-25,399,تکنو,TKNO
1383-10-06,2004-12-26,384,تکنو,TKNO
1383-10-07,2004-12-27,391,تکنو,TKNO
1383-10-08,2004-12-28,398,تکنو,TKNO
1383-10-09,2004-12-29,397,تکنو,TKNO
1383-10-12,2005-01-01,402,تکنو,TKNO
1383-10-13,2005-01-02,389,تکنو,TKNO
1383-10-14,2005-01-03,380,تکنو,TKNO
1383-10-15,2005-01-04,372,تکنو,TKNO
1383-10-16,2005-01-05,367,تکنو,TKNO
