J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-22,2001-05-12,553,کترام,TKSM
1380-02-23,2001-05-13,556,کترام,TKSM
1380-02-25,2001-05-15,561,کترام,TKSM
1380-02-26,2001-05-16,571,کترام,TKSM
1380-02-29,2001-05-19,589,کترام,TKSM
1380-02-30,2001-05-20,589,کترام,TKSM
1380-02-31,2001-05-21,584,کترام,TKSM
1380-03-02,2001-05-23,575,کترام,TKSM
1380-03-05,2001-05-26,559,کترام,TKSM
1380-03-06,2001-05-27,559,کترام,TKSM
1380-03-07,2001-05-28,571,کترام,TKSM
1380-03-08,2001-05-29,572,کترام,TKSM
1380-03-09,2001-05-30,583,کترام,TKSM
1380-03-12,2001-06-02,582,کترام,TKSM
1380-03-13,2001-06-03,571,کترام,TKSM
1380-03-16,2001-06-06,565,کترام,TKSM
1380-03-19,2001-06-09,559,کترام,TKSM
1380-03-21,2001-06-11,559,کترام,TKSM
1380-03-22,2001-06-12,559,کترام,TKSM
1380-03-23,2001-06-13,559,کترام,TKSM
1380-03-26,2001-06-16,559,کترام,TKSM
1380-03-27,2001-06-17,559,کترام,TKSM
1380-04-18,2001-07-09,471,کترام,TKSM
1380-04-19,2001-07-10,480,کترام,TKSM
1380-04-23,2001-07-14,482,کترام,TKSM
1380-04-24,2001-07-15,483,کترام,TKSM
1380-04-25,2001-07-16,504,کترام,TKSM
1380-04-26,2001-07-17,512,کترام,TKSM
1380-04-27,2001-07-18,519,کترام,TKSM
1380-04-30,2001-07-21,530,کترام,TKSM
1380-04-31,2001-07-22,530,کترام,TKSM
1380-05-01,2001-07-23,530,کترام,TKSM
1380-05-02,2001-07-24,538,کترام,TKSM
1380-05-03,2001-07-25,541,کترام,TKSM
1380-05-07,2001-07-29,555,کترام,TKSM
1380-05-08,2001-07-30,569,کترام,TKSM
1380-05-09,2001-07-31,569,کترام,TKSM
1380-05-10,2001-08-01,569,کترام,TKSM
1380-05-14,2001-08-05,555,کترام,TKSM
1380-05-15,2001-08-06,541,کترام,TKSM
1380-05-16,2001-08-07,541,کترام,TKSM
1380-05-17,2001-08-08,530,کترام,TKSM
1380-05-20,2001-08-11,530,کترام,TKSM
1380-05-21,2001-08-12,518,کترام,TKSM
1380-05-22,2001-08-13,531,کترام,TKSM
1380-05-23,2001-08-14,544,کترام,TKSM
1380-05-24,2001-08-15,558,کترام,TKSM
1380-05-27,2001-08-18,564,کترام,TKSM
1380-05-28,2001-08-19,564,کترام,TKSM
1380-05-29,2001-08-20,559,کترام,TKSM
1380-05-30,2001-08-21,547,کترام,TKSM
1380-05-31,2001-08-22,536,کترام,TKSM
1380-06-03,2001-08-25,534,کترام,TKSM
1380-06-04,2001-08-26,524,کترام,TKSM
1380-06-05,2001-08-27,524,کترام,TKSM
1380-06-06,2001-08-28,523,کترام,TKSM
1380-06-07,2001-08-29,523,کترام,TKSM
1380-06-10,2001-09-01,530,کترام,TKSM
1380-06-13,2001-09-04,527,کترام,TKSM
1380-06-14,2001-09-05,527,کترام,TKSM
1380-06-18,2001-09-09,522,کترام,TKSM
1380-06-19,2001-09-10,518,کترام,TKSM
1380-06-20,2001-09-11,517,کترام,TKSM
1380-06-21,2001-09-12,512,کترام,TKSM
1380-06-24,2001-09-15,513,کترام,TKSM
1380-06-25,2001-09-16,517,کترام,TKSM
1380-06-28,2001-09-19,514,کترام,TKSM
1380-06-31,2001-09-22,514,کترام,TKSM
1380-07-01,2001-09-23,513,کترام,TKSM
1380-07-02,2001-09-24,512,کترام,TKSM
1380-07-04,2001-09-26,507,کترام,TKSM
1380-07-07,2001-09-29,506,کترام,TKSM
1380-07-08,2001-09-30,506,کترام,TKSM
1380-07-10,2001-10-02,506,کترام,TKSM
1380-07-11,2001-10-03,506,کترام,TKSM
1380-07-14,2001-10-06,506,کترام,TKSM
1380-07-15,2001-10-07,509,کترام,TKSM
1380-07-16,2001-10-08,511,کترام,TKSM
1380-07-17,2001-10-09,500,کترام,TKSM
1380-07-18,2001-10-10,496,کترام,TKSM
1380-07-21,2001-10-13,496,کترام,TKSM
1380-07-22,2001-10-14,500,کترام,TKSM
1380-07-25,2001-10-17,512,کترام,TKSM
