J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-05-24,2016-08-14,65,تلیسه,TLIZ
1395-05-25,2016-08-15,69,تلیسه,TLIZ
1395-05-26,2016-08-16,72,تلیسه,TLIZ
1395-05-27,2016-08-17,76,تلیسه,TLIZ
1395-05-30,2016-08-20,80,تلیسه,TLIZ
1395-05-31,2016-08-21,84,تلیسه,TLIZ
1395-06-01,2016-08-22,88,تلیسه,TLIZ
1395-06-02,2016-08-23,92,تلیسه,TLIZ
1395-06-03,2016-08-24,97,تلیسه,TLIZ
1395-06-06,2016-08-27,102,تلیسه,TLIZ
1395-06-07,2016-08-28,107,تلیسه,TLIZ
1395-06-08,2016-08-29,112,تلیسه,TLIZ
1395-06-09,2016-08-30,118,تلیسه,TLIZ
1395-06-10,2016-08-31,122,تلیسه,TLIZ
1395-06-13,2016-09-03,117,تلیسه,TLIZ
1395-06-14,2016-09-04,111,تلیسه,TLIZ
1395-06-15,2016-09-05,106,تلیسه,TLIZ
1395-06-16,2016-09-06,111,تلیسه,TLIZ
1395-06-17,2016-09-07,110,تلیسه,TLIZ
1395-06-20,2016-09-10,106,تلیسه,TLIZ
1395-06-21,2016-09-11,105,تلیسه,TLIZ
1395-06-23,2016-09-13,104,تلیسه,TLIZ
1395-06-24,2016-09-14,99,تلیسه,TLIZ
1395-06-27,2016-09-17,101,تلیسه,TLIZ
1395-06-28,2016-09-18,105,تلیسه,TLIZ
1395-06-29,2016-09-19,106,تلیسه,TLIZ
1395-06-31,2016-09-21,105,تلیسه,TLIZ
1395-07-03,2016-09-24,106,تلیسه,TLIZ
1395-07-04,2016-09-25,103,تلیسه,TLIZ
1395-07-05,2016-09-26,103,تلیسه,TLIZ
1395-07-06,2016-09-27,101,تلیسه,TLIZ
1395-07-07,2016-09-28,100,تلیسه,TLIZ
1395-07-10,2016-10-01,101,تلیسه,TLIZ
1395-07-11,2016-10-02,106,تلیسه,TLIZ
1395-07-12,2016-10-03,107,تلیسه,TLIZ
1395-07-13,2016-10-04,104,تلیسه,TLIZ
1395-07-14,2016-10-05,104,تلیسه,TLIZ
1395-07-17,2016-10-08,103,تلیسه,TLIZ
1395-07-18,2016-10-09,101,تلیسه,TLIZ
1395-07-19,2016-10-10,104,تلیسه,TLIZ
1395-07-24,2016-10-15,108,تلیسه,TLIZ
1395-07-25,2016-10-16,104,تلیسه,TLIZ
1395-07-26,2016-10-17,103,تلیسه,TLIZ
1395-07-27,2016-10-18,103,تلیسه,TLIZ
1395-07-28,2016-10-19,108,تلیسه,TLIZ
1395-08-01,2016-10-22,113,تلیسه,TLIZ
1395-08-02,2016-10-23,108,تلیسه,TLIZ
1395-08-03,2016-10-24,111,تلیسه,TLIZ
1395-08-04,2016-10-25,109,تلیسه,TLIZ
1395-08-05,2016-10-26,107,تلیسه,TLIZ
1395-08-08,2016-10-29,105,تلیسه,TLIZ
1395-08-09,2016-10-30,107,تلیسه,TLIZ
1395-08-10,2016-10-31,107,تلیسه,TLIZ
1395-08-11,2016-11-01,104,تلیسه,TLIZ
1395-08-12,2016-11-02,101,تلیسه,TLIZ
1395-08-15,2016-11-05,100,تلیسه,TLIZ
1395-08-16,2016-11-06,103,تلیسه,TLIZ
1395-08-17,2016-11-07,107,تلیسه,TLIZ
1395-08-18,2016-11-08,105,تلیسه,TLIZ
1395-08-19,2016-11-09,102,تلیسه,TLIZ
1395-08-22,2016-11-12,101,تلیسه,TLIZ
1395-08-23,2016-11-13,104,تلیسه,TLIZ
1395-08-24,2016-11-14,109,تلیسه,TLIZ
1395-08-25,2016-11-15,109,تلیسه,TLIZ
1395-08-26,2016-11-16,108,تلیسه,TLIZ
1395-08-29,2016-11-19,104,تلیسه,TLIZ
1395-09-01,2016-11-21,107,تلیسه,TLIZ
1395-09-02,2016-11-22,107,تلیسه,TLIZ
1395-09-03,2016-11-23,104,تلیسه,TLIZ
1395-09-06,2016-11-26,103,تلیسه,TLIZ
1395-09-07,2016-11-27,103,تلیسه,TLIZ
1395-09-09,2016-11-29,103,تلیسه,TLIZ
1395-09-13,2016-12-03,101,تلیسه,TLIZ
1395-09-14,2016-12-04,101,تلیسه,TLIZ
1395-09-15,2016-12-05,102,تلیسه,TLIZ
1395-09-16,2016-12-06,101,تلیسه,TLIZ
1395-09-17,2016-12-07,101,تلیسه,TLIZ
1395-09-20,2016-12-10,102,تلیسه,TLIZ
1395-09-21,2016-12-11,101,تلیسه,TLIZ
1395-09-22,2016-12-12,100,تلیسه,TLIZ
1395-09-23,2016-12-13,99,تلیسه,TLIZ
1395-09-24,2016-12-14,102,تلیسه,TLIZ
1395-09-28,2016-12-18,102,تلیسه,TLIZ
1395-09-29,2016-12-19,99,تلیسه,TLIZ
1395-09-30,2016-12-20,95,تلیسه,TLIZ
1395-10-01,2016-12-21,100,تلیسه,TLIZ
1395-10-04,2016-12-24,98,تلیسه,TLIZ
1395-10-05,2016-12-25,97,تلیسه,TLIZ
1395-10-06,2016-12-26,95,تلیسه,TLIZ
1395-10-07,2016-12-27,93,تلیسه,TLIZ
1395-10-08,2016-12-28,92,تلیسه,TLIZ
1395-10-11,2016-12-31,91,تلیسه,TLIZ
1395-10-12,2017-01-01,90,تلیسه,TLIZ
1395-10-13,2017-01-02,89,تلیسه,TLIZ
1395-10-14,2017-01-03,92,تلیسه,TLIZ
1395-10-15,2017-01-04,93,تلیسه,TLIZ
1395-10-18,2017-01-07,92,تلیسه,TLIZ
1395-10-19,2017-01-08,91,تلیسه,TLIZ
1395-10-20,2017-01-09,91,تلیسه,TLIZ
1395-10-22,2017-01-11,89,تلیسه,TLIZ
1395-10-25,2017-01-14,94,تلیسه,TLIZ
1395-10-26,2017-01-15,95,تلیسه,TLIZ
1395-10-27,2017-01-16,96,تلیسه,TLIZ
1395-10-28,2017-01-17,93,تلیسه,TLIZ
1395-10-29,2017-01-18,90,تلیسه,TLIZ
1395-11-02,2017-01-21,90,تلیسه,TLIZ
1395-11-03,2017-01-22,91,تلیسه,TLIZ
1395-11-04,2017-01-23,89,تلیسه,TLIZ
1395-11-05,2017-01-24,93,تلیسه,TLIZ
1395-11-06,2017-01-25,97,تلیسه,TLIZ
