J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-12-23,2023-03-14,15500,وکغدیر,TMGD
1401-12-24,2023-03-15,16270,وکغدیر,TMGD
1401-12-27,2023-03-18,17080,وکغدیر,TMGD
1401-12-28,2023-03-19,17930,وکغدیر,TMGD
1402-01-05,2023-03-25,18820,وکغدیر,TMGD
1402-01-06,2023-03-26,19760,وکغدیر,TMGD
1402-01-07,2023-03-27,20740,وکغدیر,TMGD
1402-01-08,2023-03-28,21770,وکغدیر,TMGD
1402-01-09,2023-03-29,22850,وکغدیر,TMGD
1402-01-14,2023-04-03,22990,وکغدیر,TMGD
1402-01-15,2023-04-04,23840,وکغدیر,TMGD
1402-01-20,2023-04-09,24800,وکغدیر,TMGD
1402-01-21,2023-04-10,26040,وکغدیر,TMGD
1402-01-22,2023-04-11,27230,وکغدیر,TMGD
1402-01-26,2023-04-15,26900,وکغدیر,TMGD
1402-01-27,2023-04-16,26520,وکغدیر,TMGD
1402-01-28,2023-04-17,26610,وکغدیر,TMGD
1402-01-29,2023-04-18,28010,وکغدیر,TMGD
1402-01-30,2023-04-19,29170,وکغدیر,TMGD
1402-02-04,2023-04-24,29000,وکغدیر,TMGD
1402-02-05,2023-04-25,29040,وکغدیر,TMGD
1402-02-06,2023-04-26,28790,وکغدیر,TMGD
1402-02-09,2023-04-29,30390,وکغدیر,TMGD
1402-02-10,2023-04-30,31430,وکغدیر,TMGD
1402-02-11,2023-05-01,31020,وکغدیر,TMGD
1402-02-12,2023-05-02,32240,وکغدیر,TMGD
1402-02-13,2023-05-03,31150,وکغدیر,TMGD
1402-02-16,2023-05-06,30240,وکغدیر,TMGD
1402-02-17,2023-05-07,28880,وکغدیر,TMGD
1402-02-18,2023-05-08,27550,وکغدیر,TMGD
1402-02-19,2023-05-09,27740,وکغدیر,TMGD
1402-02-20,2023-05-10,26290,وکغدیر,TMGD
1402-02-23,2023-05-13,25790,وکغدیر,TMGD
1402-02-24,2023-05-14,26310,وکغدیر,TMGD
1402-02-25,2023-05-15,27610,وکغدیر,TMGD
1402-02-27,2023-05-17,28830,وکغدیر,TMGD
1402-02-30,2023-05-20,27690,وکغدیر,TMGD
1402-02-31,2023-05-21,28110,وکغدیر,TMGD
1402-03-01,2023-05-22,28490,وکغدیر,TMGD
1402-03-02,2023-05-23,29580,وکغدیر,TMGD
1402-03-03,2023-05-24,28870,وکغدیر,TMGD
1402-03-06,2023-05-27,28110,وکغدیر,TMGD
1402-03-07,2023-05-28,27090,وکغدیر,TMGD
1402-03-08,2023-05-29,27360,وکغدیر,TMGD
1402-03-09,2023-05-30,27250,وکغدیر,TMGD
1402-03-10,2023-05-31,26700,وکغدیر,TMGD
1402-03-13,2023-06-03,26260,وکغدیر,TMGD
1402-03-16,2023-06-06,26070,وکغدیر,TMGD
1402-03-17,2023-06-07,26050,وکغدیر,TMGD
1402-03-20,2023-06-10,25590,وکغدیر,TMGD
1402-03-21,2023-06-11,25400,وکغدیر,TMGD
1402-03-22,2023-06-12,24740,وکغدیر,TMGD
1402-03-23,2023-06-13,26040,وکغدیر,TMGD
1402-03-24,2023-06-14,25910,وکغدیر,TMGD
1402-03-27,2023-06-17,25520,وکغدیر,TMGD
